item_identifier,guide_identifier,item_type,guide_impact_state,affected_section,affected_controls,affected_invariants,affected_mandatory_questions,affected_dependency,candidate_text_clarification_needed,later_adoption_condition,later_activation_condition,implementation_evidence_required,candidate_revision_required
CGP006-CLF-0001,ES-CG-10,classification warning,ADOPTION_READINESS_IMPACT,Retained Warnings; Normative-Source Traceability; Contextual-Source Influence; Adoption Prerequisites; Activation Prerequisites,ES-CG-10-CTRL-0001;ES-CG-10-CTRL-0002;ES-CG-10-CTRL-0003;ES-CG-10-CTRL-0004;ES-CG-10-CTRL-0005;ES-CG-10-CTRL-0006,ES-CG-10-INV-0001;ES-CG-10-INV-0002;ES-CG-10-INV-0003;ES-CG-10-INV-0004;ES-CG-10-INV-0005;ES-CG-10-INV-0006,ES-CG-10-DQ-0001;ES-CG-10-DQ-0002;ES-CG-10-DQ-0003;ES-CG-10-DQ-0004;ES-CG-10-DQ-0005;ES-CG-10-DQ-0006;ES-CG-10-DQ-0007;ES-CG-10-DQ-0008,CGP006-W1-GATE-0004,NO,"Carry, resolve, or obtain separate Founder disposition before actual adoption.",Activation requires separate authority and evidence; this package does not authorize activation.,NO,NO
CGP006-CLF-0002,ES-CG-00,classification warning,ADOPTION_READINESS_IMPACT,Retained Warnings; Normative-Source Traceability; Contextual-Source Influence; Adoption Prerequisites; Activation Prerequisites,ES-CG-00-CTRL-0001;ES-CG-00-CTRL-0002;ES-CG-00-CTRL-0003;ES-CG-00-CTRL-0004;ES-CG-00-CTRL-0005,ES-CG-00-INV-0001;ES-CG-00-INV-0002;ES-CG-00-INV-0003;ES-CG-00-INV-0004;ES-CG-00-INV-0005,ES-CG-00-DQ-0001;ES-CG-00-DQ-0002;ES-CG-00-DQ-0003;ES-CG-00-DQ-0004;ES-CG-00-DQ-0005;ES-CG-00-DQ-0006;ES-CG-00-DQ-0007;ES-CG-00-DQ-0008,CGP006-W1-GATE-0001,NO,"Carry, resolve, or obtain separate Founder disposition before actual adoption.",Activation requires separate authority and evidence; this package does not authorize activation.,NO,NO
CGP006-CLF-0002,ES-CG-01,classification warning,ADOPTION_READINESS_IMPACT,Retained Warnings; Normative-Source Traceability; Contextual-Source Influence; Adoption Prerequisites; Activation Prerequisites,ES-CG-01-CTRL-0001;ES-CG-01-CTRL-0002;ES-CG-01-CTRL-0003;ES-CG-01-CTRL-0004;ES-CG-01-CTRL-0005,ES-CG-01-INV-0001;ES-CG-01-INV-0002;ES-CG-01-INV-0003;ES-CG-01-INV-0004;ES-CG-01-INV-0005,ES-CG-01-DQ-0001;ES-CG-01-DQ-0002;ES-CG-01-DQ-0003;ES-CG-01-DQ-0004;ES-CG-01-DQ-0005;ES-CG-01-DQ-0006;ES-CG-01-DQ-0007;ES-CG-01-DQ-0008,CGP006-W1-GATE-0002,NO,"Carry, resolve, or obtain separate Founder disposition before actual adoption.",Activation requires separate authority and evidence; this package does not authorize activation.,NO,NO
CGP006-CLF-0002,ES-CG-13,classification warning,ADOPTION_READINESS_IMPACT,Retained Warnings; Normative-Source Traceability; Contextual-Source Influence; Adoption Prerequisites; Activation Prerequisites,ES-CG-13-CTRL-0001;ES-CG-13-CTRL-0002;ES-CG-13-CTRL-0003;ES-CG-13-CTRL-0004;ES-CG-13-CTRL-0005;ES-CG-13-CTRL-0006,ES-CG-13-INV-0001;ES-CG-13-INV-0002;ES-CG-13-INV-0003;ES-CG-13-INV-0004;ES-CG-13-INV-0005;ES-CG-13-INV-0006,ES-CG-13-DQ-0001;ES-CG-13-DQ-0002;ES-CG-13-DQ-0003;ES-CG-13-DQ-0004;ES-CG-13-DQ-0005;ES-CG-13-DQ-0006;ES-CG-13-DQ-0007;ES-CG-13-DQ-0008,CGP006-W1-GATE-0003,NO,"Carry, resolve, or obtain separate Founder disposition before actual adoption.",Activation requires separate authority and evidence; this package does not authorize activation.,NO,NO
CGP006-CLF-0002,ES-CG-10,classification warning,ADOPTION_READINESS_IMPACT,Retained Warnings; Normative-Source Traceability; Contextual-Source Influence; Adoption Prerequisites; Activation Prerequisites,ES-CG-10-CTRL-0001;ES-CG-10-CTRL-0002;ES-CG-10-CTRL-0003;ES-CG-10-CTRL-0004;ES-CG-10-CTRL-0005;ES-CG-10-CTRL-0006,ES-CG-10-INV-0001;ES-CG-10-INV-0002;ES-CG-10-INV-0003;ES-CG-10-INV-0004;ES-CG-10-INV-0005;ES-CG-10-INV-0006,ES-CG-10-DQ-0001;ES-CG-10-DQ-0002;ES-CG-10-DQ-0003;ES-CG-10-DQ-0004;ES-CG-10-DQ-0005;ES-CG-10-DQ-0006;ES-CG-10-DQ-0007;ES-CG-10-DQ-0008,CGP006-W1-GATE-0004,NO,"Carry, resolve, or obtain separate Founder disposition before actual adoption.",Activation requires separate authority and evidence; this package does not authorize activation.,NO,NO
CGP006-CLF-0003,ES-CG-00,classification warning,ADOPTION_READINESS_IMPACT,Retained Warnings; Normative-Source Traceability; Contextual-Source Influence; Adoption Prerequisites; Activation Prerequisites,ES-CG-00-CTRL-0001;ES-CG-00-CTRL-0002;ES-CG-00-CTRL-0003;ES-CG-00-CTRL-0004;ES-CG-00-CTRL-0005,ES-CG-00-INV-0001;ES-CG-00-INV-0002;ES-CG-00-INV-0003;ES-CG-00-INV-0004;ES-CG-00-INV-0005,ES-CG-00-DQ-0001;ES-CG-00-DQ-0002;ES-CG-00-DQ-0003;ES-CG-00-DQ-0004;ES-CG-00-DQ-0005;ES-CG-00-DQ-0006;ES-CG-00-DQ-0007;ES-CG-00-DQ-0008,CGP006-W1-GATE-0001,NO,"Carry, resolve, or obtain separate Founder disposition before actual adoption.",Activation requires separate authority and evidence; this package does not authorize activation.,NO,NO
CGP006-CLF-0003,ES-CG-01,classification warning,ADOPTION_READINESS_IMPACT,Retained Warnings; Normative-Source Traceability; Contextual-Source Influence; Adoption Prerequisites; Activation Prerequisites,ES-CG-01-CTRL-0001;ES-CG-01-CTRL-0002;ES-CG-01-CTRL-0003;ES-CG-01-CTRL-0004;ES-CG-01-CTRL-0005,ES-CG-01-INV-0001;ES-CG-01-INV-0002;ES-CG-01-INV-0003;ES-CG-01-INV-0004;ES-CG-01-INV-0005,ES-CG-01-DQ-0001;ES-CG-01-DQ-0002;ES-CG-01-DQ-0003;ES-CG-01-DQ-0004;ES-CG-01-DQ-0005;ES-CG-01-DQ-0006;ES-CG-01-DQ-0007;ES-CG-01-DQ-0008,CGP006-W1-GATE-0002,NO,"Carry, resolve, or obtain separate Founder disposition before actual adoption.",Activation requires separate authority and evidence; this package does not authorize activation.,NO,NO
CGP006-CLF-0003,ES-CG-13,classification warning,ADOPTION_READINESS_IMPACT,Retained Warnings; Normative-Source Traceability; Contextual-Source Influence; Adoption Prerequisites; Activation Prerequisites,ES-CG-13-CTRL-0001;ES-CG-13-CTRL-0002;ES-CG-13-CTRL-0003;ES-CG-13-CTRL-0004;ES-CG-13-CTRL-0005;ES-CG-13-CTRL-0006,ES-CG-13-INV-0001;ES-CG-13-INV-0002;ES-CG-13-INV-0003;ES-CG-13-INV-0004;ES-CG-13-INV-0005;ES-CG-13-INV-0006,ES-CG-13-DQ-0001;ES-CG-13-DQ-0002;ES-CG-13-DQ-0003;ES-CG-13-DQ-0004;ES-CG-13-DQ-0005;ES-CG-13-DQ-0006;ES-CG-13-DQ-0007;ES-CG-13-DQ-0008,CGP006-W1-GATE-0003,NO,"Carry, resolve, or obtain separate Founder disposition before actual adoption.",Activation requires separate authority and evidence; this package does not authorize activation.,NO,NO
CGP006-CLF-0003,ES-CG-10,classification warning,ADOPTION_READINESS_IMPACT,Retained Warnings; Normative-Source Traceability; Contextual-Source Influence; Adoption Prerequisites; Activation Prerequisites,ES-CG-10-CTRL-0001;ES-CG-10-CTRL-0002;ES-CG-10-CTRL-0003;ES-CG-10-CTRL-0004;ES-CG-10-CTRL-0005;ES-CG-10-CTRL-0006,ES-CG-10-INV-0001;ES-CG-10-INV-0002;ES-CG-10-INV-0003;ES-CG-10-INV-0004;ES-CG-10-INV-0005;ES-CG-10-INV-0006,ES-CG-10-DQ-0001;ES-CG-10-DQ-0002;ES-CG-10-DQ-0003;ES-CG-10-DQ-0004;ES-CG-10-DQ-0005;ES-CG-10-DQ-0006;ES-CG-10-DQ-0007;ES-CG-10-DQ-0008,CGP006-W1-GATE-0004,NO,"Carry, resolve, or obtain separate Founder disposition before actual adoption.",Activation requires separate authority and evidence; this package does not authorize activation.,NO,NO
CGP006-CLF-0004,ES-CG-00,classification warning,ADOPTION_READINESS_IMPACT,Retained Warnings; Normative-Source Traceability; Contextual-Source Influence; Adoption Prerequisites; Activation Prerequisites,ES-CG-00-CTRL-0001;ES-CG-00-CTRL-0002;ES-CG-00-CTRL-0003;ES-CG-00-CTRL-0004;ES-CG-00-CTRL-0005,ES-CG-00-INV-0001;ES-CG-00-INV-0002;ES-CG-00-INV-0003;ES-CG-00-INV-0004;ES-CG-00-INV-0005,ES-CG-00-DQ-0001;ES-CG-00-DQ-0002;ES-CG-00-DQ-0003;ES-CG-00-DQ-0004;ES-CG-00-DQ-0005;ES-CG-00-DQ-0006;ES-CG-00-DQ-0007;ES-CG-00-DQ-0008,CGP006-W1-GATE-0001,NO,"Carry, resolve, or obtain separate Founder disposition before actual adoption.",Activation requires separate authority and evidence; this package does not authorize activation.,NO,NO
