path,sha256,bytes,identifier,version,artifact_class,lifecycle_state,authority,listed_in_internal_manifest
CONSTITUTIONAL_DOMAIN_OWNERSHIP_AND_BOUNDARY_REGISTER_V1_1.docx,85d95a337664c9dbc327b3fe3858b19c8513aba94752eb9a0a5c29eff0d2628f,16018,CONSTITUTIONAL_DOMAIN_OWNERSHIP_AND_BOUNDARY_REGISTER_V1_1,1.1,COMPANION_DELTA_CANDIDATE,EXACT_PREDECESSOR_NOT_MOUNTED,FALSE,true
CONSTITUTIONAL_DOMAIN_OWNERSHIP_AND_BOUNDARY_REGISTER_V1_1.md,6be760d6b5f274097074d16fcee805aea3249b51058d5998abff4235945adc75,9190,CONSTITUTIONAL_DOMAIN_OWNERSHIP_AND_BOUNDARY_REGISTER_V1_1,1.1,COMPANION_DELTA_CANDIDATE,EXACT_PREDECESSOR_NOT_MOUNTED,FALSE,true
CROSS_CANON_REFERENCE_NORMALIZATION_REGISTER_V1_1.docx,544a5e666515c30fbf8b25e51183957e89e7c933937de6bfbd49d82a4c302696,13957,CROSS_CANON_REFERENCE_NORMALIZATION_REGISTER_V1_1,1.1,COMPANION_DELTA_CANDIDATE,EXACT_PREDECESSOR_NOT_MOUNTED,FALSE,true
CROSS_CANON_REFERENCE_NORMALIZATION_REGISTER_V1_1.md,9a41067be17c667dd70328ac7c7c53bf3029bd478b3f8f9b6fd8964842c06833,5558,CROSS_CANON_REFERENCE_NORMALIZATION_REGISTER_V1_1,1.1,COMPANION_DELTA_CANDIDATE,EXACT_PREDECESSOR_NOT_MOUNTED,FALSE,true
EQUINESYNC_CANON_DEPENDENCY_MAP_V1_2.docx,9a992c8d573317832094d77d0764868f192460ecddde10aaa95d8b3f942d0070,27097,EQUINESYNC_CANON_DEPENDENCY_MAP_V1_2,1.2,COMPANION_SUCCESSOR_CANDIDATE,PENDING_PREDECESSOR_DIFF_REVIEW,FALSE,true
EQUINESYNC_CANON_DEPENDENCY_MAP_V1_2.md,7262277efc185c78b911d85fb6d3b8c2556ebe6f5b3b8b5a97b85a34517fa24c,50571,EQUINESYNC_CANON_DEPENDENCY_MAP_V1_2,1.2,COMPANION_SUCCESSOR_CANDIDATE,PENDING_PREDECESSOR_DIFF_REVIEW,FALSE,true
EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_2.docx,d1f2dfb4bec1c6e6fd151864521571b82196046dcf9ead58982368dd28f80e36,46194,EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_2,1.2,COMPANION_SUCCESSOR_CANDIDATE,PENDING_PREDECESSOR_DIFF_REVIEW,FALSE,true
EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_2.md,31102a8f399d51449807f6bb65c9775e931b5796d2602b029e4a0afb634ade7f,122226,EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_2,1.2,COMPANION_SUCCESSOR_CANDIDATE,PENDING_PREDECESSOR_DIFF_REVIEW,FALSE,true
EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_2.docx,e33ba9db612fd792dc293b811fcafabb1c1ce593f7aef90a1450d930ae6bb644,40855,EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_2,1.2,COMPANION_SUCCESSOR_CANDIDATE,PENDING_PREDECESSOR_DIFF_REVIEW,FALSE,true
EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_2.md,6e810af409884936ad25f709d0f482f859765a84a5437625e635b1fcdcc239cb,118290,EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_2,1.2,COMPANION_SUCCESSOR_CANDIDATE,PENDING_PREDECESSOR_DIFF_REVIEW,FALSE,true
EQUINESYNC_CONSTITUTIONAL_VOCABULARY_AND_DEFINITIONS_INDEX_V1_2.docx,1a5e1df142bb874707c40c9378214509aab363f796fa036e5d3c449e2bed68e2,36364,EQUINESYNC_CONSTITUTIONAL_VOCABULARY_AND_DEFINITIONS_INDEX_V1_2,1.2,COMPANION_SUCCESSOR_CANDIDATE,PENDING_PREDECESSOR_DIFF_REVIEW,FALSE,true
EQUINESYNC_CONSTITUTIONAL_VOCABULARY_AND_DEFINITIONS_INDEX_V1_2.md,aa8888de9f0e60a5c30dffc5f86838129e44f24c2bc65d98ec940056251155fe,76161,EQUINESYNC_CONSTITUTIONAL_VOCABULARY_AND_DEFINITIONS_INDEX_V1_2,1.2,COMPANION_SUCCESSOR_CANDIDATE,PENDING_PREDECESSOR_DIFF_REVIEW,FALSE,true
EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0.docx,44c21dd0b797de8e64426926a097518e2a9afd5da3d14083baf5f01dd766d544,15845,EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,1.0,GENERATED_APPROVAL_ASSERTION,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,FALSE,true
EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0.md,4a024d4764fd947be51cc53b56d30e83d1ac61c1dfd9b7f5bc291f3c13aba60e,10532,EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,1.0,GENERATED_APPROVAL_ASSERTION,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,FALSE,true
EQUINESYNC_MINOR_SAFEGUARDING_V1_1_FOUNDER_APPROVAL_AND_INTEGRATION_DIRECTIVE_V1_0.docx,ab895f84bad914ef1248f8a0e4f90318359d52dffe2f7ab64823184757202141,12621,EQUINESYNC_MINOR_SAFEGUARDING_V1_1_FOUNDER_APPROVAL_AND_INTEGRATION_DIRECTIVE_V1_0,1.1,GENERATED_APPROVAL_ASSERTION,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,FALSE,true
