position,pia_id,inventory_status,source_packet_status,initial_draft_status,five_question_completion,review_status,p0_count,p1_count,p2_count,revision_status,founder_decision_count,unresolved_source_count,validation_status,disposition,branch,governing_commit
01,ES-PIA-IDENTITY-ONBOARDING,DRAFT_REQUIRES_STRENGTHENING,CARRY_FORWARD_SOURCE_SET,EXISTING_SUCCESSOR_CANDIDATE,SOURCE_VERIFICATION_REQUIRED,PENDING_FRESH_SEGREGATED_REVIEW,2,16,7,CANDIDATE_REMEDIATION_PRESENT,1,0,PACKAGE_MECHANICAL_VALIDATION_ONLY,PIA_RETURN_FOR_FRESH_REVIEW,codex/remaining-pia-program-v1,5e549056ee25fd1992846bbd6fedaba4329ab668
02,ES-PIA-FACILITY-TENANT-ORGANIZATION,V0_2_CONFORMANCE_CANDIDATE_CREATED,COMPLETE_19_SOURCE_REGISTER,V0_2_STRENGTHENED_DRAFT,COMPLETE_PARTIAL_PARTIAL_PARTIAL_NO_NO,FACILITY_PIA_REVIEW_BLOCKED_BY_RUNTIME_PERMISSION_FAILURE,0,4,2,V0_2_MECHANICAL_CONFORMANCE_PASS_FRESH_REVIEW_REQUIRED,20,2,PASS_WITH_DISCLOSED_SUBORDINATE_VALIDATOR_CONFLICT_NOT_INDEPENDENT_REVIEW,PIA_RETURN_FOR_COMPLIANT_FRESH_REVIEW,codex/remaining-pia-program-v1,5e549056ee25fd1992846bbd6fedaba4329ab668
03,ES-PIA-RELATIONSHIP-AUTHORIZATION-PERMISSION,PARTIAL_PIA,COMPLETE_7_SOURCE_REGISTER,INTEGRATED_A_B_C_V0_1_INITIAL_DRAFT,COMPLETE_NO_PARTIAL_PARTIAL_NO_NO,PENDING_FRESH_SEGREGATED_REVIEW,2,16,7,INITIAL_DRAFT_COMPLETE_REVISION_NOT_STARTED,2,8,PROGRAM_STRUCTURAL_VALIDATION_PASS_NOT_INDEPENDENT_REVIEW,PIA_INITIAL_DRAFT_COMPLETE_REVIEW_BLOCKED,codex/remaining-pia-program-v1,5e549056ee25fd1992846bbd6fedaba4329ab668
04,ES-PIA-HORSE-IDENTITY-LIFECYCLE,REMAINING_PIA_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,0,0,0,NOT_STARTED,0,0,NOT_STARTED,PIA_BLOCKED_BY_PREDECESSOR_DECISION,codex/remaining-pia-program-v1,5e549056ee25fd1992846bbd6fedaba4329ab668
05,ES-PIA-NAVIGATION-SEARCH-SHELL,REMAINING_PIA_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,0,0,0,NOT_STARTED,1,0,NOT_STARTED,PIA_BLOCKED_BY_PREDECESSOR_DECISION,codex/remaining-pia-program-v1,5e549056ee25fd1992846bbd6fedaba4329ab668
06,ES-PIA-TASK-CALENDAR-SCHEDULING-NOTIFICATION,REMAINING_PIA_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,0,0,0,NOT_STARTED,1,0,NOT_STARTED,PIA_BLOCKED_BY_PREDECESSOR_DECISION,codex/remaining-pia-program-v1,5e549056ee25fd1992846bbd6fedaba4329ab668
07,ES-PIA-CARE-OPERATIONS,REMAINING_PIA_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,0,0,0,NOT_STARTED,2,0,NOT_STARTED,PIA_BLOCKED_BY_PREDECESSOR_DECISION,codex/remaining-pia-program-v1,5e549056ee25fd1992846bbd6fedaba4329ab668
08,ES-PIA-LESSONS-TRAINING-RIDER-GUARDIAN,REMAINING_PIA_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,0,0,0,NOT_STARTED,1,0,NOT_STARTED,PIA_BLOCKED_BY_PREDECESSOR_DECISION,codex/remaining-pia-program-v1,5e549056ee25fd1992846bbd6fedaba4329ab668
09,ES-PIA-BILLING-PAYMENTS-FINANCIAL-OPS,REMAINING_PIA_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,0,0,0,NOT_STARTED,0,0,NOT_STARTED,PIA_BLOCKED_BY_PREDECESSOR_DECISION,codex/remaining-pia-program-v1,5e549056ee25fd1992846bbd6fedaba4329ab668
10,ES-PIA-OWNER-PORTAL-COMMUNICATIONS,REMAINING_PIA_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,0,0,0,NOT_STARTED,1,0,NOT_STARTED,PIA_BLOCKED_BY_PREDECESSOR_DECISION,codex/remaining-pia-program-v1,5e549056ee25fd1992846bbd6fedaba4329ab668
