authority_event_id,definition,minimum_evidence,allowed_next_event,does_not_imply,rule_ids
FOUNDER_APPROVAL,"Founder approves specified content, disposition, or next step.","Durable Founder record, exact content/scope, conditions.",Adoption or bounded certified action if authorized.,"Adoption, lock, activation, implementation, verification, operations, pilot, or production unless expressly included.",ES-GPS-FA-001
ADOPTION,Artifact becomes governing authority within stated level and scope.,"Exact artifact identity, scope, exclusions, retained findings.",Lock or accession pending if authorized.,"Lock, accession, custody, activation, implementation, runtime, pilot, or production.",ES-GPS-ADOPT-001
LOCK,Exact-byte immutable baseline established.,"Hash, byte length, lock record, retained-risk treatment.",Accession or custody workflow.,"Repository custody, activation, implementation, pilot, or production.",ES-GPS-LOCK-001
ACCESSION,Exact bytes added to authorized repository path/commit.,"Commit, path, checksum, authority.",Custody verification.,"Custody, activation, implementation, pilot, or production.",ES-GPS-ACC-001
CUSTODY,Protected repository state verifies exact bytes.,"Protected commit, path, SHA-256, byte length, PR/merge receipts.",Activation if separately authorized.,"Adoption, activation, implementation, verification, operations, pilot, or production.",ES-GPS-CUST-001
ACTIVATION,Artifact governs expressly identified scope.,"Activation record, effective date, scope, exclusions, stop conditions.",Implementation authorization if separately granted.,"Application implementation, pilot, or production unless expressly granted.",ES-GPS-ACT-001
IMPLEMENTATION_AUTHORIZATION,Exact repository/application/schema/config/infrastructure work authorized.,"Directive or RF/work package, paths, environment, rollback, evidence.",Implementation completion then verification.,"Verification, operational readiness, pilot, production, or release.",ES-GPS-IMPL-001
VERIFICATION,"Checks, reviews, tests, substitutions, waivers, and defects are dispositioned against exact baseline.",Executed results or certification/waiver/substitution records.,Operational readiness review.,"Operational readiness, pilot, or production authority.",ES-GPS-VER-001
OPERATIONAL_READINESS,Operational support and release readiness accepted by competent authority.,"Owners, runbooks, monitoring, incident, backup, restore, rollback, provider evidence or certification.",Pilot authorization or production authorization if expressly granted.,Pilot or production authority.,ES-GPS-OPS-001
PILOT_AUTHORIZATION,Bounded cohort/environment/feature/duration/data/risk envelope authorized.,"Pilot plan, cohort, environment, flags, stop conditions, Founder or delegated authority.",Pilot evidence collection and later release determination.,Unrestricted production use.,ES-GPS-PILOT-001
PRODUCTION_AUTHORIZATION,Production activation authorized for identified release/environment/feature/providers/data/user population.,"Exact head/release, evidence, exceptions, retained risks, authority, effective date.",Production activation receipt and maintenance cycle.,Authority outside named scope.,ES-GPS-PROD-001
FOUNDER_CERTIFICATION,"Founder determines evidence, process, exception, or retained risk is sufficient for stated bounded purpose.","Certification class, scope, evidence, authority effect, prohibited claims, review trigger, durable approval.","Bounded continuation, closure with exception, or express production authorization with exceptions.","External assurance, production authority, or historical fact change unless expressly and truthfully stated.",ES-GPS-FCR-001
