decision_id,decision_type,rank,proposed_pia_title,proposed_domain_boundary,proposed_owning_truth,proposed_personas,proposed_entities,proposed_lifecycle,proposed_cross_domain_dependencies,reason_existing_pia_cannot_adequately_own_it,reason_supplement_is_insufficient,risks_of_not_creating_it,overlap_risks,founder_questions,feature_rows,recommendation,founder_decision_required
DOC-NEW-PIA-MARKETPLACE-PROVIDER-NETWORK-COMMUNITY,DRAFT_NEW_PIA,1,"Marketplace, Provider Network, and Community Product Implementation Atlas","Provider profiles, credential verification, listings, discovery, rankings, reviews, referrals, bookings, community moderation, disputes, marketplace payment responsibility, suspension, and delisting.","Marketplace provider/community domain truth, distinct from facility, relationship, financial, and communication projections.",Service Provider; Owner; Trainer; Facility Owner; Barn Manager; Community Member; Platform Admin,ProviderProfile; Credential; Listing; Review; Referral; Booking; ModerationAction; MarketplaceDispute; Suspension,Draft provider profile -> verification -> listed -> booked/reviewed -> disputed/moderated -> suspended/delisted/archived.,"Identity, Relationship/Permission, Financial Truth, Communications, Search/Ranking, Vendor Security, Audit, Records/Retention.","No current ten-item PIA owns a two-sided provider/community marketplace truth without distorting Owner Portal, Facility, Relationship, or Financial boundaries.","A supplement would spread marketplace truth across multiple existing PIAs and leave credentials, listings, bookings, moderation, reviews, and suspensions without a single owner.","Provider credential, ranking, review, booking, payment responsibility, and moderation decisions may be governed inconsistently or inferred from unrelated domains.","Must not override PIA-03 permission, PIA-09 financial truth, PIA-10 communication/media rules, or service-provider role identity.",Whether an eleventh PIA may be drafted despite the current ten-item denominator; whether marketplace scope is foreseeable product scope or formally deferred.,ES-FEAT-MARKETPLACE-001;ES-FEAT-MARKETPLACE-002;ES-FEAT-MARKETPLACE-003;ES-FEAT-MARKETPLACE-004;ES-FEAT-MARKETPLACE-005;ES-FEAT-MARKETPLACE-006;ES-FEAT-MARKETPLACE-007;ES-FEAT-MARKETPLACE-008;ES-FEAT-MARKETPLACE-009;ES-FEAT-MARKETPLACE-010;ES-FEAT-MARKETPLACE-011;ES-FEAT-MARKETPLACE-012;ES-FEAT-MARKETPLACE-013;ES-FEAT-MARKETPLACE-014,REQUIRE_FOUNDER_DECISION_BEFORE_DRAFTING,YES
DOC-SUP-PIA-01-IDENTITY-ACCESS,SUPPLEMENT_EXISTING_PIA,2,NOT_A_NEW_PIA,Bounded supplement to PIA-01;PIA-03,Identity account and authorization input services,Guest;User;Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,"user, token, invite, session, account membership, role, capability",Inherit parent PIA lifecycle; add workflow-specific states listed by feature rows.,PIA-03 permission/authorization; records/audit/retention; domain-specific handoff contracts required where listed,NOT_APPLICABLE_EXISTING_PIA_OWNER_IDENTIFIED,NOT_APPLICABLE_SUPPLEMENT_RECOMMENDED,Existing owner remains too broad for the listed workflow details; implementation may proceed with unclear acceptance and evidence criteria.,Supplement must not create a competing PIA owner or override inherited canon/permission/retention rules.,"Whether to approve a supplement, successor version, or formal deferral for this bounded scope.",ES-FEAT-IDENTITY-004;ES-FEAT-IDENTITY-005;ES-FEAT-IDENTITY-006;ES-FEAT-IDENTITY-007;ES-FEAT-IDENTITY-008;ES-FEAT-IDENTITY-009;ES-FEAT-IDENTITY-010;ES-FEAT-IDENTITY-012;ES-FEAT-IDENTITY-013;ES-FEAT-IDENTITY-014;ES-FEAT-IDENTITY-015;ES-FEAT-IDENTITY-016,SUPPLEMENT_EXISTING_PIA,YES
DOC-SUP-PIA-02-FACILITY-OPERATIONS,SUPPLEMENT_EXISTING_PIA,3,NOT_A_NEW_PIA,Bounded supplement to PIA-02,Facility and barn operations records,Facility Owner;Barn Manager;Trainer;Staff;Contractor;Owner;Service Provider,"facility, barn, location, stall, arena, pasture, assignment, work order, hazard, closure",Inherit parent PIA lifecycle; add workflow-specific states listed by feature rows.,PIA-03 permission/authorization; records/audit/retention; domain-specific handoff contracts required where listed,NOT_APPLICABLE_EXISTING_PIA_OWNER_IDENTIFIED,NOT_APPLICABLE_SUPPLEMENT_RECOMMENDED,Existing owner remains too broad for the listed workflow details; implementation may proceed with unclear acceptance and evidence criteria.,Supplement must not create a competing PIA owner or override inherited canon/permission/retention rules.,"Whether to approve a supplement, successor version, or formal deferral for this bounded scope.",ES-FEAT-FACILITY-001;ES-FEAT-FACILITY-002;ES-FEAT-FACILITY-003;ES-FEAT-FACILITY-004;ES-FEAT-FACILITY-005;ES-FEAT-FACILITY-006;ES-FEAT-FACILITY-007;ES-FEAT-FACILITY-008;ES-FEAT-FACILITY-009;ES-FEAT-FACILITY-010;ES-FEAT-FACILITY-011;ES-FEAT-FACILITY-012;ES-FEAT-FACILITY-013;ES-FEAT-FACILITY-014;ES-FEAT-FACILITY-015;ES-FEAT-FACILITY-016;ES-FEAT-FACILITY-017,SUPPLEMENT_EXISTING_PIA,YES
DOC-SUP-PIA-03-RELATIONSHIP-GUARDIANSHIP,SUPPLEMENT_EXISTING_PIA,4,NOT_A_NEW_PIA,Bounded supplement to PIA-03;PIA-01;PIA-08,Relationship and permission evidence service,Owner;Trainer;Guardian;Minor Rider;Barn Manager;Staff;Service Provider,"relationship, guardian link, consent, delegation, restriction, revocation, dispute",Inherit parent PIA lifecycle; add workflow-specific states listed by feature rows.,PIA-03 permission/authorization; records/audit/retention; domain-specific handoff contracts required where listed,NOT_APPLICABLE_EXISTING_PIA_OWNER_IDENTIFIED,NOT_APPLICABLE_SUPPLEMENT_RECOMMENDED,Existing owner remains too broad for the listed workflow details; implementation may proceed with unclear acceptance and evidence criteria.,Supplement must not create a competing PIA owner or override inherited canon/permission/retention rules.,"Whether to approve a supplement, successor version, or formal deferral for this bounded scope.",ES-FEAT-RELATIONSHIP-001;ES-FEAT-RELATIONSHIP-002;ES-FEAT-RELATIONSHIP-003;ES-FEAT-RELATIONSHIP-004;ES-FEAT-RELATIONSHIP-005;ES-FEAT-RELATIONSHIP-006;ES-FEAT-RELATIONSHIP-007;ES-FEAT-RELATIONSHIP-008;ES-FEAT-RELATIONSHIP-009;ES-FEAT-RELATIONSHIP-010;ES-FEAT-RELATIONSHIP-011,SUPPLEMENT_EXISTING_PIA,YES
DOC-SUP-PIA-04-HORSE-LIFECYCLE,SUPPLEMENT_EXISTING_PIA,5,NOT_A_NEW_PIA,Bounded supplement to PIA-04;PIA-03,Horse ledger and lifecycle records,Owner;Trainer;Barn Manager;Staff;Veterinarian;Farrier;Guardian,"horse, profile, passport, owner visibility policy, lifecycle event, transfer evidence",Inherit parent PIA lifecycle; add workflow-specific states listed by feature rows.,PIA-03 permission/authorization; records/audit/retention; domain-specific handoff contracts required where listed,NOT_APPLICABLE_EXISTING_PIA_OWNER_IDENTIFIED,NOT_APPLICABLE_SUPPLEMENT_RECOMMENDED,Existing owner remains too broad for the listed workflow details; implementation may proceed with unclear acceptance and evidence criteria.,Supplement must not create a competing PIA owner or override inherited canon/permission/retention rules.,"Whether to approve a supplement, successor version, or formal deferral for this bounded scope.",ES-FEAT-HORSE-002;ES-FEAT-HORSE-003;ES-FEAT-HORSE-004;ES-FEAT-HORSE-005;ES-FEAT-HORSE-006;ES-FEAT-HORSE-007;ES-FEAT-HORSE-008;ES-FEAT-HORSE-009;ES-FEAT-HORSE-010;ES-FEAT-HORSE-011;ES-FEAT-HORSE-012;ES-FEAT-HORSE-013,SUPPLEMENT_EXISTING_PIA,YES
DOC-SUP-PIA-05-PLATFORM-SHELL,SUPPLEMENT_EXISTING_PIA,6,NOT_A_NEW_PIA,Bounded supplement to PIA-05,Application shell and role-navigation read model,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,"route, navigation item, role-home summary, dashboard card, search projection",Inherit parent PIA lifecycle; add workflow-specific states listed by feature rows.,PIA-03 permission/authorization; records/audit/retention; domain-specific handoff contracts required where listed,NOT_APPLICABLE_EXISTING_PIA_OWNER_IDENTIFIED,NOT_APPLICABLE_SUPPLEMENT_RECOMMENDED,Existing owner remains too broad for the listed workflow details; implementation may proceed with unclear acceptance and evidence criteria.,Supplement must not create a competing PIA owner or override inherited canon/permission/retention rules.,"Whether to approve a supplement, successor version, or formal deferral for this bounded scope.",ES-FEAT-PLATFORM-003;ES-FEAT-PLATFORM-005;ES-FEAT-PLATFORM-006;ES-FEAT-PLATFORM-007;ES-FEAT-PLATFORM-008;ES-FEAT-PLATFORM-009;ES-FEAT-PLATFORM-010,SUPPLEMENT_EXISTING_PIA,YES
DOC-SUP-PIA-06-TASK-CALENDAR,SUPPLEMENT_EXISTING_PIA,7,NOT_A_NEW_PIA,Bounded supplement to PIA-06,Task engine and event scheduling records,Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,"task, event, recurrence, reminder, completion, correction, notification delivery",Inherit parent PIA lifecycle; add workflow-specific states listed by feature rows.,PIA-03 permission/authorization; records/audit/retention; domain-specific handoff contracts required where listed,NOT_APPLICABLE_EXISTING_PIA_OWNER_IDENTIFIED,NOT_APPLICABLE_SUPPLEMENT_RECOMMENDED,Existing owner remains too broad for the listed workflow details; implementation may proceed with unclear acceptance and evidence criteria.,Supplement must not create a competing PIA owner or override inherited canon/permission/retention rules.,"Whether to approve a supplement, successor version, or formal deferral for this bounded scope.",ES-FEAT-TASKS-001;ES-FEAT-TASKS-002;ES-FEAT-TASKS-003;ES-FEAT-TASKS-004;ES-FEAT-TASKS-005;ES-FEAT-TASKS-006;ES-FEAT-TASKS-007;ES-FEAT-TASKS-008;ES-FEAT-TASKS-009;ES-FEAT-TASKS-010;ES-FEAT-TASKS-011;ES-FEAT-TASKS-014,SUPPLEMENT_EXISTING_PIA,YES
DOC-SUP-PIA-07-CARE-OPERATIONS,SUPPLEMENT_EXISTING_PIA,8,NOT_A_NEW_PIA,Bounded supplement to PIA-07;PIA-04;PIA-06,Care task and horse health operations records,Barn Manager;Trainer;Staff;Owner;Veterinarian;Farrier;Guardian,"care task, medication, treatment instruction, observation, visit, welfare concern, care evidence",Inherit parent PIA lifecycle; add workflow-specific states listed by feature rows.,PIA-03 permission/authorization; records/audit/retention; domain-specific handoff contracts required where listed,NOT_APPLICABLE_EXISTING_PIA_OWNER_IDENTIFIED,NOT_APPLICABLE_SUPPLEMENT_RECOMMENDED,Existing owner remains too broad for the listed workflow details; implementation may proceed with unclear acceptance and evidence criteria.,Supplement must not create a competing PIA owner or override inherited canon/permission/retention rules.,"Whether to approve a supplement, successor version, or formal deferral for this bounded scope.",ES-FEAT-CARE-001;ES-FEAT-CARE-002;ES-FEAT-CARE-003;ES-FEAT-CARE-004;ES-FEAT-CARE-005;ES-FEAT-CARE-006;ES-FEAT-CARE-007;ES-FEAT-CARE-008;ES-FEAT-CARE-009;ES-FEAT-CARE-010;ES-FEAT-CARE-011;ES-FEAT-CARE-012;ES-FEAT-CARE-013;ES-FEAT-CARE-014;ES-FEAT-CARE-015;ES-FEAT-CARE-016;ES-FEAT-CARE-017;ES-FEAT-CARE-018,SUPPLEMENT_EXISTING_PIA,YES
DOC-SUP-PIA-07-INVENTORY-ASSETS,SUPPLEMENT_EXISTING_PIA,9,NOT_A_NEW_PIA,Bounded supplement to PIA-07;PIA-02,"Inventory, equipment, supply, and asset records",Barn Manager;Staff;Trainer;Facility Owner;Veterinarian;Farrier,"feed, medication supply, equipment, tack, lot, expiration, vendor, usage, waste",Inherit parent PIA lifecycle; add workflow-specific states listed by feature rows.,PIA-03 permission/authorization; records/audit/retention; domain-specific handoff contracts required where listed,NOT_APPLICABLE_EXISTING_PIA_OWNER_IDENTIFIED,NOT_APPLICABLE_SUPPLEMENT_RECOMMENDED,Existing owner remains too broad for the listed workflow details; implementation may proceed with unclear acceptance and evidence criteria.,Supplement must not create a competing PIA owner or override inherited canon/permission/retention rules.,"Whether to approve a supplement, successor version, or formal deferral for this bounded scope.",ES-FEAT-INVENTORY-001;ES-FEAT-INVENTORY-002;ES-FEAT-INVENTORY-003;ES-FEAT-INVENTORY-004;ES-FEAT-INVENTORY-005;ES-FEAT-INVENTORY-006;ES-FEAT-INVENTORY-007;ES-FEAT-INVENTORY-008;ES-FEAT-INVENTORY-009;ES-FEAT-INVENTORY-010;ES-FEAT-INVENTORY-011;ES-FEAT-INVENTORY-012;ES-FEAT-INVENTORY-013,SUPPLEMENT_EXISTING_PIA,YES
DOC-SUP-PIA-08-EVENTS-TRAVEL,SUPPLEMENT_EXISTING_PIA,10,NOT_A_NEW_PIA,Bounded supplement to PIA-08;PIA-06;PIA-03,"Event, travel, transport, and approval records",Trainer;Rider;Guardian;Owner;Barn Manager;Staff;Transporter,"event, entry, ride time, itinerary, transport, lodging, guardian approval, location share",Inherit parent PIA lifecycle; add workflow-specific states listed by feature rows.,PIA-03 permission/authorization; records/audit/retention; domain-specific handoff contracts required where listed,NOT_APPLICABLE_EXISTING_PIA_OWNER_IDENTIFIED,NOT_APPLICABLE_SUPPLEMENT_RECOMMENDED,Existing owner remains too broad for the listed workflow details; implementation may proceed with unclear acceptance and evidence criteria.,Supplement must not create a competing PIA owner or override inherited canon/permission/retention rules.,"Whether to approve a supplement, successor version, or formal deferral for this bounded scope.",ES-FEAT-EVENTS-001;ES-FEAT-EVENTS-002;ES-FEAT-EVENTS-003;ES-FEAT-EVENTS-004;ES-FEAT-EVENTS-005;ES-FEAT-EVENTS-006;ES-FEAT-EVENTS-007;ES-FEAT-EVENTS-008;ES-FEAT-EVENTS-009;ES-FEAT-EVENTS-010;ES-FEAT-EVENTS-011;ES-FEAT-EVENTS-012;ES-FEAT-EVENTS-013;ES-FEAT-EVENTS-014,SUPPLEMENT_EXISTING_PIA,YES
