artifact_id,document_id,artifact_name,artifact_class,dependent_positions,lifecycle_status,founder_approval_status,implementation_authority,notes
PIA-ART-001,ES-PIA-MASTER-STANDARD-V1.1,PIA Master Standard V1.1,CONTROLLING_PIA_STANDARD,NONE,FOUNDER_APPROVED_ADOPTED_AND_EFFECTIVE,FOUNDER_APPROVED_ADOPTED_AND_EFFECTIVE,FALSE,Controlling substantive bytes; separate adoption record controls lifecycle.
PIA-ART-002,ES-PIA-MASTER-STANDARD-V1.1-ADOPTION,Founder adoption record for PIA Master Standard V1.1,CONTROLLING_PIA_STANDARD,NONE,FOUNDER_APPROVED_ADOPTED_AND_EFFECTIVE,FOUNDER_APPROVED_ADOPTED_AND_EFFECTIVE,FALSE,
PIA-ART-003,ES-REM-2026-001-PIA-STANDARD-INGESTION,PIA Master Standard V1.1 ingestion record,CONTROLLING_PIA_STANDARD,NONE,RESOLVED_EXACT_BYTES_VERIFIED_AND_INGESTED,NO_APPROVAL_EFFECT,FALSE,
PIA-ART-004,ES-PIA-MASTER-STANDARD-V1.0,PIA Master Standard V1.0 predecessor,HISTORICAL_SUPERSEDED,NONE,SUPERSEDED,NOT_CONTROLLING,FALSE,
PIA-ART-005,PIA-FRAMEWORK-SUPPLEMENTARY-ADOPTION,Supplementary PIA framework adoption record,CONTROLLING_PIA_STANDARD,NONE,FOUNDER_APPROVED_SUPPLEMENTARY,FOUNDER_APPROVED,FALSE,
PIA-ART-024,ES-PIA-IDENTITY-RELATIONSHIPS-REVIEW-HANDOFF,Identity and Relationships controlled review handoff,PIA_HANDOFF_PACKAGE,01;03,PRESERVED_FROZEN_INPUT,NO_APPROVAL_EFFECT,FALSE,
PIA-ART-025,ES-REV-2026-002,Identity and Relationships controlled review result,CROSS_PIA_REVIEW_PACKAGE,01;03,BOUNDED_REMEDIATION_REQUIRED,NO_APPROVAL_EFFECT,FALSE,
PIA-ART-026,ES-REM-2026-001,Identity and Relationships bounded remediation,CROSS_PIA_REMEDIATION_PACKAGE,01;03,PACKAGE_COMPLETE_PENDING_FRESH_SEGREGATED_REVIEW,NOT_FOUNDER_APPROVED,FALSE,
PIA-ART-027,ES-PKG-2026-004-V003-CANDIDATE-009,Stage 2A Candidate 009,MIAP_CROSS_CUTTING_PROFILE,01;02;03;04;05;06;07;08;09;10,F0001_OPEN_CLOSURE_NOT_AUTHORIZED,NO_APPROVAL_EFFECT,FALSE,
PIA-ART-028,FORA-CONFIG-V1.0.0,Founder review agent configuration package,ASSURANCE_TOOLING,NONE,INSTALLED_OR_CONFIGURED_NOT_A_PIA,NO_APPROVAL_EFFECT,FALSE,
