evidence_id,area,claim_classification,evidence_strength,locator,sha256_or_value,observation
FSR-BLOCK-EVID-001,PERMISSION_CONTROL,DETERMINISTICALLY_VERIFIED,E5,git:a17b82a3896193e355d77e930e300cfd43565409:AGENTS.md,c5cdc19b2b23ce4d52ea52898c40e82c76ec90834e746b58fd671f5b5dc426ff,Formal reviews prohibit unrestricted danger-full-access operation absent express documented Founder exception.
FSR-BLOCK-EVID-002,PERMISSION_CONTROL,DETERMINISTICALLY_VERIFIED,E5,git:a17b82a3896193e355d77e930e300cfd43565409:governance/founder_orchestrated_review/RUNTIME_PERMISSION_CONTROL.md,8ab99a6a2440e4205ec46187e553cd58c42d55e2e650b26ed1a4935989086a06,ES-RA-02 requires read-only/on-request and a PASS pre-spawn record; current effective mode is a stop condition.
FSR-BLOCK-EVID-003,COMMON_CONTRACT,DETERMINISTICALLY_VERIFIED,E5,git:a17b82a3896193e355d77e930e300cfd43565409:governance/founder_orchestrated_review/agent_config/V1.0.0/shared/COMMON_AGENT_OPERATING_CONTRACT.md,bf10bcfb383a025af5d22475575ca919ddf7aef126c47f0f062f6ead33d6002c,Continuation that would create misleading assurance is a mandatory stop condition.
FSR-BLOCK-EVID-004,ROLE_CONTROL,DETERMINISTICALLY_VERIFIED,E5,git:a17b82a3896193e355d77e930e300cfd43565409:governance/founder_orchestrated_review/agent_config/V1.0.0/prompts/ES-RA-02_SEGREGATED_REVIEW_AGENT.md,3dcb1e3403a23a887664a4dbb103ee517fcc319bb3df3e000cdb47196f73e419,The registered reviewer is read-only and returns reports to the parent; it does not write the frozen candidate.
FSR-BLOCK-EVID-005,FOUNDER_AUTHORIZATION,DIRECTLY_OBSERVED,E4,source_evidence/FOUNDER_DECISION_INCORPORATION_DIRECTIVE.md,8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Directive authorizes a fresh review but contains no runtime exception with the mandatory role/environment/duration/cleanup/revalidation fields.
FSR-BLOCK-EVID-006,MODE_RECORD,DIRECTLY_OBSERVED,E4,PERMISSION_CONTROL_FAILURE_RECORD.json,FAIL,Actual unrestricted danger-full-access/never conflicts with required read-only/on-request; no exception reference exists.
FSR-BLOCK-EVID-007,PACKAGE_IDENTITY,DETERMINISTICALLY_VERIFIED,E5,git:a17b82a3896193e355d77e930e300cfd43565409,commit=a17b82a3896193e355d77e930e300cfd43565409;parent=b604bf2a4679457e533cc02af33563f51a88bca2,Remediated frozen candidate is uniquely identified and remains the required future review input.
FSR-BLOCK-EVID-008,FIRST_DIAGNOSTIC_REVIEW,REPORTED_BUT_NOT_VERIFIED,E1,review_evidence/first_fresh_review/FRESH_SEGREGATED_REVIEW_REPORT.md,95991dc66031f6c9cd85cd7e7869a967322184f8a2e75718637903c9aed2a112,Diagnostic report is preserved but invalidated as formal assurance by the missing permission check and mode mismatch.
FSR-BLOCK-EVID-009,REMEDIATION,INTERNALLY_CHECKED,E2,FIRST_FRESH_REVIEW_REMEDIATION_REGISTER.csv,five_rows,Four P1 and one P2 diagnostic findings have author remediation but require valid fresh verification.
FSR-BLOCK-EVID-010,FROZEN_INTEGRITY,DETERMINISTICALLY_VERIFIED,E4,FROZEN_REVISED_CANDIDATE_SHA256SUMS.txt,72/72_AUTHOR_CHECK_PASS,Recorded frozen checksums pass and freeze script reports no gaps; formal reviewer reperformance remains blocked.
FSR-BLOCK-EVID-011,REVIEW_DENOMINATOR,UNKNOWN,E0,FRESH_SEGREGATED_REVIEW_REPORT.md,15/15_BLOCKED,No substantive area may be marked reviewed under the failed permission gate.
