finding_id,source,documentary_gap,severity,disposition,affected_files,unresolved_id,independent_review_claim
RAP-DOC-FND-001,V0.1_OPEN_ISSUE_RAP-ISS-002,"Detailed relationship authorization permission acceptance test and evidence registers absent",P1,RESOLVED_IN_V0_2_DOCUMENTARY_CANDIDATE,"REQUIREMENT_REGISTER.csv; RELATIONSHIP_TYPE_REGISTER.csv; REPRESENTATION_AND_DELEGATION_REGISTER.csv; AUTHORIZATION_INPUT_REGISTER.csv; PERMISSION_MATRIX.csv; ACCEPTANCE_CRITERIA.csv; TEST_MATRIX.csv; AUDIT_AND_EVIDENCE_REQUIREMENTS.csv",NONE,FALSE
RAP-DOC-FND-002,V0.1_OPEN_ISSUE_RAP-ISS-003,"Provider network allocation unresolved",P0,RESOLVED_BY_FOUNDER_APPROVED_DOCUMENTARY_ALLOCATION,"PROVIDER_RELATIONSHIP_AND_AUTHORITY_CONTRACT.md; FOUNDER_DECISION_TRACEABILITY_MATRIX.csv; primary draft",NONE,FALSE
RAP-DOC-FND-003,V0.1_OPEN_ISSUE_RAP-ISS-004,"Qualified review runtime not available",P0,RETAINED_OPEN_POLICY_SELECTED_RUNTIME_NOT_PROVISIONED,"UNRESOLVED_ITEMS_REGISTER.csv; VALIDATION_REPORT.md; primary draft",RAP-UNR-002,FALSE
RAP-DOC-FND-004,V0.1_OPEN_ISSUE_RAP-ISS-005,"Numeric quality and operational targets absent",P1,RETAINED_OPEN_DEFERRED_TO_IMPLEMENTATION_ATLAS,"UNRESOLVED_ITEMS_REGISTER.csv; primary draft",RAP-UNR-004,FALSE
RAP-DOC-FND-005,V0.1_OPEN_ISSUE_RAP-ISS-006,"Emergency policy incomplete",P0,RETAINED_OPEN_TBD_SOURCE_VERIFICATION,"UNRESOLVED_ITEMS_REGISTER.csv; PERMISSION_MATRIX.csv; primary draft",RAP-UNR-005,FALSE
RAP-DOC-FND-006,V0.1_OPEN_ISSUE_RAP-ISS-007,"Jurisdiction-specific capacity and legal boundaries unresolved",P0,RETAINED_OPEN_TBD_SOURCE_VERIFICATION,"UNRESOLVED_ITEMS_REGISTER.csv; PRIVACY_SAFEGUARDING_RECORDS_CLAIMS_CROSSWALK.csv; primary draft",RAP-UNR-006,FALSE
RAP-DOC-FND-007,V0.1_OPEN_ISSUE_RAP-ISS-008,"Implementation and operational evidence absent",P0,RETAINED_OPEN_DEFERRED_TO_IMPLEMENTATION_ATLAS,"UNRESOLVED_ITEMS_REGISTER.csv; primary draft",RAP-UNR-007,FALSE
RAP-DOC-FND-008,DIRECTIVE_2026_07_22,"Provider connection/profile/API/appointment/payment/portal states require explicit non-authority rules",P0,RESOLVED_IN_V0_2_DOCUMENTARY_CANDIDATE,"PROVIDER_RELATIONSHIP_AND_AUTHORITY_CONTRACT.md; PERMISSION_MATRIX.csv; ACCEPTANCE_CRITERIA.csv; TEST_MATRIX.csv",NONE,FALSE
RAP-DOC-FND-009,DIRECTIVE_2026_07_22,"Cross-PIA contracts for Items 02 04 06 07 08 09 and 10 require explicit treatment",P1,PARTIALLY_RESOLVED_DOCUMENTED_PENDING_OWNING_DOMAIN_CONCURRENCE,"REQUIREMENT_REGISTER.csv; REVISED_TRACEABILITY_MATRIX.csv; primary draft",RAP-UNR-003,FALSE
RAP-DOC-FND-010,DIRECTIVE_2026_07_22,"Separate V0.2 manifest checksum and deterministic validation evidence required",P1,RESOLVED_MECHANICALLY_NOT_INDEPENDENT_REVIEW,"ARTIFACT_MANIFEST.json; CHECKSUM_LEDGER.sha256; VALIDATION_REPORT.md",NONE,FALSE
