review_label,evidence_label,generated_at_utc,thread_id,thread_provenance,runtime_provenance,work_item,required_count,completed_count,status,evidence_links,limitations,self_audit,completion_attestation,output_hash_reference
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","2026-07-20T19:48:01Z","CMT-07","Generic controlled Codex thread; no ES-RA identity or activation claimed","Documentary-only static review","Controlling lane prompt read completely","1","1","COMPLETE","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/EquineSync-V4-controlled-review/governance/founder_orchestrated_review/temporary_non_agent_fallback/FORA-NONAGENT-FALLBACK-2026-001/reviews/ES-REV-2026-002/lane_prompts/CMT-07_PROMPT.md:1","None for prompt intake","13 lines/1849 bytes read; identity boundary and prohibitions preserved","DOCUMENTARY_LANE_SCOPE_COMPLETE_NOT_IMPLEMENTATION_OR_AUTHORIZATION_EVIDENCE","See OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","2026-07-20T19:48:01Z","CMT-07","Generic controlled Codex thread; no ES-RA identity or activation claimed","Documentary-only static review","Frozen-input boundary honored","1","1","COMPLETE","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials","No source outside the controlling prompt and frozen review_materials was used as review evidence","No network; no Git modification; no other lane output read","DOCUMENTARY_LANE_SCOPE_COMPLETE_NOT_IMPLEMENTATION_OR_AUTHORIZATION_EVIDENCE","See OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","2026-07-20T19:48:01Z","CMT-07","Generic controlled Codex thread; no ES-RA identity or activation claimed","Documentary-only static review","Identity denominator paths","7","7","COMPLETE","IDENTITY_GOLDEN_PATH_RESULTS.csv","Four prompt-denominator paths are not standalone entries in the frozen Identity GOLDEN_PATHS.md and were reconstructed from PIA/ADR/register/contract evidence","Every required scenario has one row; no duplicates; all eight trace dimensions populated","DOCUMENTARY_LANE_SCOPE_COMPLETE_NOT_IMPLEMENTATION_OR_AUTHORIZATION_EVIDENCE","See OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","2026-07-20T19:48:01Z","CMT-07","Generic controlled Codex thread; no ES-RA identity or activation claimed","Documentary-only static review","Relationships denominator paths","6","6","COMPLETE","RELATIONSHIPS_GOLDEN_PATH_RESULTS.csv","REL-GP-006 naming differs across frozen packages; the controlling prompt's offline delegation plus revocation denominator was used","Every required scenario has one row; no duplicates; all eight trace dimensions populated","DOCUMENTARY_LANE_SCOPE_COMPLETE_NOT_IMPLEMENTATION_OR_AUTHORIZATION_EVIDENCE","See OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","2026-07-20T19:48:01Z","CMT-07","Generic controlled Codex thread; no ES-RA identity or activation claimed","Documentary-only static review","Required trace dimensions across 13 paths","104","104","COMPLETE","IDENTITY_GOLDEN_PATH_RESULTS.csv;RELATIONSHIPS_GOLDEN_PATH_RESULTS.csv","Trace completeness is documentary presence/coherence, not implementation or test coverage","PIA, ADR, contracts, states, controls, failure behavior, audit and explicit authorization boundary are populated for all 13 rows","DOCUMENTARY_LANE_SCOPE_COMPLETE_NOT_IMPLEMENTATION_OR_AUTHORIZATION_EVIDENCE","See OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","2026-07-20T19:48:01Z","CMT-07","Generic controlled Codex thread; no ES-RA identity or activation claimed","Documentary-only static review","Identity PIA and golden-path source review","2","2","COMPLETE","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/PIA_IDENTITY_ACCOUNT_ACTOR_ENROLLMENT_ONBOARDING_V1_1_0.md:1; /Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/GOLDEN_PATHS.md:1","PIA is design-not-implementation-authorized and names only five package golden paths","Main PIA read end-to-end; golden paths read completely; status and non-authority retained","DOCUMENTARY_LANE_SCOPE_COMPLETE_NOT_IMPLEMENTATION_OR_AUTHORIZATION_EVIDENCE","See OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","2026-07-20T19:48:01Z","CMT-07","Generic controlled Codex thread; no ES-RA identity or activation claimed","Documentary-only static review","Identity formal ADR review","7","7","COMPLETE","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FORMAL_ADR_REGISTER.csv:1","All formal texts remain pending final ratification and implementation false","All seven ADR decisions, normative rules, boundaries, validation obligations and open parameters reviewed","DOCUMENTARY_LANE_SCOPE_COMPLETE_NOT_IMPLEMENTATION_OR_AUTHORIZATION_EVIDENCE","See OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","2026-07-20T19:48:01Z","CMT-07","Generic controlled Codex thread; no ES-RA identity or activation claimed","Documentary-only static review","Identity contracts/state/control/failure/audit review","8","8","COMPLETE","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/IDENTITY_AUTHORIZATION_CONTRACT.md:1; /Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/STATE_TRANSITION_MATRIX.csv:1","Contracts proposed; declared RecoveryCase/SupportAccessSession and other case-specific transitions are not all present in state CSV","Contracts, state/permission/workflow/requirement/acceptance/test/adversarial registers and PIA failure/audit sections reviewed for relevant rows","DOCUMENTARY_LANE_SCOPE_COMPLETE_NOT_IMPLEMENTATION_OR_AUTHORIZATION_EVIDENCE","See OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","2026-07-20T19:48:01Z","CMT-07","Generic controlled Codex thread; no ES-RA identity or activation claimed","Documentary-only static review","Relationships PIA and golden-path source review","2","2","COMPLETE","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Delegated_Authority_PIA_V1_1_0_Revised_Candidate/PIA_RELATIONSHIPS_DELEGATED_AUTHORITY_V1_1_0.md:1; /Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Delegated_Authority_PIA_V1_1_0_Revised_Candidate/GOLDEN_PATHS.md:1","PIA revised-candidate status; no implementation/enrollment authority; REL-GP-006 source-name drift noted","Main PIA read end-to-end; golden paths read completely; status and non-authority retained","DOCUMENTARY_LANE_SCOPE_COMPLETE_NOT_IMPLEMENTATION_OR_AUTHORIZATION_EVIDENCE","See OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","2026-07-20T19:48:01Z","CMT-07","Generic controlled Codex thread; no ES-RA identity or activation claimed","Documentary-only static review","Relationships formal ADR review","7","7","COMPLETE","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/ADR-REL-001_FORMAL.md:1; /Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/ADR-REL-007_FORMAL.md:1","Founder-approved recommendations do not equal ratified formal wording or implementation authority","All seven decisions and shared boundaries/failure/audit obligations reviewed; formal status/ratification false retained","DOCUMENTARY_LANE_SCOPE_COMPLETE_NOT_IMPLEMENTATION_OR_AUTHORIZATION_EVIDENCE","See OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","2026-07-20T19:48:01Z","CMT-07","Generic controlled Codex thread; no ES-RA identity or activation claimed","Documentary-only static review","Relationships contracts/state/control/failure/audit review","9","9","COMPLETE","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/RELATIONSHIPS_AUTHORIZATION_CONTRACT.md:1; /Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Delegated_Authority_PIA_V1_1_0_Revised_Candidate/STATE_TRANSITION_MATRIX.csv:1","Authorization/Identity contracts proposed; RelationshipProposal local status lacks dedicated state-matrix rows; no executable evidence","Contracts, state/permission/workflow/requirement/acceptance/test/adversarial/scope registers and PIA failure/audit sections reviewed for relevant rows","DOCUMENTARY_LANE_SCOPE_COMPLETE_NOT_IMPLEMENTATION_OR_AUTHORIZATION_EVIDENCE","See OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","2026-07-20T19:48:01Z","CMT-07","Generic controlled Codex thread; no ES-RA identity or activation claimed","Documentary-only static review","Directive classification vocabulary","11","11","COMPLETE","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/WORKFLOW_REGISTER.csv:1; /Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Delegated_Authority_PIA_V1_1_0_Revised_Candidate/WORKFLOW_REGISTER.csv:1","Only classifications applicable to the 13 denominator paths are emitted in result rows","Exact frozen tokens used: REQUIRED_FOR_FIRST_USER_ENROLLMENT, REQUIRED_FOR_GENERAL_PRODUCTION, REQUIRED_BEFORE_PAID_ENROLLMENT; no invented release class","DOCUMENTARY_LANE_SCOPE_COMPLETE_NOT_IMPLEMENTATION_OR_AUTHORIZATION_EVIDENCE","See OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","2026-07-20T19:48:01Z","CMT-07","Generic controlled Codex thread; no ES-RA identity or activation claimed","Documentary-only static review","Severity vocabulary","3","3","COMPLETE","LANE_REPORT.md","No P0 identified; P1 inherited/documentary blockers and P2 consistency strengthening are recorded","Only P0/P1/P2 severity tokens used; no alternate severity scale","DOCUMENTARY_LANE_SCOPE_COMPLETE_NOT_IMPLEMENTATION_OR_AUTHORIZATION_EVIDENCE","See OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","2026-07-20T19:48:01Z","CMT-07","Generic controlled Codex thread; no ES-RA identity or activation claimed","Documentary-only static review","Prohibited actions avoided","10","10","COMPLETE","CMT-07_PROMPT.md","No Founder decision, ratification, implementation, execution, PR, merge, tag, release, deployment or F-0001 closure performed; no runtime/product test","Command log limited to read-only file discovery/search/read/hash/validation plus apply_patch output writes","DOCUMENTARY_LANE_SCOPE_COMPLETE_NOT_IMPLEMENTATION_OR_AUTHORIZATION_EVIDENCE","See OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","2026-07-20T19:48:01Z","CMT-07","Generic controlled Codex thread; no ES-RA identity or activation claimed","Documentary-only static review","Required output files","5","5","COMPLETE","LANE_REPORT.md;IDENTITY_GOLDEN_PATH_RESULTS.csv;RELATIONSHIPS_GOLDEN_PATH_RESULTS.csv;WORK_COMPLETENESS_LEDGER.csv;OUTPUT_MANIFEST.json","Manifest self-hash is intentionally excluded to avoid circular content; four sibling outputs are SHA-256 hashed in the manifest","Exact filenames, labels, provenance, timestamp, evidence locators, limitations, self-audit and bounded completion attestation checked","DOCUMENTARY_LANE_SCOPE_COMPLETE_NOT_IMPLEMENTATION_OR_AUTHORIZATION_EVIDENCE","See OUTPUT_MANIFEST.json"
