field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
domain,domain,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,domain_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
total_source_text_candidates,total source text candidates,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,total_source_text_candidates_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
accepted_normative_requirements,accepted normative requirements,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,accepted_normative_requirements_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
candidate_match_count,candidate match count,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,candidate_match_count_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
candidate_match_rate,candidate match rate,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,candidate_match_rate_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
verified_coverage,verified coverage,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,verified_coverage_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
implementation_candidates_identified,implementation candidates identified,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,implementation_candidates_identified_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
implementations_verified,implementations verified,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,implementations_verified_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
test_candidate_files_located,test candidate files located,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,test_candidate_files_located_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
assertion_level_tests_verified,assertion level tests verified,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,assertion_level_tests_verified_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
tests_executed,tests executed,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,tests_executed_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
tests_passed,tests passed,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,tests_passed_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
runtime_evidence_present,runtime evidence present,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,runtime_evidence_present_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
production_evidence_present,production evidence present,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,production_evidence_present_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
open_candidate_rows,open candidate rows,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,open_candidate_rows_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
metric_limitation,metric limitation,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; enum and relationship checks where implemented,metric_limitation_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
