question_id,decision_id,question,why_needed,recommended_answer,alternatives,gate,status,founder_input
FAC-OQ-001,FAC-FD-001,"What is the authoritative distinction among Facility, Tenant, Organization, Barn, and Business?","Conflation would corrupt isolation, lineage, authority and migration decisions.",Tenant is strict application context; Facility is durable physical place; Organization is entity identity; Barn is an operational context/topology label; Business is an Organization-domain operating identity. None is automatically equivalent to another.,Treat Barn as Facility; treat Tenant as Facility/account; collapse Organization and Business.,REQUIRED_BEFORE_DESIGN_APPROVAL,FOUNDER_DECISION_REQUIRED,
FAC-OQ-002,FAC-FD-002,Is Tenant the strict application data-isolation boundary?,Cross-tenant leakage and unsafe default-primary fallbacks.,Yes. Require an explicit Tenant context for every protected record/action or a documented global classification; missing context fails closed or quarantines.,Tenant is billing only; Barn/Facility is the isolation boundary.,REQUIRED_BEFORE_DESIGN_APPROVAL,FOUNDER_DECISION_REQUIRED,
FAC-OQ-003,FAC-FD-003,"May one Organization control multiple Tenants, and under what evidence?",Real structures may be blocked or blanket authority may be inferred.,"Allow it only through separate typed, dated Tenant-Organization associations plus current action-specific authority; the association itself never proves control authority.",One Organization per Tenant; Organization profile automatically controls linked Tenants.,REQUIRED_BEFORE_DESIGN_APPROVAL,FOUNDER_DECISION_REQUIRED,
FAC-OQ-004,FAC-FD-004,May one physical Facility be associated with multiple Tenants?,Transitions/shared operations can be trapped or tenant isolation can fail.,"Allow explicit time-bounded associations where legitimate, while maintaining separate tenant-scoped records and prohibiting cross-tenant visibility or record cascade.",Exactly one Tenant forever; share the same underlying tenant data across Tenants.,REQUIRED_BEFORE_DESIGN_APPROVAL,FOUNDER_DECISION_REQUIRED,
FAC-OQ-005,FAC-FD-005,What Facility-Area hierarchy is controlling?,False precision or inability to model real sites.,"Use Facility > Area with acyclic parent-area nesting sufficient for site, campus, structure, zone, room, stall, paddock, pasture, asset or hazard; keep labels configurable.",Fixed seven-level hierarchy; flat Facility only.,REQUIRED_BEFORE_DESIGN_APPROVAL,FOUNDER_DECISION_REQUIRED,
FAC-OQ-006,FAC-FD-006,Which Organization types are first-class?,Valid operators may be excluded or semantics become ungoverned.,"Support legal entity, sole proprietor, operating business, nonprofit/rescue, professional practice, service provider/vendor, governmental/educational body and other reviewed type; preserve type provenance and allow multiple non-authorizing types.",Incorporated businesses only; unrestricted free-text type only.,REQUIRED_BEFORE_DESIGN_APPROVAL,FOUNDER_DECISION_REQUIRED,
FAC-OQ-007,FAC-FD-007,"What lifecycle states apply to Facility, Tenant, and Organization?",Unsafe transitions and lost lineage.,"Adopt the candidate state sets in the State Transition Matrix, with closed/decommissioned identities retained and no silent reactivation.",Active/inactive only; hard deletion.,REQUIRED_BEFORE_DESIGN_APPROVAL,FOUNDER_DECISION_REQUIRED,
FAC-OQ-008,FAC-FD-008,"How are transfer, merger, split, closure, suspension, and archival controlled?",Silent authority transfer and evidence corruption.,"Use reviewed effective-dated change sets and lineage events; never cascade people, horses, authority, payments, agreements, private records or evidence.",Mutate identifiers in place; clone or move all dependent records.,REQUIRED_BEFORE_DESIGN_APPROVAL,FOUNDER_DECISION_REQUIRED,
FAC-OQ-009,FAC-FD-009,How is active Tenant/Facility context selected and audited?,Confused-deputy access and stale/wrong-context changes.,"Require active membership, allowed associations, explicit visible user selection and per-consequential-request revalidation; record context-selection and action audit evidence.","Infer from the last visited Barn, role, payment or deep link.",REQUIRED_BEFORE_DESIGN_APPROVAL,FOUNDER_DECISION_REQUIRED,
FAC-OQ-010,FAC-FD-010,Which topology facts may Relationships and Authorization consume?,"Boundary erosion, stale decisions and unauthorized mutation.","Expose stable IDs, typed topology, lifecycle, effective associations and sensitivity/status facts as versioned references; consumers cannot rewrite topology and must own their own decisions.",Expose raw Facility records broadly; let consumers repair topology.,REQUIRED_BEFORE_DESIGN_APPROVAL,FOUNDER_DECISION_REQUIRED,
FAC-OQ-011,FAC-FD-011,Are memberships and staff assignments exclusively Relationship-domain facts?,Contradictory relationship truth and accidental access.,"Yes. Facility PIA may reference them for context but does not create or own membership, employment or staff relationship truth.",Facility owns staff lists as authority; duplicate facts in both domains.,REQUIRED_BEFORE_DESIGN_APPROVAL,FOUNDER_DECISION_REQUIRED,
FAC-OQ-012,FAC-FD-012,What evidence establishes stewardship without treating payment or contact status as authority?,Unauthorized control and fraud.,Use sourced relationship/delegation/ownership/lease/operating assertions plus current Authorization evaluation; payment/contact and Organization verification are supporting claims only.,"Payer, listed contact or verified Organization is steward automatically.",REQUIRED_BEFORE_DESIGN_APPROVAL,FOUNDER_DECISION_REQUIRED,
FAC-OQ-013,FAC-FD-013,"How are providers, vendors, and service Organizations represented?","Impersonation, duplicate identity or overbroad access.","Represent them as Organization identities with typed, dated service associations; individual professionals remain person identities representing an Organization where applicable; neither association grants record access.",Free-text contact only; every provider is a user role with blanket access.,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,FOUNDER_DECISION_REQUIRED,
FAC-OQ-014,FAC-FD-014,"What timezone, locale, and address rules apply?",Operational ambiguity or privacy exposure.,"Store structured postal components plus display text, IANA timezone, BCP47 locale and separately protected geolocation precision with provenance.",Free text only; precise coordinates always visible.,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,FOUNDER_DECISION_REQUIRED,
FAC-OQ-015,FAC-FD-015,"How are duplicates detected, reviewed, and merged?",Wrong-site merge and irreversible loss.,"Quarantine suspected duplicates, compare evidence, then merge through a reviewed reversible change set preserving aliases, provenance, dissent and rollback metadata.",Automatic fuzzy merge; delete one duplicate.,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,FOUNDER_DECISION_REQUIRED,
FAC-OQ-016,FAC-FD-016,What Facility information is publicly discoverable versus Tenant-scoped?,Location/privacy exposure or poor discovery.,"Use a separate opt-in projection initially limited to public name, coarse locality, public contact channel and service summary; exclude exact layout, occupants and sensitive areas.",Publish all profile fields; no public projection.,REQUIRED_BEFORE_ENROLLMENT,FOUNDER_DECISION_REQUIRED,
FAC-OQ-017,FAC-FD-017,What is the minimum first-user Facility/Tenant seed?,Conflation or excessive onboarding.,"Create one Tenant, one Organization record/association, one Facility and one clearly labeled unassigned Area; create no relationship, permission, ownership or payment authority merely from the seed.",Tenant and Barn only; fully prepopulate a complex hierarchy.,REQUIRED_BEFORE_ENROLLMENT,FOUNDER_DECISION_REQUIRED,
FAC-OQ-018,FAC-FD-018,How are ambiguous legacy records quarantined?,Cross-tenant leakage or evidence loss.,"Create provenance-preserving quarantine records with candidate mappings, reason, reviewer and disposition; never assign missing records to primary/default automatically.",Guess primary Tenant/Facility; reject and discard all ambiguous data.,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,FOUNDER_DECISION_REQUIRED,
FAC-OQ-019,FAC-FD-019,What topology behavior is allowed offline?,Stale authority can corrupt canonical topology.,Permit only minimum-authorized expiring reads and context-neutral observations; no consequential topology mutation until online revalidation.,Allow offline create/move/merge; no offline access at all.,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,FOUNDER_DECISION_REQUIRED,
FAC-OQ-020,FAC-FD-020,What happens on Tenant or Facility suspension?,Safety evidence loss or unauthorized continuation.,"Deny ordinary consequential access across all surfaces, preserve emergency/safety evidence capture only through a narrowly controlled path, and require online revalidation for reinstatement.",Total lockout including safety evidence; allow reads/writes unchanged.,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,FOUNDER_DECISION_REQUIRED,
FAC-OQ-021,FAC-FD-021,What support-access model is allowed?,Privacy exposure or inability to resolve incidents.,"Use ticket-bound, reason-coded, time-limited, least-privilege, impersonation-free access with approval and immutable audit.",Standing superuser access; no support access.,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,FOUNDER_DECISION_REQUIRED,
FAC-OQ-022,FAC-FD-022,"What retention rules apply to topology, identity, projection, and evidence records?",Unsupported legal precision or loss of evidence.,"Retain identity/lineage/audit under governed evidence rules, make public projections revocable, and set field-level schedules only after legal and operational review.",One universal duration; hard-delete the entire topology.,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,FOUNDER_DECISION_REQUIRED,
FAC-OQ-023,FAC-FD-023,What capacity and suitability assertions may a first-user Facility or Area display?,Unsafe reliance or poor planning.,"Treat them as dated, sourced assertions with units, confidence and limitations; never as guarantees of safety.",Static unqualified numbers; omit capacity entirely.,REQUIRED_BEFORE_ENROLLMENT,FOUNDER_DECISION_REQUIRED,
