finding_id,prompt_id,severity,finding_type,title,description,evidence_path,affected_source_ids,affected_guides,status,required_action,owner,notes
CGP003-F-0001,CGP-003,P2,SOURCE_CUSTODY,Directory-level PIA custody needs later exact-byte freeze,"PIA item source families are present with manifests/checksums, but CGP-003 did not rerun every nested package parity check for exact guide source freeze.",governance/pia/items,CGSRC-PIA-0001,ES-CG-03;ES-CG-08;ES-CG-09;ES-CG-13,OPEN,Complete exact-byte guide-specific source freeze before any affected guide advances from CHARTERED to DRAFTING; do not rely solely on directory-level source-family designations.,Codex later prompt,Founder CGP-003 disposition: mandatory guide-specific source freeze before CHARTERED-to-DRAFTING.
CGP003-F-0002,CGP-003,P2,IMPLEMENTATION_RECONCILIATION,Current code/test behavior is unmapped to authority,"Current backend, frontend, test, and CI files are evidence only and remain unmapped to source authority or future controls.",backend;frontend;.github/workflows/ci.yml;backend/tests,CGSRC-REPO-0621;CGSRC-TEST-0001,ES-CG-02;ES-CG-10;ES-CG-12;ES-CG-13,SUPERSEDED_BY_CGP004-F-0003_AND_CGP004-GAP-0002,Superseded by CGP-004 current-state feature-surface mapping finding and retained gap; use CGP004-F-0003 and CGP004-GAP-0002 for downstream work.,Codex later prompt,Superseded during CGP-004 pre-merge reconciliation by Founder disposition dated 2026-07-26.
CGP003-F-0003,CGP-003,P2,EXTERNAL_STANDARD,External standard/provider references require later authority decisions,"Referenced standards and providers such as WCAG, JWT, GitHub Actions, RFC 5545, Stripe, DocuSign, MongoDB, and Capacitor are inventoried but not newly adopted.",docs;backend;frontend;.github,CGSRC-EXT-0004;CGSRC-ATLAS-0544,ES-CG-06;ES-CG-07;ES-CG-09;ES-CG-13,OPEN,Keep referenced external standards as supporting only unless a specific standard and version are separately adopted by authorized disposition.,Codex later prompt,Founder CGP-003 disposition closed the open decision but retained guide-specific adoption work where needed.
CGP003-F-0004,CGP-003,P3,SUPERSESSION,Candidate/history/adopted/locked families coexist,Multiple lifecycle stages intentionally remain in repository custody. Downstream guide work must cite controlling source IDs and avoid treating candidates as adopted.,docs/canon,CGSRC-ARCH-0021;CGSRC-GOV-0018,ES-CG-01;ES-CG-13,OPEN,Use source supersession register during source freeze.,Codex later prompt,
CGP003-F-0005,CGP-003,P3,MANIFEST_TREATMENT,Historical manifests are point-in-time evidence,"Historical checksum/manifests may not match current mutable targets. They remain evidence, while current aggregate manifests govern current-state claims.",docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_HISTORICAL_MANIFEST_CLASSIFICATION.md,CGSRC-GOV-0010,ES-CG-01;ES-CG-13,OPEN,Preserve historical manifests and use current manifests for current-state claims.,Codex later prompt,
CGP004-F-0001,CGP-004,P2,SOURCE_FREEZE,Guide-specific exact-byte source freeze still blocks drafting,CGP-004 confirms the CGP-003 Founder decision that every substantive guide must complete exact-byte source freeze before DRAFTING.,governance/implementation/code-guides/source-accession;governance/implementation/code-guides/assessment/CURRENT_CODE_GUIDE_GAP_REGISTER.csv,CGSRC-PIA-0001;CGSRC-PIA-0002;CGSRC-PIA-0003,PROGRAM_WIDE,PARTIALLY_RESOLVED_FOR_WAVE_1_SOURCE_FREEZE,Retain for non-Wave 1 source freezes and for all later adoption or activation readiness; Wave 1 source-freeze prerequisite is satisfied by CGP-005.,Codex later prompt,Retained gap CGP004-GAP-0001. Founder CGP-004 reconciliation preserves this finding as retained downstream work.
CGP004-F-0002,CGP-004,P2,OFFLINE_AUTHORIZATION,Offline and stale authorization model is unresolved,"Local token/draft and mobile/offline readiness evidence exists, but stale authorization, revocation, device loss, and conflict behavior are not yet controlled.",frontend/src/lib/api.js;frontend/src/lib/horseOpsDrafts.js;docs/implementation/WAVE_2_P2_NATIVE_OFFLINE_SYNC,CGSRC-REPO-0622;CGSRC-ARCH-0080;CGSRC-ARCH-0087,ES-CG-06;ES-CG-08;ES-CG-09;ES-CG-13,OPEN,Resolve CGP004-D-0001 before affected guide adoption or activation.,Founder or later authorized guide prompt,Retained gaps CGP004-GAP-0003 and CGP004-GAP-0004. Founder CGP-004 reconciliation preserves this finding as retained downstream work.
CGP004-F-0003,CGP-004,P2,FEATURE_SURFACE_MAPPING,Feature-shell breadth exceeds guide mapping,"Backend and frontend expose broad feature surfaces, some of which are readiness or review-first evidence and not yet mapped to adopted guide authority.",backend;frontend/src/App.js;frontend/src/lib/roleNavigation.js,CGSRC-REPO-0621;CGSRC-REPO-0622,ES-CG-02;ES-CG-08;ES-CG-10;ES-CG-12;ES-CG-13,OPEN,Resolve CGP004-D-0002 and complete repository-to-guide mapping before adoption or activation.,Founder or later authorized guide prompt,Retained gap CGP004-GAP-0002. Founder CGP-004 reconciliation preserves this finding as retained downstream work.
CGP004-F-0004,CGP-004,P2,OPERATIONS_RELIABILITY,Operational ownership and recovery evidence incomplete,"Background loops, provider adapters, mailers, startup jobs, and webhook paths exist, but ownership, alerting, recovery, rollback, and provider disablement evidence remain incomplete.",backend/core/lifespan.py;backend/notifications.py;backend/routes/subscriptions_webhook_handlers.py;backend/mailer.py,CGSRC-REPO-0621;CGSRC-PIA-0009,ES-CG-10;ES-CG-11;ES-CG-12;ES-CG-13,OPEN,Resolve CGP004-D-0003 and create operational evidence expectations before adoption or activation.,Founder or later authorized guide prompt,Retained gaps CGP004-GAP-0005 through CGP004-GAP-0007. Founder CGP-004 reconciliation preserves this finding as retained downstream work.
CGP004-F-0005,CGP-004,P2,SECURITY_PRIVACY_AI_BOUNDARY,Storage and AI activation boundaries remain unresolved,"Storage intent and review-first automation evidence exists, but file scanning/retention/recovery and AI/model-provider activation authority are not established.",backend/storage.py;frontend/src/pages/AiAutomation.jsx;backend/routes/backlog.py,CGSRC-REPO-0621;CGSRC-REPO-0622,ES-CG-06;ES-CG-08;ES-CG-09;ES-CG-11;ES-CG-13,OPEN,Keep AI and storage-provider behaviors non-active until later guide controls and activation dispositions exist.,Founder or later authorized guide prompt,Retained gaps CGP004-GAP-0010 and CGP004-GAP-0011. Founder CGP-004 reconciliation preserves this finding as retained downstream work.
