exclusion_id,guide_id,source_id,title,repository_path,authority_status,source_class,inclusion_category,exclusion_reason,required_later_action,blocks_drafting,blocks_adoption_or_activation
CGP005-EXCL-0001,ES-CG-00,CGSRC-BLOCK-0001,Canon review package: drafting_equine_health_welfare_medical_v1_0,docs/canon/reviews/drafting_equine_health_welfare_medical_v1_0,BLOCKED,BLOCKED_OR_CONDITIONAL,EXCLUDED_BLOCKED,Excluded from controlling/supporting freeze because the source is blocked or conditional.,Resolve or adopt through a later authorized guide-specific prompt before use as controlling authority.,NO,YES
CGP005-EXCL-0002,ES-CG-00,CGSRC-BLOCK-0002,Canon review package: drafting_minor_guardianship_safeguarding_v1_0,docs/canon/reviews/drafting_minor_guardianship_safeguarding_v1_0,BLOCKED,BLOCKED_OR_CONDITIONAL,EXCLUDED_BLOCKED,Excluded from controlling/supporting freeze because the source is blocked or conditional.,Resolve or adopt through a later authorized guide-specific prompt before use as controlling authority.,NO,YES
CGP005-EXCL-0003,ES-CG-00,CGSRC-BLOCK-0003,Canon review package: foundational_gap_closure,docs/canon/reviews/foundational_gap_closure,BLOCKED,BLOCKED_OR_CONDITIONAL,EXCLUDED_BLOCKED,Excluded from controlling/supporting freeze because the source is blocked or conditional.,Resolve or adopt through a later authorized guide-specific prompt before use as controlling authority.,NO,YES
CGP005-EXCL-0004,ES-CG-00,CGSRC-BLOCK-0004,Canon review package: stage0_c0_classification_correction,docs/canon/reviews/stage0_c0_classification_correction,BLOCKED,BLOCKED_OR_CONDITIONAL,EXCLUDED_BLOCKED,Excluded from controlling/supporting freeze because the source is blocked or conditional.,Resolve or adopt through a later authorized guide-specific prompt before use as controlling authority.,NO,YES
CGP005-EXCL-0005,ES-CG-00,CGSRC-PROP-0001,Master Relationship Model Proposed Corrections,docs/canon/MASTER_RELATIONSHIP_MODEL_PROPOSED_CORRECTIONS.md,PROPOSED,PROPOSED_NOT_ADOPTED,EXCLUDED_PROPOSED,Excluded from controlling/supporting freeze because the source is proposed and not adopted.,Resolve or adopt through a later authorized guide-specific prompt before use as controlling authority.,NO,YES
CGP005-EXCL-0006,ES-CG-00,CGSRC-PROP-0002,Master Relationship Model v2.0 Canon Index Proposal,docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_CANON_INDEX_PROPOSAL.md,PROPOSED,PROPOSED_NOT_ADOPTED,EXCLUDED_PROPOSED,Excluded from controlling/supporting freeze because the source is proposed and not adopted.,Resolve or adopt through a later authorized guide-specific prompt before use as controlling authority.,NO,YES
CGP005-EXCL-0007,ES-CG-00,CGSRC-PROP-0003,Master Relationship Model v2.0 Dependency Proposals,docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_DEPENDENCY_PROPOSALS.md,PROPOSED,PROPOSED_NOT_ADOPTED,EXCLUDED_PROPOSED,Excluded from controlling/supporting freeze because the source is proposed and not adopted.,Resolve or adopt through a later authorized guide-specific prompt before use as controlling authority.,NO,YES
CGP005-EXCL-0008,ES-CG-00,CGSRC-PROP-0004,MASTER RELATIONSHIP MODEL - VERSION 2.0 FINAL CANDIDATE,docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_FINAL_CANDIDATE.md,PROPOSED,PROPOSED_NOT_ADOPTED,EXCLUDED_PROPOSED,Excluded from controlling/supporting freeze because the source is proposed and not adopted.,Resolve or adopt through a later authorized guide-specific prompt before use as controlling authority.,NO,YES
CGP005-EXCL-0009,ES-CG-00,CGSRC-PROP-0005,"MASTER AGREEMENT, CONSENT, AND AUTHORIZATION MODEL",docs/canon/candidates/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_0.md,PROPOSED,PROPOSED_NOT_ADOPTED,EXCLUDED_PROPOSED,Excluded from controlling/supporting freeze because the source is proposed and not adopted.,Resolve or adopt through a later authorized guide-specific prompt before use as controlling authority.,NO,YES
CGP005-EXCL-0010,ES-CG-00,CGSRC-PROP-0006,MASTER AUDIT EVENT AND EVIDENCE MODEL,docs/canon/candidates/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_FOUNDER_APPROVED.md,PROPOSED,PROPOSED_NOT_ADOPTED,EXCLUDED_PROPOSED,Excluded from controlling/supporting freeze because the source is proposed and not adopted.,Resolve or adopt through a later authorized guide-specific prompt before use as controlling authority.,NO,YES
