decision_id,question,approved_answer,gate_effect,approval_status,approval_date
HOR-FD-001,Which lifecycle source controls if Version 3.0 and Version 3.1 conflict?,Version 3.0 controls broad architecture; locked Transfer V2.0 controls transfer; V3.1 remains state-qualified until verified adoption/supersession.,Required before implementation authorization.,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-002,"What evidence and authority permit merge, unmerge, or split correction?","Elevated Item 03 authority, multi-source evidence, conflict review, lineage preservation, no access expansion, and reversible downstream reconciliation.",Required before implementation authorization.,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-003,Must a horse record require Facility or Organization creation?,No. Preserve adaptive horse-first onboarding.,Documentary recommendation ready; confirm before adoption.,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-004,What is the default public/marketplace posture?,Private/off by default; separate authorization for minimum projection.,Required before public-surface implementation.,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-005,What location precision applies?,"Purpose-based precision with heightened suppression for theft, dispute, safeguarding, and security risk.",Required before location-surface implementation.,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-006,Which lifecycle axes and compatibility rules are canonical?,Multi-axis versioned vocabulary; no single universal dropdown and no retroactive reinterpretation.,Required before schema/configuration authorization.,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-007,How are external registry facts verified and refreshed?,"Source-qualified claims with issuer, version, date, confidence, expiry, retraction, and reconciliation.",Required before registry automation.,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-008,What breeding/reproductive scope belongs in initial release?,Preserve constitutional data distinctions; defer specialized workflow unless separately prioritized.,Release-scope decision.,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-009,What authority is required for death and memorial publication?,Elevated death-record authority; separate current permission/consent for public memorial.,Required before implementation.,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-010,What former-party history remains visible after transfer?,"Minimum purpose-specific projection under Records, Claims, Privacy, Agreement, and Item 03.",Required before transfer release.,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-011,What numeric service and quality targets apply?,Defer to MIAP and operational governance; do not invent in the PIA.,"Required before Questions 1, 2, and 4 can pass.",FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-012,What emergency custody and movement policy applies?,"Narrow, time-bound, attributable, reviewable authority that cannot become permanent by inertia.",Required before emergency workflow implementation.,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-013,When may an expected foal become an active Horse ID?,At documented live birth or authorized first-known activation; preserve non-live outcomes separately.,Required before breeding/foaling implementation.,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-014,What does revocation of a Passport or export mean after a copy leaves EquineSync?,"Block future platform access and trusted verification; mark the copy expired, superseded, or revoked for future reliance; preserve audit; never claim remote deletion of external copies.",Required before Passport implementation.,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-015,What release slice is permitted for first enrollment?,"Begin with private horse identity/profile and bounded lifecycle; defer public, marketplace, advanced reproductive, cross-tenant convergence, and complex contested-transfer features unless separately approved.",Required before enrollment planning.,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-016,"Is the canonical Horse ID platform-global, tenant-local, or a layered model?","Adopt a layered model: one non-public platform identity key for the real-world horse, tenant-scoped Horse Records and projections, blind cross-tenant matching, no cross-tenant enumeration, and no automatic convergence. The implementation form remains separately gated.","Required before schema, cross-tenant transfer, and duplicate-convergence authorization.",FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
HOR-FD-017,May transfer consequences become effective at different times?,"Yes. Relationship, custody, possession, access, care responsibility, facility assignment, financial context, and case completion must retain separate effective times and reconciliation states.",Required before transfer implementation.,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,2026-07-22
