item_id,requirement,status,governing_source,implementation_evidence,assessment,gap_ids,blocks_execution_readiness
AUTH-001,Governing canon and Atlas,SOURCE_SUPPORTED_NOT_EXECUTED,Authorization Atlas 04,Permission adopted source/lock; Master Atlas,Constitutional decision rules exist; executable Authorization Atlas is incomplete.,S2-GAP-030,True
AUTH-002,Workflow identifier and handoff,PARTIAL_DOCUMENTARY,Authorization Atlas 11,ATL-FND-AUTHZ; W1-RF01; RF1,Authentication-to-authorization handoff is fragmented across dependencies and routes.,S2-GAP-019,True
AUTH-003,Actor and tenant resolution,PARTIAL_IMPLEMENTATION,Authorization Atlas 09;11,core/auth.py; account_context.py; tenancy.py,Current user and tenant helpers exist; authoritative active context is not universally bound.,S2-GAP-019;S2-GAP-020,True
AUTH-004,Role evaluation and permissions,PARTIAL_IMPLEMENTATION,Authorization Atlas 16,permissions.py; ROLE_PERMISSION_MATRIX.md,Capability mapping exists; enforcement is not centralized or universal.,S2-GAP-019,True
AUTH-005,Relationship-derived authority,PARTIAL_IMPLEMENTATION,Authorization Atlas 16,provider_access.py; guardian/horse predicates,Narrow checks exist; canonical relationship/delegation versioning is absent.,S2-GAP-020;S2-GAP-021,True
AUTH-006,"Grants, denials, scopes, resource boundaries",PARTIAL_IMPLEMENTATION,Authorization Atlas 14;16,provider_access.py; tenancy.py; route dependencies,Some explicit filters/denials exist; common decision object and full route coverage are absent.,S2-GAP-019;S2-GAP-020,True
AUTH-007,Facility and horse-record boundaries,PARTIAL_IMPLEMENTATION,Authorization Atlas 16,tenancy.py; horse_ledger.py; provider access,Partial barn/horse scoping exists; complete cross-route enforcement evidence is missing.,S2-GAP-020,True
AUTH-008,"Guardian, staff, trainer, provider authority",PARTIAL_IMPLEMENTATION,Authorization Atlas 16,student_guardians.py; roles; provider_access.py,Authority is fragmented and role/relationship semantics are not canonically separated.,S2-GAP-020;S2-GAP-021;S2-GAP-031,True
AUTH-009,Delegated and temporary authority,DOCUMENTED_NOT_IMPLEMENTED,Authorization Atlas 09-10;16,Permission/Relationship canons; W1 permission gap matrix,"No bounded purpose/task/time delegation model, expiry, or redelegation guard exists.",S2-GAP-021,True
AUTH-010,Revocation and stale authority,PARTIAL_IMPLEMENTATION,Authorization Atlas 10;19,user suspension; refresh revocation; provider active status,No universal authority version/watermark or offline invalidation contract exists.,S2-GAP-022,True
AUTH-011,Step-up and protected actions,DOCUMENTED_NOT_IMPLEMENTED,Authorization Atlas 16;18,Identity/Permission canons,Protected-action step-up is required but not implemented.,S2-GAP-019,True
AUTH-012,Default deny and conflict resolution,PARTIAL_IMPLEMENTATION,Authorization Atlas 16;26,permissions.py; route guards,Some deny behavior exists; unknown/conflicting authority is not governed by a centralized fail-closed engine.,S2-GAP-019;S2-GAP-024,True
AUTH-013,Audit events and evidence preservation,PARTIAL_IMPLEMENTATION,Authorization Atlas 15;18,core/audit.py; test_audit_service.py,Generic audit explicitly fails open and lacks tamper-evident protected-decision evidence.,S2-GAP-023,True
AUTH-014,Decision explanation and policy versioning,DOCUMENTED_NOT_IMPLEMENTED,Authorization Atlas 15-16,Permission canon; W1 audit assessment,Required inputs/decision/reason/policy version are not consistently emitted.,S2-GAP-024,True
AUTH-015,Unauthorized and cross-tenant tests,PARTIAL_STATIC_TESTS,Authorization Atlas 27,test_permissions.py; test_tenancy.py; test_4e_isolation_core.py,Partial static tests exist; universal route/resource matrix is missing.,S2-GAP-024,True
AUTH-016,"Stale-role, revoked-access, privilege-escalation tests",PARTIAL_STATIC_TESTS,Authorization Atlas 27,W1 authorization/security matrices; scattered tests,Requirements are documented but complete executable coverage is absent.,S2-GAP-022;S2-GAP-024,True
AUTH-017,"Commands, fixtures, oracles, CP-3",UNKNOWN_BLOCKING,Authorization Atlas 27-29,RF1 narrow command; candidate CP3,Narrow RF1 proof exists; complete authorization command and oracle corpus is absent.,S2-GAP-001;S2-GAP-010;S2-GAP-024,True
AUTH-018,"Cleanup, rollback, evidence",DOCUMENTED_NOT_IMPLEMENTED,Authorization Atlas 26-29,successor plans; W1 rollback baseline,No authorization-specific executable cleanup/rollback/evidence process exists.,S2-GAP-006;S2-GAP-007;S2-GAP-008,True
