guide_id,guide_title,wave,stage,stage_name,coverage_status,evidence_location_class,current_tracker_maturity,adoption_state,accession_state,activation_state,status_preservation
ES-CG-00,Code Guide Charter,1,0,Program intake,PARTIAL,PROTECTED_CANONICAL_EVIDENCE_LOCATED,SOURCE_FROZEN,NOT_ADOPTED,NOT_ACCESSIONED,NOT_ACTIVE,NO_STATUS_ADVANCEMENT
ES-CG-00,Code Guide Charter,1,1,Drafting charter,PARTIAL,PROTECTED_CANONICAL_EVIDENCE_LOCATED,SOURCE_FROZEN,NOT_ADOPTED,NOT_ACCESSIONED,NOT_ACTIVE,NO_STATUS_ADVANCEMENT
ES-CG-00,Code Guide Charter,1,2,Source accession and freeze,PARTIAL,PROTECTED_CANONICAL_EVIDENCE_LOCATED,SOURCE_FROZEN,NOT_ADOPTED,NOT_ACCESSIONED,NOT_ACTIVE,NO_STATUS_ADVANCEMENT
ES-CG-00,Code Guide Charter,1,3,Current-state assessment,NOT_COMPLETE,PLANNED_FUTURE_EVIDENCE,SOURCE_FROZEN,NOT_ADOPTED,NOT_ACCESSIONED,NOT_ACTIVE,NO_STATUS_ADVANCEMENT
ES-CG-00,Code Guide Charter,1,4,Mandatory-question matrix,NOT_COMPLETE,PLANNED_FUTURE_EVIDENCE,SOURCE_FROZEN,NOT_ADOPTED,NOT_ACCESSIONED,NOT_ACTIVE,NO_STATUS_ADVANCEMENT
ES-CG-00,Code Guide Charter,1,5,Product outcomes and invariants,NOT_COMPLETE,PLANNED_FUTURE_EVIDENCE,SOURCE_FROZEN,NOT_ADOPTED,NOT_ACCESSIONED,NOT_ACTIVE,NO_STATUS_ADVANCEMENT
ES-CG-00,Code Guide Charter,1,6,Risk misuse abuse and failure analysis,NOT_COMPLETE,PLANNED_FUTURE_EVIDENCE,SOURCE_FROZEN,NOT_ADOPTED,NOT_ACCESSIONED,NOT_ACTIVE,NO_STATUS_ADVANCEMENT
ES-CG-00,Code Guide Charter,1,7,Draft controls and patterns,NOT_COMPLETE,PLANNED_FUTURE_EVIDENCE,SOURCE_FROZEN,NOT_ADOPTED,NOT_ACCESSIONED,NOT_ACTIVE,NO_STATUS_ADVANCEMENT
ES-CG-00,Code Guide Charter,1,8,Quality and usability requirements,NOT_COMPLETE,PLANNED_FUTURE_EVIDENCE,SOURCE_FROZEN,NOT_ADOPTED,NOT_ACCESSIONED,NOT_ACTIVE,NO_STATUS_ADVANCEMENT
ES-CG-00,Code Guide Charter,1,9,Verification design,NOT_COMPLETE,PLANNED_FUTURE_EVIDENCE,SOURCE_FROZEN,NOT_ADOPTED,NOT_ACCESSIONED,NOT_ACTIVE,NO_STATUS_ADVANCEMENT
