feature_id,parent_feature_id,feature_name,product_domain,stable_id_basis,historical_or_repository_mapping,status
ES-FEAT-PLATFORM-000,ROOT,Platform and shell,Platform and shell,DOMAIN_PARENT_FROM_DIRECTIVE_SECTION_8,frontend/src/App.js; frontend/src/components/AppShell.jsx; backend/routes/dashboard.py; backend/routes/pulse.py,DOMAIN_PARENT_ONLY_NOT_A_MATRIX_ROW
ES-FEAT-PLATFORM-001,ES-FEAT-PLATFORM-000,application shell,Platform and shell,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/Onboarding.jsx;frontend/src/pages/AdminBillingDashboard.jsx;backend/routes/admin.py;backend/routes/backlog.py;backend/routes/barn_owner_intake.py;backend/routes/guardian_intake.py;backend/routes/manager_intake.py,MATRIX_ROW
ES-FEAT-PLATFORM-002,ES-FEAT-PLATFORM-000,role-aware navigation,Platform and shell,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/RoleHome.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/Onboarding.jsx;frontend/src/features/dashboards/DashboardResolver.jsx;backend/routes/admin.py;backend/routes/admin_billing.py;backend/routes/backlog.py;backend/routes/barn_owner_intake.py;backend/routes/barns.py,MATRIX_ROW
ES-FEAT-PLATFORM-003,ES-FEAT-PLATFORM-000,operating centers,Platform and shell,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/features/dashboards/ServiceProviderDashboard.jsx;frontend/src/features/dashboards/TrainerDashboard.jsx;frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/Onboarding.jsx;backend/routes/trainer_operating_center.py;backend/routes/admin.py;backend/routes/admin_billing.py;backend/routes/backlog.py;backend/routes/barn_owner_intake.py,MATRIX_ROW
ES-FEAT-PLATFORM-004,ES-FEAT-PLATFORM-000,search,Platform and shell,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/AcceptInvite.jsx;frontend/src/pages/EmergencyContacts.jsx;frontend/src/pages/Enrollment.jsx;frontend/src/pages/Equipment.jsx;backend/routes/admin_billing.py;backend/routes/owner_intake.py;backend/routes/admin.py;backend/routes/backlog.py;backend/routes/barn_owner_intake.py,MATRIX_ROW
ES-FEAT-PLATFORM-005,ES-FEAT-PLATFORM-000,context switching,Platform and shell,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/features/dashboards/DashboardResolver.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/features/dashboards/ServiceProviderDashboard.jsx;frontend/src/features/dashboards/TrainerDashboard.jsx;frontend/src/pages/AcceptInvite.jsx;backend/routes/account_context.py;backend/routes/barns.py;backend/routes/pulse.py;backend/routes/admin.py;backend/routes/admin_billing.py,MATRIX_ROW
ES-FEAT-PLATFORM-006,ES-FEAT-PLATFORM-000,dashboard composition,Platform and shell,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/Dashboard.jsx;frontend/src/features/dashboards/DashboardResolver.jsx;frontend/src/features/dashboards/FacilityDashboard.jsx;frontend/src/features/dashboards/GuardianDashboard.jsx;backend/routes/dashboard.py;backend/routes/admin_billing.py;backend/routes/admin.py;backend/routes/backlog.py;backend/routes/barn_owner_intake.py,MATRIX_ROW
ES-FEAT-PLATFORM-007,ES-FEAT-PLATFORM-000,feature discovery,Platform and shell,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/FeatureWorkspace.jsx;frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/AiAutomation.jsx;frontend/src/pages/Competitions.jsx;frontend/src/pages/EmergencyContacts.jsx;backend/routes/backlog.py;backend/routes/admin.py;backend/routes/admin_billing.py;backend/routes/barn_owner_intake.py;backend/routes/barns.py,MATRIX_ROW
ES-FEAT-PLATFORM-008,ES-FEAT-PLATFORM-000,global actions,Platform and shell,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/AuditLog.jsx;frontend/src/pages/Onboarding.jsx;backend/routes/admin.py;backend/routes/admin_billing.py;backend/routes/admin_review.py;backend/routes/backlog.py;backend/routes/barn_owner_intake.py,MATRIX_ROW
ES-FEAT-PLATFORM-009,ES-FEAT-PLATFORM-000,administrative navigation,Platform and shell,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/Onboarding.jsx;frontend/src/pages/AdminBillingDashboard.jsx;backend/routes/admin.py;backend/routes/admin_billing.py;backend/routes/backlog.py;backend/routes/barn_owner_intake.py;backend/routes/barns.py,MATRIX_ROW
ES-FEAT-PLATFORM-010,ES-FEAT-PLATFORM-000,multi-facility context,Platform and shell,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/features/dashboards/FacilityDashboard.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/features/dashboards/ServiceProviderDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/Landing.jsx;backend/routes/account_context.py;backend/routes/barns.py;backend/routes/pulse.py;backend/routes/barn_owner_intake.py;backend/routes/dashboard.py,MATRIX_ROW
ES-FEAT-IDENTITY-000,ROOT,Identity and access,Identity and access,DOMAIN_PARENT_FROM_DIRECTIVE_SECTION_8,backend/routes/auth.py; backend/routes/invites.py; backend/core/auth.py; backend/core/permissions.py,DOMAIN_PARENT_ONLY_NOT_A_MATRIX_ROW
ES-FEAT-IDENTITY-001,ES-FEAT-IDENTITY-000,person identity,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/features/dashboards/GuardianDashboard.jsx;frontend/src/features/dashboards/OwnerDashboard.jsx;frontend/src/features/dashboards/RiderDashboard.jsx;frontend/src/pages/AdminBillingDashboard.jsx;backend/routes/horse_ledger.py;backend/routes/operations.py;backend/routes/admin.py;backend/routes/admin_billing.py;backend/routes/care.py,MATRIX_ROW
ES-FEAT-IDENTITY-002,ES-FEAT-IDENTITY-000,accounts,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/CareLedgerTab.jsx;frontend/src/pages/Forbidden.jsx;frontend/src/pages/Signup.jsx;backend/routes/horse_ledger.py;backend/routes/trainer_operating_center.py;backend/routes/admin.py;backend/routes/admin_billing.py;backend/routes/barn_owner_intake.py,MATRIX_ROW
ES-FEAT-IDENTITY-003,ES-FEAT-IDENTITY-000,authentication,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/CareLedgerTab.jsx;frontend/src/pages/Forbidden.jsx;frontend/src/pages/Signup.jsx;backend/routes/horse_ledger.py;backend/routes/admin.py;backend/routes/admin_billing.py;backend/routes/care.py;backend/routes/horses.py,MATRIX_ROW
ES-FEAT-IDENTITY-004,ES-FEAT-IDENTITY-000,passkeys and MFA,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/CareLedgerTab.jsx;frontend/src/pages/Forbidden.jsx;frontend/src/pages/Signup.jsx;backend/routes/horse_ledger.py;backend/routes/admin.py;backend/routes/admin_billing.py;backend/routes/care.py;backend/routes/horses.py,MATRIX_ROW
ES-FEAT-IDENTITY-005,ES-FEAT-IDENTITY-000,sessions,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/Signup.jsx;frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/CareLedgerTab.jsx;frontend/src/pages/Forbidden.jsx;backend/routes/horse_ledger.py;backend/routes/admin.py;backend/routes/admin_billing.py;backend/routes/care.py;backend/routes/horses.py,MATRIX_ROW
ES-FEAT-IDENTITY-006,ES-FEAT-IDENTITY-000,recovery,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/CareLedgerTab.jsx;frontend/src/pages/Forbidden.jsx;frontend/src/pages/Signup.jsx;backend/routes/horse_ledger.py;backend/routes/admin.py;backend/routes/admin_billing.py;backend/routes/care.py;backend/routes/horses.py,MATRIX_ROW
ES-FEAT-IDENTITY-007,ES-FEAT-IDENTITY-000,invitations,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/CareLedgerTab.jsx;frontend/src/pages/Forbidden.jsx;frontend/src/pages/Signup.jsx;backend/routes/horse_ledger.py;backend/routes/admin.py;backend/routes/admin_billing.py;backend/routes/care.py;backend/routes/horses.py,MATRIX_ROW
ES-FEAT-IDENTITY-008,ES-FEAT-IDENTITY-000,enrollment,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/Enrollment.jsx;frontend/src/pages/Signup.jsx;frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/CareLedgerTab.jsx;backend/routes/horse_ledger.py;backend/routes/admin.py;backend/routes/admin_billing.py;backend/routes/care.py;backend/routes/guardian_intake.py,MATRIX_ROW
ES-FEAT-IDENTITY-009,ES-FEAT-IDENTITY-000,tenant membership,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/CareLedgerTab.jsx;frontend/src/pages/Forbidden.jsx;frontend/src/pages/Settings.jsx;backend/routes/membership.py;backend/routes/admin.py;backend/routes/horse_ledger.py;backend/routes/onboarding.py;backend/routes/trainer_operating_center.py,MATRIX_ROW
ES-FEAT-IDENTITY-010,ES-FEAT-IDENTITY-000,facility membership,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/features/dashboards/FacilityDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/Settings.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/features/dashboards/ServiceProviderDashboard.jsx;backend/routes/membership.py;backend/routes/horse_ledger.py;backend/routes/onboarding.py;backend/routes/trainer_operating_center.py;backend/routes/barn_owner_intake.py,MATRIX_ROW
ES-FEAT-IDENTITY-011,ES-FEAT-IDENTITY-000,roles and capabilities,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/CareLedgerTab.jsx;frontend/src/pages/Forbidden.jsx;frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/ArenaSchedule.jsx;backend/routes/horse_ledger.py;backend/routes/admin_billing.py;backend/routes/onboarding.py;backend/routes/subscription_emails.py;backend/routes/admin.py,MATRIX_ROW
ES-FEAT-IDENTITY-012,ES-FEAT-IDENTITY-000,delegation,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/CareLedgerTab.jsx;frontend/src/pages/Forbidden.jsx;frontend/src/pages/Signup.jsx;backend/routes/horse_ledger.py;backend/routes/admin.py;backend/routes/admin_billing.py;backend/routes/care.py;backend/routes/horses.py,MATRIX_ROW
ES-FEAT-IDENTITY-013,ES-FEAT-IDENTITY-000,support access,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/CareLedgerTab.jsx;frontend/src/pages/Forbidden.jsx;frontend/src/pages/Signup.jsx;backend/routes/horse_ledger.py;backend/routes/admin.py;backend/routes/admin_billing.py;backend/routes/care.py;backend/routes/horses.py,MATRIX_ROW
