record_class,retention_period,archive_location,redaction_rule,checksum_rule,access_control
FCR records,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
certification registers,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
waivers,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
deferrals,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
overrides,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
risk acceptances,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
production authorizations,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
pilot evidence,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
privacy evidence,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
minors and safeguarding records,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
findings,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
closure evidence,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
delegations,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
revocations,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
supersession records,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
source registers,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
validation logs,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
CI artifacts,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
outside reviews,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
Founder directives,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
custody evidence,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
personal-data redaction records,Product life plus 7 years unless stricter duty applies,Repository governance path or controlled evidence archive,Avoid raw personal data; redact by addendum where required,SHA-256 and byte length required when exact bytes are retained,Founder/governance steward or delegated owner
