finding_id,severity,title,exact_evidence,affected_assets_workflows,exploit_or_failure_preconditions,uncertainty,recommended_documentary_containment,required_implementation_authority,test_and_evidence_requirements,suspension_implications,gap_ids,status
CGP006-MAP-FIND-0001,P1_HIGH,Endpoint-level authorization and tenancy proof incomplete,backend/server.py;backend/core/tenancy.py;backend/core/permissions.py;frontend/src/App.js,All API routes and frontend protected routes,A route or query path lacks server-side barn/capability enforcement; exploitability not proven by this audit.,Static scan only; runtime route matrix not executed.,Keep implementation and launch claims suspended pending endpoint matrix.,TRUE,"Route inventory, negative auth tests, cross-barn denial tests.",Suspend any broad authorization-complete claim.,CGP006-MAP-GAP-0002,OPEN
CGP006-MAP-FIND-0002,P1_HIGH,Guardian/minor safeguards are partial across declared workflows,backend/core/minor_safety.py;backend/core/minor_communication.py;backend/routes/student_guardians.py;backend/routes/operations.py;backend/routes/billing.py;backend/routes/recurring_charges.py;backend/tests/test_cgp006_iwp0002_guardian_minor_safeguarding.py,"Minor riders, guardian links, messaging, lesson readiness, waivers, media, payments, event signup","Prior server-side coverage gaps were corrected by PR #71 and post-merge findings were corrected by PR #75; no remaining in-scope High, Medium, P0, P1, or P2 blocker is recorded for CGP006-IWP-0002 closure.","Closed for authorized repository implementation scope only; runtime, staging, pilot, production, provider-call, and deployment evidence were not authorized or performed.","Maintain continuing boundaries: no deployment, staging, pilot, production use, provider call, production data access, GAP_0004 closure, Wave 2, or CGP-007 effect from this closure.",SATISFIED_SCOPE_LIMITED_CGP006_IWP_0002,"Satisfied by 59 focused Guardian/Minor tests, PR #75 corrective tests, package validators, GitHub checks, and resolved PR #71 post-merge threads.",Suspend or reopen only if future evidence shows guardian/minor safeguarding regression in the closed repository scope.,CGP006-MAP-GAP-0003,CLOSED
CGP006-MAP-FIND-0003,P1_HIGH,GAP_0004 cannot be closed on current repository evidence,governance/implementation/code-guides/PROGRAM_STATUS.md;.github/workflows/ci.yml;backend;frontend,All implementation-evidence claims,A governance actor silently treats present code or CI as closure authority.,None as to status; detailed implementation evidence remains future work.,Keep GAP_0004 open and decomposed only.,TRUE,"Authorized implementation evidence, runtime/staging/pilot evidence where applicable.",Suspend any closure claim.,CGP006-MAP-GAP-0004,OPEN
CGP006-MAP-FIND-0004,P1_HIGH,Financial provider runtime evidence absent,backend/routes/subscriptions.py;backend/routes/subscriptions_webhook_handlers.py;backend/routes/membership.py,"Stripe checkout, subscriptions, webhooks, payments, invoices, entitlement mirrors","Provider metadata, webhook replay, or idempotency behavior diverges from repository assumptions; not tested live here.",No provider call or runtime evidence under this directive.,Do not claim billing production readiness from static code.,TRUE,"Provider-safe webhook tests, replay tests, reconciliation evidence.",Suspend production billing claims pending separate evidence.,CGP006-MAP-GAP-0005,OPEN
CGP006-MAP-FIND-0005,P2_MEDIUM,Schema/migration authority is distributed in code and docs,backend/core/lifespan.py;backend/core/db.py;docs/SCHEMA_CHANGE_POLICY.md,"Mongo collections, indexes, backfills, lifecycle startup",Collection shape or index order drifts without centralized migration evidence.,Static scan observed no dedicated migration directory.,Require schema inventory and migration-order evidence before closure.,TRUE,"Migration dry run, rollback plan, collection/index manifest.",Suspend schema-complete claims.,CGP006-MAP-GAP-0004,OPEN
CGP006-MAP-FIND-0006,P2_MEDIUM,Support/platform-admin operational evidence incomplete,backend/core/permissions.py;backend/routes/admin_portal/support.py;backend/routes/admin_portal/audit_logs.py,"Platform admin, support tickets, audit logs, facility management",Support/admin access used without governance or audit review; not proven exploited.,Operational records not accessed.,Require support access operating packet before production support use.,TRUE,"Role assignment custody, audit review evidence, break-glass test.",Suspend support access readiness claims.,CGP006-MAP-GAP-0006,OPEN
CGP006-MAP-FIND-0007,P2_MEDIUM,External provider and assurance tools are not configured by this workstream,EXTERNAL_INTEGRATION_AND_ASSURANCE_TOOLING_INVENTORY.csv,Assurance tools and provider integrations,A future workflow treats references as configured integrations.,Static repository only; no external setup checked.,State no external tool connected/configured.,TRUE,Separate setup receipts and provider/tool evidence.,Suspend independent-review/tooling claims.,CGP006-MAP-GAP-0007,OPEN
CGP006-MAP-FIND-0008,P3_LOW,Local full test/build execution blocked by missing dependencies,frontend/package.json;frontend/package-lock.json;backend/requirements.txt;.github/workflows/ci.yml,Local validation claims,A reviewer treats unrun local suite as passed.,CI may run after PR; local dependency directories absent at audit.,Record blocked status; rely on PR CI for existing suite.,FALSE,Prepared environment or CI run.,Suspend local full-pass claims.,CGP006-MAP-GAP-0008,OPEN
CGP006-MAP-FIND-0009,P2_MEDIUM,Root README lacks repository orientation and public project guidance,README.md:1,"Repository onboarding, setup/test/security/deployment guidance",A reviewer or maintainer relies on absent/placeholder documentation for setup or readiness claims.,Direct root README evidence only; no root README edit authorized.,Keep README remediation as later candidate documentation work; do not edit root README in PR #62 reconciliation.,TRUE,Founder-approved README content and review evidence.,Suspend documentation-complete claims.,CGP006-MAP-GAP-0013,OPEN
CGP006-MAP-FIND-0010,P2_MEDIUM,Repository license policy decision absent,root tree no LICENSE/COPYING file at required PR head,"Distribution, contribution, reuse, legal/policy posture",A downstream actor assumes reuse/contribution terms without Founder/legal policy.,Absence of file verified; distribution intent not inferred.,Record Founder/legal decision need; no license selected or added.,TRUE,Founder/legal license selection or closed-source/private distribution record.,Suspend license/readiness claims.,CGP006-MAP-GAP-0014,OPEN
