Record ID,Layer,Constitutional Family,Exact / Proposed Identifier,Controlling Version,Control Basis,Exact Workspace Source,File Library / Evidence Reference,Repository Path,SHA-256,Source Byte Status,Founder Acceptance,Adoption,Repository Lock,Supersession / Exception,Normalized Lifecycle,Evidence Classification,Unresolved Evidence Class,Required C0 / Later Action,Implementation Authority,Production Authority,Public Claim Authority,Public Launch Authority,Notes
C0-001,L0,Founder Decision Register and Adoption Evidence,EQUINESYNC_FOUNDER_DECISION_REGISTER,V1.1 baseline reported,Controlled-completion authorization; companion review memo,,Governance Companion Artifacts Review Memorandum V1.1/V1.2,UNRESOLVED,,SOURCE_NOT_MOUNTED,AUTHORIZED FOR CONTROLLED COMPLETION,NOT ADOPTED,NOT LOCKED,,CONTROLLED_COMPLETION_SOURCE_REQUIRED,LIFECYCLE_EVIDENCE_ONLY,UE-01 EXACT SOURCE ABSENT,"Locate exact V1.1 register; verify IDs, sources, checksums; import RF31 FD01-FD30 in C1.",FALSE,FALSE,FALSE,FALSE,Seeded register is reported to contain 38 decisions but exact artifact bytes are not present in the active workspace.
C0-002,L0,Controlled Canon Index and Constitutional Completeness Register,EQUINESYNC_CONSTITUTIONAL_CANON_INDEX_AND_NAVIGATOR,V1.1 baseline reported,Companion review memo and founder controlled-completion disposition,,Governance Companion Artifacts Review Memorandum V1.1/V1.2,UNRESOLVED,,SOURCE_NOT_MOUNTED,AUTHORIZED FOR CONTROLLED COMPLETION,NOT ADOPTED,NOT LOCKED,,CONTROLLED_COMPLETION_SOURCE_REQUIRED,LIFECYCLE_EVIDENCE_ONLY,UE-01 EXACT SOURCE ABSENT,"Locate exact canon-index artifact and populate repository paths, source hashes, lifecycle evidence.",FALSE,FALSE,FALSE,FALSE,This C0 register is a source-reconciliation work product and does not replace the required eight-artifact Canon Index.
C0-003,L0,RF Ledgers and Controlled Review Evidence,RF_AND_ATLAS_CONTROLLED_REVIEW_EVIDENCE,Multiple,Program and RF evidence within granted scope,,"RF29, RF30, RF31, Wave and ATLAS records in File Library",UNRESOLVED,,PARTIAL_SOURCE_SET,MIXED / SCOPE-SPECIFIC,MIXED,MIXED,,PROGRAM_EVIDENCE_PARTIALLY_VERIFIED,PARTIAL_EVIDENCE,UE-04 INCOMPLETE EVIDENCE SET,Build complete RF/ATLAS evidence manifest from active repository snapshot.,FALSE,FALSE,FALSE,FALSE,RF31 final decision reconciliation artifact was not located; only a pending founder-review ledger was found.
C0-004,L1,Master Product Vision,MASTER_PRODUCT_VISION_V2_1,V2.1,Founder-approved foundational corpus and newest-version rule,/mnt/data/product_vision_v2_1/MASTER_PRODUCT_VISION_V2_1_SUCCESSOR_CANDIDATE.md,,UNRESOLVED,42f01b4094923d85ab6b7de9c56fc6c084adac4f9b06464554ba2f9e91787953,EXACT_WORKSPACE_SOURCE,YES,UNRESOLVED,UNRESOLVED,Supersedes V2.0 substantively,FOUNDATIONAL_FOUNDER_APPROVED,VERIFIED_WORKSPACE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify active repository path and adoption/lock records.,FALSE,FALSE,FALSE,FALSE,
C0-005,L1,Master Ecosystem Model,MASTER_ECOSYSTEM_MODEL_V2_1,V2.1,Founder-approved foundational corpus and newest-version rule,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Foundational_Canon_Review_Package/MASTER_ECOSYSTEM_MODEL_V2_1_SUCCESSOR_CANDIDATE.md,,UNRESOLVED,5d600fec0bb674b5b9a961628e70453e3bd56083ad53edd19c974216ae18fa9c,EXACT_WORKSPACE_SOURCE,YES,UNRESOLVED,UNRESOLVED,Prior versions preserved,FOUNDATIONAL_FOUNDER_APPROVED,VERIFIED_WORKSPACE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify active repository path and adoption/lock records.,FALSE,FALSE,FALSE,FALSE,
C0-006,L1,Constitutional Domain Ownership and Boundary Register,CONSTITUTIONAL_DOMAIN_OWNERSHIP_AND_BOUNDARY_REGISTER_V1_0,V1.0,Founder-accepted cross-canon reconciliation registry,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Cross_Canon_Reconciliation_Package_V1_0/equinesync_cross_canon_reconciliation/CONSTITUTIONAL_DOMAIN_OWNERSHIP_AND_BOUNDARY_REGISTER_V1_0.md,,UNRESOLVED,feff0d0bda8856c481482956190f93dea8f78754c6f43a4276b5276451ea3536,EXACT_PACKAGE_SOURCE,YES,NOT ESTABLISHED,NOT ESTABLISHED,,FOUNDER_ACCEPTED_SUPPORT_ARTIFACT,VERIFIED_PACKAGE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify repository path and incorporate dedicated safeguarding and equine-health owners.,FALSE,FALSE,FALSE,FALSE,
C0-007,L1,Constitutional Vocabulary and Definitions Index,EQUINESYNC_CONSTITUTIONAL_VOCABULARY_AND_DEFINITIONS_INDEX_V1_1,V1.1,Newest-version rule and media/vocabulary reconciliation,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Media_V2_1_and_Vocabulary_V1_1_Reconciliation_Package/EQUINESYNC_CONSTITUTIONAL_VOCABULARY_AND_DEFINITIONS_INDEX_V1_1.md,,UNRESOLVED,ee88f5e8ba3602ffecd3f15f5acc2d8881e58809645dac6d7038c3b1a4d0d0d0,EXACT_PACKAGE_SOURCE,YES,NOT ESTABLISHED,NOT ESTABLISHED,Supersedes V1.0,FOUNDER_ACCEPTED_SUPPORT_ARTIFACT,VERIFIED_PACKAGE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify repository path; update after C2/C3 dedicated canon drafts.,FALSE,FALSE,FALSE,FALSE,
C0-008,L1,Cross-Canon Reference Normalization Register,CROSS_CANON_REFERENCE_NORMALIZATION_REGISTER_V1_0,V1.0,Founder-accepted cross-canon reconciliation registry,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Cross_Canon_Reconciliation_Package_V1_0/equinesync_cross_canon_reconciliation/CROSS_CANON_REFERENCE_NORMALIZATION_REGISTER_V1_0.md,,UNRESOLVED,b4a58b2071c7dcd216ad811ff8b36ae97e0e73e80e5cbf06e7ffdf4e87cd5bfe,EXACT_PACKAGE_SOURCE,YES,NOT ESTABLISHED,NOT ESTABLISHED,,FOUNDER_ACCEPTED_SUPPORT_ARTIFACT,VERIFIED_PACKAGE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify repository path; add security V1.0 exception and C2/C3 normalized titles.,FALSE,FALSE,FALSE,FALSE,
C0-009,L1,Constitutional Authority Matrix,EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_1,V1.1,Founder-accepted Stage 0 companion reconciliation,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Stage0_Companion_Reconciliation_Package_V1_2/stage0_companion_reconciliation_v1_2/EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_1.md,,UNRESOLVED,1b614fafa17f5841363646e72191883db2bc2b8c5a54a959a6a0bf0f77c018fa,EXACT_PACKAGE_SOURCE,YES,NOT ADOPTED,NOT LOCKED,Supersedes V1.0,FOUNDER_ACCEPTED_SUPPORT_ARTIFACT,VERIFIED_PACKAGE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify repository path; update with C2/C3 authority rows.,FALSE,FALSE,FALSE,FALSE,
C0-010,L1,Constitutional Cross Reference Index,EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_1,V1.1,Founder-accepted Stage 0 companion reconciliation,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Stage0_Companion_Reconciliation_Package_V1_2/stage0_companion_reconciliation_v1_2/EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_1.md,,UNRESOLVED,94badc3b6eeae1dd1d96d8c577a187bbdfe696df4db35e573629581a7856904e,EXACT_PACKAGE_SOURCE,YES,NOT ADOPTED,NOT LOCKED,Supersedes V1.0,FOUNDER_ACCEPTED_SUPPORT_ARTIFACT,VERIFIED_PACKAGE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify repository path; update with C2/C3 reading sets.,FALSE,FALSE,FALSE,FALSE,
