"directive_classification","evidence_classification","ledger_id","work_item","status","evidence_or_method","limitation","completed_at_utc"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-001","Read complete controlling lane prompt","COMPLETE","CMT-05_PROMPT.md read in full; 13 lines","Prompt is instruction provenance, not review evidence","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-002","Preserve frozen input boundary","COMPLETE","Only /work/review_materials used as substantive evidence","No repository or external source comparison","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-003","Inventory frozen materials","COMPLETE","140 files across five packages","Inventory does not itself establish semantic completeness","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-004","Verify package-listed artifact hashes","COMPLETE","130/130 SHA256SUMS entries passed","Each SHA256SUMS and PACKAGE_MANIFEST file is outside its package checksum list","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-005","Validate input JSON syntax","COMPLETE","All JSON inputs parsed with jq","Syntax validation is not schema or semantic validation","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-006","Validate input CSV syntax","COMPLETE","All CSV inputs parsed with Ruby CSV","Syntax validation is not semantic validation","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-007","Test authority inflation","COMPLETE_WITH_FINDING","CMT05-F-001;CMT05-F-006","Documentary review only","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-008","Test identity and relationship merge","COMPLETE_WITH_FINDING","CMT05-F-006; automatic merge prohibitions otherwise present","No implementation inspected","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-009","Test recovery authority","COMPLETE_WITH_FINDING","CMT05-F-002","No recovery flow executed","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-010","Test hidden human actor","COMPLETE_WITH_FINDING","CMT05-F-007","No runtime actor registry inspected","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-011","Test delegation excess","COMPLETE_WITH_FINDING","CMT05-F-001; action, subject, context, purpose, time, and limit controls otherwise present","No authorization engine inspected","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-012","Test delegation cycles","COMPLETE_CONTROL_PRESENT","ADR-REL-003 cycle detection, default depth one, and fail-closed source validation","No executable cycle test run","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-013","Test stale revocation","COMPLETE_CONTROL_PRESENT","Authority watermarks, fan-out targets, cache/session/offline invalidation requirements","No revocation latency or fan-out evidence reviewed","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-014","Test offline risk","COMPLETE_CONTROL_PRESENT","Offline authority remains PENDING_AUTHORITATIVE_VALIDATION and is revalidated online","No device or synchronization behavior executed","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-015","Test guardian inflation","COMPLETE_WITH_FINDING","Payment/contact/account linkage do not create guardian authority; CMT05-F-003 account contradiction remains","No protected-participant implementation inspected","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-016","Test privacy enumeration","COMPLETE_CONTROL_PRESENT","Purpose-specific projections, rate limits, and no unauthorized existence signal","No timing or endpoint test run","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-017","Test universal verification","COMPLETE_WITH_FINDING","CMT05-F-004","No user-interface badge behavior inspected","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-018","Test unsafe migration","COMPLETE_CONTROL_PRESENT","Additive migration, immutable lineage, quarantine, no silent authority conversion, no silent identity merge","No migration executed","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-019","Test MAIP terminology drift","COMPLETE_CONTROL_PRESENT","Exact active-token count MAIP=0","Historical evidence outside frozen inputs not inspected","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-020","Test MIAP terminology drift","COMPLETE_CONTROL_PRESENT_WITH_DEPENDENCY","Exact active-token count MIAP=62; pending exact package registration is openly recorded","No MIAP package outside frozen inputs inspected","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-021","Test first-user traceability completeness","COMPLETE_WITH_FINDING","CMT05-F-005; Identity 24/36 explicitly AC-mapped; Relationships 32/47 explicitly AC-mapped","Only explicit register links counted","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-022","Separate documentary gaps from implementation concerns","COMPLETE","CMT05-F-001 through F-008 are DOCUMENTARY_GAP; CMT05-OOS-001 is IMPLEMENTATION_CONCERN_OUTSIDE_SCOPE","No runtime conclusion made","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-023","Avoid unauthorized actions","COMPLETE","No network, app run, Git mutation, remediation, Founder decision, ratification, PR, merge, tag, release, deployment, or F-0001 closure","Shell used only for read-only inventory, parsing, integrity, and output validation","2026-07-20T19:51:35Z"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT05-WCL-024","Avoid other lane outputs and proposed redlines","COMPLETE","No other lane output or proposed redline inspected","Blindness limited to the directed frozen review set","2026-07-20T19:51:35Z"
