transition_id,from_state,to_state,required_condition,rule_ids
ALC-001,DRAFTING,REVIEW_PENDING,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-002,REVIEW_PENDING,REVIEWED,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-003,REVIEW_PENDING,DRAFTING,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-004,REVIEW_PENDING,REJECTED,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-005,REVIEWED,APPROVED,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-006,REVIEWED,DRAFTING,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-007,APPROVED,ADOPTED,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-008,ADOPTED,LOCKED,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-009,LOCKED,ACCESSION_PENDING,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-010,ACCESSION_PENDING,REPOSITORY_ACCESSIONED,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-011,REPOSITORY_ACCESSIONED,CUSTODY_COMPLETE,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-012,CUSTODY_COMPLETE,ACTIVE,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-013,ACTIVE,SUSPENDED,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-014,ACTIVE,REOPENED,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-015,SUSPENDED,ACTIVE,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-016,SUSPENDED,SUPERSEDED,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-017,SUSPENDED,RETIRED,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-018,REOPENED,RECLOSED,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-019,REOPENED,SUSPENDED,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-020,REOPENED,SUPERSEDED,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-021,REOPENED,RETIRED,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-022,RECLOSED,ACTIVE,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
ALC-023,RECLOSED,REOPENED,"Durable lifecycle record with scope, evidence, authority, limitations, and prohibited claims.","[""ES-GPS-CLASS-001""]"
