term,dimension,definition
DRAFTING,artifact_lifecycle,Controlled artifact_lifecycle value DRAFTING.
REVIEW_PENDING,artifact_lifecycle,Controlled artifact_lifecycle value REVIEW_PENDING.
REVIEWED,artifact_lifecycle,Controlled artifact_lifecycle value REVIEWED.
APPROVED,artifact_lifecycle,Controlled artifact_lifecycle value APPROVED.
ADOPTED,artifact_lifecycle,Controlled artifact_lifecycle value ADOPTED.
LOCKED,artifact_lifecycle,Controlled artifact_lifecycle value LOCKED.
ACCESSION_PENDING,artifact_lifecycle,Controlled artifact_lifecycle value ACCESSION_PENDING.
REPOSITORY_ACCESSIONED,artifact_lifecycle,Controlled artifact_lifecycle value REPOSITORY_ACCESSIONED.
CUSTODY_COMPLETE,artifact_lifecycle,Controlled artifact_lifecycle value CUSTODY_COMPLETE.
ACTIVE,artifact_lifecycle,Controlled artifact_lifecycle value ACTIVE.
SUSPENDED,artifact_lifecycle,Controlled artifact_lifecycle value SUSPENDED.
REOPENED,artifact_lifecycle,Controlled artifact_lifecycle value REOPENED.
RECLOSED,artifact_lifecycle,Controlled artifact_lifecycle value RECLOSED.
SUPERSEDED,artifact_lifecycle,Controlled artifact_lifecycle value SUPERSEDED.
RETIRED,artifact_lifecycle,Controlled artifact_lifecycle value RETIRED.
REJECTED,artifact_lifecycle,Controlled artifact_lifecycle value REJECTED.
IMPLEMENTATION_AUTHORIZED,authority_event_status,Controlled authority_event_status value IMPLEMENTATION_AUTHORIZED.
PILOT_AUTHORIZED,authority_event_status,Controlled authority_event_status value PILOT_AUTHORIZED.
PRODUCTION_AUTHORIZED_NO_EXCEPTIONS,authority_event_status,Controlled authority_event_status value PRODUCTION_AUTHORIZED_NO_EXCEPTIONS.
PRODUCTION_AUTHORIZED_WITH_EXPRESS_EXCEPTIONS,authority_event_status,Controlled authority_event_status value PRODUCTION_AUTHORIZED_WITH_EXPRESS_EXCEPTIONS.
AUTHORIZATION_REVOKED,authority_event_status,Controlled authority_event_status value AUTHORIZATION_REVOKED.
AUTHORIZATION_EXPIRED,authority_event_status,Controlled authority_event_status value AUTHORIZATION_EXPIRED.
ACTIVE,certification_status,Controlled certification_status value ACTIVE.
EXPIRED,certification_status,Controlled certification_status value EXPIRED.
REVOKED,certification_status,Controlled certification_status value REVOKED.
SUSPENDED,certification_status,Controlled certification_status value SUSPENDED.
SUPERSEDED,certification_status,Controlled certification_status value SUPERSEDED.
NARROWED,certification_status,Controlled certification_status value NARROWED.
SATISFIED_BY_EVIDENCE,certification_status,Controlled certification_status value SATISFIED_BY_EVIDENCE.
VERIFIED,evidence_status,Controlled evidence_status value VERIFIED.
NOT_VERIFIED,evidence_status,Controlled evidence_status value NOT_VERIFIED.
WAIVED,evidence_status,Controlled evidence_status value WAIVED.
DEFERRED,evidence_status,Controlled evidence_status value DEFERRED.
SUBSTITUTE_EVIDENCE_ACCEPTED,evidence_status,Controlled evidence_status value SUBSTITUTE_EVIDENCE_ACCEPTED.
UNAVAILABLE,evidence_status,Controlled evidence_status value UNAVAILABLE.
BLOCKED,evidence_status,Controlled evidence_status value BLOCKED.
PENDING,evidence_status,Controlled evidence_status value PENDING.
NOT_READY,readiness_status,Controlled readiness_status value NOT_READY.
READY_FOR_TARGETED_REREVIEW,readiness_status,Controlled readiness_status value READY_FOR_TARGETED_REREVIEW.
PENDING_HUMAN_REVIEW,readiness_status,Controlled readiness_status value PENDING_HUMAN_REVIEW.
PENDING_LEGAL_REVIEW,readiness_status,Controlled readiness_status value PENDING_LEGAL_REVIEW.
BLOCKED_SOURCE_UNAVAILABLE,readiness_status,Controlled readiness_status value BLOCKED_SOURCE_UNAVAILABLE.
BLOCKED,validation_result,Controlled validation_result value BLOCKED.
FAIL,validation_result,Controlled validation_result value FAIL.
NOT_APPLICABLE,validation_result,Controlled validation_result value NOT_APPLICABLE.
NOT_EXECUTED,validation_result,Controlled validation_result value NOT_EXECUTED.
PASS,validation_result,Controlled validation_result value PASS.
PENDING,validation_result,Controlled validation_result value PENDING.
