"adr_id","domain","title","formal_source_classification","founder_decisions","founder_decision_source_classification","recommendation_source_classification","formal_to_approved_recommendation","founder_decision_semantic_conformance","traceability_result","missing_or_excess_authority","severity","lifecycle","claim_classification","evidence_sufficiency","confidence","formal_evidence_link","authority_evidence_links","limitation","generated_at_utc","thread_provenance","control_label_1","control_label_2","output_hash_reference"
"ADR-IDENTITY-001","Identity","Authentication Platform, Provider Boundary, and Portability","DRAFT_CANDIDATE","IDENTITY-FD-002;IDENTITY-FD-008","FOUNDER_DECISION","MISSING_REQUIRED_SOURCE","NOT_VERIFIABLE","PARTIAL","INCOMPLETE","Preserves gateway/provider neutrality and OIDC-PKCE; omits verified-email authentication plus the mapped public-signup pathways and provisional-claim controls. Provider-outage and migration mandates have no standalone approved-recommendation evidence.","P1_BLOCKING","OPEN","SUPPORTED_BY_MULTIPLE_SOURCES","E3","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-001_FORMAL.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv;/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FORMAL_ADR_REGISTER.csv","No standalone approved Identity recommendation artifact exists in the frozen materials.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"ADR-IDENTITY-002","Identity","Passkeys, WebAuthn, and Credential Lifecycle","DRAFT_CANDIDATE","IDENTITY-FD-002;IDENTITY-FD-003","FOUNDER_DECISION","MISSING_REQUIRED_SOURCE","NOT_VERIFIABLE","PARTIAL","INCOMPLETE","Preserves passkey preference and privileged user-verification direction; does not carry verified email or TOTP. Single RP-domain and attestation mandates lack standalone approved-recommendation evidence.","P1_BLOCKING","OPEN","SUPPORTED_BY_MULTIPLE_SOURCES","E3","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-002_FORMAL.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv;/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FORMAL_ADR_REGISTER.csv","No standalone approved Identity recommendation artifact exists in the frozen materials.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"ADR-IDENTITY-003","Identity","MFA, Assurance Levels, and Step-Up","DRAFT_CANDIDATE","IDENTITY-FD-003;IDENTITY-FD-006","FOUNDER_DECISION","MISSING_REQUIRED_SOURCE","NOT_VERIFIABLE","PARTIAL","INCOMPLETE","Preserves mandatory privileged MFA, passkey/TOTP direction, fresh step-up, and bounded recovery. ES-AAL levels, exact TOTP parameters, and five/fifteen-minute windows lack standalone approved-recommendation evidence and require exact-text Founder disposition.","P1_BLOCKING","OPEN","SUPPORTED_BY_MULTIPLE_SOURCES","E3","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-003_FORMAL.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv","Detailed technical mandates are draft text pending ratification; recommendation provenance is unavailable.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"ADR-IDENTITY-004","Identity","Sessions, Devices, Token Expiry, Rotation, and Revocation","DRAFT_CANDIDATE","IDENTITY-FD-003;IDENTITY-FD-006;IDENTITY-FD-009;IDENTITY-FD-011","FOUNDER_DECISION","MISSING_REQUIRED_SOURCE","NOT_VERIFIABLE","PARTIAL","INCOMPLETE","Session/revocation controls are consistent with bounded recovery and support attribution, but mapped support-access and account-closure directions are materially incomplete. Opaque-session/native-token architecture lacks standalone approved-recommendation evidence.","P1_BLOCKING","OPEN","SUPPORTED_BY_MULTIPLE_SOURCES","E3","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-004_FORMAL.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv;/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/IDENTITY_RELATIONSHIPS_CONTRACT.md","No executable behavior tested; recommendation provenance unavailable.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"ADR-IDENTITY-005","Identity","Account Recovery and Compromise Response","DRAFT_CANDIDATE","IDENTITY-FD-006;IDENTITY-FD-007;IDENTITY-FD-009;IDENTITY-FD-011","FOUNDER_DECISION","MISSING_REQUIRED_SOURCE","NOT_VERIFIABLE","PARTIAL","INCOMPLETE","Fully supports bounded recovery but contains no identity-merge rule, support-access session rule, or account-closure continuity rule despite those mappings. Recovery hierarchy and ten-code mandate lack standalone approved-recommendation evidence.","P1_BLOCKING","OPEN","DETERMINISTICALLY_VERIFIED","E4","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-005_FORMAL.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv;/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FORMAL_ADR_REGISTER.csv","Negative text finding is limited to the frozen formal ADR set; recommendation provenance unavailable.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"ADR-IDENTITY-006","Identity","Public Signup, Tenant Creation, Anti-Abuse, and Duplicate Handling","DRAFT_CANDIDATE","IDENTITY-FD-001;IDENTITY-FD-007;IDENTITY-FD-008;IDENTITY-FD-012","FOUNDER_DECISION","MISSING_REQUIRED_SOURCE","NOT_VERIFIABLE","PARTIAL","INCOMPLETE","Preserves provisional signup, no automatic merge, authority checks, and feature-flag control; omits invite-only concierge pilot/first cohort specifics, reversible merge mappings/downstream effects, and onboarding-completion reproduction/evidence criteria.","P1_BLOCKING","OPEN","SUPPORTED_BY_MULTIPLE_SOURCES","E3","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-006_FORMAL.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv;/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/PIA_IDENTITY_ACCOUNT_ACTOR_ENROLLMENT_ONBOARDING_V1_1_0.md","PIA contains omitted policy, but the formal ADR mapping does not normatively carry it; recommendation provenance unavailable.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"ADR-IDENTITY-007","Identity","Protected-Account Transition and Continuing Authority","DRAFT_CANDIDATE","IDENTITY-FD-004;IDENTITY-FD-010;IDENTITY-FD-011","FOUNDER_DECISION","MISSING_REQUIRED_SOURCE","NOT_VERIFIABLE","PARTIAL","INCOMPLETE","Faithfully carries the transition case, notice schedule, continuity, guardian-expiry, and exception rules; omits the mapped separate-minor identity/account/credentials/attribution rule and the full account-closure preservation categories.","P1_BLOCKING","OPEN","SUPPORTED_BY_MULTIPLE_SOURCES","E3","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-007_FORMAL.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv;/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/IDENTITY_PROTECTED_PARTICIPANT_CONTRACT.md","Protected Participant authority remains proposed and source-reconciliation-incomplete; recommendation provenance unavailable.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"ADR-REL-001","Relationships","Canonical Relationship Graph, Temporal Model, and Aggregate Boundaries","DRAFT_CANDIDATE","REL-FD-001;REL-FD-002;REL-FD-003;REL-FD-007;REL-FD-011;REL-FD-013","FOUNDER_DECISION","DRAFT_CANDIDATE","YES_EXACT_TEXT","PARTIAL","INCOMPLETE","Exact recommendation text preserved. Founder coverage omits the unqualified-generic-barn prohibition and exact provisional/verified state set; concurrent independent scopes and prospective termination are under-specified.","P1_BLOCKING","OPEN","DETERMINISTICALLY_VERIFIED","E4","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/ADR-REL-001_FORMAL.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_ADR_Recommendations_V1_0_0/ADR-REL-001.md;/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Controlled_Sequence_V1_0_0/FOUNDER_DECISION_APPROVAL_INGESTION.csv","Exact recommendation copying does not establish complete higher-authority Founder-decision conformance.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"ADR-REL-002","Relationships","Relationship-Type Registry, Versioning, and Change Control","DRAFT_CANDIDATE","REL-FD-002;REL-FD-013","FOUNDER_DECISION","DRAFT_CANDIDATE","YES_EXACT_TEXT","PARTIAL","INCOMPLETE","Exact recommendation text preserved and registry governance is strong, but no normative prohibition on an unqualified generic barn relationship appears.","P1_BLOCKING","OPEN","DETERMINISTICALLY_VERIFIED","E4","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/ADR-REL-002_FORMAL.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_ADR_Recommendations_V1_0_0/ADR-REL-002.md;/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Controlled_Sequence_V1_0_0/FOUNDER_DECISION_APPROVAL_INGESTION.csv","Absence was checked across the complete seven-ADR formal set.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"ADR-REL-003","Relationships","Delegation Grants, Source-Authority Dependency Graph, Cycle Prevention, and Revocation Watermark","DRAFT_CANDIDATE","REL-FD-005;REL-FD-006;REL-FD-014;REL-FD-016","FOUNDER_DECISION","DRAFT_CANDIDATE","YES_EXACT_TEXT","PARTIAL","INCOMPLETE","Exact recommendation text preserved. Delegation scope, cycle, containment, and revocation controls are strong; mandatory acceptance before initial activation, automatic expiry by default, and current-authority revalidation for renewal are not explicit.","P1_BLOCKING","OPEN","DETERMINISTICALLY_VERIFIED","E4","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/ADR-REL-003_FORMAL.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_ADR_Recommendations_V1_0_0/ADR-REL-003.md;/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Controlled_Sequence_V1_0_0/FOUNDER_DECISION_APPROVAL_INGESTION.csv","Material-change reacceptance does not substitute for initial acceptance; no-silent-renewal for high risk does not equal automatic expiry by default.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
