component_id,component_name,component_type,primary_paths,tracked_file_count,entry_points,runtime_boundary,data_store,external_dependencies,evidence_classification,notes
COMP-0001,Backend API assembly,application_runtime,backend/server.py,379,ASGI server:app; FastAPI api_router prefix /api,Python backend process,MongoDB via core.db,MongoDB; Stripe; Resend; S3/R2/DocuSign where configured,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Observed thin app assembly imports and router registration.
COMP-0002,Backend route modules,api_routes,backend/routes,55,279 route decorators observed,FastAPI routers under /api,MongoDB collections per route,Stripe and DocuSign routes where configured,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,"Route count is static decorator evidence, not runtime reachability proof."
COMP-0003,Authentication and token security,security_core,backend/core/auth.py;backend/auth_security.py;backend/core/config.py;backend/core/rate_limit.py,4,get_current_user; auth router; refresh token helpers; auth rate limiter,Backend security dependencies,users; refresh_tokens; auth_tokens; login_attempts,JWT secret and env configuration,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Startup validates required security config; runtime env not contacted in this audit.
COMP-0004,RBAC and platform roles,authorization_core,backend/core/permissions.py,1,require; require_platform_role; capability map,Backend authorization helpers,users.platform_role and role fields,None observed,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Capability map fails closed on unknown capabilities.
COMP-0005,Tenancy and facility isolation,authorization_core,backend/core/tenancy.py;backend/server.py,2,barn_filter; stamp_barn; make_require_active_facility,Backend route dependencies and query helpers,barn_id-scoped Mongo documents,None observed,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Observed strict and optional facility dependency variants; endpoint-level completeness remains a gap.
COMP-0006,Audit logging,security_observability,backend/core/audit.py;backend/routes/audit.py;backend/routes/admin_portal/audit_logs.py,3,audit.record; /audit-logs; /admin/portal/audit-logs,Backend audit writer and readers,audit_log,None observed,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Audit writes fail open; retention/recovery evidence incomplete.
COMP-0007,Minor and guardian safeguarding,safeguarding_core,backend/core/minor_safety.py;backend/core/minor_communication.py;backend/routes/student_guardians.py;backend/routes/guardian_intake.py,4,student_workflow_gate; minor_communication_gate; student profile router,Backend safeguards and intake routes,student_profiles; guardian_links; messages,Email invite delivery via mailer where used,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Core helpers exist; complete workflow coverage remains a gap.
COMP-0008,Billing and subscriptions,financial_runtime,backend/routes/subscriptions.py;backend/routes/subscriptions_webhook_handlers.py;backend/core/billing_provisioning.py;backend/routes/membership.py,4,/billing; /subscriptions; /webhook/stripe-subscriptions; legacy /webhook/stripe,Backend billing routes and webhooks,plans; subscriptions; billing_events; payments; subscription_invoices,Stripe,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Webhook signature/idempotency code observed; live provider evidence not executed.
COMP-0009,Document signatures,external_integration,backend/routes/document_signatures.py;backend/core/document_signing.py,2,/document-signatures providers/templates/requests/webhook,Backend provider readiness and webhook routes,document signature request/catalog rows,DocuSign,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Sandbox and webhook gates exist; no provider connection performed.
COMP-0010,Object storage and media,external_integration,backend/storage.py,1,get_provider; prepare_upload; media indexes,Backend storage abstraction,media,LocalDevStorage; S3-compatible/R2 when configured,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Provider code falls back to local stub if credentials/config fail.
COMP-0011,Task engine and background lifecycle,background_processing,backend/task_engine.py;backend/core/lifespan.py;backend/notifications.py;backend/owner_digest.py,4,startup lifecycle; materializer; notification dispatcher; digest loops,Backend startup/background tasks,tasks; task_templates; notifications; digest logs,Mailer provider for outbound email,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Startup index creation may create collections; runtime not executed in this audit.
COMP-0012,Frontend React application,frontend_runtime,frontend/src/App.js;frontend/src/context/AuthContext.jsx;frontend/src/lib/api.js,219,React Router with 112 route lines; AuthContext; API helper,Browser SPA,Browser local/session state; backend API,Backend API; Vercel deployment docs/config,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,Route-level permit controls exist in App.js; frontend guards are not server authorization proof.
COMP-0013,Mobile wrappers,mobile_shell,frontend/capacitor.config.json;frontend/android;frontend/ios,74,Capacitor config and platform directories,Mobile shell projects,Frontend/offline local state where implemented,App stores; native plugins where configured,DIRECT_CODE_AND_CONFIGURATION_EVIDENCE,No app-store deployment or native runtime evidence performed.
COMP-0014,Backend test suite,test_architecture,backend/tests,201,185 backend test files; CI known-failure gate,pytest,MongoDB test DB in CI,MongoDB CI service,CI_OR_STATIC_ANALYSIS_EVIDENCE,Local backend environment lacks .venv; no dependency installation performed.
COMP-0015,CI workflow,ci_validation,.github/workflows/ci.yml,1,pull_request workflow; backend collect; backend tests; frontend build,GitHub Actions,CI MongoDB service,GitHub Actions; npm; pip; MongoDB service,CI_OR_STATIC_ANALYSIS_EVIDENCE,Existing workflow is inventoried only; workflow not modified.
COMP-0016,Code Guide governance corpus,governance_documentary,governance/implementation/code-guides,821,PROGRAM_STATUS; registers; active guides; validators,Documentary governance,CSV/JSON/Markdown records,GitHub PR custody history,DOCUMENTARY_GOVERNANCE_EVIDENCE,Active guides are limited Stage 24 only.
COMP-0017,PIA portfolio,governance_documentary,governance/pia_portfolio,20,PIA portfolio realignment package,Documentary governance,CSV/JSON/Markdown records,Founder review/disposition,DOCUMENTARY_GOVERNANCE_EVIDENCE,Successor package remains pending fresh review; underlying Item 01/03 designs approved.
