template_id,template_name,normalized_body_cluster,purpose_specificity_evidence,reviewer_dispute,v4_disposition,closure_condition
T1R2-AUDIT-TEMPLATE-01,INTERNAL_DOCUMENTARY_REVIEW_PLAN,V4-PURPOSE-SPECIFIC-01,"V4 authored fields: plan_id, package_root, review_scope, reviewer_role, source_population, sampling_strategy, exclusion_basis, planned_outputs",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-02,SCOPE_AND_EXCLUSIONS_SCHEDULE,V4-PURPOSE-SPECIFIC-02,"V4 authored fields: scope_item_id, included_surface, excluded_surface, exclusion_reason, affected_t1c_id, evidence_locator, reviewer_confirmation",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-03,SOURCE_MANIFEST,V4-PURPOSE-SPECIFIC-03,"V4 authored fields: source_id, repository_path, source_title, sha256, byte_length, git_blob, controlling_version, custody_state",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-04,EVIDENCE_INDEX,V4-PURPOSE-SPECIFIC-04,"V4 authored fields: evidence_id, linked_register, linked_row_id, source_path, sha256, byte_length, reviewed_by, limitation",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-05,SAMPLING_RECORD,V4-PURPOSE-SPECIFIC-05,"V4 authored fields: sample_id, population_definition, sample_size, selection_method, selected_row_ids, exceptions_found, reviewer_result, residual_limitation",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-06,REVIEWER_INDEPENDENCE_DISCLOSURE,V4-PURPOSE-SPECIFIC-06,"V4 authored fields: reviewer_id, reviewer_role, relationship_to_founder, financial_interest, prior_authoring_role, conflict_statement, independence_limitation",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-07,CONFLICT_DISCLOSURE,V4-PURPOSE-SPECIFIC-07,"V4 authored fields: conflict_id, person_or_system, conflict_type, affected_decision, mitigation, unresolved_effect, disclosure_date",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-08,FINDING_SCHEDULE,V4-PURPOSE-SPECIFIC-08,"V4 authored fields: finding_id, source_review_id, severity, observed_fact, affected_document, required_remediation, closure_evidence, closure_status",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-09,RESIDUAL_RISK_SCHEDULE,V4-PURPOSE-SPECIFIC-09,"V4 authored fields: risk_id, source_finding_id, risk_statement, impact, owner, proposed_treatment, founder_decision_required, accepted_by",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-10,FOUNDER_ATTESTATION_SCHEDULE,V4-PURPOSE-SPECIFIC-10,"V4 authored fields: attestation_id, question_presented, evidence_considered, option_selected, authority_granted, authority_not_granted, unresolved_items, signature_status",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-11,CLOSING_EXHIBITS_INDEX,V4-PURPOSE-SPECIFIC-11,"V4 authored fields: exhibit_id, exhibit_name, source_path, sha256, byte_length, related_t1c_id, inclusion_reason, exclusion_note",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-12,FOUNDER_DOCUMENTARY_ACKNOWLEDGEMENT,V4-PURPOSE-SPECIFIC-12,"V4 authored fields: acknowledgement_id, founder_name, package_version, acknowledgement_scope, non_authorized_effects, open_items, date, signature_status",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-13,ADOPTION_RECORD,V4-PURPOSE-SPECIFIC-13,"V4 authored fields: adoption_record_id, package_version, decision_text, adopted_documents, effective_date, implementation_authority, production_authority, exclusions",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-14,ACCESSION_RECEIPT,V4-PURPOSE-SPECIFIC-14,"V4 authored fields: accession_id, repository_ref, archive_sha256, archive_byte_length, accessioned_by, accession_date, custody_location, exclusion_note",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-15,POST_MERGE_CUSTODY_RECEIPT,V4-PURPOSE-SPECIFIC-15,"V4 authored fields: receipt_id, merge_commit, protected_branch, post_merge_sha, validation_command, validation_result, open_findings, authority_boundary",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-16,FINAL_SELF_DECLARATION_RECORD,V4-PURPOSE-SPECIFIC-16,"V4 authored fields: declaration_id, declared_scope, evidence_population, unresolved_items, reviewer_limitations, prohibited_claims, signer, date",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-17,BOUNDED_SCOPE_SELF_DECLARATION_RECORD,V4-PURPOSE-SPECIFIC-17,"V4 authored fields: declaration_id, bounded_area, included_rows, excluded_rows, evidence_basis, residual_open_items, non_certification_statement",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-18,REOPENING_NOTICE,V4-PURPOSE-SPECIFIC-18,"V4 authored fields: notice_id, reopened_finding, reopening_trigger, evidence_changed, affected_package_version, required_action, owner, due_date",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
T1R2-AUDIT-TEMPLATE-19,PERIODIC_SELF_DECLARATION_REFRESH_RECORD,V4-PURPOSE-SPECIFIC-19,"V4 authored fields: refresh_id, prior_record, review_period, changed_sources, unchanged_sources, new_open_items, reviewer, next_review_due",DOC10_DISPUTE_RETAINED_PENDING_INDEPENDENT_ADJUDICATION,T1C-004_AUTHORED_IN_V4_PENDING_INDEPENDENT_ADJUDICATION,Independent reviewer must confirm substantive purpose-specificity and adjudicate prior normalized-body finding.
