label_1,label_2,record_id,source_id,source_title,locator,declared_authority,verified_source_classification,declared_lifecycle,observed_lifecycle,verification_result,claim_classification,evidence_sufficiency,evidence_ids,required_action_or_limitation
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,A-CTRL-001,FORA-NONAGENT-FALLBACK-2026-001,Founder fallback authorization,/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/EquineSync-V4-controlled-review/governance/founder_orchestrated_review/temporary_non_agent_fallback/FORA-NONAGENT-FALLBACK-2026-001/FOUNDER_AUTHORIZATION.md,FOUNDER_DECISION,FOUNDER_DECISION,AUTHORIZED_AVAILABLE_NOT_STARTED_PENDING_SCOPED_REVIEW_DIRECTIVE,ACTIVE_FOR_CONTROLLED_NON_AGENT_REVIEW,BASE_COMMIT_BLOB_MATCH;CHECKSUM_PASS,DETERMINISTICALLY_VERIFIED,E4,E-AUT-003,Preserve Founder-reserved boundaries
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,A-CTRL-002,FORA-NONAGENT-FALLBACK-2026-001-PROTOCOL,Controlled multi-thread protocol,/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/EquineSync-V4-controlled-review/governance/founder_orchestrated_review/temporary_non_agent_fallback/FORA-NONAGENT-FALLBACK-2026-001/CONTROLLED_MULTI_THREAD_REVIEW_PROTOCOL.md,OPERATING_PROTOCOL,IMPLEMENTATION_REQUIREMENT,ACTIVE,ACTIVE_FOR_ES-REV-2026-002,BASE_COMMIT_BLOB_MATCH;CHECKSUM_PASS,DETERMINISTICALLY_VERIFIED,E4,E-AUT-001,Apply required labels and segregation
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,A-CTRL-003,ES-FORA-DIR-CMT-IDENTITY-RELATIONSHIPS-REVIEW-V1.0,Founder controlled review directive,/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/frozen_review_object/EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0/directive/CODEX_CONTROLLED_MULTI_THREAD_REVIEW_DIRECTIVE.md,FOUNDER_DIRECTIVE,FOUNDER_DECISION,AUTHORIZED_AVAILABLE_NOT_STARTED_PENDING_SCOPED_REVIEW_DIRECTIVE,ACTIVE_WITH_REVIEW_PLAN,HANDOFF_HASH_AND_ARCHIVE_EQUALITY_VERIFIED,DETERMINISTICALLY_VERIFIED,E4,E-HOF-006,No semantic recommendation by CMT-01
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,A-CTRL-004,ES-REV-2026-002-PLAN,Controlled Thread Review Plan,/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/EquineSync-V4-controlled-review/governance/founder_orchestrated_review/temporary_non_agent_fallback/FORA-NONAGENT-FALLBACK-2026-001/reviews/ES-REV-2026-002/CONTROLLED_THREAD_REVIEW_PLAN.md,SCOPED_REVIEW_PLAN,IMPLEMENTATION_REQUIREMENT,STARTED_2026-07-20T19:42:33Z,ACTIVE_UNTRACKED_REVIEW_RECORD,DIRECTLY_OBSERVED_IN_AUTHORIZED_REVIEW_PATH,DIRECTLY_OBSERVED,E4,E-AUT-001,Retain with cycle evidence
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,A-CTRL-005,CMT-01-PROMPT,CMT-01 lane prompt,/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/EquineSync-V4-controlled-review/governance/founder_orchestrated_review/temporary_non_agent_fallback/FORA-NONAGENT-FALLBACK-2026-001/reviews/ES-REV-2026-002/lane_prompts/CMT-01_PROMPT.md,LANE_ASSIGNMENT,IMPLEMENTATION_REQUIREMENT,ACTIVE_FOR_LANE,ACTIVE_FOR_CMT-01,READ_COMPLETELY;BOUNDED_SCOPE_APPLIED,DETERMINISTICALLY_VERIFIED,E4,E-AUT-001,Generic non-agent thread only
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,A-GOV-001,EQUINESYNC_GLOBAL_GOVERNANCE_V1_0,Global Governance V1.0 lock,/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/EquineSync-V4-controlled-review/docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_LOCK_RECORD.md,CONTROLLING_GOVERNANCE_BASELINE,CONTROLLING_CONSTITUTIONAL_AUTHORITY,LOCKED,LOCKED_AT_ACB518EA5A160820E64681FF95A16B010FE1156C,COMMIT_PRESENT;TAG_PEELS_TO_COMMIT;2208_OF_2208_MANIFEST_ENTRIES_VERIFIED,DETERMINISTICALLY_VERIFIED,E5,E-GIT-001;E-GIT-005;E-GOV-001;E-GOV-003,Do not infer implementation authority
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,A-GOV-002,STAGE2A-CLOSURE-COMMIT,Stage 2A Founder closure commit,git-object:56dc68ce761b84800caa60997af7fb62ab34f82d,FOUNDER_DECISION_COMMIT,UNVERIFIED_SOURCE,EXPECTED_SUPPORTING_AUTHORITY,ABSENT_FROM_LOCAL_NON_SHALLOW_REPOSITORY;REMOTE_EXISTENCE_REPORTED_BY_COORDINATOR,LOCAL_ABSENCE_DETERMINISTIC;REMOTE_EXISTENCE_NOT_INDEPENDENTLY_REPERFORMED,REPORTED_BUT_NOT_VERIFIED,E1,E-GIT-002;E-COORD-001,Preserve authenticated API evidence in coordinator package or import object into isolated read-only verifier
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,A-GOV-003,CONTROLLED-THREAD-AUTHORIZATION-COMMIT,Controlled-thread authorization commit,git-object:75c56ac67b0de694436c093fc2dc5ff5dffe4ff3,FOUNDER_DECISION_COMMIT,VERIFIED_REPOSITORY_EVIDENCE,ACTIVE_BASE_COMMIT,CURRENT_HEAD_AND_EXPECTED_BASE,COMMIT_PRESENT;AUTHORITY_RECORDS_MATCH_COMMITTED_BLOBS,DETERMINISTICALLY_VERIFIED,E4,E-GIT-003;E-AUT-001;E-AUT-002;E-AUT-003;E-AUT-004,No Git mutation authorized for lane
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,A-PKG-001,ES-PIA-IDENTITY-ONBOARDING-V1.1.0-CONTROLLED-REVISION,Identity PIA controlled revision,/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/frozen_review_object/EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0/inputs/identity/EquineSync_Identity_PIA_V1_1_0_Controlled_Revision.zip,FOUNDER_APPROVED_DESIGN,APPROVED_MAIP_AUTHORITY,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,ACTIVE_IDENTITY_REVIEW_CANDIDATE,ARCHIVE_HASH_MANIFEST_AND_EXPANSION_VERIFIED,DETERMINISTICALLY_VERIFIED,E4,E-HOF-007;E-IDN-001..E-IDN-040,No implementation authority
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,A-PKG-002,ES-ADR-REL-RECOMMENDATIONS-V1.0.0,Relationships ADR recommendations,/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/frozen_review_object/EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0/inputs/relationships/EquineSync_Relationships_ADR_Recommendations_V1_0_0.zip,RECOMMENDATION_PACKAGE,DRAFT_CANDIDATE,RELATIONSHIPS_ADR_RECOMMENDATIONS_COMPLETE_PENDING_FOUNDER_APPROVAL,EARLIER_STAGE_PACKAGE_WITH_LATER_APPROVAL_INGESTION_RECORD,ARCHIVE_HASH_MANIFEST_AND_EXPANSION_VERIFIED;LIFECYCLE_SEQUENCE_REQUIRES_RECONCILIATION,DETERMINISTICALLY_VERIFIED,E4,E-HOF-008;E-RAD-001..E-RAD-014,Preserve as predecessor and reconcile status
