occurrence_id,scope,path,location,original_text,corrected_text,classification,action,direct_stage2_impact
TERM-001,ACTIVE_STAGE2_V001_DRAFT,34-file Stage 2 predecessor draft,all readable files and paths,No occurrence,MIAP confirmation added in V002,CORRECTED_WITH_CHANGE_CONTROL,Add controlling MIAP authority statement; no byte changes to prior draft,YES
TERM-002,IMMUTABLE_REPOSITORY_COMMIT,all 3340 baseline blobs and paths,bounded exact-term scan,No MIAP or erroneous-term occurrence,No repository rewrite,ACTIVE_ARTIFACT_CORRECTION_REQUIRED,Repository adoption/locator evidence remains unresolved; no unrestricted rewrite,YES_TRACEABILITY_ONLY
TERM-003,SEALED_NESTED_STAGE1_EXIT,supporting_evidence/source_materials/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package.zip!/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package/01_frozen_package/source_materials/FOUNDER_STAGE_1_PILOT_DIRECTIVE.txt,line 352,* MAIP,* MIAP,ERRONEOUS_MAIP_REFERENCE;HISTORICAL_QUOTED_TEXT;SEALED_PREDECESSOR_NO_CHANGE,Preserve sealed bytes; normalize interpretation in this register only,YES
TERM-004,SEALED_NESTED_INTERNAL_ASSURANCE_CANDIDATE,supporting_evidence/source_materials/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package.zip!/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package/01_frozen_package/source_materials/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate.zip!/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate/00_READ_ME_FIRST/ES_IP_PROJECT_INTRODUCTION_AND_AUTHORITY_NOTICE.md,"lines 7, 13, 19",MAIP references preserving obsolete distinction,MIAP,ERRONEOUS_MAIP_REFERENCE;SEALED_PREDECESSOR_NO_CHANGE,Do not copy forward as active authority language,YES
TERM-005,SEALED_NESTED_INTERNAL_ASSURANCE_CANDIDATE,supporting_evidence/source_materials/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package.zip!/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package/01_frozen_package/source_materials/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate.zip!/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate/01_SOURCE_INTAKE/ES_IP_AUTHORITY_AND_LIMITATIONS_REGISTER.csv,row LIM-001 subject,MAIP reference,MIAP,ERRONEOUS_MAIP_REFERENCE;SEALED_PREDECESSOR_NO_CHANGE,Terminology normalized in successor; repository adoption limitation retained,YES
TERM-006,SEALED_NESTED_INTERNAL_ASSURANCE_CANDIDATE,supporting_evidence/source_materials/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package.zip!/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package/01_frozen_package/source_materials/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate.zip!/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate/01_SOURCE_INTAKE/ES_IP_PENDING_SOURCE_VERIFICATION_CROSSWALK.csv,row PSV-004 subject/evidence_state/prohibited_claim,MAIP references,MIAP,ERRONEOUS_MAIP_REFERENCE;SEALED_PREDECESSOR_NO_CHANGE,Split terminology correction from continuing repository-locator verification gap,YES
TERM-007,SEALED_NESTED_INTERNAL_ASSURANCE_CANDIDATE,supporting_evidence/source_materials/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package.zip!/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package/01_frozen_package/source_materials/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate.zip!/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate/01_SOURCE_INTAKE/PENDING_SOURCE_VERIFICATION_REGISTER.csv,row PSV-004 subject/current_evidence/prohibited_claim,MAIP references,MIAP,ERRONEOUS_MAIP_REFERENCE;SEALED_PREDECESSOR_NO_CHANGE,Split terminology correction from continuing repository-locator verification gap,YES
TERM-008,SEALED_NESTED_HISTORICAL_SOURCE_EVIDENCE,supporting_evidence/source_materials/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package.zip!/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package/01_frozen_package/source_materials/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate.zip!/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate/SOURCE_EVIDENCE/CODEX_ES_IP_CREATION_DIRECTIVE.md,"lines 40,119,131-133,205",MAIP historical text,Not altered,HISTORICAL_QUOTED_TEXT;SEALED_PREDECESSOR_NO_CHANGE,Preserve verbatim; interpret as MIAP only in active successor language,NO_BYTE_CHANGE
TERM-009,SEALED_NESTED_HISTORICAL_SOURCE_EVIDENCE,supporting_evidence/source_materials/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package.zip!/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package/01_frozen_package/source_materials/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate.zip!/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate/SOURCE_EVIDENCE/EQUINESYNC_IMPLEMENTATION_PLAYBOOK_CREATION_GUIDE_V1_1.md,"lines 23,44,140,153,164,796,832,1231,1825,1858,1978,2002,2104",MAIP historical text,Not altered,HISTORICAL_QUOTED_TEXT;SEALED_PREDECESSOR_NO_CHANGE,Preserve verbatim,NO_BYTE_CHANGE
TERM-010,SEALED_NESTED_HISTORICAL_SOURCE_EVIDENCE,supporting_evidence/source_materials/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package.zip!/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package/01_frozen_package/source_materials/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate.zip!/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate/SOURCE_EVIDENCE/EQUINESYNC_IMPLEMENTATION_PLAYBOOK_CREATION_GUIDE_V1_1_REVIEW_SUMMARY.md,"lines 12,51",MAIP historical text,Not altered,HISTORICAL_QUOTED_TEXT;SEALED_PREDECESSOR_NO_CHANGE,Preserve verbatim,NO_BYTE_CHANGE
TERM-011,SEALED_NESTED_HISTORICAL_SOURCE_EVIDENCE,supporting_evidence/source_materials/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package.zip!/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package/01_frozen_package/source_materials/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate.zip!/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate/SOURCE_EVIDENCE/REMEDIATION_V1_1_0/EQUINESYNC_ES_IP_V1_0_0_CANDIDATE_REVIEW_REPORT.md,line 39,MAIP historical text,Not altered,HISTORICAL_QUOTED_TEXT;SEALED_PREDECESSOR_NO_CHANGE,Preserve verbatim,NO_BYTE_CHANGE
TERM-012,SEALED_NESTED_HISTORICAL_SOURCE_EVIDENCE,supporting_evidence/source_materials/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package.zip!/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package/01_frozen_package/source_materials/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate.zip!/EquineSync_Implementation_Playbook_V1.2.2_Internal_Assurance_Candidate/SOURCE_EVIDENCE/V1_2_2_REMEDIATION/pasted-text.txt,line 197,MAIP historical text,Not altered,HISTORICAL_QUOTED_TEXT;SEALED_PREDECESSOR_NO_CHANGE,Preserve verbatim,NO_BYTE_CHANGE
TERM-013,SEALED_NESTED_STAGE1_EXIT,supporting_evidence/source_materials/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package.zip!/EquineSync_ES_IP_V1_2_2_Stage_1_Pilot_Exit_Package/06_evidence_custodian/SOURCE_OF_TRUTH_LIMITATION_REPORT.md and related MIAP inventory/machine logs,27 correct references within nested Stage 1 evidence,MIAP,MIAP,CORRECT_MIAP_REFERENCE;SEALED_PREDECESSOR_NO_CHANGE,Reference through the complete archive-aware locator only; preserve sealed bytes,YES
TERM-014,ACTIVE_SUCCESSOR_V002,MIAP_TERMINOLOGY_AND_AUTHORITY_CONFIRMATION.md,active authority statement,Not present in V001 draft,MIAP Master Implementation Atlas Program authority confirmed,CORRECT_MIAP_REFERENCE;CORRECTED_WITH_CHANGE_CONTROL,Added by Founder directive,YES
