field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
record_id,record id,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; enum and relationship checks where implemented,record_id_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
artifact_id,artifact id,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; enum and relationship checks where implemented,artifact_id_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
document_lifecycle_state,document lifecycle state,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; enum and relationship checks where implemented,document_lifecycle_state_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
authority_state,authority state,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; enum and relationship checks where implemented,authority_state_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
adoption_state,adoption state,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; enum and relationship checks where implemented,adoption_state_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
accession_state,accession state,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; enum and relationship checks where implemented,accession_state_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
activation_state,activation state,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; enum and relationship checks where implemented,activation_state_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
implementation_authority,implementation authority,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; enum and relationship checks where implemented,implementation_authority_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
production_authority,production authority,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; enum and relationship checks where implemented,production_authority_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
evidence_status,evidence status,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; enum and relationship checks where implemented,evidence_status_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
