t1c_id,severity,consolidated_defect,current_target_disposition,closure_state,source_review_ids,current_target_evidence,second_reviewer_state,authority_effect,merge_effect
T1C-001,BLOCKING,Package integrity chain was stale and internally inconsistent.,REMEDIATION_ACCEPTED_BY_OUTSIDE_OR_ORIGINATING_REVIEWER_NOT_FINAL_CLOSURE,ACCEPTED_FOR_BOUNDED_REREVIEW_NOT_FOUNDER_APPROVED,CLAUDE-V2-01;CLAUDE-V2-02;PPLX-N-01;PPLX-N-03,"V3 regenerates per-directory manifests, MANIFEST_OF_MANIFESTS.csv, root PACKAGE_MANIFEST.json, root CHECKSUMS.sha256, and final detached ZIP checksum after content stabilization. V5 records outside/originating-reviewer concurrence without second-reviewer performance.",NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-002,BLOCKING,Founder decision lifecycle wording used an incorrect state count although the operative model contains thirteen states.,REMEDIATION_ACCEPTED_BY_OUTSIDE_OR_ORIGINATING_REVIEWER_NOT_FINAL_CLOSURE,ACCEPTED_FOR_BOUNDED_REREVIEW_NOT_FOUNDER_APPROVED,CLAUDE-V2-04;PPLX-FD-001,V3 replaces operative incorrect state-count wording with thirteen-state wording and preserves no-disposition/no-authority decision posture. V5 records outside/originating-reviewer concurrence without second-reviewer performance.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-003,BLOCKING,Founder residual-risk disposition population was not independently closed.,VALID_OPEN_RETAINED_CONTENT_REVISION_REQUIRED,OPEN_RETAINED_CONTENT_REVISION_REQUIRED,CLAUDE-V2-04;PPLX-P-03,V3 records no Founder disposition and retains residual-risk closure for Founder or authorized reviewer action.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-004,MEDIUM,Document 10 core template purpose-specificity remediation accepted; residual control-layer uniformity and certification-path naming debt remain.,CORE_REMEDIATION_ACCEPTED_RESIDUAL_NONBLOCKING_OPEN,ACCEPTED_FOR_BOUNDED_REREVIEW_NOT_CERTIFICATION_NOT_FINAL_CLOSURE,CURSOR-V4-DOC10;PPLX-V4-DOC10;CLAUDE-V4-DOC10,Outside adjudications accept V4 Doc10 core authoring while retaining residual nonblocking control-layer uniformity and naming-debt items.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-005,BLOCKING,Source authority labels over-described approval evidence as package adoption.,REMEDIATION_ACCEPTED_BY_OUTSIDE_OR_ORIGINATING_REVIEWER_NOT_FINAL_CLOSURE,ACCEPTED_FOR_BOUNDED_REREVIEW_NOT_FOUNDER_APPROVED,CLAUDE-V2-04;PPLX-P-06,V3 scopes the label to source-contained Founder approval evidence and does not treat it as adoption of this package. V5 records outside/originating-reviewer concurrence without second-reviewer performance.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-006,BLOCKING,Document 03 requirement discovery remains candidate-only and not independently verified.,VALID_OPEN_RETAINED_CONTENT_REVISION_REQUIRED,OPEN_RETAINED_CONTENT_REVISION_REQUIRED,CLAUDE-V2-04;PPLX-P-01,V5 preserves 51-row quarantine and recomputes coverage metrics to 45 surviving source-text candidates; ISO 29148 checks remain NOT_PERFORMED for survivor rows.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-007,HIGH,Source-review traceability used placeholders and duplicate evidence rows.,REMEDIATION_ACCEPTED_BY_OUTSIDE_OR_ORIGINATING_REVIEWER_NOT_FINAL_CLOSURE,ACCEPTED_FOR_BOUNDED_REREVIEW_NOT_FOUNDER_APPROVED,CLAUDE-V2-03;CLAUDE-V2-07;PPLX-N-04;PPLX-N-05,V3 populates actual source-review identifiers and makes the closure evidence register a distinct evidence register. V5 records outside/originating-reviewer concurrence without second-reviewer performance.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-008,HIGH,Validator PASS was overstated while stronger integrity checks failed and negative fixtures were inert.,REMEDIATION_ACCEPTED_BY_OUTSIDE_OR_ORIGINATING_REVIEWER_NOT_FINAL_CLOSURE,ACCEPTED_FOR_BOUNDED_REREVIEW_NOT_FOUNDER_APPROVED,PPLX-V3-01;PPLX-V3-03;CURSOR-VR3-005;CLAUDE-V3-01,"V4 designates one authoritative validator, archives older validators as non-operative, and runs negative fixtures by mutating temporary package copies. V5 records outside/originating-reviewer concurrence without second-reviewer performance.",NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-009,HIGH,Founder decision surfaces could imply selected approval.,REMEDIATION_CONCURRED_CITATION_RECONCILED_NOT_FINAL_CLOSURE,REMEDIATED_PENDING_OUTSIDE_REVIEWER_REREVIEW,CURSOR-V4-T1C-009;CLAUDE-V4-T1C-009,V3 preserves NO_DISPOSITION_SELECTED and NONE_BY_THIS_PACKAGE authority state.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-010,HIGH,Production/deployment evidence-state separation remains documentary only.,VALID_OPEN_RETAINED_CONTENT_REVISION_REQUIRED,OPEN_RETAINED_CONTENT_REVISION_REQUIRED,CURSOR-VR3-007,V3 retains no-production-use and no-implementation boundary.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
