token,authoritative_locations,result
CGP006_MAP_GAP_0005_CLOSURE_PLAN_FOUNDER_APPROVAL_REMAINS_VALID,"README.md; CURRENT_STATUS_RECONCILIATION.md; receipt; PROGRAM_STATUS.md",PASS
CGP006_MAP_GAP_0005_APPROVED_SOURCE_ZIP_PROTECTEDLY_TRACKED,"README.md; CURRENT_STATUS_RECONCILIATION.md; receipt; PROGRAM_STATUS.md",PASS
CGP006_MAP_GAP_0005_ACCESSION_VALIDATOR_HARDENED,"README.md; CURRENT_STATUS_RECONCILIATION.md; receipt; PROGRAM_STATUS.md",PASS
CGP006_MAP_GAP_0005_CUSTODY_VALIDATOR_HARDENED,"README.md; CURRENT_STATUS_RECONCILIATION.md; receipt; PROGRAM_STATUS.md",PASS
CGP006_MAP_GAP_0005_PROHIBITED_PLACEHOLDER_REJECTION_VERIFIED,"README.md; PLACEHOLDER_REJECTION_VALIDATION_REPORT.md; receipt; PROGRAM_STATUS.md",PASS
CGP006_MAP_GAP_0005_BOUNDARY_TOKEN_SELF_VALIDATION_DEFECT_CORRECTED,"README.md; CURRENT_STATUS_RECONCILIATION.md; receipt; PROGRAM_STATUS.md",PASS
CGP006_MAP_GAP_0005_CLOSURE_PLAN_CUSTODY_INTEGRITY_CORRECTED,"README.md; CURRENT_STATUS_RECONCILIATION.md; receipt; PROGRAM_STATUS.md",PASS
CGP006_MAP_GAP_0005_CLOSURE_PLAN_POST_MERGE_CUSTODY_REFRESH_COMPLETE,"README.md; CURRENT_STATUS_RECONCILIATION.md; receipt; PROGRAM_STATUS.md",PASS
CGP006_MAP_GAP_0005_REMAINS_OPEN,"README.md; CURRENT_STATUS_RECONCILIATION.md; receipt; PROGRAM_STATUS.md",PASS
PROVIDER_ASSURANCE_MAY_RESUME_ONLY_FROM_PHASE_0_AFTER_REFRESHED_CUSTODY,"README.md; CURRENT_STATUS_RECONCILIATION.md; receipt; PROGRAM_STATUS.md",PASS
NO_STRIPE_API_CALL_OCCURRED,"README.md; DIRECTIVE_EXECUTION_RECORD.md; receipt",PASS
NO_STRIPE_SANDBOX_MUTATION_OCCURRED,"README.md; DIRECTIVE_EXECUTION_RECORD.md; receipt",PASS
NO_LIVE_STRIPE_ACCESS_OCCURRED,"README.md; DIRECTIVE_EXECUTION_RECORD.md; receipt",PASS
NO_STRIPE_SECRET_OR_OBJECT_USED,"README.md; DIRECTIVE_EXECUTION_RECORD.md; receipt",PASS
NO_PRODUCT_CODE_CHANGED,"README.md; DIRECTIVE_EXECUTION_RECORD.md; receipt",PASS
NO_SCHEMA_OR_MIGRATION_CHANGED,"README.md; DIRECTIVE_EXECUTION_RECORD.md; receipt",PASS
NO_DEPLOYMENT_AUTHORIZED,"README.md; DIRECTIVE_EXECUTION_RECORD.md; receipt",PASS
NO_STAGING_AUTHORIZED,"README.md; DIRECTIVE_EXECUTION_RECORD.md; receipt",PASS
NO_PILOT_AUTHORIZED,"README.md; DIRECTIVE_EXECUTION_RECORD.md; receipt",PASS
NO_PRODUCTION_USE_AUTHORIZED,"README.md; DIRECTIVE_EXECUTION_RECORD.md; receipt",PASS
NO_PUBLIC_LAUNCH_AUTHORIZED,"README.md; DIRECTIVE_EXECUTION_RECORD.md; receipt",PASS
PR_69_NOT_MODIFIED_OR_MERGED,"README.md; DIRECTIVE_EXECUTION_RECORD.md; receipt",PASS
PR_70_NOT_MODIFIED_OR_MERGED,"README.md; DIRECTIVE_EXECUTION_RECORD.md; receipt",PASS
