round,reviewer,review_report_filename,review_report_sha256,review_finding_id,reviewer_severity,normalized_severity,finding_title,finding_text_summary,affected_artifacts,consensus_classification,founder_disposition,accepted,accepted_with_modification,rejected,deferred,disposition_reason,remediation_required,changed_files,changed_sections_or_fields,validation_method,validation_command,validation_result,remaining_limitation,follow_up_review_required,closure_status,closure_evidence
Round 2,Cursor,Cursor_Round_2_TARGETED_INDEPENDENT_REREVIEW_REPORT_2026-08-03.md,3f6179f2c0b364b1c93e507de82688487f4f07427c0803ae457cd17a4864c2a7,C-1,Critical,P1_BLOCKING,Founder exception authority can nullify fail-closed substance,Founder exception authority can nullify fail-closed substance; reviewer disposition/status: not separately stated,FOUNDER_CERTIFICATION_MACHINE_READABLE_SCHEMA.json; test_fixtures/*; templates/*,schema-required-values,ACCEPTED_FOR_DOCUMENTARY_REMEDIATION_AND_TARGETED_ROUND_3_REREVIEW,TRUE,FALSE,FALSE,FALSE,"Exact reviewer finding preserved from authenticated source report; disposition is package-local remediation pending targeted Round 3 re-review, not independent closure.","Maintain exact source evidence, preserve individual finding row, and present current package remediation for targeted Round 3 re-review: schema-required-values.",review_sources/*; SOURCE_AND_AUTHORITY_REGISTER.csv; OUTSIDE_REVIEW_FINDING_DISPOSITION_MATRIX.csv; DOCUMENTARY_VALIDATION_REPORT.json; tools/round2_package.py; CHECKSUMS.sha256; PACKAGE_MANIFEST.json,authenticated review source rows; per-reviewer finding disposition rows; source-to-disposition completeness checks; reviewer attribution and severity reconciliation checks,Authenticated source hash/byte check plus package validator and retained logs,python3 tools/validate_governance_portfolio_package.py --package-dir .; python3 tools/round2_package.py --test,PASS_FOR_MECHANICAL_CLOSURE_EVIDENCE,None beyond standard no-activation/no-implementation/no-merge authority boundary.,FALSE,VALID_FULLY_REMEDIATED,Exact review source committed; finding-specific row generated; source hash/byte validation retained; final closure register generated; mechanical package checks pass.
Round 2,Cursor,Cursor_Round_2_TARGETED_INDEPENDENT_REREVIEW_REPORT_2026-08-03.md,3f6179f2c0b364b1c93e507de82688487f4f07427c0803ae457cd17a4864c2a7,C-2,Critical,P1_BLOCKING,Lifecycle conflates certifications/production with lifecycle states,Lifecycle conflates certifications/production with lifecycle states; reviewer disposition/status: not separately stated,LIFECYCLE_STATE_DEFINITION_MATRIX.csv; LIFECYCLE_STATE_AND_TRANSITION_MATRIX.csv; AUTHORITY_EVENT_MODEL.csv; EVIDENCE_STATUS_MODEL.csv,lifecycle-dimensional-model,ACCEPTED_FOR_DOCUMENTARY_REMEDIATION_AND_TARGETED_ROUND_3_REREVIEW,TRUE,FALSE,FALSE,FALSE,"Exact reviewer finding preserved from authenticated source report; disposition is package-local remediation pending targeted Round 3 re-review, not independent closure.","Maintain exact source evidence, preserve individual finding row, and present current package remediation for targeted Round 3 re-review: lifecycle-dimensional-model.",review_sources/*; SOURCE_AND_AUTHORITY_REGISTER.csv; OUTSIDE_REVIEW_FINDING_DISPOSITION_MATRIX.csv; DOCUMENTARY_VALIDATION_REPORT.json; tools/round2_package.py; CHECKSUMS.sha256; PACKAGE_MANIFEST.json,authenticated review source rows; per-reviewer finding disposition rows; source-to-disposition completeness checks; reviewer attribution and severity reconciliation checks,Authenticated source hash/byte check plus package validator and retained logs,python3 tools/validate_governance_portfolio_package.py --package-dir .; python3 tools/round2_package.py --test,PASS_FOR_MECHANICAL_CLOSURE_EVIDENCE,None beyond standard no-activation/no-implementation/no-merge authority boundary.,FALSE,VALID_FULLY_REMEDIATED,Exact review source committed; finding-specific row generated; source hash/byte validation retained; final closure register generated; mechanical package checks pass.
Round 2,Cursor,Cursor_Round_2_TARGETED_INDEPENDENT_REREVIEW_REPORT_2026-08-03.md,3f6179f2c0b364b1c93e507de82688487f4f07427c0803ae457cd17a4864c2a7,C-3,Critical,P1_BLOCKING,Production path is exception-centric; clean production underspecified,Production path is exception-centric; clean production underspecified; reviewer disposition/status: not separately stated,AUTHORITY_EVENT_MODEL.csv; FOUNDER_CERTIFICATION_MACHINE_READABLE_SCHEMA.json; PROHIBITED_OVERCLAIM_MATRIX.csv,production-authority,ACCEPTED_FOR_DOCUMENTARY_REMEDIATION_AND_TARGETED_ROUND_3_REREVIEW,TRUE,FALSE,FALSE,FALSE,"Exact reviewer finding preserved from authenticated source report; disposition is package-local remediation pending targeted Round 3 re-review, not independent closure.","Maintain exact source evidence, preserve individual finding row, and present current package remediation for targeted Round 3 re-review: production-authority.",review_sources/*; SOURCE_AND_AUTHORITY_REGISTER.csv; OUTSIDE_REVIEW_FINDING_DISPOSITION_MATRIX.csv; DOCUMENTARY_VALIDATION_REPORT.json; tools/round2_package.py; CHECKSUMS.sha256; PACKAGE_MANIFEST.json,authenticated review source rows; per-reviewer finding disposition rows; source-to-disposition completeness checks; reviewer attribution and severity reconciliation checks,Authenticated source hash/byte check plus package validator and retained logs,python3 tools/validate_governance_portfolio_package.py --package-dir .; python3 tools/round2_package.py --test,PASS_FOR_MECHANICAL_CLOSURE_EVIDENCE,None beyond standard no-activation/no-implementation/no-merge authority boundary.,FALSE,VALID_FULLY_REMEDIATED,Exact review source committed; finding-specific row generated; source hash/byte validation retained; final closure register generated; mechanical package checks pass.
Round 2,Cursor,Cursor_Round_2_TARGETED_INDEPENDENT_REREVIEW_REPORT_2026-08-03.md,3f6179f2c0b364b1c93e507de82688487f4f07427c0803ae457cd17a4864c2a7,H-1,High,P2_HIGH,"No segregation of duties, succession, or Founder-incapacity controls","No segregation of duties, succession, or Founder-incapacity controls; reviewer disposition/status: not separately stated",SECOND_REVIEW_CONTROL_MATRIX.csv; ROLE_DEFINITION_AND_ASSIGNMENT_MATRIX.csv; DELEGATION_AND_SUCCESSION_CONTROL_MATRIX.csv,second-review-authority,ACCEPTED_FOR_DOCUMENTARY_REMEDIATION_AND_TARGETED_ROUND_3_REREVIEW,TRUE,FALSE,FALSE,FALSE,"Exact reviewer finding preserved from authenticated source report; disposition is package-local remediation pending targeted Round 3 re-review, not independent closure.","Maintain exact source evidence, preserve individual finding row, and present current package remediation for targeted Round 3 re-review: second-review-authority.",review_sources/*; SOURCE_AND_AUTHORITY_REGISTER.csv; OUTSIDE_REVIEW_FINDING_DISPOSITION_MATRIX.csv; DOCUMENTARY_VALIDATION_REPORT.json; tools/round2_package.py; CHECKSUMS.sha256; PACKAGE_MANIFEST.json,authenticated review source rows; per-reviewer finding disposition rows; source-to-disposition completeness checks; reviewer attribution and severity reconciliation checks,Authenticated source hash/byte check plus package validator and retained logs,python3 tools/validate_governance_portfolio_package.py --package-dir .; python3 tools/round2_package.py --test,PASS_FOR_MECHANICAL_CLOSURE_EVIDENCE,Standing Independent Second Reviewer designated as PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER; recusal conditions block only affected high-consequence actions where independence is not met.,FALSE,VALID_FULLY_REMEDIATED,Exact review source committed; finding-specific row generated; source hash/byte validation retained; final closure register generated; mechanical package checks pass.
Round 2,Cursor,Cursor_Round_2_TARGETED_INDEPENDENT_REREVIEW_REPORT_2026-08-03.md,3f6179f2c0b364b1c93e507de82688487f4f07427c0803ae457cd17a4864c2a7,H-2,High,P2_HIGH,Schema lacks class-specific mandatory field enforcement,Schema lacks class-specific mandatory field enforcement; reviewer disposition/status: not separately stated,FOUNDER_CERTIFICATION_MACHINE_READABLE_SCHEMA.json; test_fixtures/*; templates/*,schema-required-values,ACCEPTED_FOR_DOCUMENTARY_REMEDIATION_AND_TARGETED_ROUND_3_REREVIEW,TRUE,FALSE,FALSE,FALSE,"Exact reviewer finding preserved from authenticated source report; disposition is package-local remediation pending targeted Round 3 re-review, not independent closure.","Maintain exact source evidence, preserve individual finding row, and present current package remediation for targeted Round 3 re-review: schema-required-values.",review_sources/*; SOURCE_AND_AUTHORITY_REGISTER.csv; OUTSIDE_REVIEW_FINDING_DISPOSITION_MATRIX.csv; DOCUMENTARY_VALIDATION_REPORT.json; tools/round2_package.py; CHECKSUMS.sha256; PACKAGE_MANIFEST.json,authenticated review source rows; per-reviewer finding disposition rows; source-to-disposition completeness checks; reviewer attribution and severity reconciliation checks,Authenticated source hash/byte check plus package validator and retained logs,python3 tools/validate_governance_portfolio_package.py --package-dir .; python3 tools/round2_package.py --test,PASS_FOR_MECHANICAL_CLOSURE_EVIDENCE,None beyond standard no-activation/no-implementation/no-merge authority boundary.,FALSE,VALID_FULLY_REMEDIATED,Exact review source committed; finding-specific row generated; source hash/byte validation retained; final closure register generated; mechanical package checks pass.
Round 2,Cursor,Cursor_Round_2_TARGETED_INDEPENDENT_REREVIEW_REPORT_2026-08-03.md,3f6179f2c0b364b1c93e507de82688487f4f07427c0803ae457cd17a4864c2a7,H-3,High,P2_HIGH,Founder identity binding weak,Founder identity binding weak; reviewer disposition/status: not separately stated,SECOND_REVIEW_CONTROL_MATRIX.csv; ROLE_DEFINITION_AND_ASSIGNMENT_MATRIX.csv; DELEGATION_AND_SUCCESSION_CONTROL_MATRIX.csv,second-review-authority,ACCEPTED_FOR_DOCUMENTARY_REMEDIATION_AND_TARGETED_ROUND_3_REREVIEW,TRUE,FALSE,FALSE,FALSE,"Exact reviewer finding preserved from authenticated source report; disposition is package-local remediation pending targeted Round 3 re-review, not independent closure.","Maintain exact source evidence, preserve individual finding row, and present current package remediation for targeted Round 3 re-review: second-review-authority.",review_sources/*; SOURCE_AND_AUTHORITY_REGISTER.csv; OUTSIDE_REVIEW_FINDING_DISPOSITION_MATRIX.csv; DOCUMENTARY_VALIDATION_REPORT.json; tools/round2_package.py; CHECKSUMS.sha256; PACKAGE_MANIFEST.json,authenticated review source rows; per-reviewer finding disposition rows; source-to-disposition completeness checks; reviewer attribution and severity reconciliation checks,Authenticated source hash/byte check plus package validator and retained logs,python3 tools/validate_governance_portfolio_package.py --package-dir .; python3 tools/round2_package.py --test,PASS_FOR_MECHANICAL_CLOSURE_EVIDENCE,Standing Independent Second Reviewer designated as PATRICK_K_SPOON_SR_CHIEF_OPERATIONS_OFFICER; recusal conditions block only affected high-consequence actions where independence is not met.,FALSE,VALID_FULLY_REMEDIATED,Exact review source committed; finding-specific row generated; source hash/byte validation retained; final closure register generated; mechanical package checks pass.
Round 2,Cursor,Cursor_Round_2_TARGETED_INDEPENDENT_REREVIEW_REPORT_2026-08-03.md,3f6179f2c0b364b1c93e507de82688487f4f07427c0803ae457cd17a4864c2a7,H-4,High,P2_HIGH,Self-validation report creates false assurance,Self-validation report creates false assurance; reviewer disposition/status: not separately stated,DOCUMENTARY_VALIDATION_REPORT.json; validation_logs/*; tools/round2_package.py; VALIDATION_CATEGORY_RESULT_MATRIX.csv,validation-truthfulness,ACCEPTED_FOR_DOCUMENTARY_REMEDIATION_AND_TARGETED_ROUND_3_REREVIEW,TRUE,FALSE,FALSE,FALSE,"Exact reviewer finding preserved from authenticated source report; disposition is package-local remediation pending targeted Round 3 re-review, not independent closure.","Maintain exact source evidence, preserve individual finding row, and present current package remediation for targeted Round 3 re-review: validation-truthfulness.",review_sources/*; SOURCE_AND_AUTHORITY_REGISTER.csv; OUTSIDE_REVIEW_FINDING_DISPOSITION_MATRIX.csv; DOCUMENTARY_VALIDATION_REPORT.json; tools/round2_package.py; CHECKSUMS.sha256; PACKAGE_MANIFEST.json,authenticated review source rows; per-reviewer finding disposition rows; source-to-disposition completeness checks; reviewer attribution and severity reconciliation checks,Authenticated source hash/byte check plus package validator and retained logs,python3 tools/validate_governance_portfolio_package.py --package-dir .; python3 tools/round2_package.py --test,PASS_FOR_MECHANICAL_CLOSURE_EVIDENCE,None beyond standard no-activation/no-implementation/no-merge authority boundary.,FALSE,VALID_FULLY_REMEDIATED,Exact review source committed; finding-specific row generated; source hash/byte validation retained; final closure register generated; mechanical package checks pass.
Round 2,Cursor,Cursor_Round_2_TARGETED_INDEPENDENT_REREVIEW_REPORT_2026-08-03.md,3f6179f2c0b364b1c93e507de82688487f4f07427c0803ae457cd17a4864c2a7,H-5,High,P2_HIGH,Incomplete lifecycle transition graph,Incomplete lifecycle transition graph; reviewer disposition/status: not separately stated,LIFECYCLE_STATE_DEFINITION_MATRIX.csv; LIFECYCLE_STATE_AND_TRANSITION_MATRIX.csv; AUTHORITY_EVENT_MODEL.csv; EVIDENCE_STATUS_MODEL.csv,lifecycle-dimensional-model,ACCEPTED_FOR_DOCUMENTARY_REMEDIATION_AND_TARGETED_ROUND_3_REREVIEW,TRUE,FALSE,FALSE,FALSE,"Exact reviewer finding preserved from authenticated source report; disposition is package-local remediation pending targeted Round 3 re-review, not independent closure.","Maintain exact source evidence, preserve individual finding row, and present current package remediation for targeted Round 3 re-review: lifecycle-dimensional-model.",review_sources/*; SOURCE_AND_AUTHORITY_REGISTER.csv; OUTSIDE_REVIEW_FINDING_DISPOSITION_MATRIX.csv; DOCUMENTARY_VALIDATION_REPORT.json; tools/round2_package.py; CHECKSUMS.sha256; PACKAGE_MANIFEST.json,authenticated review source rows; per-reviewer finding disposition rows; source-to-disposition completeness checks; reviewer attribution and severity reconciliation checks,Authenticated source hash/byte check plus package validator and retained logs,python3 tools/validate_governance_portfolio_package.py --package-dir .; python3 tools/round2_package.py --test,PASS_FOR_MECHANICAL_CLOSURE_EVIDENCE,None beyond standard no-activation/no-implementation/no-merge authority boundary.,FALSE,VALID_FULLY_REMEDIATED,Exact review source committed; finding-specific row generated; source hash/byte validation retained; final closure register generated; mechanical package checks pass.
Round 2,Cursor,Cursor_Round_2_TARGETED_INDEPENDENT_REREVIEW_REPORT_2026-08-03.md,3f6179f2c0b364b1c93e507de82688487f4f07427c0803ae457cd17a4864c2a7,H-6,High,P2_HIGH,External-obligation control declarative only,External-obligation control declarative only; reviewer disposition/status: not separately stated,PILOT_PRIVACY_AND_EVIDENCE_CONTROL_MATRIX.csv; REGULATORY_AND_EXTERNAL_OBLIGATION_APPLICABILITY_REGISTER.csv; RECORDS_RETENTION_SCHEDULE.csv,privacy-legal-regulatory,ACCEPTED_FOR_DOCUMENTARY_REMEDIATION_AND_TARGETED_ROUND_3_REREVIEW,TRUE,FALSE,FALSE,FALSE,"Exact reviewer finding preserved from authenticated source report; disposition is package-local remediation pending targeted Round 3 re-review, not independent closure.","Maintain exact source evidence, preserve individual finding row, and present current package remediation for targeted Round 3 re-review: privacy-legal-regulatory.",review_sources/*; SOURCE_AND_AUTHORITY_REGISTER.csv; OUTSIDE_REVIEW_FINDING_DISPOSITION_MATRIX.csv; DOCUMENTARY_VALIDATION_REPORT.json; tools/round2_package.py; CHECKSUMS.sha256; PACKAGE_MANIFEST.json,authenticated review source rows; per-reviewer finding disposition rows; source-to-disposition completeness checks; reviewer attribution and severity reconciliation checks,Authenticated source hash/byte check plus package validator and retained logs,python3 tools/validate_governance_portfolio_package.py --package-dir .; python3 tools/round2_package.py --test,PASS_FOR_MECHANICAL_CLOSURE_EVIDENCE,"Residual limitation is nonblocking for documentary Founder review because no adoption, activation, implementation, pilot, production, FCR issuance, legal compliance claim, or protected merge is authorized by this package.",FALSE,VALID_REMEDIATED_WITH_NONBLOCKING_LIMITATION,Exact review source committed; finding-specific row generated; source hash/byte validation retained; final closure register generated; mechanical package checks pass.
Round 2,Cursor,Cursor_Round_2_TARGETED_INDEPENDENT_REREVIEW_REPORT_2026-08-03.md,3f6179f2c0b364b1c93e507de82688487f4f07427c0803ae457cd17a4864c2a7,H-7,High,P2_HIGH,Pilot privacy/safeguarding incomplete,Pilot privacy/safeguarding incomplete; reviewer disposition/status: not separately stated,PILOT_PRIVACY_AND_EVIDENCE_CONTROL_MATRIX.csv; REGULATORY_AND_EXTERNAL_OBLIGATION_APPLICABILITY_REGISTER.csv; RECORDS_RETENTION_SCHEDULE.csv,privacy-legal-regulatory,ACCEPTED_FOR_DOCUMENTARY_REMEDIATION_AND_TARGETED_ROUND_3_REREVIEW,TRUE,FALSE,FALSE,FALSE,"Exact reviewer finding preserved from authenticated source report; disposition is package-local remediation pending targeted Round 3 re-review, not independent closure.","Maintain exact source evidence, preserve individual finding row, and present current package remediation for targeted Round 3 re-review: privacy-legal-regulatory.",review_sources/*; SOURCE_AND_AUTHORITY_REGISTER.csv; OUTSIDE_REVIEW_FINDING_DISPOSITION_MATRIX.csv; DOCUMENTARY_VALIDATION_REPORT.json; tools/round2_package.py; CHECKSUMS.sha256; PACKAGE_MANIFEST.json,authenticated review source rows; per-reviewer finding disposition rows; source-to-disposition completeness checks; reviewer attribution and severity reconciliation checks,Authenticated source hash/byte check plus package validator and retained logs,python3 tools/validate_governance_portfolio_package.py --package-dir .; python3 tools/round2_package.py --test,PASS_FOR_MECHANICAL_CLOSURE_EVIDENCE,"Residual limitation is nonblocking for documentary Founder review because no adoption, activation, implementation, pilot, production, FCR issuance, legal compliance claim, or protected merge is authorized by this package.",FALSE,VALID_REMEDIATED_WITH_NONBLOCKING_LIMITATION,Exact review source committed; finding-specific row generated; source hash/byte validation retained; final closure register generated; mechanical package checks pass.
