template_id,template_name,normalized_body_cluster,purpose_specificity_evidence,reviewer_dispute,v3_disposition,closure_condition
T1R2-AUDIT-TEMPLATE-01,INTERNAL_DOCUMENTARY_REVIEW_PLAN,CLUSTER-GENERIC-001,INSUFFICIENT_CURRENT_EVIDENCE_TO_CLOSE,CLAUDE-V2-05_DISPUTES_PPLX-P-04_AND_PPLX-N-06,T1C-004_NOT_REMEDIATED_RETAINED_OPEN,Outside reviewer must confirm purpose-specific body content and populated evidence fields.
T1R2-AUDIT-TEMPLATE-02,SCOPE_AND_EXCLUSIONS_SCHEDULE,CLUSTER-GENERIC-001,INSUFFICIENT_CURRENT_EVIDENCE_TO_CLOSE,CLAUDE-V2-05_DISPUTES_PPLX-P-04_AND_PPLX-N-06,T1C-004_NOT_REMEDIATED_RETAINED_OPEN,Outside reviewer must confirm purpose-specific body content and populated evidence fields.
T1R2-AUDIT-TEMPLATE-03,SOURCE_MANIFEST,CLUSTER-GENERIC-001,INSUFFICIENT_CURRENT_EVIDENCE_TO_CLOSE,CLAUDE-V2-05_DISPUTES_PPLX-P-04_AND_PPLX-N-06,T1C-004_NOT_REMEDIATED_RETAINED_OPEN,Outside reviewer must confirm purpose-specific body content and populated evidence fields.
T1R2-AUDIT-TEMPLATE-04,EVIDENCE_INDEX,CLUSTER-GENERIC-001,INSUFFICIENT_CURRENT_EVIDENCE_TO_CLOSE,CLAUDE-V2-05_DISPUTES_PPLX-P-04_AND_PPLX-N-06,T1C-004_NOT_REMEDIATED_RETAINED_OPEN,Outside reviewer must confirm purpose-specific body content and populated evidence fields.
T1R2-AUDIT-TEMPLATE-05,SAMPLING_RECORD,CLUSTER-GENERIC-001,INSUFFICIENT_CURRENT_EVIDENCE_TO_CLOSE,CLAUDE-V2-05_DISPUTES_PPLX-P-04_AND_PPLX-N-06,T1C-004_NOT_REMEDIATED_RETAINED_OPEN,Outside reviewer must confirm purpose-specific body content and populated evidence fields.
T1R2-AUDIT-TEMPLATE-06,REVIEWER_INDEPENDENCE_DISCLOSURE,CLUSTER-GENERIC-001,INSUFFICIENT_CURRENT_EVIDENCE_TO_CLOSE,CLAUDE-V2-05_DISPUTES_PPLX-P-04_AND_PPLX-N-06,T1C-004_NOT_REMEDIATED_RETAINED_OPEN,Outside reviewer must confirm purpose-specific body content and populated evidence fields.
T1R2-AUDIT-TEMPLATE-07,CONFLICT_DISCLOSURE,CLUSTER-GENERIC-001,INSUFFICIENT_CURRENT_EVIDENCE_TO_CLOSE,CLAUDE-V2-05_DISPUTES_PPLX-P-04_AND_PPLX-N-06,T1C-004_NOT_REMEDIATED_RETAINED_OPEN,Outside reviewer must confirm purpose-specific body content and populated evidence fields.
T1R2-AUDIT-TEMPLATE-08,FINDING_SCHEDULE,CLUSTER-GENERIC-001,INSUFFICIENT_CURRENT_EVIDENCE_TO_CLOSE,CLAUDE-V2-05_DISPUTES_PPLX-P-04_AND_PPLX-N-06,T1C-004_NOT_REMEDIATED_RETAINED_OPEN,Outside reviewer must confirm purpose-specific body content and populated evidence fields.
T1R2-AUDIT-TEMPLATE-09,RESIDUAL_RISK_SCHEDULE,CLUSTER-GENERIC-001,INSUFFICIENT_CURRENT_EVIDENCE_TO_CLOSE,CLAUDE-V2-05_DISPUTES_PPLX-P-04_AND_PPLX-N-06,T1C-004_NOT_REMEDIATED_RETAINED_OPEN,Outside reviewer must confirm purpose-specific body content and populated evidence fields.
T1R2-AUDIT-TEMPLATE-10,FOUNDER_ATTESTATION_SCHEDULE,CLUSTER-GENERIC-001,INSUFFICIENT_CURRENT_EVIDENCE_TO_CLOSE,CLAUDE-V2-05_DISPUTES_PPLX-P-04_AND_PPLX-N-06,T1C-004_NOT_REMEDIATED_RETAINED_OPEN,Outside reviewer must confirm purpose-specific body content and populated evidence fields.
