"label_1","label_2","review_cycle","lane_id","thread_id","source_thread_id","runtime_provenance","started_utc","generated_utc","finding_id","domain","classification","severity","lifecycle","summary","attribution","independent_support","evidence_links","disposition_effect","proposed_redline_ids","dissent_ids","limitations","self_audit","completion_attestation","output_hash_reference"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-A-001","Custody","EXACTLY_ALIGNED","","VERIFIED","The external handoff ZIP and all expanded package bytes match their frozen checksum and manifest chain; no byte corruption or drift was observed.","CMT-01 section 4;CMT-04 section 3;CMT-05 Integrity and intake;CMT-06 MV-003..MV-011","Four lanes independently recomputed package bytes or checksum sets.","lane_outputs/CMT-01/LANE_REPORT.md:38;lane_outputs/CMT-06/MACHINE_VALIDATION_RESULTS.csv:4-12;frozen_review_object/EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0/SHA256SUMS.txt","Positive custody result only; authority lifecycle and segregation limitations remain open.","","CMT08-D-001;CMT08-D-002;CMT08-D-003","Byte integrity does not establish ongoing immutability or remote authority provenance.","PASS: positive result is not counted as P0/P1/P2 and does not imply readiness.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-A-002","Relationships","EXACTLY_ALIGNED","","VERIFIED","All seven Relationships formal ADR Decision and Normative Technical Rules sections preserve the corresponding approved recommendation core text exactly.","CMT-03 Outcome and Positive conformance;CMT-04 sections 4 and 8;CMT-06 MV-023..MV-030","CMT-03 and CMT-04 independently compared the recommendation and formal sections; CMT-06 confirmed lineage parity.","lane_outputs/CMT-03/RELATIONSHIPS_ADR_MATRIX.csv:2-8;lane_outputs/CMT-04/FOURTEEN_ADR_INDEPENDENT_MATRIX.csv:9-15;review_materials/EquineSync_Relationships_ADR_Recommendations_V1_0_0;review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0","Exact copying does not prove complete coverage of higher-authority Founder decisions.","","CMT08-D-004","Core-section equality is narrower than decision-semantic completeness.","PASS: higher-authority omissions remain separately open.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-A-003","Cross-domain","EXACTLY_ALIGNED","","VERIFIED","CMT-07 reproduced 13 of 13 documentary golden paths with complete trace cells while expressly retaining P1 blockers and denying implementation authority.","CMT-07 Scope and result","Frozen path records directly support a documentary trace result.","lane_outputs/CMT-07/IDENTITY_GOLDEN_PATH_RESULTS.csv:2-8;lane_outputs/CMT-07/RELATIONSHIPS_GOLDEN_PATH_RESULTS.csv:2-7","Documentary traceability is positive but is not ratification or runtime evidence.","","CMT08-D-007","No application or executable workflow was run.","PASS: result scope is documentary only.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-P0-001","Identity safeguarding","CONTROL_WEAKENING","P0","OPEN","Mandatory separate minor identity/account/credentials are weakened by optional workflow text and ordinarily-separate contract text.","CMT02-F-001;CMT05-F-003;ES-REV-2026-002-F-0401;CMT04-CD-004","CMT-02 and CMT-05 independently identified the contradiction; CMT-04 identified incomplete minor separation; CMT-08 checked the frozen clauses.","review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv:5;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/WORKFLOW_REGISTER.csv:5;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/IDENTITY_PROTECTED_PARTICIPANT_CONTRACT.md:5","Blocks Identity and combined ratification readiness.","CMT08-PR-001","","No jurisdiction-specific legal conclusion is made.","PASS: directive classification and P0 severity preserved.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-P0-002","Identity authorization","CONTROL_WEAKENING","P0","OPEN","The recovery contract may accept resulting assurance without preserving the Founder-required step-up risk-check or controlled-review condition for high-risk actions.","CMT02-F-002;CMT05-F-002;CMT07-P1-004","CMT-02 found the exact weakening; CMT-05 and CMT-07 independently found missing recovery authority/state boundaries; CMT-08 checked FD-006 and contract invariant 3.","review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv:7;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/IDENTITY_AUTHORIZATION_CONTRACT.md:27;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-005_FORMAL.md:17","Blocks Identity and combined ratification readiness.","CMT08-PR-002","","Documentary wording only; no recovery workflow was executed.","PASS: directive classification and P0 severity preserved.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-P1-001","Custody and segregation","CONTROL_WEAKENING","P1","OPEN","Input files were non-writable but CMT-01 twice observed all 13 containing directories as owner-writable 0700 so replacement or deletion was not technically prevented.","ES-REV-2026-002-CMT-01-F-0002","CMT-01 performed two direct mode checks and a rehash; CMT-06 verified file write bits only.","lane_outputs/CMT-01/LANE_REPORT.md:75-83;lane_outputs/CMT-06/MACHINE_VALIDATION_RESULTS.csv:13","Does not prove byte corruption but remains an open custody prerequisite for final packaging.","","CMT08-D-001;CMT08-D-002","Host path segregation is procedural and no cross-lane mutation was observed.","PASS: byte integrity and technical immutability kept separate.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-P1-002","Authority provenance","SOURCE_GAP","P1","OPEN","The expected Stage 2A closure commit and three cited chain commits were absent from the local object database; remote existence of the closure commit was coordinator-reported but not independently re-performed by CMT-01.","ES-REV-2026-002-CMT-01-F-0001","CMT-01 deterministically verified local absence and preserved the coordinator report at lower evidence strength.","lane_outputs/CMT-01/EVIDENCE_INVENTORY.csv:E-GIT-002,E-GIT-006,E-GIT-007,E-GIT-008;lane_outputs/CMT-01/AUTHORITY_AND_LIFECYCLE.csv:A-GIT-002","Leaves authority provenance open without altering the byte-integrity pass.","","CMT08-D-003","No network verification was permitted in CMT-08.","PASS: local observation and remote report remain distinct.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-P1-003","Cross-domain source authority","SOURCE_GAP","P1","OPEN","Exact active path hash and lifecycle coverage is incomplete across Identity and Relationships; Relationships also reuses source IDs for different authorities without a deterministic crosswalk.","ES-REV-2026-002-CMT-01-F-0003;CMT02-F-011;CMT02-F-012;CMT03-P1-001;CMT03-P1-002;ES-REV-2026-002-F-0403;CMT06-P1-002;CMT06-P1-003","CMT-01 CMT-02 CMT-03 CMT-04 and CMT-06 independently converge on source gaps; CMT-08 checked the source registers.","lane_outputs/CMT-01/AUTHORITY_AND_LIFECYCLE.csv;lane_outputs/CMT-02/IDENTITY_SOURCE_DELTAS.csv;lane_outputs/CMT-03/RELATIONSHIPS_SOURCE_DELTAS.csv;lane_outputs/CMT-06/REFERENCE_AND_COVERAGE_RESULTS.csv:COV-030,COV-031","Blocks exact source authority and cross-domain closure.","CMT08-PR-013","","No missing hashes were invented from out-of-scope sources.","PASS: overlapping lane findings deduplicated without closure.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-P1-004","Governance lifecycle","AMBIGUOUS_REQUIRES_REMEDIATION","P1","OPEN","Current approval artifacts coexist with preserved pending decision recommendation and PIA statuses without one explicit human-and-machine lifecycle precedence map.","ES-REV-2026-002-CMT-01-F-0004;CMT02-F-013;CMT03-P1-003;ES-REV-2026-002-F-0404;CMT05-F-008;CMT06-P1-001","Six lanes independently observed lifecycle/status conflict at different severities; CMT-08 verified the frozen status surfaces.","review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/PRE_RATIFICATION_STATUS.json;review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/FOUNDER_DECISION_REGISTER.csv;review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/ADR_RECOMMENDATIONS_MACHINE_READABLE.json;review_materials/EquineSync_Relationships_Controlled_Sequence_V1_0_0/FOUNDER_APPROVAL_INGESTION_RECORD.md","Blocks a single-valued ratification object until successor status precedence is explicit.","CMT08-PR-012","CMT08-D-006","Predecessor bytes may remain immutable; remediation must overlay rather than silently rewrite history.","PASS: P1 selected for machine/current-lifecycle ambiguity while CMT-04 P2 dissent remains recorded.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","ES-REV-2026-002","CMT-08","019f811f-155f-7eb1-90eb-60b7f9bba4d5","019f8104-9235-7f03-8a3e-c68d4b199e09","Codex desktop generic controlled thread; GPT-5 family; exact model identifier not exposed","2026-07-20T20:02:05Z","2026-07-20T20:06:25Z","CMT08-P1-005","Identity ADR traceability","MISSING_TRACEABILITY","P1","OPEN","IDENTITY-FD-005 is unmapped and multiple registered Identity mappings omit or overstate the actual FD-002 FD-004 FD-007 FD-009 FD-011 and FD-012 semantics.","CMT02-F-003;CMT02-F-004;ES-REV-2026-002-F-0401;CMT04-CD-003,CMT04-CD-005,CMT04-CD-006,CMT04-CD-007,CMT04-CD-013;CMT06-COV-019","CMT-02 and independent CMT-04 semantic review converge; CMT-06 confirms only 11 of 12 decisions are mapped; CMT-08 checked the Founder and ADR registers.","review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv:2-13;review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FORMAL_ADR_REGISTER.csv:2-8","Blocks Identity exact-text ratification.","CMT08-PR-003;CMT08-PR-004","","Traceability repair must not introduce unapproved material policy.","PASS: semantic gaps separated from valid identifier references.","CMT_08_SEGREGATED_SYNTHESIS_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED","OUTPUT_MANIFEST.json"
