source_id,source_class,status,locator,authority_use,prohibited_use
RAP-SRC-001,PIA_STANDARD,ADOPTED_EFFECTIVE,ES-PIA-MASTER-STANDARD-V1.1,"Canonical structure; lifecycle; readiness; evidence","Cannot authorize implementation"
RAP-SRC-002,LOCKED_CANON,ADOPTED_LOCKED,docs/canon/MASTER_RELATIONSHIP_MODEL.md,"Relationship; representation; delegation truth","Cannot grant final permission by itself"
RAP-SRC-003,LOCKED_CANON,ADOPTED_LOCKED,docs/canon/adopted_sources/MASTER_PERMISSION_AND_ACCESS_CONTROL_MODEL_V1_1_ADOPTED_SOURCE.md,"Permission evaluation and enforcement","Cannot create identity; relationship; or agreement truth"
RAP-SRC-004,LOCKED_CANON,ADOPTED_AND_LOCKED,docs/canon/adoptions/c0_019_agreement_consent_authorization_v2_1/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_1_ADOPTED_PRE_LOCK.md,"Agreement; consent; authorization source facts","Cannot replace Item 03 workflow design"
RAP-SRC-005,UNDERLYING_PIA,FOUNDER_APPROVED_DESIGN,"Frozen Relationships PIA V1.1.0 in ES-REM-2026-001 predecessor ZIP","Component A provenance","Cannot approve the current successor"
RAP-SRC-006,SUCCESSOR_CANDIDATE,PENDING_FRESH_REVIEW,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001,"Candidate ADRs; contracts; remediation","Cannot be represented as ratified or adopted"
RAP-SRC-007,AUTHORIZATION_INTERFACE,PROPOSED_NOT_APPROVED,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_contracts/AUTHORIZATION_INTERFACE_PIA_CANDIDATE.md,"Predecessor-qualified interface requirements","Cannot substitute for full Component B/C review"
RAP-SRC-008,FOUNDER_APPROVAL,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,REMAINING_PIAS_FOUNDER_APPROVAL_RECORD_2026-07-22.md,"GFD-003 provider allocation and documentary incorporation authority","Cannot authorize implementation; runtime; review; adoption; ratification; or lock"
RAP-SRC-009,PROGRAM_DECISION_REGISTER,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,REMAINING_PIAS_GLOBAL_FOUNDER_DECISION_REGISTER.csv,"Exact GFD recommendations; affected PIAs; allocations","Cannot broaden approved scope"
RAP-SRC-010,PRESERVED_PREDECESSOR,IMMUTABLE_STARTING_REVIEW_OBJECT,BATCH_01_FOUNDATIONAL/ITEM_03_INITIAL_DRAFT_V0_1,"V0.1 lineage; exact questions; open issues","Cannot be overwritten or represented as reviewed"
RAP-SRC-011,LOCKED_CROSS_CUTTING_CANONS,ADOPTED_LOCKED,"Claims V2.0; Privacy V2.0; Safeguarding V1.2; Audit V2.0; Records V2.1","Claims; privacy; safeguarding; evidence; correction; retention boundaries","Cannot create Item 03 domain truth"
RAP-SRC-012,FOUNDER_DIRECTED_PORTFOLIO,FOUNDER_CONTROLLED,governance/pia_portfolio/ES-PIA-PORTFOLIO-REALIGNMENT-V1.0.0,"Ten-item portfolio; cross-PIA ownership","Cannot create an eleventh PIA without separate authority"
