state_id,meaning,required_evidence,authority_effect,does_not_prove,rule_ids
DOCUMENTARY_COMPLETION,"Documents, matrices, source register, validation, and retained risks complete for exact documentary scope.","Manifest, checksums, source traceability, validation report, closed OQ disposition register.",Documentary only unless separately adopted/activated.,Code exists; tests executed; operations ready; pilot or production authority exists.,ES-GPS-CLOSE-001
IMPLEMENTATION_COMPLETION,Authorized implementation work has been completed for exact scope.,"Commit/build, work package, owner attestation, diff, implementation evidence.",May enter verification or certification review.,Verification passed; operations ready; pilot/production authority exists.,ES-GPS-IMPL-001
VERIFICATION_COMPLETE,Executed or accepted substitute verification complete for exact baseline.,"Test results, defects, baseline, plus waiver/substitution records where applicable.",Supports operational readiness review.,"Operational readiness, pilot, or production authority.",ES-GPS-VER-001
OPERATIONALLY_READY,"Support, monitoring, incident response, backups, rollback, owners, providers ready or accepted by competent authority.","Runbooks, rehearsals, provider checks, support plan, certification if substitute evidence accepted.",Supports pilot or release decision.,Pilot or production authority.,ES-GPS-OPS-001
PILOT_READY,Controlled pilot envelope is ready for separate authorization.,"Cohort, environment, feature flags, data scope, duration, stop conditions, risk acceptance.",Supports Founder pilot authorization.,User cohort may be enrolled without authorization; production exists.,ES-GPS-PILOT-001
PRODUCTION_READY,Evidence package may support production decision.,"Documentary, implementation, verification, operations, pilot/substitute evidence, release record, risks.",Supports Founder exact-head production authorization.,Production authority without exact authorization.,ES-GPS-PROD-001
COMPLETE_WITH_FOUNDER_CERTIFIED_HISTORICAL_EVIDENCE_EXCEPTION,Closure accepted despite unavailable historical source.,"FCR-01 record with recovery steps, substitute evidence, uncertainty, prohibited claims.",Closure only inside certified scope.,Exact-byte continuity or inspection of unavailable source.,ES-GPS-HIST-001
COMPLETE_WITH_FOUNDER_TEST_WAIVER,Closure or continuation accepted with a waived test.,"FCR-03 record with test purpose, reason, evidence, residual risk, prohibited claims.",Continuation or closure only inside waiver scope.,That test passed or was executed.,ES-GPS-WAIVE-001
COMPLETE_WITH_PILOT_EVIDENCE_SUBSTITUTION,Pilot-produced evidence accepted for a requirement.,"FCR-06 record with environment, commit, cohort, duration, scope, provenance, metrics, substitute requirement.",Requirement satisfaction inside certified scope.,Production evidence or unrestricted release.,ES-GPS-PILOTEVD-001
COMPLETE_WITH_RETAINED_RISK,Closure accepted with known residual risk.,"FCR-08 record with risk, rationale, controls, owner, expiration/review trigger.",Closure with retained-risk disclosure.,Risk elimination.,ES-GPS-RISK-001
ACCEPTABLE_FOR_CONTROLLED_CONTINUATION,Work may continue based on soundness and accepted evidence.,"FCR-07 record with in-house results, known limitations, retained risks, continuation scope.",Controlled continuation only.,Production authority or full closure.,ES-GPS-SOUND-001
ACCEPTABLE_FOR_BOUNDED_PILOT,Evidence supports a bounded pilot if separately authorized.,Operational or Founder readiness certification plus pilot envelope.,Pilot authorization decision.,Production authority.,ES-GPS-PILOT-001; ES-GPS-SOUND-001
PRODUCTION_AUTHORIZED_WITH_EXPRESS_EXCEPTIONS,Production authority granted while naming exceptions and retained risks.,"FCR-10 record, exact head/release, exceptions, risks, authority, effective date.",Production activation inside exact scope.,Authority outside stated scope.,ES-GPS-CERT-PROD-001
