permitted_starting_state,permitted_next_state,permitted,required_authority,required_evidence,prohibited_transitions,reversal_rules,suspension_rules,supersession_rules,reactivation_rules,archival_rules
CANDIDATE,CANDIDATE,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_CANDIDATE,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
CANDIDATE,DRAFT_UNMERGED,YES,documentary drafting authority,candidate branch/package evidence,,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
CANDIDATE,FOUNDER_REVIEW_READY,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_FOUNDER_REVIEW_READY,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
CANDIDATE,REMEDIATION_REQUIRED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_REMEDIATION_REQUIRED,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
CANDIDATE,REJECTED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_REJECTED,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
CANDIDATE,ADOPTED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_ADOPTED,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
CANDIDATE,LOCKED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_LOCKED,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
CANDIDATE,ACCESSIONED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_ACCESSIONED,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
CANDIDATE,ACTIVE,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_ACTIVE,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
CANDIDATE,SUSPENDED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_SUSPENDED,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
CANDIDATE,SUPERSEDED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_SUPERSEDED,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
CANDIDATE,HISTORICAL_RETAINED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_HISTORICAL_RETAINED,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
CANDIDATE,BLOCKED_EVIDENCE_REQUIRED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_BLOCKED_EVIDENCE_REQUIRED,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
DRAFT_UNMERGED,CANDIDATE,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,DRAFT_UNMERGED_TO_CANDIDATE,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
DRAFT_UNMERGED,DRAFT_UNMERGED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,DRAFT_UNMERGED_TO_DRAFT_UNMERGED,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
DRAFT_UNMERGED,FOUNDER_REVIEW_READY,YES,documentary review authority,passing package validation and unresolved item disclosure,,"Reversal requires explicit rescission, rejection, remediation, or supersession evidence.",Suspension restricts active effect until reactivation evidence exists.,Supersession requires successor or documented basis.,Reactivation requires authority and evidence.,Historical retention preserves prior truth without present-tense control claims.
