normative_row_id,guide_family,freeze_record_id,source_or_document_id,source_id,repository_path,title,inclusion_category,source_class,authority_status,controlling_language_summary,expected_control_or_invariant_subject,provenance,immutable_commit_or_checksum,conflict_status,ambiguity_status,traceability_status,classification_status,notes
CGP006-NR-0001,ES-CG-00,CGP005-NF-ES-CG-00-0001,CGP005-NF-ES-CG-00-0001,CGSRC-GOV-0002,docs/canon/registries/CANON_ARTIFACT_INVENTORY.md,Canon Artifact Inventory,CONTROLLING_FROZEN,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00 requires this approved authority to establish charter_authority;program_scope;lifecycle;ownership;non_authorization before any drafting begins.,charter_authority;program_scope;lifecycle;ownership;non_authorization,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,5cedea86f1dfcbcf6bb69aef000f25175ed72d497fda18826f69b51c770382d1,NO_KNOWN_BLOCKING_CONFLICT,NO_UNRESOLVED_AMBIGUITY,TRACEABLE_TO_CGP005_SOURCE_FREEZE,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,This row reconciles the approved CGP-005 guide-specific normative source freeze and does not create adoption or activation.
CGP006-NR-0002,ES-CG-00,CGP005-NF-ES-CG-00-0002,CGP005-NF-ES-CG-00-0002,CGSRC-GOV-0003,docs/canon/registries/CANON_DEPENDENCY_REGISTRY.md,Canon Dependency Registry,CONTROLLING_FROZEN,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00 requires this approved authority to establish charter_authority;program_scope;lifecycle;ownership;non_authorization before any drafting begins.,charter_authority;program_scope;lifecycle;ownership;non_authorization,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,dffc4f152f65f5ebcf65c27b533b45a217f3c60f1737a87cffd38c165c5cb562,NO_KNOWN_BLOCKING_CONFLICT,NO_UNRESOLVED_AMBIGUITY,TRACEABLE_TO_CGP005_SOURCE_FREEZE,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,This row reconciles the approved CGP-005 guide-specific normative source freeze and does not create adoption or activation.
CGP006-NR-0003,ES-CG-00,CGP005-NF-ES-CG-00-0003,CGP005-NF-ES-CG-00-0003,CGSRC-GOV-0005,docs/canon/registries/CANON_STATE_AND_LOCK_REGISTRY.md,Canon State and Lock Registry,CONTROLLING_FROZEN,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00 requires this approved authority to establish charter_authority;program_scope;lifecycle;ownership;non_authorization before any drafting begins.,charter_authority;program_scope;lifecycle;ownership;non_authorization,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,272f35833dad117c08bd4e673dfd673becbc3cbc3eb0b240ce436f49292424ec,RETAINED_CONFLICT_VISIBLE,RETAINED_NON_BLOCKING_CONFLICT_VISIBLE,TRACEABLE_TO_CGP005_SOURCE_FREEZE,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,This row reconciles the approved CGP-005 guide-specific normative source freeze and does not create adoption or activation.
CGP006-NR-0004,ES-CG-00,CGP005-NF-ES-CG-00-0004,CGP005-NF-ES-CG-00-0004,CGSRC-GOV-0006,docs/canon/registries/DOMAIN_OWNER_AND_STEWARD_REGISTRY.md,Domain Owner and Steward Registry,SUPPORTING_FROZEN,ADOPTED_GOVERNANCE,SUPPORTING,ES-CG-00 needs this interpretive or provenance source to apply controlling authority within charter_authority;program_scope;lifecycle;ownership;non_authorization.,charter_authority;program_scope;lifecycle;ownership;non_authorization,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,2cad6f74e89eb404fa8b520b694d71ea93e1240d9b01c24e98eff107f9f3b5c3,NO_KNOWN_BLOCKING_CONFLICT,NO_UNRESOLVED_AMBIGUITY,TRACEABLE_TO_CGP005_SOURCE_FREEZE,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,This row reconciles the approved CGP-005 guide-specific normative source freeze and does not create adoption or activation.
CGP006-NR-0005,ES-CG-00,CGP005-NF-ES-CG-00-0005,CGP005-NF-ES-CG-00-0005,CGSRC-GOV-0008,docs/canon/registries/IMPLEMENTATION_AUTHORIZATION_REGISTRY.md,Implementation Authorization Registry,CONTROLLING_FROZEN,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00 requires this approved authority to establish charter_authority;program_scope;lifecycle;ownership;non_authorization before any drafting begins.,charter_authority;program_scope;lifecycle;ownership;non_authorization,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,3d2d90ecbe3cc519b21628145dab8f57d3d492b6126db582bd2da86df29efe45,NO_KNOWN_BLOCKING_CONFLICT,NO_UNRESOLVED_AMBIGUITY,TRACEABLE_TO_CGP005_SOURCE_FREEZE,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,This row reconciles the approved CGP-005 guide-specific normative source freeze and does not create adoption or activation.
CGP006-NR-0006,ES-CG-00,CGP005-NF-ES-CG-00-0006,CGP005-NF-ES-CG-00-0006,CGSRC-GOV-0009,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_BASELINE_MANIFEST.json,Global Governance V1 0 Baseline Manifest.Json,CONTROLLING_FROZEN,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00 requires this approved authority to establish charter_authority;program_scope;lifecycle;ownership;non_authorization before any drafting begins.,charter_authority;program_scope;lifecycle;ownership;non_authorization,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,f5666ebffbfe527f6d01eb7fe7fbe9f21de541b7b3afe5c4a1fe2d1b3379bfe9,NO_KNOWN_BLOCKING_CONFLICT,NO_UNRESOLVED_AMBIGUITY,TRACEABLE_TO_CGP005_SOURCE_FREEZE,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,This row reconciles the approved CGP-005 guide-specific normative source freeze and does not create adoption or activation.
CGP006-NR-0007,ES-CG-00,CGP005-NF-ES-CG-00-0007,CGP005-NF-ES-CG-00-0007,CGSRC-GOV-0011,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_LOCK_CERTIFICATE.json,Global Governance V1 0 Lock Certificate.Json,CONTROLLING_FROZEN,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00 requires this approved authority to establish charter_authority;program_scope;lifecycle;ownership;non_authorization before any drafting begins.,charter_authority;program_scope;lifecycle;ownership;non_authorization,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,3dc9ae1d4cdd331c75fdc5883ea59d5d70243704ce13911ffe2da1d60f201f2f,NO_KNOWN_BLOCKING_CONFLICT,NO_UNRESOLVED_AMBIGUITY,TRACEABLE_TO_CGP005_SOURCE_FREEZE,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,This row reconciles the approved CGP-005 guide-specific normative source freeze and does not create adoption or activation.
CGP006-NR-0008,ES-CG-00,CGP005-NF-ES-CG-00-0008,CGP005-NF-ES-CG-00-0008,CGSRC-GOV-0012,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_LOCK_RECORD.md,EquineSync Global Governance V1.0 Lock Record,CONTROLLING_FROZEN,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00 requires this approved authority to establish charter_authority;program_scope;lifecycle;ownership;non_authorization before any drafting begins.,charter_authority;program_scope;lifecycle;ownership;non_authorization,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,16c9b4c4f16f078c036c0768da38ae0d70cc643b10f9b5d76a50205a426ba551,NO_KNOWN_BLOCKING_CONFLICT,NO_UNRESOLVED_AMBIGUITY,TRACEABLE_TO_CGP005_SOURCE_FREEZE,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,This row reconciles the approved CGP-005 guide-specific normative source freeze and does not create adoption or activation.
CGP006-NR-0009,ES-CG-00,CGP005-NF-ES-CG-00-0009,CGP005-NF-ES-CG-00-0009,CGSRC-GOV-0014,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_SCOPE.md,EquineSync Global Governance V1.0 Baseline Scope,CONTROLLING_FROZEN,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00 requires this approved authority to establish charter_authority;program_scope;lifecycle;ownership;non_authorization before any drafting begins.,charter_authority;program_scope;lifecycle;ownership;non_authorization,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,6f46803d8074ba530a042f34f4c1f9f4dc31bd61dc83bbec811e758605182b52,NO_KNOWN_BLOCKING_CONFLICT,NO_UNRESOLVED_AMBIGUITY,TRACEABLE_TO_CGP005_SOURCE_FREEZE,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,This row reconciles the approved CGP-005 guide-specific normative source freeze and does not create adoption or activation.
CGP006-NR-0010,ES-CG-00,CGP005-NF-ES-CG-00-0010,CGP005-NF-ES-CG-00-0010,CGSRC-GOV-0084,docs/canon/MASTER_ATLAS_GOVERNANCE.md,Master ATLAS Governance,CONTROLLING_FROZEN,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00 requires this approved authority to establish charter_authority;program_scope;lifecycle;ownership;non_authorization before any drafting begins.,charter_authority;program_scope;lifecycle;ownership;non_authorization,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,b7ba4f7537fcbc7628f82a001e7495982c0164c88f552567ae1f3ec3e2a05729,NO_KNOWN_BLOCKING_CONFLICT,NO_UNRESOLVED_AMBIGUITY,TRACEABLE_TO_CGP005_SOURCE_FREEZE,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,This row reconciles the approved CGP-005 guide-specific normative source freeze and does not create adoption or activation.
CGP006-NR-0011,ES-CG-00,CGP005-NF-ES-CG-00-0011,CGP005-NF-ES-CG-00-0011,CGSRC-GOV-0138,docs/canon/companions/GLOBAL_ADOPTION_STATE_REGISTER.json,Global Adoption State Register.Json,CONTROLLING_FROZEN,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00 requires this approved authority to establish charter_authority;program_scope;lifecycle;ownership;non_authorization before any drafting begins.,charter_authority;program_scope;lifecycle;ownership;non_authorization,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,2f82ea914b02be61b83e6457f3c263d19fdb813a6a179166e3fcd4af9167920c,NO_KNOWN_BLOCKING_CONFLICT,NO_UNRESOLVED_AMBIGUITY,TRACEABLE_TO_CGP005_SOURCE_FREEZE,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,This row reconciles the approved CGP-005 guide-specific normative source freeze and does not create adoption or activation.
CGP006-NR-0012,ES-CG-00,CGP005-NF-ES-CG-00-0012,CGP005-NF-ES-CG-00-0012,CGSRC-GOV-0139,docs/canon/companions/GLOBAL_ADOPTION_STATE_REGISTER.md,Global Adoption State Register,CONTROLLING_FROZEN,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00 requires this approved authority to establish charter_authority;program_scope;lifecycle;ownership;non_authorization before any drafting begins.,charter_authority;program_scope;lifecycle;ownership;non_authorization,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,b2530de52d8be2d3a8a6362bdbc1c42c0cf8e7179205112acd8d95417b7e5342,NO_KNOWN_BLOCKING_CONFLICT,NO_UNRESOLVED_AMBIGUITY,TRACEABLE_TO_CGP005_SOURCE_FREEZE,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,This row reconciles the approved CGP-005 guide-specific normative source freeze and does not create adoption or activation.
CGP006-NR-0013,ES-CG-00,CGP005-NF-ES-CG-00-0013,CGP005-NF-ES-CG-00-0013,CGSRC-GOV-0152,docs/canon/companions/MASTER_EQUINESYNC_GOVERNANCE_REQUIREMENT_INDEX_V1_0.json,Master Equinesync Governance Requirement Index V1 0.Json,CONTROLLING_FROZEN,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00 requires this approved authority to establish charter_authority;program_scope;lifecycle;ownership;non_authorization before any drafting begins.,charter_authority;program_scope;lifecycle;ownership;non_authorization,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,321be5cd10d6e47e1e4b85bc27f0732775b34683d6b74af84cdcf7bdf80702af,NO_KNOWN_BLOCKING_CONFLICT,NO_UNRESOLVED_AMBIGUITY,TRACEABLE_TO_CGP005_SOURCE_FREEZE,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,This row reconciles the approved CGP-005 guide-specific normative source freeze and does not create adoption or activation.
CGP006-NR-0014,ES-CG-00,CGP005-NF-ES-CG-00-0014,CGP005-NF-ES-CG-00-0014,CGSRC-GOV-0153,docs/canon/companions/MASTER_EQUINESYNC_GOVERNANCE_REQUIREMENT_INDEX_V1_0.md,Master EquineSync Governance Requirement Index V1.0,CONTROLLING_FROZEN,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00 requires this approved authority to establish charter_authority;program_scope;lifecycle;ownership;non_authorization before any drafting begins.,charter_authority;program_scope;lifecycle;ownership;non_authorization,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,0407592090ea0c63127626675565e8d14053a2ec3b64e8843b977471c55d00ca,NO_KNOWN_BLOCKING_CONFLICT,NO_UNRESOLVED_AMBIGUITY,TRACEABLE_TO_CGP005_SOURCE_FREEZE,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,This row reconciles the approved CGP-005 guide-specific normative source freeze and does not create adoption or activation.
CGP006-NR-0015,ES-CG-00,CGP005-NF-ES-CG-00-0015,CGP005-NF-ES-CG-00-0015,CGSRC-ATLAS-0006,docs/implementation/MASTER_EQUINESYNC_IMPLEMENTATION_ATLAS_ADOPTION_READINESS_REPORT.md,Master EquineSync Implementation Atlas V1.0 Adoption Readiness Report,CONTROLLING_FROZEN,IMPLEMENTATION_ATLAS,CONTROLLING,ES-CG-00 requires this approved authority to establish charter_authority;program_scope;lifecycle;ownership;non_authorization before any drafting begins.,charter_authority;program_scope;lifecycle;ownership;non_authorization,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,2cdf4b833a00a608feecfacb9de004f188899ea42a62449bafd089a20a8a9ab0,RETAINED_CONFLICT_VISIBLE,RETAINED_NON_BLOCKING_CONFLICT_VISIBLE,TRACEABLE_TO_CGP005_SOURCE_FREEZE,CLASSIFIED_NORMATIVE_FROZEN_SOURCE,This row reconciles the approved CGP-005 guide-specific normative source freeze and does not create adoption or activation.
