artifact_type,required_artifact,repository_status,current_location,v1_1_reconciliation_status,required_action
validation,validate_code_guide_structure.py,PRESENT,governance/implementation/code-guides/validation/validate_code_guide_structure.py,PRESENT_RELIABILITY_REVALIDATION_REQUIRED,Retain and revalidate under V1.1 before using for adoption or activation.
validation,validate_control_registry.py,PRESENT,governance/implementation/code-guides/validation/validate_control_registry.py,PRESENT_RELIABILITY_REVALIDATION_REQUIRED,Retain and revalidate under V1.1 before using for adoption or activation.
validation,validate_invariant_registry.py,PRESENT,governance/implementation/code-guides/validation/validate_invariant_registry.py,PRESENT_RELIABILITY_REVALIDATION_REQUIRED,Retain and revalidate under V1.1 before using for adoption or activation.
validation,validate_guide_questions.py,PRESENT,governance/implementation/code-guides/validation/validate_guide_questions.py,PRESENT_RELIABILITY_REVALIDATION_REQUIRED,Retain and revalidate under V1.1 before using for adoption or activation.
validation,validate_guide_dependencies.py,PRESENT,governance/implementation/code-guides/validation/validate_guide_dependencies.py,PRESENT_RELIABILITY_REVALIDATION_REQUIRED,Retain and revalidate under V1.1 before using for adoption or activation.
validation,validate_atlas_traceability.py,PRESENT,governance/implementation/code-guides/validation/validate_atlas_traceability.py,PRESENT_RELIABILITY_REVALIDATION_REQUIRED,Retain and revalidate under V1.1 before using for adoption or activation.
validation,validate_repository_mapping.py,PRESENT,governance/implementation/code-guides/validation/validate_repository_mapping.py,PRESENT_RELIABILITY_REVALIDATION_REQUIRED,Retain and revalidate under V1.1 before using for adoption or activation.
validation,validate_control_verification.py,PRESENT,governance/implementation/code-guides/validation/validate_control_verification.py,PRESENT_RELIABILITY_REVALIDATION_REQUIRED,Retain and revalidate under V1.1 before using for adoption or activation.
validation,validate_implementation_profiles.py,PRESENT,governance/implementation/code-guides/validation/validate_implementation_profiles.py,PRESENT_RELIABILITY_REVALIDATION_REQUIRED,Retain and revalidate under V1.1 before using for adoption or activation.
validation,validate_evidence_records.py,PRESENT,governance/implementation/code-guides/validation/validate_evidence_records.py,PRESENT_RELIABILITY_REVALIDATION_REQUIRED,Retain and revalidate under V1.1 before using for adoption or activation.
validation,validate_exceptions.py,PRESENT,governance/implementation/code-guides/validation/validate_exceptions.py,PRESENT_RELIABILITY_REVALIDATION_REQUIRED,Retain and revalidate under V1.1 before using for adoption or activation.
validation,validate_activation_records.py,MISSING,,MISSING_REQUIRED_ARTIFACT,Create in a separate authorized V1.1 revision workstream.
validation,validate_supersession.py,PRESENT,governance/implementation/code-guides/validation/validate_supersession.py,PRESENT_RELIABILITY_REVALIDATION_REQUIRED,Retain and revalidate under V1.1 before using for adoption or activation.
validation,validate_package_integrity.py,PRESENT,governance/implementation/code-guides/validation/validate_package_integrity.py,PRESENT_RELIABILITY_REVALIDATION_REQUIRED,Retain and revalidate under V1.1 before using for adoption or activation.
validation,validate_portfolio_consistency.py,PRESENT,governance/implementation/code-guides/validation/validate_portfolio_consistency.py,PRESENT_RELIABILITY_REVALIDATION_REQUIRED,Retain and revalidate under V1.1 before using for adoption or activation.
