conflict_id,type,CONFLICT_TYPE,CONFLICT_SEVERITY,AFFECTED_FEATURE_IDS,AFFECTED_ARTIFACTS,description,PROPOSED_RESOLUTION,RESOLUTION_AUTHORITY_REQUIRED,CONFLICT_STATUS,source_ids,atomic_proposition,owner,closure_criteria,conflict_queue_required
ATOMIC-CONFLICT-001,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,LOW,ES-FEAT-PLATFORM-001,PIA-05,"ES-FEAT-PLATFORM-001 retains a row-level source, evidence, or authority limitation after independent review.",VERIFY_REPOSITORY_IMPLEMENTATION,ENGINEERING,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,"EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix; SOURCE_RECONCILIATION: PIA realignment register reports no primary package located for at least one governing PIA position; Documentary governance layers referenced, but implementation, runtime, and parent-PIA source identity remain unverified; not an adoption, activation, conformity, or release-readiness claim.",ENGINEERING,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-002,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-PLATFORM-002,PIA-05,"ES-FEAT-PLATFORM-002 retains a row-level source, evidence, or authority limitation after independent review.",VERIFY_REPOSITORY_IMPLEMENTATION,ENGINEERING,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,"EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix; SOURCE_RECONCILIATION: PIA realignment register reports no primary package located for at least one governing PIA position; Documentary governance layers referenced, but implementation, runtime, and parent-PIA source identity remain unverified; not an adoption, activation, conformity, or release-readiness claim.",ENGINEERING,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-003,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-PLATFORM-003,PIA-05,"ES-FEAT-PLATFORM-003 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-05-PLATFORM-SHELL; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix; SOURCE_RECONCILIATION: PIA realignment register reports no primary package located for at least one governing PIA position,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-004,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,LOW,ES-FEAT-PLATFORM-004,PIA-05,"ES-FEAT-PLATFORM-004 retains a row-level source, evidence, or authority limitation after independent review.",VERIFY_REPOSITORY_IMPLEMENTATION,ENGINEERING,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,"EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix; SOURCE_RECONCILIATION: PIA realignment register reports no primary package located for at least one governing PIA position; Documentary governance layers referenced, but implementation, runtime, and parent-PIA source identity remain unverified; not an adoption, activation, conformity, or release-readiness claim.",ENGINEERING,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-005,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-PLATFORM-005,PIA-05,"ES-FEAT-PLATFORM-005 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-05-PLATFORM-SHELL; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix; SOURCE_RECONCILIATION: PIA realignment register reports no primary package located for at least one governing PIA position,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-006,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-PLATFORM-006,PIA-05,"ES-FEAT-PLATFORM-006 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-05-PLATFORM-SHELL; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix; SOURCE_RECONCILIATION: PIA realignment register reports no primary package located for at least one governing PIA position,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-007,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-PLATFORM-007,PIA-05,"ES-FEAT-PLATFORM-007 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-05-PLATFORM-SHELL; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix; SOURCE_RECONCILIATION: PIA realignment register reports no primary package located for at least one governing PIA position,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-008,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-PLATFORM-008,PIA-05,"ES-FEAT-PLATFORM-008 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-05-PLATFORM-SHELL; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix; SOURCE_RECONCILIATION: PIA realignment register reports no primary package located for at least one governing PIA position,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-009,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-PLATFORM-009,PIA-05,"ES-FEAT-PLATFORM-009 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-05-PLATFORM-SHELL; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix; SOURCE_RECONCILIATION: PIA realignment register reports no primary package located for at least one governing PIA position,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-010,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-PLATFORM-010,PIA-05,"ES-FEAT-PLATFORM-010 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-05-PLATFORM-SHELL; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix; SOURCE_RECONCILIATION: PIA realignment register reports no primary package located for at least one governing PIA position,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
