id,namespace,artifact_type,owning_document,current_state
EQUINESYNC_MASTER_IMPLEMENTATION_MAPPING_REQUIREMENT_TEST_AND_EVIDENCE_TRACEABILITY_PACKAGE_V1_0,T1D03,TIER_1_DOCUMENT,03,READY_FOR_FOUNDER_REVIEW
EQUINESYNC_CURRENT_GOVERNANCE_AUTHORITY_LIFECYCLE_LOCK_ACCESSION_CUSTODY_AND_SUPERSESSION_REGISTER_V2_0,T1D04,TIER_1_DOCUMENT,04,READY_FOR_FOUNDER_REVIEW
EQUINESYNC_FOUNDER_DECISION_RATIFICATION_AND_ACCEPTANCE_REGISTER_V2_0,T1D05,TIER_1_DOCUMENT,05,READY_FOR_FOUNDER_REVIEW
EQUINESYNC_GOVERNANCE_FINDINGS_RESIDUAL_RISKS_EXCEPTIONS_AND_WAIVERS_REGISTER_V2_0,T1D06,TIER_1_DOCUMENT,06,READY_FOR_FOUNDER_REVIEW
EQUINESYNC_GOVERNANCE_OWNERSHIP_STEWARDSHIP_AND_REVIEW_CALENDAR_V1_0,T1D07,TIER_1_DOCUMENT,07,READY_FOR_FOUNDER_REVIEW
EQUINESYNC_CURRENT_REPOSITORY_VERIFIED_SOURCE_PROVENANCE_AND_SUPERSESSION_RECONCILIATION_REPORT_V2_0,T1D08,TIER_1_DOCUMENT,08,READY_FOR_FOUNDER_REVIEW
EQUINESYNC_OPEN_WORKSTREAM_PR_BRANCH_AND_EVIDENCE_DISPOSITION_REGISTER_V1_0,T1D09,TIER_1_DOCUMENT,09,READY_FOR_FOUNDER_REVIEW
EQUINESYNC_GOVERNANCE_CLOSING_AUDIT_PROTOCOL_AND_CERTIFICATION_PACKAGE_V1_0,T1D10,TIER_1_DOCUMENT,10,READY_FOR_FOUNDER_REVIEW
SRC-0001,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0002,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0003,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0004,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0005,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0006,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0007,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0008,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0009,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0010,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0011,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
