supplement_id,prior_parent_scope,reconciled_disposition,reconciled_primary_owner,remaining_action,founder_decision_required,pilot_effect,rationale
DOC-SUP-PIA-01-IDENTITY-ACCESS,PIA-01;PIA-03,EXISTING_PIA_ALREADY_COVERS,PIA-01 with PIA-03 authority contract,Use existing PIA requirements and later implementation contracts; no standalone supplement required,NO,NOT_INDEPENDENTLY_BLOCKING,"Identity/account canon and Item 01 already cover sessions, recovery, invitations, enrollment, memberships, support access, service accounts, closure, duplicate/merge, with authority effects bounded by Item 03."
DOC-SUP-PIA-02-FACILITY-OPERATIONS,PIA-02,EXISTING_PIA_COVERS_WITH_RETAINED_BOUNDARY_DECISION,PIA-02,"Preserve FAC-FD-029 / ES-PIA-GFD-002 for asset/maintenance ownership allocation; otherwise use Item 02 baseline",YES_FOR_FAC_FD_029_ONLY,CONDITIONAL_IF_PILOT_USES_UNRESOLVED_ASSET_OR_MAINTENANCE_SCOPE,"Facility PIA already owns facility/topology and operating-context rules. Asset identity, maintenance truth and work-order allocation are a separately named existing Founder decision, not grounds for a broad Facility supplement."
DOC-SUP-PIA-03-RELATIONSHIP-GUARDIANSHIP,PIA-03;PIA-01;PIA-08,EXISTING_PIA_ALREADY_COVERS,PIA-03,Use existing relationship/authorization/permission baseline and cross-PIA contracts,NO,NOT_INDEPENDENTLY_BLOCKING,"Item 03 already defines relationship verification, effective periods, delegation, restrictions, revocation, dispute, correction, support access and permission effects."
DOC-SUP-PIA-04-HORSE-LIFECYCLE,PIA-04;PIA-03,EXISTING_PIA_ALREADY_COVERS,PIA-04,Use existing Item 04 lifecycle baseline and source-owned references,NO,NOT_INDEPENDENTLY_BLOCKING,"Item 04 already owns horse identity, profile/passport, lifecycle, transfer/custody references, eligibility and historical continuity while deferring workflow truth to Items 03/06/08/09 as applicable."
DOC-SUP-PIA-05-PLATFORM-SHELL,PIA-05,EXISTING_PIA_ALREADY_COVERS,PIA-05,Complete repository-native source freeze and implementation mapping when separately authorized,NO,NOT_INDEPENDENTLY_BLOCKING,"Item 05 is already the shell/routing PIA and its cross-PIA reconciliation covers actor context, facility context, navigation, search, dashboard and multi-facility presentation boundaries."
DOC-SUP-PIA-06-TASK-CALENDAR,PIA-06,EXISTING_PIA_ALREADY_COVERS,PIA-06,Use current TCSN baseline and domain handoff contracts; no standalone supplement required,NO,NOT_INDEPENDENTLY_BLOCKING,"Item 06 already covers tasks, events, recurrence, reminders, assignments, delivery semantics, quiet hours, escalation, timezone/DST and domain-generated linked items."
DOC-SUP-PIA-07-CARE-OPERATIONS,PIA-07;PIA-04;PIA-06,EXISTING_PIA_ALREADY_COVERS,PIA-07,Use current Care Operations baseline and health/feed/provider source contracts,NO,NOT_INDEPENDENTLY_BLOCKING,"Item 07 already owns routine care execution, assignments, handoffs, completion/exceptions, observations, escalation, owner projections, offline work and bounded AI while preserving health/feed/provider truth boundaries."
DOC-SUP-PIA-07-INVENTORY-ASSETS,PIA-07;PIA-02,EXISTING_FOUNDER_SCOPE_DECISION_CONTROLS,PIA-02;PIA-07;PIA-06,"Resolve FAC-FD-029 / ES-PIA-GFD-002 before any implementation-dependent allocation; do not draft this supplement as a substitute",YES,CONDITIONAL_IF_PILOT_USES_INVENTORY_ASSET_OR_MAINTENANCE_SCOPE,"Inventory/asset identity, lifecycle, preventive maintenance, work-order orchestration and care/safety interfaces already have an explicit unresolved allocation decision among Items 02, 06 and 07."
DOC-SUP-PIA-08-EVENTS-TRAVEL,PIA-08;PIA-06;PIA-03,GENUINE_NARROWED_SUPPLEMENT_CANDIDATE,PIA-08 with PIA-04/PIA-06/PIA-03 contracts,"Prepare a bounded show/event/travel supplement candidate only after confirming scope and preserving horse, scheduling and authority ownership",YES,EXCLUDE_FROM_PILOT_UNLESS_EXISTING_BASELINE_IS_SUFFICIENT_OR_SCOPE_IS_SEPARATELY_APPROVED,"Existing portfolio evidence identifies Competition/Show/Travel as a distinct cross-contract area. Item 08 owns show entry, travel, ride-time and itinerary workflow references, making this the one surviving supplement-shaped candidate."
DOC-SUP-PIA-08-LESSONS-GUARDIAN,PIA-08;PIA-03;PIA-06,EXISTING_PIA_ALREADY_COVERS,PIA-08,Use current Lessons/Training/Rider/Guardian baseline and upstream authority/scheduling contracts,NO,NOT_INDEPENDENTLY_BLOCKING,"Item 08 already owns lesson and training workflow truth, rider-program progress, guardian/owner/trainer visibility envelopes, substitutions, cancellations, assignments and domain integrations."
DOC-SUP-PIA-09-FINANCIAL-OPERATIONS,PIA-09,EXISTING_PIA_ALREADY_COVERS,PIA-09,Use current financial PIA and provider/financial-truth gates; no standalone supplement required,NO,NOT_INDEPENDENTLY_BLOCKING,"Item 09 already owns obligations, invoices, payments, settlements, refunds, credits, disputes, subscriptions, accounting mappings, payroll operations and financial close within explicit provider/authority gates."
DOC-SUP-PIA-10-COMMUNICATIONS-PORTAL,PIA-10;PIA-03,EXISTING_PIA_ALREADY_COVERS,PIA-10,Use current Owner Portal/Communications baseline and TCSN/authority contracts,NO,NOT_INDEPENDENTLY_BLOCKING,"Item 10 already covers portal projections, conversations, notices, delivery orchestration, acknowledgments, attachments, community messaging, support and communication evidence."
DOC-SUP-PIA-10-DOCUMENTS-SIGNATURES,PIA-10;PIA-03,NON_PIA_CROSS_DOMAIN_CONTROL,Agreement/Consent/Authorization governance plus PIA-03 and consuming PIAs,"Reconcile agreement/document/signature controls to controlling agreement, records, audit, media and authorization sources; do not assign global document truth to Item 10",NO_FOR_GROUPING;SEPARATE_GOVERNANCE_LIFECYCLE_MAY_REMAIN,NOT_INDEPENDENTLY_BLOCKING,"Documents, waivers, signatures and consent evidence are cross-domain governance objects. Item 10 may deliver or display them but should not become their universal source-of-truth owner."
DOC-SUP-PIA-10-MEDIA-FILES,PIA-10;PIA-04;PIA-07,NON_PIA_CROSS_DOMAIN_CONTROL,Media/Files/Digital Asset governance plus consuming PIAs,"Reconcile global media/file lifecycle to Media governance; retain Item 10 only for portal/communication-specific attachment behavior",NO_FOR_GROUPING;SEPARATE_MEDIA_GOVERNANCE_LIFECYCLE_MAY_REMAIN,NOT_INDEPENDENTLY_BLOCKING,"Media/files governance spans storage, renditions, OCR/transcripts, sharing, retention, evidence, consent and derived assets across the product. It is not properly owned as an Item 10 supplement."
