condition_id,lifecycle_gate,required_evidence,current_status,authority_effect
OPC-LC-001,Documentary design approval,Exact V0.2 bytes and hashes; Founder decisions; OPC-REV-006 closure; finding treatment; cross-PIA overlays; ADRs; threat review; validation; Founder disposition,THIS_PACKAGE_PREPARES,Does not authorize implementation
OPC-LC-002,Implementation authorization,Questions 1-3 YES_WITH_EVIDENCE; final exact source accession and repository paths; approved interface versions; frozen ADRs; work packages; test/evidence plans; change control; no relevant P0/P1,RETAINED_BLOCKER,No engineering may begin under this package
OPC-LC-003,In implementation,Authorized branch/commit; schemas/migrations/configuration; provider sandbox; feature flags; controlled work-package evidence,NOT_STARTED,Code presence alone is not completion
OPC-LC-004,As-built reconciliation,"Exact implementation baseline mapped to requirements, ADRs, contracts, fields, states, permissions, interfaces, exclusions and drift dispositions",NOT_STARTED,No as-built claim
OPC-LC-005,Verification,Executed unit/service/API/state/permission/UI/offline/security/accessibility/performance/migration/golden/adversarial tests with evidence,NOT_STARTED,Test definitions are not results
OPC-LC-006,Operational readiness,Named owners; monitoring/alerts; support tools; runbooks; backup/restore; rollback; incident exercises; provider exit; correction/reconciliation; operational targets approved,NOT_STARTED,Blocks production and community activation
OPC-LC-007,Community activation,Facility enablement; voluntary participation; published rules; qualified moderators; staffing/escalation; block/report/appeal tests; safeguarding route; kill-switch rehearsal; peer attachments disabled; Founder activation disposition,NOT_STARTED,Community remains disabled
OPC-LC-008,Production release,Verified release candidate; environment promotion; secrets; migration; rollback; post-release checks; no relevant P0/P1; Founder release approval,NOT_STARTED,No production authority
OPC-LC-009,First-user enrollment,All five questions YES_WITH_EVIDENCE; support active; onboarding disclosure; cohort and limits; evidence package; rollback/offboarding; Founder enrollment disposition,NOT_STARTED,No user enrollment authority
OPC-LC-010,Paid enrollment/general production,"Financial, legal, support, scale, monitoring and retained-risk gates for the stated cohort and market",NOT_STARTED,Separate later authorization
