feature_or_module,implementation_status,code_evidence_count,test_evidence_count,placeholder_signal_count,governance_allowlist_rows,blocked_or_unassessed_scope_rows,representative_code_paths,representative_test_paths,comparison_note,authority_boundary
ai_analytics_reporting_search,BUILT_AND_FUNCTIONAL,18,7,0,130,274,backend/services/subscription_email_dispatcher.py|backend/mailer.py|frontend/src/pages/TrainingPlans.jsx|frontend/src/pages/AiAutomation.jsx|frontend/src/pages/Waitlist.jsx|frontend/src/pages/VerifyEmail.jsx|frontend/src/pages/admin/UserDetailDrawer.jsx|frontend/src/pages/Training.jsx|frontend/src/pages/PerformanceAnalytics.jsx|frontend/android/app/src/main/java/com/equinesync/app/MainActivity.java|backend/routes/analytics.py|backend/routes/trainer_intake.py|backend/routes/subscription_emails.py|backend/routes/trainer_operating_center.py|frontend/src/features/dashboards/TrainerDashboard.jsx|backend/core/analytics.py|backend/core/rf9_trainer_operating_center.py|backend/scripts/build_rf9_trainer_operating_center.py,backend/tests/test_build_next_13g_trainer_intake_shell.py|backend/tests/test_invites_and_analytics.py|backend/tests/test_subscription_emails_15d.py|backend/tests/ci_known_failure_baseline.json|backend/tests/ci_known_failure_gate.py|backend/tests/test_analytics_routes.py|backend/tests/test_rf9_trainer_operating_center.py,Static path evidence only; behavior remains subject to governed review.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
backend_general,BUILT_AND_FUNCTIONAL,167,203,0,0,185,backend/services/__init__.py|backend/services/subscription_email_dispatcher.py|backend/task_engine.py|backend/mailer.py|frontend/src/lib/api.js|backend/routes/staff_intake.py|backend/routes/account_context.py|backend/routes/membership.py|backend/routes/recurring_charges.py|backend/routes/barn_owner_intake.py|backend/routes/admin_portal/_helpers.py|backend/routes/admin_portal/integrations.py|backend/routes/admin_portal/audit_logs.py|backend/routes/admin_portal/settings.py|backend/routes/admin_portal/reports.py|backend/routes/admin_portal/dashboard.py|backend/routes/admin_portal/facilities.py|backend/routes/admin_portal/__init__.py|backend/routes/admin_portal/horses.py|backend/routes/admin_portal/subscriptions.py,backend/scripts/seed_local_demo_test_accounts.py|backend/cleanup_test_invoices.py|backend/tests/test_horse_ledger_1g.py|backend/tests/test_build_next_13g_trainer_intake_shell.py|backend/tests/_api_helpers.py|backend/tests/test_care_filtering.py|backend/tests/test_build_next_10_staging_uat_closure.py|backend/tests/test_build_next_17a_launch_trust_route_taxonomy.py|backend/tests/test_phase15r_billing_seats.py|backend/tests/test_build_next_6_signature_connector.py|backend/tests/test_rf19_staging_uat_evidence_capture.py|backend/tests/test_build_next_19_founder_acceptance_ledger.py|backend/tests/test_build_next_5c_minor_communication_guard.py|backend/tests/test_rf2_identity_access_migration.py|backend/tests/test_permissions.py|backend/tests/test_build_next_7_launch_gate.py|backend/tests/test_founder_crud_sprint.py|backend/tests/test_build_next_15c_c_today_pulse_role_home_evidence.py|backend/tests/test_app_assembly.py|backend/tests/test_admin_routes.py,Static path evidence only; behavior remains subject to governed review.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
communications_notifications,BUILT_AND_FUNCTIONAL,10,3,0,86,193,backend/services/subscription_email_dispatcher.py|frontend/src/pages/VerifyEmail.jsx|frontend/src/components/NotificationPrefsCard.jsx|frontend/src/components/NotificationsBell.jsx|frontend/src/components/ui/calendar.jsx|backend/routes/subscription_emails.py|backend/notifications.py|backend/core/minor_communication.py|backend/scripts/build_rf13_messaging_notifications_delivery_truth.py|backend/core/rf13_messaging_notifications_delivery_truth.py,backend/tests/test_build_next_5c_minor_communication_guard.py|backend/tests/test_subscription_emails_15d.py|backend/tests/test_rf13_messaging_notifications_delivery_truth.py,Static path evidence only; behavior remains subject to governed review.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
facility_barn_horse_lifecycle,BUILT_AND_FUNCTIONAL,16,20,0,533,195,frontend/src/pages/HorseProfile.jsx|frontend/src/pages/BarnLocations.jsx|frontend/src/pages/Horses.jsx|frontend/src/pages/admin/AdminFacilityDrawer.jsx|frontend/src/pages/admin/AdminHorses.jsx|frontend/src/lib/horseOpsDrafts.js|frontend/android/app/src/main/java/com/equinesync/app/MainActivity.java|frontend/src/components/onboarding/BarnStep.jsx|frontend/src/components/HorseOwnerUpdates.jsx|frontend/src/components/icons/HorseshoeIcon.jsx|backend/routes/barn_owner_intake.py|backend/routes/admin_portal/horses.py|backend/routes/horses.py|backend/routes/horse_ledger.py|backend/routes/barns.py|frontend/src/features/dashboards/FacilityDashboard.jsx,backend/tests/test_horse_ledger_1g.py|backend/tests/test_horse_ledger_1c.py|backend/tests/test_equinesync.py|backend/tests/test_barn_binding.py|backend/tests/test_horse_ledger_1b.py|backend/tests/test_horse_ledger_1f.py|backend/tests/test_build_next_15c_b_barn_visibility_policy.py|backend/tests/test_horses_scoping.py|backend/tests/test_horse_ledger_1i.py|backend/tests/test_horse_ledger_1h.py|backend/tests/test_horse_ledger_1k.py|backend/tests/test_horses_routes.py|backend/tests/test_build_next_13f_barn_owner_intake_shell.py|backend/tests/test_horse_ledger_1j.py|backend/tests/test_horse_ledger_1a.py|backend/tests/test_horse_ledger_1e.py|backend/tests/test_review_queue_and_lifecycle.py|backend/tests/test_horse_ledger_1d.py|backend/tests/test_phase4a_barn_id.py|backend/tests/test_build_next_3_multi_barn_gap_report.py,Static path evidence only; behavior remains subject to governed review.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
financial_billing_payments,BUILT_AND_FUNCTIONAL,35,17,0,35,201,backend/services/subscription_email_dispatcher.py|frontend/src/pages/RecurringBilling.jsx|frontend/src/pages/Billing.jsx|frontend/src/pages/SubscriptionBilling.jsx|frontend/src/pages/admin/AdminBilling.jsx|frontend/src/pages/admin/AdminSubscriptionHealth.jsx|frontend/src/pages/admin/AdminSubscriptions.jsx|frontend/src/pages/admin/AdminSubscriptionDrawer.jsx|frontend/src/pages/SubscriptionSuccess.jsx|frontend/src/pages/Payments.jsx|frontend/src/pages/AdminBillingDashboard.jsx|frontend/src/pages/FinancialDashboard.jsx|frontend/src/lib/subscriptionBilling.js|frontend/src/lib/invoices.js|frontend/src/lib/useSubscriptionUsage.js|frontend/src/components/OwnerBillingCard.jsx|frontend/src/components/InvoiceLineItems.jsx|frontend/src/components/InvoiceBreakdown.jsx|backend/routes/admin_portal/subscriptions.py|backend/routes/admin_portal/billing.py,backend/cleanup_test_invoices.py|backend/tests/test_phase15r_billing_seats.py|backend/tests/test_build_next_1_billing_launch_readiness.py|backend/tests/test_owner_billing.py|backend/tests/test_billing_9a.py|backend/tests/test_membership_legacy_stripe_webhook_security.py|backend/tests/test_billing_routes.py|backend/tests/test_phase15r_stripe_catalog.py|backend/tests/test_subscriptions_15b.py|backend/tests/test_subscription_emails_15d.py|backend/tests/test_subscriptions_15g.py|backend/tests/test_phase15r_billing_channels.py|backend/tests/test_subscriptions_15a.py|backend/tests/test_billing_scoping.py|backend/tests/_billing_helpers.py|backend/tests/test_rf12_billing_payments_exports_financial_truth.py|backend/tests/test_admin_billing_15e.py,Static path evidence only; behavior remains subject to governed review.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
frontend_general,BUILT_AND_FUNCTIONAL,212,1,0,0,185,frontend/src/App.js|frontend/src/pages/TrainingPlans.jsx|frontend/src/pages/AiAutomation.jsx|frontend/src/pages/HorseProfile.jsx|frontend/src/pages/ArenaSchedule.jsx|frontend/src/pages/Equipment.jsx|frontend/src/pages/OwnerCareLedger.jsx|frontend/src/pages/MobileReadiness.jsx|frontend/src/pages/HealthCareLogs.jsx|frontend/src/pages/RecurringBilling.jsx|frontend/src/pages/RideGps.jsx|frontend/src/pages/Owners.jsx|frontend/src/pages/BarnLocations.jsx|frontend/src/pages/Settings.jsx|frontend/src/pages/FeatureWorkspace.jsx|frontend/src/pages/StaffScheduling.jsx|frontend/src/pages/EmergencyContacts.jsx|frontend/src/pages/Messaging.jsx|frontend/src/pages/Incidents.jsx|frontend/src/pages/TimeClock.jsx,frontend/src/components/ui/aspect-ratio.jsx,Static path evidence only; behavior remains subject to governed review.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
identity_access_actor,BUILT_AND_FUNCTIONAL,28,26,0,330,196,frontend/src/pages/Login.jsx|frontend/src/pages/RoleHome.jsx|frontend/src/pages/RoleIntake.jsx|frontend/src/pages/admin/AdminLogin.jsx|frontend/src/lib/permissions.js|frontend/src/lib/roleNavigation.js|frontend/src/lib/roleLanding.js|backend/routes/account_context.py|backend/routes/auth.py|frontend/src/context/AuthContext.jsx|backend/auth_security.py|backend/core/account_context.py|backend/core/account_memberships.py|backend/core/provider_access.py|backend/core/login_attempts.py|backend/core/permissions.py|backend/scripts/build_rf2_identity_access_migration_proof.py|backend/scripts/seed_bn12_uat_accounts.py|backend/core/rf5_web_enrollment_account_health.py|backend/scripts/build_rf5_web_enrollment_account_health.py,backend/scripts/seed_local_demo_test_accounts.py|backend/tests/test_rf2_identity_access_migration.py|backend/tests/test_permissions.py|backend/tests/test_build_next_15c_c_today_pulse_role_home_evidence.py|backend/tests/test_build_next_3b_account_context.py|backend/tests/test_phase2c_auth.py|backend/tests/test_build_next_13l_role_smoke_prep.py|backend/tests/test_build_next_17c_role_journey_launch_trust_evidence.py|backend/tests/test_build_next_13m_role_smoke_evidence.py|backend/tests/test_build_next_13b_role_navigation.py|backend/tests/test_build_next_3a_account_memberships.py|backend/tests/test_build_next_13k_role_flow_smoke.py|backend/tests/test_login_lockout.py|backend/tests/test_build_next_13o_role_screenshot_pass.py|backend/tests/test_build_next_12a_uat_account_seed.py|backend/tests/test_build_next_17b_role_intake_split.py|backend/tests/test_build_next_13n_role_credential_readiness.py|backend/tests/test_build_next_13p_role_home_title_case.py|backend/tests/test_auth_tokens.py|backend/tests/test_build_next_17d_role_journey_cleanup.py,Static path evidence only; behavior remains subject to governed review.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
implementation_wave_rf_bn,UNASSESSED_BLOCKED_SCOPE,49,31,0,934,574,frontend/src/pages/PerformanceAnalytics.jsx|backend/core/rf8_staff_workforce_model.py|backend/core/rf17_feature_shell_ux_truth.py|backend/core/rf14_documents_signatures_storage_consolidation.py|backend/core/rf3_onboarding_import_setup_proof.py|backend/core/rf7_owner_client_portal_hardening.py|backend/core/billing_launch_readiness.py|backend/core/rf4_feature_completion_certification.py|backend/core/rf9_trainer_operating_center.py|backend/core/rf6_canonical_systems_consolidation.py|backend/scripts/build_rf8_staff_workforce_model.py|backend/core/bn20_bn12_closure.py|backend/core/rf12_billing_payments_exports_financial_truth.py|backend/scripts/build_rf2_identity_access_migration_proof.py|backend/core/rf10_service_provider_care_partner.py|backend/scripts/seed_bn12_uat_accounts.py|backend/core/rf19_staging_uat_evidence_capture.py|backend/scripts/build_rf9_trainer_operating_center.py|backend/core/rf11_property_location_map_community_help.py|backend/scripts/build_rf14_documents_signatures_storage_consolidation.py,backend/tests/test_build_next_10_staging_uat_closure.py|backend/tests/test_build_next_17a_launch_trust_route_taxonomy.py|backend/tests/test_rf19_staging_uat_evidence_capture.py|backend/tests/test_rf2_identity_access_migration.py|backend/tests/test_build_next_7_launch_gate.py|backend/tests/test_build_next_1_billing_launch_readiness.py|backend/tests/test_rf6_canonical_systems_consolidation.py|backend/tests/test_rf11_property_location_map_community_help.py|backend/tests/test_build_next_21_pilot_go_no_go.py|backend/tests/test_rf1_data_fences_capability_gates.py|backend/tests/test_build_next_15d_today_pulse_uat_evidence.py|backend/tests/test_rf17_feature_shell_ux_truth.py|backend/tests/test_build_next_9_staging_uat_execution.py|backend/tests/test_rf10_service_provider_care_partner.py|backend/tests/test_rf7_owner_client_portal_hardening.py|backend/tests/test_build_next_17c_role_journey_launch_trust_evidence.py|backend/tests/test_rf15_offline_lock_screen_field_reliability.py|backend/tests/test_rf16_pwa_native_app_store_readiness.py|backend/tests/test_rf3_onboarding_import_setup.py|backend/tests/test_build_next_12a_uat_account_seed.py,Static path evidence only; behavior remains subject to governed review.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
offline_mobile_pwa,BUILT_AND_FUNCTIONAL,9,8,0,0,223,frontend/src/pages/MobileReadiness.jsx|frontend/src/lib/taskSync.js|frontend/android/app/src/main/java/com/equinesync/app/MainActivity.java|frontend/src/components/today/LastSyncedBadge.jsx|frontend/src/components/today/SyncBadges.jsx|backend/scripts/build_rf15_offline_lock_screen_field_reliability.py|backend/scripts/build_rf16_pwa_native_app_store_readiness.py|backend/core/rf16_pwa_native_app_store_readiness.py|backend/core/rf15_offline_lock_screen_field_reliability.py,frontend/android/app/src/androidTest/java/com/getcapacitor/myapp/ExampleInstrumentedTest.java|frontend/android/app/src/test/java/com/getcapacitor/myapp/ExampleUnitTest.java|backend/tests/test_equinesync.py|backend/tests/test_build_next_2_mobile_readiness.py|backend/tests/test_rf15_offline_lock_screen_field_reliability.py|backend/tests/test_rf16_pwa_native_app_store_readiness.py|backend/tests/test_build_next_2b_mobile_screenshot_gate.py|backend/tests/test_build_next_6f_docusign_webhook_status_sync.py,Static path evidence only; behavior remains subject to governed review.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
platform_operations_integration,BUILT_AND_FUNCTIONAL,4,4,0,131,189,frontend/src/components/onboarding/OperationsSetupStep.jsx|backend/routes/operations.py|backend/routes/subscriptions_webhook_handlers.py|backend/scripts/bootstrap_platform_admin.py,backend/tests/test_membership_legacy_stripe_webhook_security.py|backend/tests/test_operations_scoping.py|backend/tests/test_build_next_6f_docusign_webhook_status_sync.py|backend/tests/test_operations_routes.py,Static path evidence only; behavior remains subject to governed review.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
