mapping_id,source_id,guide_id,mapping_type,authority_status,coverage_note,gap_references
CGMAP-0001,CGSRC-FOUNDER-0001,ES-CG-00,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0002,CGSRC-FOUNDER-0001,ES-CG-01,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0003,CGSRC-FOUNDER-0001,ES-CG-13,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0004,CGSRC-FOUNDER-0001,ES-CG-04,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0005,CGSRC-FOUNDER-0001,ES-CG-12,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0006,CGSRC-FOUNDER-0001,ES-CG-10,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0007,CGSRC-FOUNDER-0002,ES-CG-00,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0008,CGSRC-FOUNDER-0002,ES-CG-01,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0009,CGSRC-FOUNDER-0002,ES-CG-13,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0010,CGSRC-FOUNDER-0002,ES-CG-04,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0011,CGSRC-FOUNDER-0002,ES-CG-12,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0012,CGSRC-FOUNDER-0002,ES-CG-10,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0013,CGSRC-FOUNDER-0003,ES-CG-00,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0014,CGSRC-FOUNDER-0003,ES-CG-01,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0015,CGSRC-FOUNDER-0003,ES-CG-13,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0016,CGSRC-FOUNDER-0003,ES-CG-04,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0017,CGSRC-FOUNDER-0003,ES-CG-08,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0018,CGSRC-FOUNDER-0003,ES-CG-12,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0019,CGSRC-FOUNDER-0003,ES-CG-10,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0020,CGSRC-FOUNDER-0004,ES-CG-00,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0021,CGSRC-FOUNDER-0004,ES-CG-01,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0022,CGSRC-FOUNDER-0004,ES-CG-13,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0023,CGSRC-FOUNDER-0004,ES-CG-03,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0024,CGSRC-FOUNDER-0004,ES-CG-04,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0025,CGSRC-FOUNDER-0004,ES-CG-08,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0026,CGSRC-FOUNDER-0004,ES-CG-09,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0027,CGSRC-FOUNDER-0004,ES-CG-12,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0028,CGSRC-FOUNDER-0005,ES-CG-00,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0029,CGSRC-FOUNDER-0005,ES-CG-01,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0030,CGSRC-FOUNDER-0005,ES-CG-13,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0031,CGSRC-FOUNDER-0005,ES-CG-03,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0032,CGSRC-FOUNDER-0005,ES-CG-04,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0033,CGSRC-FOUNDER-0005,ES-CG-08,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0034,CGSRC-FOUNDER-0005,ES-CG-12,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0035,CGSRC-FOUNDER-0005,ES-CG-10,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0036,CGSRC-FOUNDER-0006,ES-CG-00,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0037,CGSRC-FOUNDER-0006,ES-CG-01,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0038,CGSRC-FOUNDER-0006,ES-CG-13,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0039,CGSRC-FOUNDER-0006,ES-CG-04,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0040,CGSRC-FOUNDER-0006,ES-CG-12,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0041,CGSRC-FOUNDER-0006,ES-CG-10,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0042,CGSRC-FOUNDER-0007,ES-CG-00,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0043,CGSRC-FOUNDER-0007,ES-CG-01,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0044,CGSRC-FOUNDER-0007,ES-CG-13,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0045,CGSRC-FOUNDER-0007,ES-CG-03,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0046,CGSRC-FOUNDER-0007,ES-CG-04,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0047,CGSRC-FOUNDER-0007,ES-CG-08,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0048,CGSRC-FOUNDER-0007,ES-CG-12,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0049,CGSRC-FOUNDER-0007,ES-CG-10,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0050,CGSRC-FOUNDER-0008,ES-CG-00,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0051,CGSRC-FOUNDER-0008,ES-CG-01,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0052,CGSRC-FOUNDER-0008,ES-CG-13,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0053,CGSRC-FOUNDER-0008,ES-CG-03,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0054,CGSRC-FOUNDER-0008,ES-CG-04,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0055,CGSRC-FOUNDER-0008,ES-CG-08,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0056,CGSRC-FOUNDER-0008,ES-CG-12,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0057,CGSRC-FOUNDER-0008,ES-CG-10,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0058,CGSRC-FOUNDER-0009,ES-CG-00,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0059,CGSRC-FOUNDER-0009,ES-CG-01,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0060,CGSRC-FOUNDER-0009,ES-CG-13,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0061,CGSRC-FOUNDER-0009,ES-CG-04,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0062,CGSRC-FOUNDER-0009,ES-CG-12,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0063,CGSRC-FOUNDER-0009,ES-CG-10,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0064,CGSRC-FOUNDER-0010,ES-CG-00,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0065,CGSRC-FOUNDER-0010,ES-CG-01,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0066,CGSRC-FOUNDER-0010,ES-CG-13,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0067,CGSRC-FOUNDER-0010,ES-CG-04,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0068,CGSRC-FOUNDER-0010,ES-CG-12,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0069,CGSRC-FOUNDER-0010,ES-CG-10,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0070,CGSRC-FOUNDER-0011,ES-CG-00,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0071,CGSRC-FOUNDER-0011,ES-CG-01,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
CGMAP-0072,CGSRC-FOUNDER-0011,ES-CG-13,MANDATORY,CONTROLLING,Initial CGP-003 source coverage only; no guide control drafted or adopted.,
