"finding_id","domain","classification","severity","review_lifecycle","finding_summary","proposed_redline_ids","candidate_artifacts","candidate_resolution_state","approval_effect","fresh_review_required"
"CMT08-P0-001","Identity safeguarding","CONTROL_WEAKENING","P0","OPEN","Mandatory separate minor identity/account/credentials are weakened by optional workflow text and ordinarily-separate contract text.","CMT08-PR-001","candidate_adrs/identity/ADR-IDENTITY-007_FORMAL.md;candidate_contracts/IDENTITY_PROTECTED_PARTICIPANT_CONTRACT.md;registers/IDENTITY_STATE_EVENT_CANDIDATE.csv","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P0-002","Identity authorization","CONTROL_WEAKENING","P0","OPEN","The recovery contract may accept resulting assurance without preserving the Founder-required step-up risk-check or controlled-review condition for high-risk actions.","CMT08-PR-002","candidate_adrs/identity/ADR-IDENTITY-005_FORMAL.md;candidate_contracts/IDENTITY_AUTHORIZATION_CONTRACT.md;registers/IDENTITY_STATE_EVENT_CANDIDATE.csv","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-001","Custody and segregation","CONTROL_WEAKENING","P1","OPEN","Input files were non-writable but CMT-01 twice observed all 13 containing directories as owner-writable 0700 so replacement or deletion was not technically prevented.","","registers/CMT01_DISSENT_DISPOSITION.md;registers/CMT01_DISSENT_DISPOSITION.json","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-002","Authority provenance","SOURCE_GAP","P1","OPEN","The expected Stage 2A closure commit and three cited chain commits were absent from the local object database; remote existence of the closure commit was coordinator-reported but not independently re-performed by CMT-01.","","registers/AUTHORITY_COMMIT_VERIFICATION.json","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-003","Cross-domain source authority","SOURCE_GAP","P1","OPEN","Exact active path hash and lifecycle coverage is incomplete across Identity and Relationships; Relationships also reuses source IDs for different authorities without a deterministic crosswalk.","CMT08-PR-013","registers/SOURCE_AUTHORITY_REGISTER.csv;registers/SOURCE_ID_CROSSWALK.csv;registers/SOURCE_AND_LIFECYCLE_PRECEDENCE.md;registers/PIA_MASTER_STANDARD_V1_1_INGESTION_RECORD.json","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-004","Governance lifecycle","AMBIGUOUS_REQUIRES_REMEDIATION","P1","OPEN","Current approval artifacts coexist with preserved pending decision recommendation and PIA statuses without one explicit human-and-machine lifecycle precedence map.","CMT08-PR-012","FOUNDER_PIA_SOURCE_SUPPLY_RECORD.md;registers/SOURCE_AND_LIFECYCLE_PRECEDENCE.md;registers/SOURCE_AND_LIFECYCLE_PRECEDENCE.json;registers/PREDECESSOR_AND_REVIEW_PROVENANCE.json;registers/PIA_MASTER_STANDARD_V1_1_INGESTION_RECORD.json","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-005","Identity ADR traceability","MISSING_TRACEABILITY","P1","OPEN","IDENTITY-FD-005 is unmapped and multiple registered Identity mappings omit or overstate the actual FD-002 FD-004 FD-007 FD-009 FD-011 and FD-012 semantics.","CMT08-PR-003;CMT08-PR-004","registers/ADR_FOUNDER_DECISION_TRACEABILITY.csv;candidate_adrs/identity/ADR-IDENTITY-001_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-004_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-005_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-006_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-007_FORMAL.md","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-006","Identity ADR authority","MATERIAL_ADDITION_REQUIRING_FOUNDER_DECISION","P1","OPEN","Identity draft ADRs introduce RP and attestation defaults ES-AAL taxonomy numeric TOTP and step-up values opaque-session architecture and an exact recovery hierarchy/code count without a separately identifiable approved recommendation corpus.","CMT08-PR-005","candidate_adrs/identity/ADR-IDENTITY-002_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-003_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-004_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-005_FORMAL.md","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-007","Identity cross-domain boundary","CROSS_DOMAIN_CONFLICT","P1","OPEN","ADR-IDENTITY-006 selects a default multi-location organization and tenancy topology owned by Business Facility Relationships Authorization Privacy and contractual domains outside Identity.","CMT08-PR-006","candidate_adrs/identity/ADR-IDENTITY-006_FORMAL.md;registers/ADR_FOUNDER_DECISION_TRACEABILITY.csv","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-008","Identity safeguarding lifecycle","AMBIGUOUS_REQUIRES_REMEDIATION","P1","OPEN","ADR-IDENTITY-007 lists a maximum paused-case duration without stating that elapsed time can never auto-complete or broaden authority during a protective exception.","CMT08-PR-007","candidate_adrs/identity/ADR-IDENTITY-007_FORMAL.md;registers/IDENTITY_STATE_EVENT_CANDIDATE.csv","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-009","Identity state and evidence model","MISSING_TRACEABILITY","P1","OPEN","Identity state/event and permission matrices omit or contradict material RecoveryCase SupportAccessSession OrganizationEnrollmentCase ProtectedAccountTransitionCase merge-reversal accepted-invitation and attributable-audit behavior.","CMT08-PR-008;CMT08-PR-009","registers/IDENTITY_STATE_EVENT_CANDIDATE.csv;registers/PERMISSION_AND_AUDIT_CANDIDATE.csv","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-010","Identity authorization contract","CONTROL_WEAKENING","P1","OPEN","The contract makes stale-fact denial discretionary and omits the complete authenticated acting represented approving and executing actor/evidence chain required by the approved support and attribution direction.","CMT08-PR-010","candidate_contracts/IDENTITY_AUTHORIZATION_CONTRACT.md;candidate_contracts/AUTHORIZATION_INTERFACE_PIA_CANDIDATE.md;registers/PERMISSION_AND_AUDIT_CANDIDATE.csv","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-011","Cross-domain contracts","CROSS_DOMAIN_CONFLICT","P1","OPEN","Protected Participant Identity-to-Relationships and Relationships-to-Authorization contracts lack closed counterpart authority and complete typed party representation-basis version dispute hold and test boundaries; finalized alignment is 0 of 12.","CMT08-PR-011","candidate_contracts/IDENTITY_PROTECTED_PARTICIPANT_CONTRACT.md;candidate_contracts/IDENTITY_RELATIONSHIPS_CONTRACT.md;candidate_contracts/RELATIONSHIPS_AUTHORIZATION_CONTRACT.md;candidate_contracts/AUTHORIZATION_INTERFACE_PIA_CANDIDATE.md","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-012","Relationships ADR traceability","MISSING_TRACEABILITY","P1","OPEN","Several formal Relationships ADR metadata mappings do not carry the substantive higher-authority Founder rules for taxonomy organization/facility separation acceptance Care Circle emergency contact public-signup claims exceptional access default expiry and renewal revalidation.","CMT08-PR-016","registers/ADR_FOUNDER_DECISION_TRACEABILITY.csv;candidate_adrs/relationships/ADR-REL-001_FORMAL.md;candidate_adrs/relationships/ADR-REL-002_FORMAL.md;candidate_adrs/relationships/ADR-REL-003_FORMAL.md;candidate_adrs/relationships/ADR-REL-005_FORMAL.md","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-013","Relationships delegation","CONTROL_WEAKENING","P1","OPEN","ADR-REL-003 permits an undefined protective restricted state when a required source is inactive or disputed without proving that the state grants zero delegation-derived authority.","CMT08-PR-014","candidate_adrs/relationships/ADR-REL-003_FORMAL.md;registers/RELATIONSHIP_STATE_AND_VERIFICATION_CANDIDATE.csv","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-014","Relationships delegation","CONTROL_WEAKENING","P1","OPEN","ADR-REL-003 limits no-silent-renewal to high-risk grants and omits automatic expiry by default plus current-authority revalidation for every renewal.","CMT08-PR-015","candidate_adrs/relationships/ADR-REL-003_FORMAL.md;registers/RELATIONSHIP_STATE_AND_VERIFICATION_CANDIDATE.csv","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-015","Relationships verification","CROSS_DOMAIN_CONFLICT","P1","OPEN","The canonical Relationship transition to unqualified VERIFIED conflicts with ADR-REL-004's prohibition on a universal verified flag and its claim purpose evidence and time-scoped assessment model.","CMT08-PR-017","candidate_adrs/relationships/ADR-REL-004_FORMAL.md;registers/RELATIONSHIP_STATE_AND_VERIFICATION_CANDIDATE.csv","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P1-016","First-user traceability","MISSING_TRACEABILITY","P1","OPEN","The package claim that every first-user requirement maps through acceptance criteria tests and evidence is not mechanically demonstrated; CMT-05 found 12 Identity and 15 Relationships first-user requirements without explicit AC links.","CMT08-PR-018","registers/FIRST_USER_REQUIREMENT_TRACEABILITY.csv;registers/FIRST_USER_TRACEABILITY_STATUS.json","CANDIDATE_REMEDIATED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P2-001","Custody locator","EDITORIAL_ONLY","P2","OPEN","Completion-summary ZIP filenames include _Package while frozen archive locators omit it; hashes still identify the intended bytes.","CMT08-PR-019","registers/PREDECESSOR_AND_REVIEW_PROVENANCE.json","CANDIDATE_CORRECTED_OR_RETAINED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P2-002","Identity-to-Relationships contract","CLARIFICATION_WITHIN_APPROVED_AUTHORITY","P2","OPEN","The contract requires represented principal on all calls although the approved Identity requirement makes representation conditional.","CMT08-PR-019","candidate_contracts/IDENTITY_RELATIONSHIPS_CONTRACT.md","CANDIDATE_CORRECTED_OR_RETAINED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P2-003","Contract lifecycle terminology","TERMINOLOGY_DRIFT","P2","OPEN","Textually identical Identity-to-Relationships contract bodies carry different package lifecycle status strings.","CMT08-PR-019","candidate_contracts/IDENTITY_RELATIONSHIPS_CONTRACT.md;registers/SOURCE_AND_LIFECYCLE_PRECEDENCE.md","CANDIDATE_CORRECTED_OR_RETAINED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
"CMT08-P2-004","Relationships ADR terminology","TERMINOLOGY_DRIFT","P2","OPEN","ADR-REL-003 ADR-REL-004 and ADR-REL-006 titles drift across candidate and later stages while stage-local ID/title parity remains exact.","CMT08-PR-019","registers/ADR_TITLE_ALIAS_REGISTER.csv","CANDIDATE_CORRECTED_OR_RETAINED_PENDING_FRESH_REVIEW","NONE_PROPOSED_NOT_APPROVED","YES"
