source_id,exact_title,artifact_class,version,repository_path,git_blob,source_commit,sha256,byte_length,lifecycle_state,authority_state,relevant_section,predecessor,successor,current_or_historical_status,unresolved_conflict
SRC-0001,Canon Historical Provenance Exception Ledger,CONSTITUTIONAL_GOVERNANCE_SOURCE,UNSPECIFIED_VERSION,docs/canon/CANON_HISTORICAL_PROVENANCE_EXCEPTION_LEDGER.md,41126311af79f4e01ec7e0858a6e5bc2823f698e,1eb384d80daa700ba2e71ee42872cc9bba926332,4e4c1cbc42539b4e721675f6f7c39f9ed1483389f2c38fa61e647836d7a686e0,6516,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0085,MASTER SECURITY INCIDENT RESPONSE AND DISCLOSURE MODEL,ADOPTION_RECORD_OR_ADOPTED_SOURCE,V1.0,docs/canon/adopted_sources/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0_ADOPTED_SOURCE.md,fc629c7d55815d044e179e07ac9c3f97889bf655,1eb384d80daa700ba2e71ee42872cc9bba926332,3dafa7991acc40eb321cdfeae5b9caa59dbf0a41f5184bee36ec9defb0b59734,17126,ADOPTED,ADOPTION_EVIDENCE_PRESENT,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0171,C0_023_C0_035_LOCK_READINESS_FINDINGS,ADOPTION_RECORD_OR_ADOPTED_SOURCE,UNSPECIFIED_VERSION,docs/canon/adoptions/c0_023_c0_035_lock_readiness/C0_023_C0_035_LOCK_READINESS_FINDINGS.json,18e4b4c50241b152829c8391b08227a7fcba44e6,1eb384d80daa700ba2e71ee42872cc9bba926332,599b22f661bd5e1a8b3a5e5307a3cff166e1ea50a1c62eea7b9129606a2219ab,1962,ADOPTED,ADOPTION_EVIDENCE_PRESENT,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0181,C0_023_C0_035_LOCK_READINESS_RERUN_FINDINGS,ADOPTION_RECORD_OR_ADOPTED_SOURCE,UNSPECIFIED_VERSION,docs/canon/adoptions/c0_023_c0_035_lock_readiness_rerun/C0_023_C0_035_LOCK_READINESS_RERUN_FINDINGS.json,82c1347ffaa52ac9078652c719f4557f3af19b39,1eb384d80daa700ba2e71ee42872cc9bba926332,f795963add61e89e0f1035216ea65eaf28330979223e07f0b47099b4bb8d7532,331,ADOPTED,ADOPTION_EVIDENCE_PRESENT,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0214,Master Security Incident Response and Disclosure Model Adoption Record,ADOPTION_RECORD_OR_ADOPTED_SOURCE,UNSPECIFIED_VERSION,docs/canon/adoptions/c0_batch_1/C0_030_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_ADOPTION_RECORD.md,00bb9e91189ac6a997afd2832c37e5b4351b335a,1eb384d80daa700ba2e71ee42872cc9bba926332,92ca7148d0631dadbcf312d510a71a3f8ea893df50778c2b133107247caa42e1,1105,ADOPTED,ADOPTION_EVIDENCE_PRESENT,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0264,MASTER SECURITY INCIDENT RESPONSE AND DISCLOSURE MODEL,DRAFT_OR_CANDIDATE,V1.0,docs/canon/candidates/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0.md,fc629c7d55815d044e179e07ac9c3f97889bf655,1eb384d80daa700ba2e71ee42872cc9bba926332,3dafa7991acc40eb321cdfeae5b9caa59dbf0a41f5184bee36ec9defb0b59734,17126,DRAFT_UNADOPTED,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,DRAFT_OR_CANDIDATE_RECORD,NONE_RECORDED_IN_THIS_ROW
SRC-0320,MASTER RECORD GOVERNANCE GAP MATRIX,CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/governance/MASTER_RECORD_GOVERNANCE_GAP_MATRIX_V2_0.md,caa6104d586cacb89b82200798f0659ede572d1a,1eb384d80daa700ba2e71ee42872cc9bba926332,9f2b6f47234f0b4743416674c71040eba28274872ffbd71ce471024f30d152f8,92160,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0321,Master Record Governance Gap Matrix V2.0 Classification Report,CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/governance/MASTER_RECORD_GOVERNANCE_GAP_MATRIX_V2_0_CLASSIFICATION_REPORT.md,beda744500669f79c653a824655a093e0191b9df,1eb384d80daa700ba2e71ee42872cc9bba926332,7814db6664815a659bb04ca8866f28b1f7968ff7bd103b8cf47a7a18f266f852,2595,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0456,C0_030_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_CONSTITUTIONAL_LOCK_CERTIFICATE,LOCK_RECORD,V1.0,docs/canon/locks/security_incident_response_v1_0/C0_030_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_CONSTITUTIONAL_LOCK_CERTIFICATE.json,b90240c2728a674e7b8a4ad9d46148ce0f5321cb,1eb384d80daa700ba2e71ee42872cc9bba926332,2366564065fa76a51f9ad83631a4b4e518dfc1a12dc80ae6dc384cbdff8d0ad5,2152,LOCKED,LOCK_EVIDENCE_PRESENT,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0457,Master Security Incident Response and Disclosure Model Constitutional Lock Record,LOCK_RECORD,V1.0,docs/canon/locks/security_incident_response_v1_0/C0_030_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_CONSTITUTIONAL_LOCK_RECORD.md,a954012eef65792fd9648cca13980350d1f4165e,1eb384d80daa700ba2e71ee42872cc9bba926332,ff4537e3e322bc6ebcb4927b57365d1ef9e5bd972201192bc6940dc31db1cb31,2012,LOCKED,LOCK_EVIDENCE_PRESENT,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
