crosswalk_id,control_domain,trigger,item03_control,required_evidence,owning_authority,requirement_ids,unresolved_id,status
RAP-XWK-001,PRIVACY,"Any authority request","Purpose limitation and minimum action/resource/field projection","Purpose; requested/returned fields; decision; policy version",Privacy and Item 03,"RAP-REQ-012;RAP-REQ-028",NONE,DOCUMENTED
RAP-XWK-002,PRIVACY,"Search report or export","Permission filtering anti-enumeration suppression freshness and lineage","Query; projection; suppression; source/time; reason",Privacy plus owning domain/Item 05,"RAP-REQ-012;RAP-REQ-028",NONE,DOCUMENTED
RAP-XWK-003,PRIVACY,"Provider participation","Purpose-bound horse/person projection; profile/payment/portal separation","Provider decision; fields; purpose; expiry; use",Privacy and Items 03/07/10,"RAP-REQ-018;RAP-REQ-019;RAP-REQ-028",NONE,DOCUMENTED_GFD_003
RAP-XWK-004,SAFEGUARDING,"Guardian or protected participant action","Current representation agreement protective restriction and step-up","Basis; participant; actor; restrictions; decision; notice",Safeguarding and Item 03,"RAP-REQ-005;RAP-REQ-011;RAP-REQ-028",RAP-UNR-006,PREDECESSOR_QUALIFIED
RAP-XWK-005,SAFEGUARDING,"Protective restriction changes","Highest-precedence narrowing and watermark propagation","Restriction; source; scope; actor; invalidations",Safeguarding and Item 03,"RAP-REQ-011;RAP-REQ-013",RAP-UNR-004,PREDECESSOR_QUALIFIED
RAP-XWK-006,SAFEGUARDING,"Provider care action involving protected person","No provider inference; minimum projection; guardian/protective checks","Provider chain; guardian basis; restrictions; decision",Safeguarding and Items 03/07,"RAP-REQ-005;RAP-REQ-018;RAP-REQ-023",RAP-UNR-006,PREDECESSOR_QUALIFIED
RAP-XWK-007,RECORDS,"Relationship representation or delegation version changes","Immutable version and supersession linkage","Original/successor IDs; actors; times; reasons; digests",Records and Item 03,"RAP-REQ-014;RAP-REQ-027",NONE,DOCUMENTED
RAP-XWK-008,RECORDS,"Permission decision/enforcement","Reconstruct exact inputs policy watermark outcome and correction state","Request; decision; versions; projection; result; correlation",Audit/Records and Item 03,"RAP-REQ-009;RAP-REQ-027",NONE,DOCUMENTED
RAP-XWK-009,RECORDS,"Revocation or restriction","Preserve source event affected projections and propagation evidence","Source; actor; watermark; invalidation list; time",Audit/Records and Item 03,"RAP-REQ-013;RAP-REQ-027",RAP-UNR-004,DOCUMENTED
RAP-XWK-010,RECORDS,"Offline proposal reconciliation","Preserve original proposal retries conflicts result and successor","Proposal envelope; attempts; current versions; outcome",Records and owning domain/Item 03,"RAP-REQ-015;RAP-REQ-031",RAP-UNR-004,DOCUMENTED
RAP-XWK-011,CLAIMS,"Relationship representation or delegation disputed","Apply hold/protective restriction; no automatic resolution","Claim; claimant; source; restriction; reviewer; outcome",Claims and Item 03,"RAP-REQ-011;RAP-REQ-016",RAP-UNR-005,PREDECESSOR_QUALIFIED
RAP-XWK-012,CLAIMS,"Correction requested","Attributable successor without deletion; affected future decisions re-evaluated","Correction basis; original/successor; reason; actor",Claims/Records and source owner,"RAP-REQ-014;RAP-REQ-016",NONE,DOCUMENTED
RAP-XWK-013,CLAIMS,"Payment/provider dispute","Item 09/07 truth remains separate; dispute may only restrict under current policy","Domain claim; Item 03 restriction; versions; outcome",Claims and Items 03/07/09,"RAP-REQ-018;RAP-REQ-025",RAP-UNR-003,DOCUMENTED_GFD_003
RAP-XWK-014,CROSS_DOMAIN,"Legal or jurisdiction-sensitive capacity","Retain predecessor-qualified/TBD language and deny unsupported action","Source gap; request; safe result; escalation",Founder/legal authority,"RAP-REQ-004;RAP-REQ-005;RAP-REQ-034",RAP-UNR-006,TBD_SOURCE_VERIFICATION
RAP-XWK-015,CROSS_DOMAIN,"Emergency basis invoked","No allow until controlling emergency policy and required protections apply","Basis; actor; scope; restrictions; decision; after-action review",Founder/security/privacy/safeguarding/claims,"RAP-REQ-010;RAP-REQ-028;RAP-REQ-034",RAP-UNR-005,TBD_SOURCE_VERIFICATION
RAP-XWK-016,CROSS_DOMAIN,"Retention export or decommission","Apply governing Records Privacy Claims Agreement and legal hold; invent no period","Authority; scope; export; hold; disposition evidence",Records/Privacy/Claims and Founder,"RAP-REQ-014;RAP-REQ-028",RAP-UNR-006,PREDECESSOR_QUALIFIED
