source_id,source_or_document_id,normative_row_id,guide_identifier,candidate_use,source_class,authority_status
CGSRC-GOV-0002,CGP005-NF-ES-CG-00-0001,CGP006-NR-0001,ES-CG-00,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0003,CGP005-NF-ES-CG-00-0002,CGP006-NR-0002,ES-CG-00,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0005,CGP005-NF-ES-CG-00-0003,CGP006-NR-0003,ES-CG-00,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0006,CGP005-NF-ES-CG-00-0004,CGP006-NR-0004,ES-CG-00,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0008,CGP005-NF-ES-CG-00-0005,CGP006-NR-0005,ES-CG-00,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0009,CGP005-NF-ES-CG-00-0006,CGP006-NR-0006,ES-CG-00,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0011,CGP005-NF-ES-CG-00-0007,CGP006-NR-0007,ES-CG-00,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0012,CGP005-NF-ES-CG-00-0008,CGP006-NR-0008,ES-CG-00,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0014,CGP005-NF-ES-CG-00-0009,CGP006-NR-0009,ES-CG-00,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0084,CGP005-NF-ES-CG-00-0010,CGP006-NR-0010,ES-CG-00,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0138,CGP005-NF-ES-CG-00-0011,CGP006-NR-0011,ES-CG-00,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0139,CGP005-NF-ES-CG-00-0012,CGP006-NR-0012,ES-CG-00,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0152,CGP005-NF-ES-CG-00-0013,CGP006-NR-0013,ES-CG-00,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0153,CGP005-NF-ES-CG-00-0014,CGP006-NR-0014,ES-CG-00,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-ATLAS-0006,CGP005-NF-ES-CG-00-0015,CGP006-NR-0015,ES-CG-00,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0017,CGP005-NF-ES-CG-00-0016,CGP006-NR-0016,ES-CG-00,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0018,CGP005-NF-ES-CG-00-0017,CGP006-NR-0017,ES-CG-00,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0019,CGP005-NF-ES-CG-00-0018,CGP006-NR-0018,ES-CG-00,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0020,CGP005-NF-ES-CG-00-0019,CGP006-NR-0019,ES-CG-00,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0021,CGP005-NF-ES-CG-00-0020,CGP006-NR-0020,ES-CG-00,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-REPO-0001,CGP005-NF-ES-CG-00-0021,CGP006-NR-0021,ES-CG-00,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-REPO-0002,CGP005-NF-ES-CG-00-0022,CGP006-NR-0022,ES-CG-00,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-REPO-0008,CGP005-NF-ES-CG-00-0023,CGP006-NR-0023,ES-CG-00,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-REPO-0009,CGP005-NF-ES-CG-00-0024,CGP006-NR-0024,ES-CG-00,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0001,CGP005-NF-ES-CG-00-0025,CGP006-NR-0025,ES-CG-00,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0002,CGP005-NF-ES-CG-00-0026,CGP006-NR-0026,ES-CG-00,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0003,CGP005-NF-ES-CG-00-0027,CGP006-NR-0027,ES-CG-00,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0004,CGP005-NF-ES-CG-00-0028,CGP006-NR-0028,ES-CG-00,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0201,CGP005-NF-ES-CG-00-0029,CGP006-NR-0029,ES-CG-00,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-GOV-0002,CGP005-NF-ES-CG-01-0001,CGP006-NR-0030,ES-CG-01,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0003,CGP005-NF-ES-CG-01-0002,CGP006-NR-0031,ES-CG-01,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0004,CGP005-NF-ES-CG-01-0003,CGP006-NR-0032,ES-CG-01,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0005,CGP005-NF-ES-CG-01-0004,CGP006-NR-0033,ES-CG-01,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0006,CGP005-NF-ES-CG-01-0005,CGP006-NR-0034,ES-CG-01,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0007,CGP005-NF-ES-CG-01-0006,CGP006-NR-0035,ES-CG-01,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0008,CGP005-NF-ES-CG-01-0007,CGP006-NR-0036,ES-CG-01,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0009,CGP005-NF-ES-CG-01-0008,CGP006-NR-0037,ES-CG-01,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0010,CGP005-NF-ES-CG-01-0009,CGP006-NR-0038,ES-CG-01,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0011,CGP005-NF-ES-CG-01-0010,CGP006-NR-0039,ES-CG-01,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0012,CGP005-NF-ES-CG-01-0011,CGP006-NR-0040,ES-CG-01,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0013,CGP005-NF-ES-CG-01-0012,CGP006-NR-0041,ES-CG-01,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0014,CGP005-NF-ES-CG-01-0013,CGP006-NR-0042,ES-CG-01,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0134,CGP005-NF-ES-CG-01-0014,CGP006-NR-0043,ES-CG-01,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0138,CGP005-NF-ES-CG-01-0015,CGP006-NR-0044,ES-CG-01,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0139,CGP005-NF-ES-CG-01-0016,CGP006-NR-0045,ES-CG-01,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0140,CGP005-NF-ES-CG-01-0017,CGP006-NR-0046,ES-CG-01,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0141,CGP005-NF-ES-CG-01-0018,CGP006-NR-0047,ES-CG-01,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0152,CGP005-NF-ES-CG-01-0019,CGP006-NR-0048,ES-CG-01,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0153,CGP005-NF-ES-CG-01-0020,CGP006-NR-0049,ES-CG-01,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0018,CGP005-NF-ES-CG-01-0021,CGP006-NR-0050,ES-CG-01,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-ARCH-0021,CGP005-NF-ES-CG-01-0022,CGP006-NR-0051,ES-CG-01,USED,APPROVED_ARCHITECTURE,SUPPORTING
CGSRC-ATLAS-0017,CGP005-NF-ES-CG-01-0023,CGP006-NR-0052,ES-CG-01,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0018,CGP005-NF-ES-CG-01-0024,CGP006-NR-0053,ES-CG-01,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0019,CGP005-NF-ES-CG-01-0025,CGP006-NR-0054,ES-CG-01,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0020,CGP005-NF-ES-CG-01-0026,CGP006-NR-0055,ES-CG-01,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0021,CGP005-NF-ES-CG-01-0027,CGP006-NR-0056,ES-CG-01,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-CGP005-0005,CGP005-NF-ES-CG-01-0028,CGP006-NR-0057,ES-CG-01,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0006,CGP005-NF-ES-CG-01-0029,CGP006-NR-0058,ES-CG-01,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0010,CGP005-NF-ES-CG-01-0030,CGP006-NR-0059,ES-CG-01,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0011,CGP005-NF-ES-CG-01-0031,CGP006-NR-0060,ES-CG-01,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0202,CGP005-NF-ES-CG-01-0032,CGP006-NR-0061,ES-CG-01,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0203,CGP005-NF-ES-CG-01-0033,CGP006-NR-0062,ES-CG-01,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0204,CGP005-NF-ES-CG-01-0034,CGP006-NR-0063,ES-CG-01,USED,REPOSITORY_EVIDENCE,SUPPORTING
