record_id,artifact_type,path_or_ref,sha256,git_object,byte_length,custody_note
SRC-PR62-0001,PR_BASE_HEAD,integrate-emergent-final-zip,N/A_GIT_COMMIT_SHA,1ad6fa436c31316ee192844106ca748cd6dc6d0b,N/A,Required protected base head before PR #62 merge.
SRC-PR62-0002,PR_HEAD,codex/cgp-006-repository-specific-implementation-mapping-current-state-gap-audit-v1,N/A_GIT_COMMIT_SHA,e61912b673da65556767cd8fb463c9d86debe5ff,N/A,Exact approved PR #62 head; not amended.
SRC-PR62-0003,PR62_MERGE_COMMIT,integrate-emergent-final-zip,N/A_GIT_COMMIT_SHA,185d37987c11eccabba4436619bdf11e91494711,N/A,Protected merge commit and protected head after PR #62 merge.
SRC-PR62-0004,PRIOR_DIRECTIVE_ZIP,/Users/rianray/Downloads/EquineSync_CGP006_PR62_Baseline_Approval_Merge_Custody_Directive_2026-07-30.zip,e5a9c9b1d2513ffa101bc217c2a69ac1df57b047e80f7ec7ca3e7d1a5b57a9fb,N/A,7535,Original Founder directive package identity.
SRC-PR62-0005,PRIOR_DIRECTIVE,CGP_006_PR_62_DOCUMENTARY_BASELINE_APPROVAL_PROTECTED_MERGE_AND_POST_MERGE_CUSTODY_DIRECTIVE_V1_0_0,230d44a8582ac1acc3d6216e100115fb1fff7e9b39d4b2b617f3356596864c82,N/A,14249,Original directive identity retained.
SRC-PR62-0006,CORRECTIVE_DIRECTIVE_ZIP,/Users/rianray/Downloads/EquineSync_CGP006_PR62_Whitespace_Preflight_Exception_Resume_2026-07-30.zip,55a8d1ea82e5d78f741189e2a5163631333f905d119fc7d7142e77e2257bc5d1,N/A,6291,Corrective directive package identity.
SRC-PR62-0007,CORRECTIVE_DIRECTIVE,CGP_006_PR_62_BASELINE_MERGE_PREFLIGHT_WHITESPACE_EXCEPTION_AND_RESUME_DIRECTIVE_V1_0_1,20cc1637bd8f17670c3378c1b255c5a637846c6ee72b278d8da05814e42dfcf3,N/A,9302,Whitespace exception and resume authority identity.
SRC-PR62-0008,COPILOT_SOURCE_EXACT_BYTES,governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/COPILOT_REPOSITORY_REVIEW_SOURCE_2026-07-30.txt,cd6e1315615d0f65664485d4ebc2f8906ff4e1f9c0bd19f3b7a6765da026386b,0d4e81ab45fac4feb77324a3f253f970c79fb803,12416,Exact source bytes preserved; known authenticated source whitespace retained.
SRC-PR62-0009,AUDIT_PACKAGE_MANIFEST,governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/PACKAGE_MANIFEST.json,5449be0f1ee6760e865e37ce73ecc4410ff4eaec2758d0885fd5af48e6b49777,810276236bde4450fa45b72f89f6ceccc943dff8,8642,PR #62 audit package manifest.
SRC-PR62-0010,AUDIT_PACKAGE_CHECKSUM_MANIFEST,governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/CHECKSUM_MANIFEST.sha256,649375f910f739a201c6ba135aa10a91c756f3a2a550ea4c6382ae5909d8782c,7c10b8ffcb78614affdce71c745610a594f547b6,3520,PR #62 audit package checksum manifest.
SRC-PR62-0011,AUDIT_PACKAGE_ARTIFACT,governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/.gitattributes,b1a5a66b5340e44840d6fd1c5ff82f691b541309080c6bb274ef827f99b8ee67,ee7e72da521f559f83d66fdbeb3ce8df0d0ef41f,60,Artifact identity from PR #62 PACKAGE_MANIFEST.json verified by custody validator.
SRC-PR62-0012,AUDIT_PACKAGE_ARTIFACT,governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/ASSUMPTION_INFERENCE_AND_UNRESOLVED_QUESTION_REGISTER.csv,04988f47574bc7fb940a7ec4509a865232d38d2be256dedd848a19c22b8ba298,57effdf3c2c93b531854323e40d8e239477bd795,2384,Artifact identity from PR #62 PACKAGE_MANIFEST.json verified by custody validator.
SRC-PR62-0013,AUDIT_PACKAGE_ARTIFACT,governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/AUTHENTICATION_AUTHORIZATION_TENANCY_AND_SUPPORT_ACCESS_MATRIX.csv,8ef686cf6683ed6621455b9042e8fa34fdbb05910a97390fdc45c1b7a6fd8088,9c8511ccb8f3ea616865c1914f0263210b0d612c,2888,Artifact identity from PR #62 PACKAGE_MANIFEST.json verified by custody validator.
SRC-PR62-0014,AUDIT_PACKAGE_ARTIFACT,governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/AUTHORIZED_PATH_REPORT.md,b196742fa75b2095ea17336ea1431d0e7aa1470f53e933f6681c8034783d4c67,34c1544135e049182db9e9cc9e0f8fee110becb7,1760,Artifact identity from PR #62 PACKAGE_MANIFEST.json verified by custody validator.
SRC-PR62-0015,AUDIT_PACKAGE_ARTIFACT,governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/CITED_REPOSITORY_FILE_IDENTITIES.csv,1982a591559e99fbabd0d90cb6981f5b161dcbc873643302e8dcbcf61b6f6bf8,d15d3e1f1da5ee4390c3e82d9d38cfa7c887ef19,14702,Artifact identity from PR #62 PACKAGE_MANIFEST.json verified by custody validator.
