requirement_id,requirement_statement,source_pia_id,source_document,source_document_sha256,source_location,founder_decision_ids,external_source_ids,external_source_resolution,external_source_hashes_known,actor,action,resource,workflow_ids,entity_or_field_ids,state_ids,permission_ids,interface_or_ui_ids,acceptance_criteria_ids,test_ids,evidence_ids,work_package_ids,dependency_ids,risk_ids,finding_ids,deviation_ids,release_classification,gate,mapping_method,mapping_status
OPC-REQ-001,The portal SHALL be horse-first and SHALL NOT require an individual owner to create an unnecessary Facility or Organization.,ES-PIA-OWNER-PORTAL-COMMUNICATIONS-V0.2.0,EquineSync_Item_10_Owner_Portal_Communications_PIA_V0_2_Strengthened_Draft.md,c68746f3eb2e1463fca17f81bebce416d420a2f2da7d8b6ba24d9987aff9c09a,Section 10 / OPC-REQ-001,OPC-FD-002,OPC-SRC-005;OPC-SRC-009;OPC-SRC-010,OPC-SRC-005:SOURCE_FAMILY_IDENTIFIED_FREEZE_PENDING;OPC-SRC-009:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-010:CROSS_PIA_CONTRACT_PENDING,NONE_REGISTERED_FOR_REFERENCED_SET,EQUINESYNC_SYSTEM,DENY_OR_PREVENT_PROHIBITED_BEHAVIOR,PORTAL_PROJECTION,"OPC-WF-001,002,010,011","OPC-ENT-001,002",OPC-SM-001 to OPC-SM-008,"OPC-PERM-001,002,016","OPC-UI-001 to OPC-UI-003,015","OPC-AC-001 to OPC-AC-004,020,031","OPC-TEST-001 to OPC-TEST-007,032,033,048","OPC-EVID-001 to OPC-EVID-004,014,020","OPC-WP-001,002,012",OPC-DEP-001 to OPC-DEP-010,"OPC-RISK-001,006",OPC-FIND-P1-006,NONE,Initial,Design / verification,ROW_EXPANSION_FROM_V0_2_SECTIONS_10_28_29_30_33_36_37_40_WITH_PACKAGE_LOCAL_DEPENDENCY_IDS,COMPLETE_DOCUMENTARY_ROW_PENDING_FOUNDER_CLOSURE_DISPOSITION
OPC-REQ-002,"Every portal read or action SHALL evaluate identity, account, tenant, facility, horse, relationship, purpose, time, restriction, and permission at action time.",ES-PIA-OWNER-PORTAL-COMMUNICATIONS-V0.2.0,EquineSync_Item_10_Owner_Portal_Communications_PIA_V0_2_Strengthened_Draft.md,c68746f3eb2e1463fca17f81bebce416d420a2f2da7d8b6ba24d9987aff9c09a,Section 10 / OPC-REQ-002,OPC-FD-001;OPC-FD-003,OPC-SRC-006;OPC-SRC-007;OPC-SRC-008;OPC-SRC-009;OPC-SRC-010;OPC-SRC-016,OPC-SRC-006:CONTRACT_FREEZE_PENDING;OPC-SRC-007:CONTRACT_FREEZE_PENDING;OPC-SRC-008:SOURCE_FREEZE_PENDING;OPC-SRC-009:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-010:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-016:SOURCE_FREEZE_PENDING,NONE_REGISTERED_FOR_REFERENCED_SET,EQUINESYNC_SYSTEM,ENFORCE_NORMATIVE_REQUIREMENT,PORTAL_PROJECTION,"OPC-WF-001,002,010,011","OPC-ENT-001,002",OPC-SM-001 to OPC-SM-008,"OPC-PERM-001,002,016","OPC-UI-001 to OPC-UI-003,015","OPC-AC-001 to OPC-AC-004,020,031","OPC-TEST-001 to OPC-TEST-007,032,033,048","OPC-EVID-001 to OPC-EVID-004,014,020","OPC-WP-001,002,012",OPC-DEP-001 to OPC-DEP-010,"OPC-RISK-001,006",OPC-FIND-P1-006,NONE,Initial,Design / verification,ROW_EXPANSION_FROM_V0_2_SECTIONS_10_28_29_30_33_36_37_40_WITH_PACKAGE_LOCAL_DEPENDENCY_IDS,COMPLETE_DOCUMENTARY_ROW_PENDING_FOUNDER_CLOSURE_DISPOSITION
OPC-REQ-003,"A portal projection SHALL identify its authoritative source, version or as-of time, provenance, staleness, and applicable correction route.",ES-PIA-OWNER-PORTAL-COMMUNICATIONS-V0.2.0,EquineSync_Item_10_Owner_Portal_Communications_PIA_V0_2_Strengthened_Draft.md,c68746f3eb2e1463fca17f81bebce416d420a2f2da7d8b6ba24d9987aff9c09a,Section 10 / OPC-REQ-003,OPC-FD-004;OPC-FD-005,OPC-SRC-002;OPC-SRC-010;OPC-SRC-011;OPC-SRC-012;OPC-SRC-013;OPC-SRC-014;OPC-SRC-015;OPC-SRC-016,OPC-SRC-002:EXACT_HASH_REGISTERED;OPC-SRC-010:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-011:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-012:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-013:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-014:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-015:SOURCE_FREEZE_PENDING;OPC-SRC-016:SOURCE_FREEZE_PENDING,c751a73331d89eb4dd5d5ff3b059c81bb1d99284102c6f39a008aeb84620bbbc,EQUINESYNC_SYSTEM,ENFORCE_NORMATIVE_REQUIREMENT,PORTAL_PROJECTION,"OPC-WF-001,002,010,011","OPC-ENT-001,002",OPC-SM-001 to OPC-SM-008,"OPC-PERM-001,002,016","OPC-UI-001 to OPC-UI-003,015","OPC-AC-001 to OPC-AC-004,020,031","OPC-TEST-001 to OPC-TEST-007,032,033,048","OPC-EVID-001 to OPC-EVID-004,014,020","OPC-WP-001,002,012",OPC-DEP-001 to OPC-DEP-010,"OPC-RISK-001,006",OPC-FIND-P1-006,NONE,Initial,Design / verification,ROW_EXPANSION_FROM_V0_2_SECTIONS_10_28_29_30_33_36_37_40_WITH_PACKAGE_LOCAL_DEPENDENCY_IDS,COMPLETE_DOCUMENTARY_ROW_PENDING_FOUNDER_CLOSURE_DISPOSITION
OPC-REQ-004,"The portal SHALL NOT silently mutate source-owned horse, care, medical, training, schedule, relationship, agreement, or financial records.",ES-PIA-OWNER-PORTAL-COMMUNICATIONS-V0.2.0,EquineSync_Item_10_Owner_Portal_Communications_PIA_V0_2_Strengthened_Draft.md,c68746f3eb2e1463fca17f81bebce416d420a2f2da7d8b6ba24d9987aff9c09a,Section 10 / OPC-REQ-004,OPC-FD-004,OPC-SRC-007;OPC-SRC-008;OPC-SRC-009;OPC-SRC-010;OPC-SRC-011;OPC-SRC-012;OPC-SRC-013;OPC-SRC-014;OPC-SRC-015;OPC-SRC-016,OPC-SRC-007:CONTRACT_FREEZE_PENDING;OPC-SRC-008:SOURCE_FREEZE_PENDING;OPC-SRC-009:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-010:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-011:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-012:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-013:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-014:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-015:SOURCE_FREEZE_PENDING;OPC-SRC-016:SOURCE_FREEZE_PENDING,NONE_REGISTERED_FOR_REFERENCED_SET,EQUINESYNC_SYSTEM,DENY_OR_PREVENT_PROHIBITED_BEHAVIOR,PORTAL_PROJECTION,"OPC-WF-001,002,010,011","OPC-ENT-001,002",OPC-SM-001 to OPC-SM-008,"OPC-PERM-001,002,016","OPC-UI-001 to OPC-UI-003,015","OPC-AC-001 to OPC-AC-004,020,031","OPC-TEST-001 to OPC-TEST-007,032,033,048","OPC-EVID-001 to OPC-EVID-004,014,020","OPC-WP-001,002,012",OPC-DEP-001 to OPC-DEP-010,"OPC-RISK-001,006",OPC-FIND-P1-006,NONE,Initial,Design / verification,ROW_EXPANSION_FROM_V0_2_SECTIONS_10_28_29_30_33_36_37_40_WITH_PACKAGE_LOCAL_DEPENDENCY_IDS,COMPLETE_DOCUMENTARY_ROW_PENDING_FOUNDER_CLOSURE_DISPOSITION
OPC-REQ-005,Consolidated multi-facility views SHALL preserve tenant and facility isolation and SHALL NOT pool private communications or records.,ES-PIA-OWNER-PORTAL-COMMUNICATIONS-V0.2.0,EquineSync_Item_10_Owner_Portal_Communications_PIA_V0_2_Strengthened_Draft.md,c68746f3eb2e1463fca17f81bebce416d420a2f2da7d8b6ba24d9987aff9c09a,Section 10 / OPC-REQ-005,OPC-FD-003,OPC-SRC-008;OPC-SRC-009;OPC-SRC-016,OPC-SRC-008:SOURCE_FREEZE_PENDING;OPC-SRC-009:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-016:SOURCE_FREEZE_PENDING,NONE_REGISTERED_FOR_REFERENCED_SET,EQUINESYNC_SYSTEM,DENY_OR_PREVENT_PROHIBITED_BEHAVIOR,COMMUNICATION_RECORD,"OPC-WF-001,002,010,011","OPC-ENT-001,002",OPC-SM-001 to OPC-SM-008,"OPC-PERM-001,002,016","OPC-UI-001 to OPC-UI-003,015","OPC-AC-001 to OPC-AC-004,020,031","OPC-TEST-001 to OPC-TEST-007,032,033,048","OPC-EVID-001 to OPC-EVID-004,014,020","OPC-WP-001,002,012",OPC-DEP-001 to OPC-DEP-010,"OPC-RISK-001,006",OPC-FIND-P1-006,NONE,Initial,Design / verification,ROW_EXPANSION_FROM_V0_2_SECTIONS_10_28_29_30_33_36_37_40_WITH_PACKAGE_LOCAL_DEPENDENCY_IDS,COMPLETE_DOCUMENTARY_ROW_PENDING_FOUNDER_CLOSURE_DISPOSITION
OPC-REQ-006,"Account, invoice, payment, email, emergency-contact, invitation, device, or horse-name match SHALL NOT independently create ownership, guardianship, or portal authority.",ES-PIA-OWNER-PORTAL-COMMUNICATIONS-V0.2.0,EquineSync_Item_10_Owner_Portal_Communications_PIA_V0_2_Strengthened_Draft.md,c68746f3eb2e1463fca17f81bebce416d420a2f2da7d8b6ba24d9987aff9c09a,Section 10 / OPC-REQ-006,OPC-FD-001,OPC-SRC-006;OPC-SRC-007;OPC-SRC-008;OPC-SRC-009;OPC-SRC-010;OPC-SRC-014;OPC-SRC-016,OPC-SRC-006:CONTRACT_FREEZE_PENDING;OPC-SRC-007:CONTRACT_FREEZE_PENDING;OPC-SRC-008:SOURCE_FREEZE_PENDING;OPC-SRC-009:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-010:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-014:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-016:SOURCE_FREEZE_PENDING,NONE_REGISTERED_FOR_REFERENCED_SET,EQUINESYNC_SYSTEM,DENY_OR_PREVENT_PROHIBITED_BEHAVIOR,PORTAL_PROJECTION,"OPC-WF-001,002,010,011","OPC-ENT-001,002",OPC-SM-001 to OPC-SM-008,"OPC-PERM-001,002,016","OPC-UI-001 to OPC-UI-003,015","OPC-AC-001 to OPC-AC-004,020,031","OPC-TEST-001 to OPC-TEST-007,032,033,048","OPC-EVID-001 to OPC-EVID-004,014,020","OPC-WP-001,002,012",OPC-DEP-001 to OPC-DEP-010,"OPC-RISK-001,006",OPC-FIND-P1-006,NONE,Initial,Design / verification,ROW_EXPANSION_FROM_V0_2_SECTIONS_10_28_29_30_33_36_37_40_WITH_PACKAGE_LOCAL_DEPENDENCY_IDS,COMPLETE_DOCUMENTARY_ROW_PENDING_FOUNDER_CLOSURE_DISPOSITION
OPC-REQ-007,The portal SHALL expose owner-visible categories only through explicit source-domain projection contracts and field-level permissions.,ES-PIA-OWNER-PORTAL-COMMUNICATIONS-V0.2.0,EquineSync_Item_10_Owner_Portal_Communications_PIA_V0_2_Strengthened_Draft.md,c68746f3eb2e1463fca17f81bebce416d420a2f2da7d8b6ba24d9987aff9c09a,Section 10 / OPC-REQ-007,OPC-FD-005,OPC-SRC-010;OPC-SRC-011;OPC-SRC-012;OPC-SRC-013;OPC-SRC-014;OPC-SRC-015;OPC-SRC-016;OPC-SRC-017,OPC-SRC-010:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-011:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-012:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-013:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-014:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-015:SOURCE_FREEZE_PENDING;OPC-SRC-016:SOURCE_FREEZE_PENDING;OPC-SRC-017:SOURCE_FREEZE_PENDING,NONE_REGISTERED_FOR_REFERENCED_SET,EQUINESYNC_SYSTEM,PRESENT_TRUTHFUL_GOVERNED_INFORMATION,PORTAL_PROJECTION,"OPC-WF-001,002,010,011","OPC-ENT-001,002",OPC-SM-001 to OPC-SM-008,"OPC-PERM-001,002,016","OPC-UI-001 to OPC-UI-003,015","OPC-AC-001 to OPC-AC-004,020,031","OPC-TEST-001 to OPC-TEST-007,032,033,048","OPC-EVID-001 to OPC-EVID-004,014,020","OPC-WP-001,002,012",OPC-DEP-001 to OPC-DEP-010,"OPC-RISK-001,006",OPC-FIND-P1-006,NONE,Initial,Design / verification,ROW_EXPANSION_FROM_V0_2_SECTIONS_10_28_29_30_33_36_37_40_WITH_PACKAGE_LOCAL_DEPENDENCY_IDS,COMPLETE_DOCUMENTARY_ROW_PENDING_FOUNDER_CLOSURE_DISPOSITION
OPC-REQ-008,"Internal staff notes, safeguarding content, private employment data, internal disputes, unrelated facility operations, and other customers data SHALL remain excluded unless specifically authorized.",ES-PIA-OWNER-PORTAL-COMMUNICATIONS-V0.2.0,EquineSync_Item_10_Owner_Portal_Communications_PIA_V0_2_Strengthened_Draft.md,c68746f3eb2e1463fca17f81bebce416d420a2f2da7d8b6ba24d9987aff9c09a,Section 10 / OPC-REQ-008,OPC-FD-005,OPC-SRC-008;OPC-SRC-009;OPC-SRC-016,OPC-SRC-008:SOURCE_FREEZE_PENDING;OPC-SRC-009:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-016:SOURCE_FREEZE_PENDING,NONE_REGISTERED_FOR_REFERENCED_SET,EQUINESYNC_SYSTEM,ENFORCE_NORMATIVE_REQUIREMENT,OWNER_PORTAL_AND_COMMUNICATIONS_CAPABILITY,"OPC-WF-001,002,010,011","OPC-ENT-001,002",OPC-SM-001 to OPC-SM-008,"OPC-PERM-001,002,016","OPC-UI-001 to OPC-UI-003,015","OPC-AC-001 to OPC-AC-004,020,031","OPC-TEST-001 to OPC-TEST-007,032,033,048","OPC-EVID-001 to OPC-EVID-004,014,020","OPC-WP-001,002,012",OPC-DEP-001 to OPC-DEP-010,"OPC-RISK-001,006",OPC-FIND-P1-006,NONE,Initial,Design / verification,ROW_EXPANSION_FROM_V0_2_SECTIONS_10_28_29_30_33_36_37_40_WITH_PACKAGE_LOCAL_DEPENDENCY_IDS,COMPLETE_DOCUMENTARY_ROW_PENDING_FOUNDER_CLOSURE_DISPOSITION
OPC-REQ-009,"Communications SHALL be classified using the approved taxonomy before routing, preference application, retention, escalation, and evidence rules are selected.",ES-PIA-OWNER-PORTAL-COMMUNICATIONS-V0.2.0,EquineSync_Item_10_Owner_Portal_Communications_PIA_V0_2_Strengthened_Draft.md,c68746f3eb2e1463fca17f81bebce416d420a2f2da7d8b6ba24d9987aff9c09a,Section 10 / OPC-REQ-009,OPC-FD-006,OPC-SRC-011;OPC-SRC-015;OPC-SRC-016,OPC-SRC-011:CROSS_PIA_CONTRACT_PENDING;OPC-SRC-015:SOURCE_FREEZE_PENDING;OPC-SRC-016:SOURCE_FREEZE_PENDING,NONE_REGISTERED_FOR_REFERENCED_SET,EQUINESYNC_SYSTEM,ENFORCE_NORMATIVE_REQUIREMENT,COMMUNICATION_RECORD,"OPC-WF-003,005 to 008","OPC-ENT-003 to OPC-ENT-011,013",OPC-SM-001 to OPC-SM-008,OPC-PERM-004 to OPC-PERM-007,OPC-UI-004 to OPC-UI-006,"OPC-AC-005 to OPC-AC-011,030,035","OPC-TEST-008 to OPC-TEST-017,051,052",OPC-EVID-005 to OPC-EVID-010,"OPC-WP-003,004,012","OPC-DEP-005,008 to OPC-DEP-010","OPC-RISK-002,003,011",OPC-FIND-P1-006,NONE,Initial,Implementation / operations,ROW_EXPANSION_FROM_V0_2_SECTIONS_10_28_29_30_33_36_37_40_WITH_PACKAGE_LOCAL_DEPENDENCY_IDS,COMPLETE_DOCUMENTARY_ROW_PENDING_FOUNDER_CLOSURE_DISPOSITION
OPC-REQ-010,"Ordinary message, owner update, announcement, actionable request, reminder, transaction confirmation, formal notice, emergency alert, safeguarding-restricted, billing, and security communications SHALL remain distinguishable.",ES-PIA-OWNER-PORTAL-COMMUNICATIONS-V0.2.0,EquineSync_Item_10_Owner_Portal_Communications_PIA_V0_2_Strengthened_Draft.md,c68746f3eb2e1463fca17f81bebce416d420a2f2da7d8b6ba24d9987aff9c09a,Section 10 / OPC-REQ-010,OPC-FD-006,OPC-SRC-015,OPC-SRC-015:SOURCE_FREEZE_PENDING,NONE_REGISTERED_FOR_REFERENCED_SET,EQUINESYNC_SYSTEM,ENFORCE_NORMATIVE_REQUIREMENT,COMMUNICATION_RECORD,"OPC-WF-003,005 to 008","OPC-ENT-003 to OPC-ENT-011,013",OPC-SM-001 to OPC-SM-008,OPC-PERM-004 to OPC-PERM-007,OPC-UI-004 to OPC-UI-006,"OPC-AC-005 to OPC-AC-011,030,035","OPC-TEST-008 to OPC-TEST-017,051,052",OPC-EVID-005 to OPC-EVID-010,"OPC-WP-003,004,012","OPC-DEP-005,008 to OPC-DEP-010","OPC-RISK-002,003,011",OPC-FIND-P1-006,NONE,Initial,Implementation / operations,ROW_EXPANSION_FROM_V0_2_SECTIONS_10_28_29_30_33_36_37_40_WITH_PACKAGE_LOCAL_DEPENDENCY_IDS,COMPLETE_DOCUMENTARY_ROW_PENDING_FOUNDER_CLOSURE_DISPOSITION
