role,accountable_function,responsible_function,consulted_function,informed_function,appointment_authority,appointment_evidence,acceptance_evidence,effective_date,deputy,succession_process,response_deadline,overdue_escalation,conflict_restrictions,review_responsibility,reassignment_trigger,accountability_gap_effect
governance stewardship,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,Governance Stewardship,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review governance stewardship controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident,"governance stewardship controls are not operative for closure, approval, waiver, or acceptance while appointment_evidence is NOT_RECORDED."
product domain ownership,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,Product Domain Ownership,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review product domain ownership controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident,"product domain ownership controls are not operative for closure, approval, waiver, or acceptance while appointment_evidence is NOT_RECORDED."
technical implementation,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,Technical Implementation,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review technical implementation controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident,"technical implementation controls are not operative for closure, approval, waiver, or acceptance while appointment_evidence is NOT_RECORDED."
security,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,Security,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review security controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident,"security controls are not operative for closure, approval, waiver, or acceptance while appointment_evidence is NOT_RECORDED."
privacy,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,Privacy,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review privacy controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident,"privacy controls are not operative for closure, approval, waiver, or acceptance while appointment_evidence is NOT_RECORDED."
safeguarding,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,Safeguarding,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review safeguarding controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident,"safeguarding controls are not operative for closure, approval, waiver, or acceptance while appointment_evidence is NOT_RECORDED."
financial controls,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,Financial Controls,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review financial controls controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident,"financial controls controls are not operative for closure, approval, waiver, or acceptance while appointment_evidence is NOT_RECORDED."
equine health and welfare,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,Equine Health And Welfare,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review equine health and welfare controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident,"equine health and welfare controls are not operative for closure, approval, waiver, or acceptance while appointment_evidence is NOT_RECORDED."
records and evidence custody,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,Records And Evidence Custody,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review records and evidence custody controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident,"records and evidence custody controls are not operative for closure, approval, waiver, or acceptance while appointment_evidence is NOT_RECORDED."
release authority,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,Release Authority,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review release authority controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident,"release authority controls are not operative for closure, approval, waiver, or acceptance while appointment_evidence is NOT_RECORDED."
