artifact_id,artifact_type,canonical_title,version,portfolio_family,exact_repository_path,sha256,byte_length,source_commit,Founder_approval_state,approval_evidence,adoption_state,adoption_evidence,lock_state,lock_evidence,accession_state,accession_PR,accession_merge_commit,custody_state,custody_receipt,activation_state,activation_scope,implementation_authority_state,runtime_authority_state,pilot_authority_state,production_authority_state,effective_date,suspension_state,predecessor,successor,supersession_basis,retained_findings,accepted_risks,certifications_or_waivers,current_controlling_evidence,next_required_action,current_state_determination
T1D04-AUTH-001,CONSTITUTIONAL_GOVERNANCE_SOURCE,EquineSync Canon Index,UNSPECIFIED_VERSION,CONSTITUTIONAL_OR_IMPLEMENTATION_GOVERNANCE,docs/canon/CANON_INDEX.md,4fa4e10369389728aa9116d9cfeece59b468a8dfe62f0a2088141a52a101ea4a,32452,1eb384d80daa700ba2e71ee42872cc9bba926332,EVIDENCE_RECORDED_IF_SOURCE_SUPPORTS,docs/canon/CANON_INDEX.md,RECORDED_BY_SOURCE_NOT_INFERRED,docs/canon/CANON_INDEX.md,RECORDED_BY_SOURCE_NOT_INFERRED,docs/canon/CANON_INDEX.md,NOT_INFERRED,NONE_RECORDED,NONE_RECORDED,RECORDED_IF_RECEIPT_EXISTS,NONE_RECORDED,NOT_ACTIVE_UNLESS_SEPARATE_EVIDENCE,NONE_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,NOT_ASSESSED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,RETAINED_IF_SOURCE_IDENTIFIES,ONLY_WHERE_DURABLE_RECORD_EXISTS,ONLY_WHERE_DURABLE_RECORD_EXISTS,docs/canon/CANON_INDEX.md,ROW_LEVEL_REVIEW_BEFORE_AUTHORITY_CLAIM,PROTECTED_CURRENT
T1D04-AUTH-002,CONSTITUTIONAL_GOVERNANCE_SOURCE,Canon State and Lock Registry,UNSPECIFIED_VERSION,CONSTITUTIONAL_OR_IMPLEMENTATION_GOVERNANCE,docs/canon/registries/CANON_STATE_AND_LOCK_REGISTRY.md,272f35833dad117c08bd4e673dfd673becbc3cbc3eb0b240ce436f49292424ec,10509,1eb384d80daa700ba2e71ee42872cc9bba926332,EVIDENCE_RECORDED_IF_SOURCE_SUPPORTS,docs/canon/registries/CANON_STATE_AND_LOCK_REGISTRY.md,RECORDED_BY_SOURCE_NOT_INFERRED,docs/canon/registries/CANON_STATE_AND_LOCK_REGISTRY.md,RECORDED_BY_SOURCE_NOT_INFERRED,docs/canon/registries/CANON_STATE_AND_LOCK_REGISTRY.md,NOT_INFERRED,NONE_RECORDED,NONE_RECORDED,RECORDED_IF_RECEIPT_EXISTS,NONE_RECORDED,NOT_ACTIVE_UNLESS_SEPARATE_EVIDENCE,NONE_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,NOT_ASSESSED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,RETAINED_IF_SOURCE_IDENTIFIES,ONLY_WHERE_DURABLE_RECORD_EXISTS,ONLY_WHERE_DURABLE_RECORD_EXISTS,docs/canon/registries/CANON_STATE_AND_LOCK_REGISTRY.md,ROW_LEVEL_REVIEW_BEFORE_AUTHORITY_CLAIM,PROTECTED_CURRENT
T1D04-AUTH-003,CONSTITUTIONAL_GOVERNANCE_SOURCE,Canon Lock Ledger,UNSPECIFIED_VERSION,CONSTITUTIONAL_OR_IMPLEMENTATION_GOVERNANCE,docs/canon/registries/CANON_LOCK_LEDGER.md,ccbcda1f1f1e2d858adf8bc38973a29634d6e487de8d7990171092cdd5aded4e,15808,1eb384d80daa700ba2e71ee42872cc9bba926332,EVIDENCE_RECORDED_IF_SOURCE_SUPPORTS,docs/canon/registries/CANON_LOCK_LEDGER.md,RECORDED_BY_SOURCE_NOT_INFERRED,docs/canon/registries/CANON_LOCK_LEDGER.md,RECORDED_BY_SOURCE_NOT_INFERRED,docs/canon/registries/CANON_LOCK_LEDGER.md,NOT_INFERRED,NONE_RECORDED,NONE_RECORDED,RECORDED_IF_RECEIPT_EXISTS,NONE_RECORDED,NOT_ACTIVE_UNLESS_SEPARATE_EVIDENCE,NONE_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,NOT_ASSESSED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,RETAINED_IF_SOURCE_IDENTIFIES,ONLY_WHERE_DURABLE_RECORD_EXISTS,ONLY_WHERE_DURABLE_RECORD_EXISTS,docs/canon/registries/CANON_LOCK_LEDGER.md,ROW_LEVEL_REVIEW_BEFORE_AUTHORITY_CLAIM,PROTECTED_CURRENT
T1D04-AUTH-004,LOCK_RECORD,EquineSync Global Governance V1.0 Lock Record,V1.0,CONSTITUTIONAL_OR_IMPLEMENTATION_GOVERNANCE,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_LOCK_RECORD.md,16c9b4c4f16f078c036c0768da38ae0d70cc643b10f9b5d76a50205a426ba551,1741,1eb384d80daa700ba2e71ee42872cc9bba926332,EVIDENCE_RECORDED_IF_SOURCE_SUPPORTS,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_LOCK_RECORD.md,RECORDED_BY_SOURCE_NOT_INFERRED,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_LOCK_RECORD.md,RECORDED_BY_SOURCE_NOT_INFERRED,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_LOCK_RECORD.md,NOT_INFERRED,NONE_RECORDED,NONE_RECORDED,RECORDED_IF_RECEIPT_EXISTS,NONE_RECORDED,NOT_ACTIVE_UNLESS_SEPARATE_EVIDENCE,NONE_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,NOT_ASSESSED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,RETAINED_IF_SOURCE_IDENTIFIES,ONLY_WHERE_DURABLE_RECORD_EXISTS,ONLY_WHERE_DURABLE_RECORD_EXISTS,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_LOCK_RECORD.md,ROW_LEVEL_REVIEW_BEFORE_AUTHORITY_CLAIM,LOCKED
T1D04-AUTH-005,LOCK_RECORD,Founder-Directed PIA Portfolio Lock Record,V1.0.0,CONSTITUTIONAL_OR_IMPLEMENTATION_GOVERNANCE,governance/pia_portfolio/ES-PIA-PORTFOLIO-REALIGNMENT-V1.0.0/FOUNDER_DIRECTED_PORTFOLIO_LOCK_RECORD.md,417002ce200865f93ef677c1854b179ac96bb16d83082b842178dec6e1c75c40,1257,1eb384d80daa700ba2e71ee42872cc9bba926332,EVIDENCE_RECORDED_IF_SOURCE_SUPPORTS,governance/pia_portfolio/ES-PIA-PORTFOLIO-REALIGNMENT-V1.0.0/FOUNDER_DIRECTED_PORTFOLIO_LOCK_RECORD.md,RECORDED_BY_SOURCE_NOT_INFERRED,governance/pia_portfolio/ES-PIA-PORTFOLIO-REALIGNMENT-V1.0.0/FOUNDER_DIRECTED_PORTFOLIO_LOCK_RECORD.md,RECORDED_BY_SOURCE_NOT_INFERRED,governance/pia_portfolio/ES-PIA-PORTFOLIO-REALIGNMENT-V1.0.0/FOUNDER_DIRECTED_PORTFOLIO_LOCK_RECORD.md,NOT_INFERRED,NONE_RECORDED,NONE_RECORDED,RECORDED_IF_RECEIPT_EXISTS,NONE_RECORDED,NOT_ACTIVE_UNLESS_SEPARATE_EVIDENCE,NONE_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,NOT_ASSESSED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,RETAINED_IF_SOURCE_IDENTIFIES,ONLY_WHERE_DURABLE_RECORD_EXISTS,ONLY_WHERE_DURABLE_RECORD_EXISTS,governance/pia_portfolio/ES-PIA-PORTFOLIO-REALIGNMENT-V1.0.0/FOUNDER_DIRECTED_PORTFOLIO_LOCK_RECORD.md,ROW_LEVEL_REVIEW_BEFORE_AUTHORITY_CLAIM,LOCKED
T1D04-AUTH-006,IMPLEMENTATION_GOVERNANCE_SOURCE,Code Guide Program Status,UNSPECIFIED_VERSION,CONSTITUTIONAL_OR_IMPLEMENTATION_GOVERNANCE,governance/implementation/code-guides/PROGRAM_STATUS.md,6c15ed7f12f3e156540da2caabd25d5d798c54d46109ffb1c8e599594535943c,27720,1eb384d80daa700ba2e71ee42872cc9bba926332,EVIDENCE_RECORDED_IF_SOURCE_SUPPORTS,governance/implementation/code-guides/PROGRAM_STATUS.md,RECORDED_BY_SOURCE_NOT_INFERRED,governance/implementation/code-guides/PROGRAM_STATUS.md,RECORDED_BY_SOURCE_NOT_INFERRED,governance/implementation/code-guides/PROGRAM_STATUS.md,NOT_INFERRED,NONE_RECORDED,NONE_RECORDED,RECORDED_IF_RECEIPT_EXISTS,NONE_RECORDED,NOT_ACTIVE_UNLESS_SEPARATE_EVIDENCE,NONE_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,NOT_GRANTED_BY_THIS_PACKAGE,SOURCE_SPECIFIC,NOT_ASSESSED,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,RETAINED_IF_SOURCE_IDENTIFIES,ONLY_WHERE_DURABLE_RECORD_EXISTS,ONLY_WHERE_DURABLE_RECORD_EXISTS,governance/implementation/code-guides/PROGRAM_STATUS.md,ROW_LEVEL_REVIEW_BEFORE_AUTHORITY_CLAIM,PROTECTED_CURRENT
T1D04-PR-80,UNMERGED_PR_CANDIDATE,Draft master product feature-to-governance coverage matrix V1.0,CANDIDATE,PORTFOLIO_OR_CODE_GUIDE_CONTEXT,PR#80:codex/master-product-feature-governance-coverage-matrix-v1,,,161917c7ab00312c4b389349c7851d79a1b1b5d6,NOT_INFERRED,UNMERGED_PR_CONTEXT_ONLY,NOT_ADOPTED,NONE,NOT_LOCKED,NONE,NOT_ACCESSIONED,80,NONE,NOT_CUSTODY_COMPLETE,NONE,NOT_ACTIVE,NONE,NOT_GRANTED,NOT_GRANTED,NOT_GRANTED,NOT_GRANTED,NONE,NOT_APPLICABLE,CONTEXT_DEPENDENT,NONE,NONE,UNRESOLVED_UNTIL_FOUNDER_DISPOSITION,NONE_GRANTED_BY_PR,NONE_GRANTED_BY_PR,PROTECTED_BRANCH_NOT_PR_HEAD,FOUNDER_REVIEW_OR_AUTHORIZED_MERGE_DECISION,UNMERGED_CANDIDATE
T1D04-PR-77,UNMERGED_PR_CANDIDATE,Draft governance portfolio scope taxonomy closure standard,CANDIDATE,PORTFOLIO_OR_CODE_GUIDE_CONTEXT,PR#77:codex/governance-portfolio-scope-taxonomy-closure-maintenance-standard-v1,,,95672eac54ae1be715e8c612c712506661e1df03,NOT_INFERRED,UNMERGED_PR_CONTEXT_ONLY,NOT_ADOPTED,NONE,NOT_LOCKED,NONE,NOT_ACCESSIONED,77,NONE,NOT_CUSTODY_COMPLETE,NONE,NOT_ACTIVE,NONE,NOT_GRANTED,NOT_GRANTED,NOT_GRANTED,NOT_GRANTED,NONE,NOT_APPLICABLE,CONTEXT_DEPENDENT,NONE,NONE,UNRESOLVED_UNTIL_FOUNDER_DISPOSITION,NONE_GRANTED_BY_PR,NONE_GRANTED_BY_PR,PROTECTED_BRANCH_NOT_PR_HEAD,FOUNDER_REVIEW_OR_AUTHORIZED_MERGE_DECISION,UNMERGED_CANDIDATE
T1D04-PR-68,UNMERGED_PR_CANDIDATE,CGP-006 repository hygiene and CI assurance Founder review packet,CANDIDATE,PORTFOLIO_OR_CODE_GUIDE_CONTEXT,PR#68:codex/cgp-006-repository-hygiene-founder-review-disposition-v1,,,f63415214b55b475d5a00b546337aff51140ff12,NOT_INFERRED,UNMERGED_PR_CONTEXT_ONLY,NOT_ADOPTED,NONE,NOT_LOCKED,NONE,NOT_ACCESSIONED,68,NONE,NOT_CUSTODY_COMPLETE,NONE,NOT_ACTIVE,NONE,NOT_GRANTED,NOT_GRANTED,NOT_GRANTED,NOT_GRANTED,NONE,NOT_APPLICABLE,CONTEXT_DEPENDENT,NONE,NONE,UNRESOLVED_UNTIL_FOUNDER_DISPOSITION,NONE_GRANTED_BY_PR,NONE_GRANTED_BY_PR,PROTECTED_BRANCH_NOT_PR_HEAD,FOUNDER_REVIEW_OR_AUTHORIZED_MERGE_DECISION,UNMERGED_CANDIDATE
T1D04-PR-67,UNMERGED_PR_CANDIDATE,CI assurance reporting and monitoring draft,CANDIDATE,PORTFOLIO_OR_CODE_GUIDE_CONTEXT,PR#67:codex/ci-assurance-reporting-and-monitoring-v1,,,76842397debf37780bea850933b1102779e2b502,NOT_INFERRED,UNMERGED_PR_CONTEXT_ONLY,NOT_ADOPTED,NONE,NOT_LOCKED,NONE,NOT_ACCESSIONED,67,NONE,NOT_CUSTODY_COMPLETE,NONE,NOT_ACTIVE,NONE,NOT_GRANTED,NOT_GRANTED,NOT_GRANTED,NOT_GRANTED,NONE,NOT_APPLICABLE,CONTEXT_DEPENDENT,NONE,NONE,UNRESOLVED_UNTIL_FOUNDER_DISPOSITION,NONE_GRANTED_BY_PR,NONE_GRANTED_BY_PR,PROTECTED_BRANCH_NOT_PR_HEAD,FOUNDER_REVIEW_OR_AUTHORIZED_MERGE_DECISION,UNMERGED_CANDIDATE
