"label_1","label_2","lane_id","thread_id","observed_start_utc","generated_utc","decision_id","registered_adrs","actual_semantic_coverage","classification","severity","finding_ids","evidence_links","ratification_effect","proposed_action","limitations","self_audit"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","IDENTITY-FD-001","ADR-IDENTITY-006","Invite-only pilot and separately gated formal-launch signup are preserved.","EXACTLY_ALIGNED","","","FOUNDER_DECISION_REGISTER.csv:L2;ADR-IDENTITY-006_FORMAL.md:L15-L25","No traceability blocker from this decision.","Preserve exact separation of pilot and formal-launch gates.","Documentary review only; no implementation evidence.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","IDENTITY-FD-002","ADR-IDENTITY-001;ADR-IDENTITY-002","Gateway/provider neutrality and federation are present; verified email is not explicitly carried, while TOTP is substantively in ADR-003 without an FD-002 mapping.","MISSING_TRACEABILITY","P1","CMT02-F-004","FOUNDER_DECISION_REGISTER.csv:L3;FORMAL_ADR_REGISTER.csv:L2-L4;ADR-IDENTITY-001_FORMAL.md:L15-L25;ADR-IDENTITY-003_FORMAL.md:L15-L17","Blocks exact traceability.","Add verified-email semantics and map FD-002 to the ADR that owns TOTP; remove unsupported mappings.","Documentary review only; no implementation evidence.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","IDENTITY-FD-003","ADR-IDENTITY-002;ADR-IDENTITY-003;ADR-IDENTITY-004","Mandatory privileged MFA, passkey preference, TOTP compatibility, and fresh step-up are present; additional numeric policy is reviewed separately.","EXACTLY_ALIGNED","","CMT02-F-005;CMT02-F-006","FOUNDER_DECISION_REGISTER.csv:L4;ADR-IDENTITY-002_FORMAL.md:L15-L25;ADR-IDENTITY-003_FORMAL.md:L15-L25;ADR-IDENTITY-004_FORMAL.md:L17-L25","Core direction aligns; material additions still block affected ADRs.","Preserve approved core; separately decide or parameterize added details.","Documentary review only; no implementation evidence.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","IDENTITY-FD-004","ADR-IDENTITY-007","Separate identity and jurisdiction-aware transition are present, but initial separate minor account/credentials are weakened to optional/ordinary outside the ADR.","CONTROL_WEAKENING","P0","CMT02-F-001;CMT02-F-004","FOUNDER_DECISION_REGISTER.csv:L5;WORKFLOW_REGISTER.csv:L5;GOLDEN_PATHS.md:L55-L59;IDENTITY_PROTECTED_PARTICIPANT_CONTRACT.md:L5;ADR-IDENTITY-007_FORMAL.md:L15-L25","Blocks ratification readiness.","Make separate minor identity, account, credentials, and attribution mandatory across all active artifacts.","Documentary review only; no legal adjudication.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","IDENTITY-FD-005","","PIA requirements contain invitation controls, but the formal ADR register has no mapping and no ADR restates the complete approved direction.","MISSING_TRACEABILITY","P1","CMT02-F-003","FOUNDER_DECISION_REGISTER.csv:L6;FORMAL_ADR_REGISTER.csv:L2-L8;REQUIREMENT_REGISTER.csv:L10-L11;ADR-IDENTITY-006_FORMAL.md:L19-L25","Blocks formal ADR traceability.","Add FD-005 and its complete invitation-security rules to ADR-006 or a separately reviewed formal ADR.","Documentary review only; no implementation evidence.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","IDENTITY-FD-006","ADR-IDENTITY-003;ADR-IDENTITY-004;ADR-IDENTITY-005","ADRs preserve bounded recovery and restrictions, but the Authorization contract creates a policy-acceptance escape from the required additional condition.","CONTROL_WEAKENING","P0","CMT02-F-002","FOUNDER_DECISION_REGISTER.csv:L7;ADR-IDENTITY-005_FORMAL.md:L15-L25;IDENTITY_AUTHORIZATION_CONTRACT.md:L25-L30","Blocks contract and package ratification readiness.","Require step-up, risk checks, or completed manual review before high-risk authorization after recovery.","Documentary review only; Authorization PIA remains external.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","IDENTITY-FD-007","ADR-IDENTITY-005;ADR-IDENTITY-006","ADR-006 carries no-automatic-merge and controlled duplicate review; ADR-005 is registered but does not substantively encode merge authority.","MISSING_TRACEABILITY","P1","CMT02-F-004","FOUNDER_DECISION_REGISTER.csv:L8;FORMAL_ADR_REGISTER.csv:L6-L7;ADR-IDENTITY-005_FORMAL.md:L13-L25;ADR-IDENTITY-006_FORMAL.md:L15-L25","Blocks exact mapping accuracy, although the core rule is present.","Remove FD-007 from ADR-005 or add an exact and relevant recovery/merge interaction rule.","Documentary review only; no implementation evidence.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","IDENTITY-FD-008","ADR-IDENTITY-001;ADR-IDENTITY-006","ADR-006 carries public pathways, provisional claims, and organization-type separation; ADR-001 mapping has no public-signup content.","EDITORIAL_ONLY","P2","CMT02-F-004","FOUNDER_DECISION_REGISTER.csv:L9;FORMAL_ADR_REGISTER.csv:L2,L7;ADR-IDENTITY-001_FORMAL.md:L13-L25;ADR-IDENTITY-006_FORMAL.md:L13-L25","Mapping cleanup is required as part of the broader P1 traceability remediation.","Remove FD-008 from ADR-001 unless a direct authentication-boundary clause is added.","Documentary review only; Business/Facility ownership not adjudicated.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","IDENTITY-FD-009","ADR-IDENTITY-004;ADR-IDENTITY-005","Bounded and attributed support is present, but case linkage, purpose, approval where required, safe notice, complete actor chain, and immediate termination are not all normative in the mapped ADRs.","MISSING_TRACEABILITY","P1","CMT02-F-004;CMT02-F-016","FOUNDER_DECISION_REGISTER.csv:L10;ADR-IDENTITY-004_FORMAL.md:L17-L25;ADR-IDENTITY-005_FORMAL.md:L15-L25;IDENTITY_AUTHORIZATION_CONTRACT.md:L23-L30","Blocks exact semantic conformance.","Carry all FD-009 elements into the owning ADR and Authorization decision evidence contract.","Documentary review only; Support implementation not assessed.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","IDENTITY-FD-010","ADR-IDENTITY-007","Transition case, notice schedule, continuity, guardian expiry, and exception pause are carried exactly in the decision text.","EXACTLY_ALIGNED","","CMT02-F-010","FOUNDER_DECISION_REGISTER.csv:L11;ADR-IDENTITY-007_FORMAL.md:L15-L25","Core direction aligns; the open parameter still requires clarification.","State that duration is an escalation SLA and never an automatic completion trigger.","Documentary review only; jurisdictional policy not adjudicated.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","IDENTITY-FD-011","ADR-IDENTITY-004;ADR-IDENTITY-005;ADR-IDENTITY-007","Authentication termination and history preservation appear across the package, but the mapped ADRs do not enumerate the complete identity, authorship, relationship, agreement, audit, financial, safeguarding, incident, legal-hold, retention, and privacy rule.","MISSING_TRACEABILITY","P1","CMT02-F-004","FOUNDER_DECISION_REGISTER.csv:L12;ADR-IDENTITY-004_FORMAL.md:L15-L25;ADR-IDENTITY-005_FORMAL.md:L15-L25;ADR-IDENTITY-007_FORMAL.md:L15-L25;PIA:L428-L434","Blocks exact semantic coverage.","Add the complete closure/history rule to the owning formal ADR and clean unrelated mappings.","Documentary review only; retention schedules remain external.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","IDENTITY-FD-012","ADR-IDENTITY-006","ADR-006 cites FD-012 but does not state the required identity, account, tenant participation, relationship context, agreements, support path, reproduced primary workflow, and evidence completion gate.","MISSING_TRACEABILITY","P1","CMT02-F-004","FOUNDER_DECISION_REGISTER.csv:L13;FORMAL_ADR_REGISTER.csv:L7;ADR-IDENTITY-006_FORMAL.md:L13-L25;PIA:L1043-L1060","Blocks exact semantic conformance.","Add the full onboarding-completion predicate or move the mapping to an ADR that contains it.","Documentary review only; workflow execution not performed.","PASS"

