source_id,title,active_path,sha256,lifecycle,authority_role,evidence,ratification_eligibility
ES-SRC-RELATIONSHIP,Master Relationship Model V2.0,docs/canon/MASTER_RELATIONSHIP_MODEL.md,f6715f0a02cad2eb8d8eb140d765b7906052c4d6bf3a5a40372c74c5c1e8ba01,APPROVED_ADOPTED_LOCKED_CONTROLLING,Relationship truth,docs/canon/CANON_INDEX.md;docs/canon/registries/CANON_LOCK_LEDGER.md,ELIGIBLE_SOURCE
ES-SRC-IDENTITY,Master Identity Account and Actor Model V2.0,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0.md,1c79c20a2edd2e7e3907e875679c5871d53c146a226364fb0cc3f956d39f5d0e,ADOPTED_LOCKED_WITH_NONBLOCKING_P2_FOLLOW_UP,Identity truth,docs/canon/CANON_INDEX.md;docs/canon/registries/CANON_LOCK_LEDGER.md,ELIGIBLE_SOURCE_WITH_RETAINED_P2
ES-SRC-PERMISSION,Master Permission and Access-Control Model V1.1,docs/canon/adopted_sources/MASTER_PERMISSION_AND_ACCESS_CONTROL_MODEL_V1_1_ADOPTED_SOURCE.md,6e3f4160e4166831cfe4f154032ff7648a5a44b70762289252c615e98b899fa3,ADOPTED_LOCKED,Final authorization and permission evaluation,docs/canon/CANON_INDEX.md;docs/canon/registries/CANON_LOCK_LEDGER.md,ELIGIBLE_SOURCE
ES-SRC-AGREEMENT,Master Agreement Consent and Authorization Model V2.1,docs/canon/founder_approved_sources/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_1_FOUNDER_APPROVED.md,1855d7f4419c236e4d8638f9587cf2e96ad58b079d69d34a9b2188ad1ba80cc9,ADOPTED_LOCKED_CONTROLLING,Agreement consent signer capacity and documentary authority,docs/canon/CANON_INDEX.md;docs/canon/locks/agreement_consent_authorization_v2_1/C0_019_AGREEMENT_CONSENT_AND_AUTHORIZATION_CONSTITUTIONAL_LOCK_RECORD.md,ELIGIBLE_SOURCE
ES-SRC-SAFEGUARDING,Master Minor Guardianship Safeguarding and Protected Participant Model V1.2,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,83ed4cae3d88e8f9921f8bed971ac9e4c49007c5f847aa704ce4eecae814bdbd,ADOPTED_LOCKED_WITH_RETAINED_P2,Protected participant and guardian floors,docs/canon/CANON_INDEX.md;docs/canon/registries/CANON_LOCK_LEDGER.md,ELIGIBLE_SOURCE_WITH_RETAINED_P2
ES-SRC-CLAIMS,Master Claims Disputes and Authority Model V2.0,docs/canon/adopted_sources/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_ADOPTED_SOURCE.md,a4787fb641dca1d28d98f10240957d0b09ea8ee1cee8358f64e80dd658b8b626,ADOPTED_LOCKED,Claims disputes and authority review,docs/canon/CANON_INDEX.md;docs/canon/registries/CANON_LOCK_LEDGER.md,ELIGIBLE_SOURCE
ES-SRC-RECORDS,Master Record Stewardship and Retention Model V2.1,docs/canon/adopted_sources/MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1_ADOPTED_SOURCE.md,4623fb036481a4ffea4e7edde53fa6e83e9a81f062251c8371e242219f524c2a,ADOPTED_LOCKED,Record history correction retention and legal hold,docs/canon/CANON_INDEX.md;docs/canon/registries/CANON_LOCK_LEDGER.md,ELIGIBLE_SOURCE
ES-SRC-AUDIT,Master Audit Event and Evidence Model V2.0,docs/canon/adopted_sources/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_ADOPTED_SOURCE.md,321aefaeee9f04ad927c01d96e4b05549713c118f9868b7fccf7a8e9b53d8ea2,ADOPTED_LOCKED_WITH_RETAINED_P2,Attributable audit and evidence,docs/canon/CANON_INDEX.md;docs/canon/registries/CANON_LOCK_LEDGER.md,ELIGIBLE_SOURCE_WITH_RETAINED_P2
ES-SRC-COMMUNICATION,Master Communication Notification and Notice Model V2.0,docs/canon/adopted_sources/MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0_ADOPTED_SOURCE.md,bff9fd88cb312d6666677f924a5923134d995015ab6fbfd7a398bcbeb10dc761,ADOPTED_LOCKED_WITH_RETAINED_P2,Invitations notices attribution and delivery evidence,docs/canon/CANON_INDEX.md;docs/canon/registries/CANON_LOCK_LEDGER.md,ELIGIBLE_SOURCE_WITH_RETAINED_P2
ES-SRC-PRIVACY,Master Privacy and Data Protection Model V2.0,docs/canon/founder_approved_sources/MASTER_PRIVACY_AND_DATA_PROTECTION_MODEL_V2_0_FOUNDER_APPROVED.md,8f323e3d4d0782c5aa017c6b904b7c42c9bf4ab8ee72170ea8f7a003505184fd,ADOPTED_LOCKED_WITH_RETAINED_P2,Privacy minimization purpose and rights,docs/canon/CANON_INDEX.md;docs/canon/registries/CANON_LOCK_LEDGER.md,ELIGIBLE_SOURCE_WITH_RETAINED_P2
ES-SRC-HORSE,Master Horse Lifecycle and Passport Model V3.1,docs/canon/adopted_sources/MASTER_HORSE_LIFECYCLE_V3_1_ADOPTED_SOURCE.md,41313d11aae592d041decaf34e5a131863423e843057d47864e666bdea21e6bf,ADOPTED_LOCKED,Horse lifecycle boundary,docs/canon/CANON_INDEX.md;docs/canon/registries/CANON_LOCK_LEDGER.md,ELIGIBLE_SOURCE
ES-SRC-HORSE-TRANSFER,Master Horse Transfer and Continuity Policy V2.0,docs/canon/MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY.md,a54fd42261d99819f26ac77a6e207f121049a3c4f6d2e69e3b6e7b5167435c6b,ADOPTED_LOCKED_WITH_RETAINED_P2,Horse transfer and continuity boundary,docs/canon/CANON_INDEX.md;docs/canon/registries/CANON_LOCK_LEDGER.md,ELIGIBLE_SOURCE_WITH_RETAINED_P2
ES-SRC-FACILITY,Master Facility Domain Model V2.1,docs/canon/adopted_sources/MASTER_FACILITY_DOMAIN_MODEL_V2_1_ADOPTED_SOURCE.md,8323b8402c3d445fe2b8d363caf16bb2a8eb4e08b0b37bd36b90ee69092a698d,ADOPTED_LOCKED,Facility truth,docs/canon/CANON_INDEX.md;docs/canon/registries/CANON_LOCK_LEDGER.md,ELIGIBLE_SOURCE
ES-SRC-BARN,Master Barn Lifecycle and Operations Canon V3.1,docs/canon/adopted_sources/MASTER_BARN_LIFECYCLE_V3_1_ADOPTED_SOURCE.md,c2a698ca1bbb8dc723ea7ac0270a9f66e8b06d0cbcb01535efefc517b6076d4a,ADOPTED_LOCKED,Barn operational lifecycle,docs/canon/CANON_INDEX.md;docs/canon/registries/CANON_LOCK_LEDGER.md,ELIGIBLE_SOURCE
ES-SRC-BUSINESS,Master Business Lifecycle Model V2.1,docs/canon/adopted_sources/MASTER_BUSINESS_LIFECYCLE_V2_1_ADOPTED_SOURCE.md,a07b0ba2fc6c3c0ce5b9db3f56c5f26fcda8d87e5f4f115a02e19b6b5fb4b37d,ADOPTED_LOCKED,Business lifecycle and organization boundary,docs/canon/CANON_INDEX.md;docs/canon/registries/CANON_LOCK_LEDGER.md,ELIGIBLE_SOURCE
ES-SRC-AUTHORITY-MATRIX,Constitutional Authority Matrix V1.2,docs/canon/companions/EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_2.md,322d31e212d7a9e8ba74527fb648b5a43838750c7d483716da90f72ccf59fc9b,ACTIVE_COMPANION_AT_BASELINE,Cross-canon ownership navigation,docs/canon/CANON_INDEX.md,COMPANION_ONLY_CONFIRM_REGISTRY_LINK_AT_FRESH_REVIEW
ES-SRC-XREF,Constitutional Cross Reference Index V1.2,docs/canon/companions/EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_2.md,20b2c973b552b16e88c15527f0cab8e39053fbb0321764ebcae1680a0f32087e,ACTIVE_COMPANION_AT_BASELINE,Cross-canon reference navigation,docs/canon/CANON_INDEX.md,COMPANION_ONLY_CONFIRM_REGISTRY_LINK_AT_FRESH_REVIEW
