permission_rule_id,action_family,initiator,approver,executor,source_authority,required_inputs,restriction_rule,outcome_scope,requirement_ids,status
RAP-PER-001,RELATIONSHIP_ASSERT,"Authenticated accountable actor","Source owner/verifier","Item 03 workflow","Relationship source policy","RAP-AIN-001;RAP-AIN-002;RAP-AIN-007;RAP-AIN-014","Restriction/dispute precedence","Create ASSERTED claim only","RAP-REQ-002;RAP-REQ-003",DOCUMENTED
RAP-PER-002,REPRESENT_PRINCIPAL,"Proposed representative/principal","Principal or source authority","Acting actor","Current representation basis","RAP-AIN-001;RAP-AIN-002;RAP-AIN-003;RAP-AIN-008;RAP-AIN-011","Revocation and protective restriction precedence","One principal/action/purpose/time scope","RAP-REQ-004;RAP-REQ-012",DOCUMENTED
RAP-PER-003,GUARDIAN_ACTION,"Guardian actor","Applicable source/protective authority","Guardian or delegated actor","Guardian representation and safeguarding policy","RAP-AIN-001;RAP-AIN-003;RAP-AIN-008;RAP-AIN-010;RAP-AIN-011;RAP-AIN-013","Protective restriction highest","Minimum protected-participant projection","RAP-REQ-005;RAP-REQ-028",PREDECESSOR_QUALIFIED
RAP-PER-004,CREATE_DELEGATION,"Current authority holder","Source policy/accepting party when required","Delegator","Current source authority","RAP-AIN-001;RAP-AIN-002;RAP-AIN-007;RAP-AIN-008;RAP-AIN-011;RAP-AIN-014","Cannot exceed source or restrictions","Bounded grant proposal","RAP-REQ-006;RAP-REQ-007",DOCUMENTED
RAP-PER-005,ACCEPT_DELEGATION,"Eligible delegate","Required accepting principal/actor","Delegate","Current proposal and source","RAP-AIN-001;RAP-AIN-002;RAP-AIN-009;RAP-AIN-011;RAP-AIN-014","Restriction and expiry precedence","Activate exact accepted scope","RAP-REQ-006;RAP-REQ-012",DOCUMENTED
RAP-PER-006,REVOKE_DELEGATION,"Authorized revoker","Source policy","Authorized revoker/system event","Current revocation authority","RAP-AIN-001;RAP-AIN-002;RAP-AIN-009;RAP-AIN-011;RAP-AIN-014","Revocation immediate","Revoke grant and descendants","RAP-REQ-006;RAP-REQ-013",DOCUMENTED
RAP-PER-007,VIEW_AUTHORITY_RECORD,"Authorized subject/reviewer","Current permission policy","Authenticated actor","Current minimum-disclosure policy","RAP-AIN-001;RAP-AIN-004;RAP-AIN-005;RAP-AIN-006;RAP-AIN-011;RAP-AIN-014","Privacy and anti-enumeration","Minimum fields for purpose","RAP-REQ-012;RAP-REQ-028",DOCUMENTED
RAP-PER-008,CORRECT_AUTHORITY_RECORD,"Authorized source owner/claimant","Source/claims authority","Authorized source owner","Correction and claims policy","RAP-AIN-001;RAP-AIN-002;RAP-AIN-007;RAP-AIN-012;RAP-AIN-014","No destructive history","Create successor and linkage","RAP-REQ-014;RAP-REQ-027",DOCUMENTED
RAP-PER-009,DISPUTE_AUTHORITY,"Affected/authorized claimant","Claims policy","Claims actor","Current claim and protective policy","RAP-AIN-001;RAP-AIN-002;RAP-AIN-007;RAP-AIN-012;RAP-AIN-013","Protective narrowing during dispute","Create dispute/hold only","RAP-REQ-011;RAP-REQ-016",DOCUMENTED
RAP-PER-010,PROVIDER_CARE_ACTION,"Provider accountable actor","Current principal/owning workflow as required","Provider actor","Item 03 provider authority plus Item 07 domain rule","RAP-AIN-001;RAP-AIN-002;RAP-AIN-003;RAP-AIN-007;RAP-AIN-008;RAP-AIN-009;RAP-AIN-011;RAP-AIN-017","Profile/API/appointment/payment/portal never sufficient","Horse/action/purpose/time bounded projection","RAP-REQ-017;RAP-REQ-018;RAP-REQ-023",DOCUMENTED_GFD_003
RAP-PER-011,PROVIDER_PORTAL_PARTICIPATION,"Provider accountable actor","Current authority source","Item 10 surface","Item 03 projection and Item 10 surface rule","RAP-AIN-001;RAP-AIN-002;RAP-AIN-007;RAP-AIN-011;RAP-AIN-017","Portal visibility never authority","Minimum participation/fields/time","RAP-REQ-018;RAP-REQ-026",DOCUMENTED_GFD_003
RAP-PER-012,FINANCIAL_ACTION,"Authorized payer/payee actor","Item 09 financial authority","Item 09 workflow","Item 03 actor/authority plus Item 09 obligation/agreement","RAP-AIN-001;RAP-AIN-002;RAP-AIN-005;RAP-AIN-010;RAP-AIN-011;RAP-AIN-014","Payment state cannot create authority","Exact financial action only","RAP-REQ-025",DOCUMENTED_GFD_003
RAP-PER-013,SCHEDULED_ACTION,"Authorized workflow actor","Owning-domain rule","Owning workflow","Item 03 authority plus Item 06 schedule context","RAP-AIN-001;RAP-AIN-002;RAP-AIN-005;RAP-AIN-011;RAP-AIN-018","Assignment never authority","Exact scheduled action/time","RAP-REQ-022",DOCUMENTED
RAP-PER-014,SUPPORT_ACCESS,"Named support actor","Approved ticket/approver","Support actor","Ticketed bounded support policy","RAP-AIN-001;RAP-AIN-002;RAP-AIN-004;RAP-AIN-005;RAP-AIN-006;RAP-AIN-011;RAP-AIN-014","No invisible impersonation","Ticket/purpose/fields/time bounded","RAP-REQ-003;RAP-REQ-012",PREDECESSOR_QUALIFIED
RAP-PER-015,OFFLINE_PROPOSAL,"Previously authenticated actor",NONE_OFFLINE,"Device queues proposal","No local authority grant","RAP-AIN-001;RAP-AIN-002;RAP-AIN-004;RAP-AIN-005;RAP-AIN-006;RAP-AIN-014;RAP-AIN-015;RAP-AIN-016","Current online restriction/watermark prevails","Non-authoritative proposal only","RAP-REQ-015;RAP-REQ-031",DOCUMENTED
RAP-PER-016,EXPORT_REPORT,"Authorized actor","Owning-domain/reporting policy","Item 05/domain surface","Current Item 03 projection and domain truth","RAP-AIN-001;RAP-AIN-004;RAP-AIN-005;RAP-AIN-006;RAP-AIN-011;RAP-AIN-014","Privacy anti-enumeration and safeguarding","Minimum rows/fields/purpose/time","RAP-REQ-012;RAP-REQ-028",DOCUMENTED
RAP-PER-017,AUTOMATED_ACTION,"Named system actor","Explicit policy/accountable owner","Named system actor","Current bounded system delegation","RAP-AIN-002;RAP-AIN-004;RAP-AIN-005;RAP-AIN-006;RAP-AIN-009;RAP-AIN-011;RAP-AIN-014","No AI-inferred authority","Exact action/purpose/tenant/time","RAP-REQ-003;RAP-REQ-030",PREDECESSOR_QUALIFIED
RAP-PER-018,EMERGENCY_ACTION,"Eligible accountable actor","Emergency policy authority","Eligible actor","TBD approved emergency basis","RAP-AIN-001;RAP-AIN-002;RAP-AIN-004;RAP-AIN-005;RAP-AIN-011;RAP-AIN-013;RAP-AIN-014","Protective restrictions and after-action review","No allow until controlling policy resolved","RAP-REQ-010;RAP-REQ-028",TBD_SOURCE_VERIFICATION
