baseline_id,guide_id,repository_path,evidence_source_ids,evidence_class,baseline_commit,git_object_sha,git_object_type,sha256_checksum,checksum_verification_result,authority_treatment,selected_for,retained_limitations
CGP005-REPOBASE-0001,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,backend,CGSRC-REPO-0621,REPOSITORY_EVIDENCE,ff2748796bf858f49a3f85bad0578850e1deb846,8e306686eaad5aaeec9dfe99f910af6a5330aac7,TREE,5f599bf87423c67c2949fdbe4730fde5ba0992a86719918a0c71f674781ac5ef,VERIFIED_DIRECTORY_AGGREGATE,IMPLEMENTATION_EVIDENCE_ONLY,Wave 1 repository evidence baseline and CGP-004 finding carry-forward.,"Static repository evidence only; no tests, live providers, deployments, or production behavior executed by CGP-005."
CGP005-REPOBASE-0002,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,frontend/src,CGSRC-REPO-0622,REPOSITORY_EVIDENCE,ff2748796bf858f49a3f85bad0578850e1deb846,6596e8f4fd0a82dde75fa2af0f628870fc353e8a,TREE,235d56d1160027633187de83f0b583d4626953e7102f948f0a026d0ff63a2c96,VERIFIED_DIRECTORY_AGGREGATE,IMPLEMENTATION_EVIDENCE_ONLY,Wave 1 repository evidence baseline and CGP-004 finding carry-forward.,"Static repository evidence only; no tests, live providers, deployments, or production behavior executed by CGP-005."
CGP005-REPOBASE-0003,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,frontend/ios,CGSRC-REPO-0623,REPOSITORY_EVIDENCE,ff2748796bf858f49a3f85bad0578850e1deb846,7f6df6a521f389a88b7918b49fd2b4d0df059104,TREE,e5366e6336177450e30da24eb6c2e843b4964dd1f6931bb8e0e134d2d8c7e569,VERIFIED_DIRECTORY_AGGREGATE,IMPLEMENTATION_EVIDENCE_ONLY,Wave 1 repository evidence baseline and CGP-004 finding carry-forward.,"Static repository evidence only; no tests, live providers, deployments, or production behavior executed by CGP-005."
CGP005-REPOBASE-0004,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,frontend/android,CGSRC-REPO-0624,REPOSITORY_EVIDENCE,ff2748796bf858f49a3f85bad0578850e1deb846,43e9eb1dc12c8f1a7e95da4a2f015598833a7fbe,TREE,4519fffdb43a9db3cf50873bb44768d5de88f4cb2c496c43c2f26d73856c6595,VERIFIED_DIRECTORY_AGGREGATE,IMPLEMENTATION_EVIDENCE_ONLY,Wave 1 repository evidence baseline and CGP-004 finding carry-forward.,"Static repository evidence only; no tests, live providers, deployments, or production behavior executed by CGP-005."
CGP005-REPOBASE-0005,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,frontend/plugins,CGSRC-REPO-0625,REPOSITORY_EVIDENCE,ff2748796bf858f49a3f85bad0578850e1deb846,43957652c66751c6499d5f6357f3192dfb193a54,TREE,e5c2baf0082e1c90028c9e7c4f3ae36d73df5881a6d27973abbb4d90cd2b078d,VERIFIED_DIRECTORY_AGGREGATE,IMPLEMENTATION_EVIDENCE_ONLY,Wave 1 repository evidence baseline and CGP-004 finding carry-forward.,"Static repository evidence only; no tests, live providers, deployments, or production behavior executed by CGP-005."
CGP005-REPOBASE-0006,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,backend/requirements.txt,CGSRC-REPO-0626,REPOSITORY_EVIDENCE,ff2748796bf858f49a3f85bad0578850e1deb846,64670400c38ec94c34aa07948fa6a9c0c2631311,BLOB,868ba96cc66725ea3a514bc547acd44846ff90adb00d74e65b3961d88807f430,VERIFIED_FILE,IMPLEMENTATION_EVIDENCE_ONLY,Wave 1 repository evidence baseline and CGP-004 finding carry-forward.,"Static repository evidence only; no tests, live providers, deployments, or production behavior executed by CGP-005."
CGP005-REPOBASE-0007,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,frontend/package.json,CGSRC-REPO-0627,REPOSITORY_EVIDENCE,ff2748796bf858f49a3f85bad0578850e1deb846,485be46d9b05f83dfff91773b031deb808ab7354,BLOB,fca09efd733f2da0c4fc97bb5da8688351eb83bd227691703d387e1a0ad897f9,VERIFIED_FILE,IMPLEMENTATION_EVIDENCE_ONLY,Wave 1 repository evidence baseline and CGP-004 finding carry-forward.,"Static repository evidence only; no tests, live providers, deployments, or production behavior executed by CGP-005."
CGP005-REPOBASE-0008,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,frontend/package-lock.json,CGSRC-REPO-0628,REPOSITORY_EVIDENCE,ff2748796bf858f49a3f85bad0578850e1deb846,0b34bfbb8546d64b8e87aada767fb665b0e7fe87,BLOB,7b5781f7164b0ac9250d670fb5ab27b62570d2fa7d6a22e1cad82deb704602fe,VERIFIED_FILE,IMPLEMENTATION_EVIDENCE_ONLY,Wave 1 repository evidence baseline and CGP-004 finding carry-forward.,"Static repository evidence only; no tests, live providers, deployments, or production behavior executed by CGP-005."
CGP005-REPOBASE-0009,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,.github/workflows/ci.yml,CGSRC-REPO-0629,REPOSITORY_EVIDENCE,ff2748796bf858f49a3f85bad0578850e1deb846,62dadca18f5e1d0c7038e6c1668c619fba60a1bc,BLOB,15f85483dd200bbf75edf2d9042fefa962819bf639e7f5fdbf15cc1627585d90,VERIFIED_FILE,IMPLEMENTATION_EVIDENCE_ONLY,Wave 1 repository evidence baseline and CGP-004 finding carry-forward.,"Static repository evidence only; no tests, live providers, deployments, or production behavior executed by CGP-005."
CGP005-REPOBASE-0010,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,backend/tests,CGSRC-TEST-0001,TEST_EVIDENCE,ff2748796bf858f49a3f85bad0578850e1deb846,cc6137c27c927f6176c1f394f1cb96ace8d8082b,TREE,44d7c3124e6628ded892cc365fba93a871fcea10b4e1939801e330fcef1f4235,VERIFIED_DIRECTORY_AGGREGATE,IMPLEMENTATION_EVIDENCE_ONLY,Wave 1 repository evidence baseline and CGP-004 finding carry-forward.,"Static repository evidence only; no tests, live providers, deployments, or production behavior executed by CGP-005."
