source_id,exact_title,artifact_class,version,repository_path,git_blob,source_commit,sha256,byte_length,lifecycle_state,authority_state,relevant_section,predecessor,successor,current_or_historical_status,unresolved_conflict
SRC-0004,MASTER_AI_FOUNDER_DECISION_REGISTER_V2_0,CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_AI_FOUNDER_DECISION_REGISTER_V2_0.json,787244b39e79c28715dc14c21e1f436fc69726f9,1eb384d80daa700ba2e71ee42872cc9bba926332,6ad000d6da464bb6c50b4b88dc467c8418203910c8150ff921e821dcd679f6ef,20777,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0005,Master AI Founder Decision Register V2.0,CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_AI_FOUNDER_DECISION_REGISTER_V2_0.md,c8037a4aacb84742521ff598888a25819d8f1a1a,1eb384d80daa700ba2e71ee42872cc9bba926332,d414acd661b2cf1eb22662331b12c795f89b2ff012b42423589ad953907c4e7d,11477,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0006,MASTER_AI_GOVERNANCE_AND_DECISION_BOUNDARY_MODEL_V2_0,CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_AI_GOVERNANCE_AND_DECISION_BOUNDARY_MODEL_V2_0.docx,8e4134eb8acddd0b258b6c02b071bd396cd0b1c7,1eb384d80daa700ba2e71ee42872cc9bba926332,414e912c9caec58573558a5fa3e7519db59506b7a903879db3af33e840c0d1e8,140809,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0015,MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_ADOPTION_MANIFEST,MANIFEST_OR_CHECKSUM_LEDGER,V2.0,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_ADOPTION_MANIFEST.json,53105a8e8eea13ab4f746efd0ba8e27bc9276301,1eb384d80daa700ba2e71ee42872cc9bba926332,a3c6306bb9939fbfa4a27118acd5a38763625b98e140938e033982b6d862e2e7,1303,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0016,Master External Architecture and Adapter Model V2.0 Adoption Report,CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_ADOPTION_REPORT.md,4ab7771e000c13c5099e101f220e771ed57d6d50,1eb384d80daa700ba2e71ee42872cc9bba926332,3b3ac9df2cf4497674b71e91d8ad5188674b7aac9152365b16c8ef3a5a57d110,2230,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0023,Master Horse Transfer and Continuity Policy Adoption Report,CONSTITUTIONAL_GOVERNANCE_SOURCE,UNSPECIFIED_VERSION,docs/canon/MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY_ADOPTION_REPORT.md,32302ebf4f0e58d83a82b674b0635c5ba03a46b0,1eb384d80daa700ba2e71ee42872cc9bba926332,07e7404839ff3fbde4d64cbde01861d35bf9ac3999bcd74ca1eef80583cd4b70,1878,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0026,"Master Identity, Account, and Actor Model V2.0 Adoption Ledger",CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_LEDGER.md,9125fdbb8e8689b2575521a43f19f232ca22e4fa,1eb384d80daa700ba2e71ee42872cc9bba926332,91512918b0e2f2d3aafc0a14c072340311a1975efa230c0f5bd17cfa6ce34b4d,1819,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0027,MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_MANIFEST,MANIFEST_OR_CHECKSUM_LEDGER,V2.0,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_MANIFEST.json,7f6d002cfc4bfbd70eceb3c74b915833961bd0d6,1eb384d80daa700ba2e71ee42872cc9bba926332,84dd02d4d9e0e4fc9c4ec5949e2c22aefc69019110cf7bd3e23aa16cd836eebb,1508,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0028,"Master Identity, Account, and Actor Model V2.0 Adoption Report",CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_ADOPTION_REPORT.md,5adab00d16f122013d7557f23b8a0322d9d2dfe8,1eb384d80daa700ba2e71ee42872cc9bba926332,4be7815ffc28adc30bfd331e3d87009432dc038886282dfbabe5dd262f483dcf,2763,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0029,"Master Identity, Account, and Actor Model V2.0 Final Lock Decision",CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_FINAL_LOCK_DECISION.md,4fdd27d91f2cf671bae0bea683a04dc96c0900ff,1eb384d80daa700ba2e71ee42872cc9bba926332,5634f75dbefe32616f8908b9a731187c5c165a43b4de97f14d6cbd8449cf0b46,929,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
