decision_id,status,question,recommended_candidate_treatment,alternatives,rationale,benefits,risks,security_privacy_safeguarding_impact,operational_impact,engineering_impact,migration_impact,first_user_impact,consequence_of_deferral,blocks_design_approval,candidate_only,earliest_gate,proposed_founder_disposition,founder_disposition,approval_date,approval_authority,incorporated_design_consequence,review_status,implementation_authority,adoption_status,lock_status
FAC-FD-001,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,"Define Facility, Tenant, Organization, Barn, and Business.","Use five distinct concepts: Tenant is the application isolation and operating-context boundary; Facility is a durable physical or operational place; Organization is a durable legal, operating, administrative, or service entity; Barn is a facility subtype or an operation at a facility, not a universal synonym; Business is an Organization participating in commercial activity.",Defer; adopt a narrower single-tenant/single-facility rule; or provide Founder-specific replacement language.,"Conflation creates cross-tenant access, duplicate identity, lifecycle, and migration errors.","Clear ownership, auditable lifecycle, safer isolation, and lower migration ambiguity.",The recommendation may not match Founder business preference or future operating model until expressly decided.,"Material; affects isolation, discoverability, attribution, location sensitivity, or authority boundaries.","Shapes onboarding, context switching, restructuring, support, and closure workflows.","Shapes identifiers, constraints, APIs, authorization inputs, jobs, indexes, and tests; no implementation is authorized.",Requires explicit mapping and quarantine rules; no migration is authorized.,Must be resolved before the applicable first-user or design gate.,Candidate package remains non-approved and cannot authorize implementation.,TRUE,TRUE,BLOCKING_BEFORE_DESIGN_APPROVAL,FAC-FD-001_THROUGH_FAC-FD-018_FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,2026-07-21,FOUNDER_DESIGN_APPROVAL,"Use five distinct concepts: Tenant is the application isolation and operating-context boundary; Facility is a durable physical or operational place; Organization is a durable legal, operating, administrative, or service entity; Barn is a facility subtype or an operation at a facility, not a universal synonym; Business is an Organization participating in commercial activity.",FRESH_STRUCTURED_REVIEW_BLOCKED_BY_PERMISSION_CONTROL,FALSE,NOT_ADOPTED,NOT_LOCKED
FAC-FD-002,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,Is Tenant the strict application data-isolation boundary?,"Yes. Every tenant-scoped object, read, write, search projection, cache, export, job, event, and offline bundle must be bound to exactly one active tenant unless a separately governed cross-tenant workflow is explicitly authorized.",Defer; adopt a narrower single-tenant/single-facility rule; or provide Founder-specific replacement language.,"Privacy, permission, search, recovery, and current RF01 evidence all require fail-closed separation.","Clear ownership, auditable lifecycle, safer isolation, and lower migration ambiguity.",The recommendation may not match Founder business preference or future operating model until expressly decided.,"Material; affects isolation, discoverability, attribution, location sensitivity, or authority boundaries.","Shapes onboarding, context switching, restructuring, support, and closure workflows.","Shapes identifiers, constraints, APIs, authorization inputs, jobs, indexes, and tests; no implementation is authorized.",Requires explicit mapping and quarantine rules; no migration is authorized.,Must be resolved before the applicable first-user or design gate.,Candidate package remains non-approved and cannot authorize implementation.,TRUE,TRUE,BLOCKING_BEFORE_DESIGN_APPROVAL,FAC-FD-001_THROUGH_FAC-FD-018_FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,2026-07-21,FOUNDER_DESIGN_APPROVAL,"Yes. Every tenant-scoped object, read, write, search projection, cache, export, job, event, and offline bundle must be bound to exactly one active tenant unless a separately governed cross-tenant workflow is explicitly authorized.",FRESH_STRUCTURED_REVIEW_BLOCKED_BY_PERMISSION_CONTROL,FALSE,NOT_ADOPTED,NOT_LOCKED
FAC-FD-003,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,"May one organization control multiple tenants, and under what evidence?","Yes, through explicit, temporal Organization-Tenant control relationships with verified authority evidence; access remains separately granted per tenant and never inherits from common ownership or email domain.",Defer; adopt a narrower single-tenant/single-facility rule; or provide Founder-specific replacement language.,Supports multi-business operations without collapsing isolation.,"Clear ownership, auditable lifecycle, safer isolation, and lower migration ambiguity.",The recommendation may not match Founder business preference or future operating model until expressly decided.,"Material; affects isolation, discoverability, attribution, location sensitivity, or authority boundaries.","Shapes onboarding, context switching, restructuring, support, and closure workflows.","Shapes identifiers, constraints, APIs, authorization inputs, jobs, indexes, and tests; no implementation is authorized.",Requires explicit mapping and quarantine rules; no migration is authorized.,Must be resolved before the applicable first-user or design gate.,Candidate package remains non-approved and cannot authorize implementation.,TRUE,TRUE,BLOCKING_BEFORE_DESIGN_APPROVAL,FAC-FD-001_THROUGH_FAC-FD-018_FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,2026-07-21,FOUNDER_DESIGN_APPROVAL,"Yes, through explicit, temporal Organization-Tenant control relationships with verified authority evidence; access remains separately granted per tenant and never inherits from common ownership or email domain.",FRESH_STRUCTURED_REVIEW_BLOCKED_BY_PERMISSION_CONTROL,FALSE,NOT_ADOPTED,NOT_LOCKED
FAC-FD-004,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,May one physical facility be associated with multiple tenants?,"Yes, only through explicit temporal Tenant-Facility association records with purpose, scope, steward, status, and conflict rules; facility identity may be shared while tenant-private projections remain isolated.",Defer; adopt a narrower single-tenant/single-facility rule; or provide Founder-specific replacement language.,"Multiple operators may use one place, but shared place does not mean shared customer data or authority.","Clear ownership, auditable lifecycle, safer isolation, and lower migration ambiguity.",The recommendation may not match Founder business preference or future operating model until expressly decided.,"Material; affects isolation, discoverability, attribution, location sensitivity, or authority boundaries.","Shapes onboarding, context switching, restructuring, support, and closure workflows.","Shapes identifiers, constraints, APIs, authorization inputs, jobs, indexes, and tests; no implementation is authorized.",Requires explicit mapping and quarantine rules; no migration is authorized.,Must be resolved before the applicable first-user or design gate.,Candidate package remains non-approved and cannot authorize implementation.,TRUE,TRUE,BLOCKING_BEFORE_DESIGN_APPROVAL,FAC-FD-001_THROUGH_FAC-FD-018_FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,2026-07-21,FOUNDER_DESIGN_APPROVAL,"Yes, only through explicit temporal Tenant-Facility association records with purpose, scope, steward, status, and conflict rules; facility identity may be shared while tenant-private projections remain isolated.",FRESH_STRUCTURED_REVIEW_BLOCKED_BY_PERMISSION_CONTROL,FALSE,NOT_ADOPTED,NOT_LOCKED
FAC-FD-005,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,What facility-area hierarchy is controlling?,"Use stable Facility -> Managed Area/Parcel -> Structure -> Zone/Space -> Subspace/Fixture/Asset containment, with separately modeled adjacency, route, overlap, and shared-resource relationships. Each effective containment version has one parent; history and aliases remain resolvable.",Defer; adopt a narrower single-tenant/single-facility rule; or provide Founder-specific replacement language.,Matches Facility canon while preventing ambiguous tree/DAG semantics.,"Clear ownership, auditable lifecycle, safer isolation, and lower migration ambiguity.",The recommendation may not match Founder business preference or future operating model until expressly decided.,"Material; affects isolation, discoverability, attribution, location sensitivity, or authority boundaries.","Shapes onboarding, context switching, restructuring, support, and closure workflows.","Shapes identifiers, constraints, APIs, authorization inputs, jobs, indexes, and tests; no implementation is authorized.",Requires explicit mapping and quarantine rules; no migration is authorized.,Must be resolved before the applicable first-user or design gate.,Candidate package remains non-approved and cannot authorize implementation.,TRUE,TRUE,BLOCKING_BEFORE_DESIGN_APPROVAL,FAC-FD-001_THROUGH_FAC-FD-018_FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,2026-07-21,FOUNDER_DESIGN_APPROVAL,"Use stable Facility -> Managed Area/Parcel -> Structure -> Zone/Space -> Subspace/Fixture/Asset containment, with separately modeled adjacency, route, overlap, and shared-resource relationships. Each effective containment version has one parent; history and aliases remain resolvable.",FRESH_STRUCTURED_REVIEW_BLOCKED_BY_PERMISSION_CONTROL,FALSE,NOT_ADOPTED,NOT_LOCKED
FAC-FD-006,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,Which organization types are first-class?,"Use capability-oriented types: legal_entity, operating_business, service_provider_or_practice, nonprofit_or_association, public_body, and informal_operating_group. Type is multi-valued, jurisdiction-aware, evidenced, and never permission-bearing by itself.",Defer; adopt a narrower single-tenant/single-facility rule; or provide Founder-specific replacement language.,Avoids an inflexible legal-form enum and prevents type labels from becoming authority.,"Clear ownership, auditable lifecycle, safer isolation, and lower migration ambiguity.",The recommendation may not match Founder business preference or future operating model until expressly decided.,"Material; affects isolation, discoverability, attribution, location sensitivity, or authority boundaries.","Shapes onboarding, context switching, restructuring, support, and closure workflows.","Shapes identifiers, constraints, APIs, authorization inputs, jobs, indexes, and tests; no implementation is authorized.",Requires explicit mapping and quarantine rules; no migration is authorized.,Must be resolved before the applicable first-user or design gate.,Candidate package remains non-approved and cannot authorize implementation.,TRUE,TRUE,BLOCKING_BEFORE_DESIGN_APPROVAL,FAC-FD-001_THROUGH_FAC-FD-018_FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,2026-07-21,FOUNDER_DESIGN_APPROVAL,"Use capability-oriented types: legal_entity, operating_business, service_provider_or_practice, nonprofit_or_association, public_body, and informal_operating_group. Type is multi-valued, jurisdiction-aware, evidenced, and never permission-bearing by itself.",FRESH_STRUCTURED_REVIEW_BLOCKED_BY_PERMISSION_CONTROL,FALSE,NOT_ADOPTED,NOT_LOCKED
FAC-FD-007,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,"What lifecycle states apply to Facility, Tenant, and Organization?",Adopt explicit entity-specific state machines: Tenant DRAFT/PENDING_VERIFICATION/ACTIVE/RESTRICTED/SUSPENDED/WIND_DOWN/CLOSED/ARCHIVED; Facility DRAFT/VERIFIED/ACTIVE/PARTIALLY_RESTRICTED/SUSPENDED/CLOSED/DECOMMISSIONED/ARCHIVED; Organization DRAFT/PENDING_VERIFICATION/ACTIVE/RESTRICTED/SUSPENDED/WIND_DOWN/CLOSED/ARCHIVED.,Defer; adopt a narrower single-tenant/single-facility rule; or provide Founder-specific replacement language.,"Distinct states preserve physical truth, operating access, and organizational continuity.","Clear ownership, auditable lifecycle, safer isolation, and lower migration ambiguity.",The recommendation may not match Founder business preference or future operating model until expressly decided.,"Material; affects isolation, discoverability, attribution, location sensitivity, or authority boundaries.","Shapes onboarding, context switching, restructuring, support, and closure workflows.","Shapes identifiers, constraints, APIs, authorization inputs, jobs, indexes, and tests; no implementation is authorized.",Requires explicit mapping and quarantine rules; no migration is authorized.,Must be resolved before the applicable first-user or design gate.,Candidate package remains non-approved and cannot authorize implementation.,TRUE,TRUE,BLOCKING_BEFORE_DESIGN_APPROVAL,FAC-FD-001_THROUGH_FAC-FD-018_FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,2026-07-21,FOUNDER_DESIGN_APPROVAL,Adopt explicit entity-specific state machines: Tenant DRAFT/PENDING_VERIFICATION/ACTIVE/RESTRICTED/SUSPENDED/WIND_DOWN/CLOSED/ARCHIVED; Facility DRAFT/VERIFIED/ACTIVE/PARTIALLY_RESTRICTED/SUSPENDED/CLOSED/DECOMMISSIONED/ARCHIVED; Organization DRAFT/PENDING_VERIFICATION/ACTIVE/RESTRICTED/SUSPENDED/WIND_DOWN/CLOSED/ARCHIVED.,FRESH_STRUCTURED_REVIEW_BLOCKED_BY_PERMISSION_CONTROL,FALSE,NOT_ADOPTED,NOT_LOCKED
FAC-FD-008,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,"How are transfer, merger, split, closure, suspension, and archival controlled?","Use explicit proposed -> reviewed -> approved -> effective -> reconciled events; preserve lineage and prior identifiers; prohibit automatic transfer or merge of people, relationships, horses, invoices, permissions, agreements, or evidence.",Defer; adopt a narrower single-tenant/single-facility rule; or provide Founder-specific replacement language.,Material topology changes are not safe CRUD updates.,"Clear ownership, auditable lifecycle, safer isolation, and lower migration ambiguity.",The recommendation may not match Founder business preference or future operating model until expressly decided.,"Material; affects isolation, discoverability, attribution, location sensitivity, or authority boundaries.","Shapes onboarding, context switching, restructuring, support, and closure workflows.","Shapes identifiers, constraints, APIs, authorization inputs, jobs, indexes, and tests; no implementation is authorized.",Requires explicit mapping and quarantine rules; no migration is authorized.,Must be resolved before the applicable first-user or design gate.,Candidate package remains non-approved and cannot authorize implementation.,TRUE,TRUE,BLOCKING_BEFORE_DESIGN_APPROVAL,FAC-FD-001_THROUGH_FAC-FD-018_FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,2026-07-21,FOUNDER_DESIGN_APPROVAL,"Use explicit proposed -> reviewed -> approved -> effective -> reconciled events; preserve lineage and prior identifiers; prohibit automatic transfer or merge of people, relationships, horses, invoices, permissions, agreements, or evidence.",FRESH_STRUCTURED_REVIEW_BLOCKED_BY_PERMISSION_CONTROL,FALSE,NOT_ADOPTED,NOT_LOCKED
FAC-FD-009,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,How is active tenant/facility context selected and audited?,"Require a visible tenant context and, when relevant, a nested facility context. Bind both identifiers plus context version into server authorization, show them persistently, audit every switch, expire stale context, and require reconfirmation for consequential cross-context actions.",Defer; adopt a narrower single-tenant/single-facility rule; or provide Founder-specific replacement language.,Prevents confused-deputy and stale-session errors.,"Clear ownership, auditable lifecycle, safer isolation, and lower migration ambiguity.",The recommendation may not match Founder business preference or future operating model until expressly decided.,"Material; affects isolation, discoverability, attribution, location sensitivity, or authority boundaries.","Shapes onboarding, context switching, restructuring, support, and closure workflows.","Shapes identifiers, constraints, APIs, authorization inputs, jobs, indexes, and tests; no implementation is authorized.",Requires explicit mapping and quarantine rules; no migration is authorized.,Must be resolved before the applicable first-user or design gate.,Candidate package remains non-approved and cannot authorize implementation.,TRUE,TRUE,BLOCKING_BEFORE_DESIGN_APPROVAL,FAC-FD-001_THROUGH_FAC-FD-018_FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,2026-07-21,FOUNDER_DESIGN_APPROVAL,"Require a visible tenant context and, when relevant, a nested facility context. Bind both identifiers plus context version into server authorization, show them persistently, audit every switch, expire stale context, and require reconfirmation for consequential cross-context actions.",FRESH_STRUCTURED_REVIEW_BLOCKED_BY_PERMISSION_CONTROL,FALSE,NOT_ADOPTED,NOT_LOCKED
FAC-FD-010,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,Which topology facts may Relationships and Authorization consume?,"Expose stable IDs, entity type, lifecycle availability, tenant-scoped association, containment path, public/private projection, provenance, effective time, and freshness. Consumers may reference but not rewrite Facility truth.",Defer; adopt a narrower single-tenant/single-facility rule; or provide Founder-specific replacement language.,Supports authorization inputs without transferring domain ownership.,"Clear ownership, auditable lifecycle, safer isolation, and lower migration ambiguity.",The recommendation may not match Founder business preference or future operating model until expressly decided.,"Material; affects isolation, discoverability, attribution, location sensitivity, or authority boundaries.","Shapes onboarding, context switching, restructuring, support, and closure workflows.","Shapes identifiers, constraints, APIs, authorization inputs, jobs, indexes, and tests; no implementation is authorized.",Requires explicit mapping and quarantine rules; no migration is authorized.,Must be resolved before the applicable first-user or design gate.,Candidate package remains non-approved and cannot authorize implementation.,TRUE,TRUE,BLOCKING_BEFORE_DESIGN_APPROVAL,FAC-FD-001_THROUGH_FAC-FD-018_FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,FOUNDER_APPROVED_DESIGN_NOT_IMPLEMENTATION_AUTHORIZED,2026-07-21,FOUNDER_DESIGN_APPROVAL,"Expose stable IDs, entity type, lifecycle availability, tenant-scoped association, containment path, public/private projection, provenance, effective time, and freshness. Consumers may reference but not rewrite Facility truth.",FRESH_STRUCTURED_REVIEW_BLOCKED_BY_PERMISSION_CONTROL,FALSE,NOT_ADOPTED,NOT_LOCKED
