finding_id,issue,pr64_classification,mapped_gap,mapped_iwp,current_disposition,remediation_prs,evidence,review_note,finding_closed
CGP006-COPILOT-FIND-0001,Root README is placeholder or materially inadequate,CONFIRMED,CGP006-MAP-GAP-0013,CGP006-IWP-CANDIDATE-0009,PARTIALLY_ADDRESSED,PR #65 merged,README.md; .env.example; backend/.env.example; frontend/.env.example,PR #65 merged documentation/env-template remediation candidate under authenticated directive. Finding remains open pending Founder closure authority.,NO
CGP006-COPILOT-FIND-0002,No repository-root license or explicit distribution policy exists,REQUIRES_FOUNDER_DECISION,CGP006-MAP-GAP-0014,CGP006-IWP-CANDIDATE-0010,INTENTIONALLY_DEFERRED,NONE,root tree absence check; README no-license posture,License selection remains Founder/legal reserved; no license was added.,NO
CGP006-COPILOT-FIND-0003,Backend requirements mix runtime and development/test tooling,CONFIRMED,CGP006-MAP-GAP-0015,CGP006-IWP-CANDIDATE-0011,PARTIALLY_ADDRESSED,PR #66 merged,backend/requirements-dev.txt; backend/requirements.txt; .github/workflows/ci.yml,PR #66 moved seven direct dev/test tools with exact versions preserved. Finding remains open pending Founder closure authority.,NO
CGP006-COPILOT-FIND-0004,"CI lacks dedicated lint, format, typing, SAST, dependency-audit, license-audit, and secret-scan evidence",PARTIALLY_CONFIRMED,CGP006-MAP-GAP-0011,CGP006-IWP-CANDIDATE-0003,PARTIALLY_ADDRESSED,PR #67 draft corrected,.github/workflows/ci.yml; docs/CI_ASSURANCE_REPORTING_POLICY.md,"Corrected PR #67 adds report-only visibility for backend static tools, npm audit, and redacted secret-pattern locations. SAST, license scanning, external scanner setup, and enforcement remain reserved.",NO
CGP006-COPILOT-FIND-0005,Frontend installation relies on npm ci --legacy-peer-deps because of peer conflicts,CONFIRMED,CGP006-MAP-GAP-0016,CGP006-IWP-CANDIDATE-0012,DOCUMENTED_BUT_NOT_REMEDIATED,NONE,frontend/package.json; frontend/package-lock.json; .github/workflows/ci.yml,Frontend React peer conflict and legacy install reliance are documented only; no package or lockfile remediation is authorized.,NO
CGP006-COPILOT-FIND-0006,Large modules create maintainability and review-risk concentration,REQUIRES_SEPARATE_TECHNICAL_DESIGN,NONE_OBSERVATION_ONLY,CGP006-IWP-CANDIDATE-0014,INTENTIONALLY_DEFERRED,NONE,large-module inventory,Large-module refactor remains reserved for separate design and behavior-parity evidence.,NO
CGP006-COPILOT-FIND-0007,Secret/API-key scan evidence is absent or incomplete,PARTIALLY_CONFIRMED,CGP006-MAP-GAP-0017,CGP006-IWP-CANDIDATE-0013,PARTIALLY_ADDRESSED,PR #67 draft corrected,.gitignore; .github/workflows/ci.yml; docs/CI_ASSURANCE_REPORTING_POLICY.md,PR #67 adds redacted pattern-location reporting only. It does not configure external scanners or print secret values.,NO
CGP006-COPILOT-FIND-0008,No automated linter or type/style enforcement,PARTIALLY_CONFIRMED,CGP006-MAP-GAP-0011,CGP006-IWP-CANDIDATE-0003,PARTIALLY_ADDRESSED,PR #67 draft corrected,.github/workflows/ci.yml; backend/requirements-dev.txt,PR #67 reports black/isort/flake8/mypy outputs nonblocking. Existing findings are not remediated or claimed clean.,NO
CGP006-COPILOT-FIND-0009,"Dependency lock, npm version, and deterministic-install concerns",PARTIALLY_CONFIRMED,CGP006-MAP-GAP-0016;CGP006-MAP-GAP-0011,CGP006-IWP-CANDIDATE-0012;CGP006-IWP-CANDIDATE-0003,PARTIALLY_ADDRESSED,PR #67 draft corrected,frontend/package-lock.json; .github/dependabot.yml; .github/workflows/ci.yml,PR #67 adds npm audit summary and Dependabot visibility. Frontend dependency remediation remains unimplemented.,NO
CGP006-COPILOT-FIND-0010,Deployment-model documentation or containerization uncertainty,REQUIRES_FOUNDER_DECISION,CGP006-MAP-GAP-0018,CGP006-IWP-CANDIDATE-0015,DOCUMENTED_BUT_NOT_REMEDIATED,NONE,docs/VERCEL_FRONTEND_DEPLOYMENT.md; frontend/vercel.json; root tree no Dockerfile,Backend deployment/container decisions remain Founder reserved.,NO
