requirement_id,template_name,required_evidence
T1R2-AUDIT-REQ-01,AUDIT_PLAN,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-02,SCOPE_AND_EXCLUSIONS_SCHEDULE,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-03,SOURCE_MANIFEST,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-04,EVIDENCE_INDEX,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-05,SAMPLING_RECORD,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-06,REVIEWER_INDEPENDENCE_DISCLOSURE,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-07,CONFLICT_DISCLOSURE,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-08,FINDING_SCHEDULE,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-09,RESIDUAL_RISK_SCHEDULE,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-10,FOUNDER_CERTIFICATION_SCHEDULE,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-11,CLOSING_EXHIBITS_INDEX,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-12,FOUNDER_RATIFICATION_INSTRUMENT,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-13,ADOPTION_RECORD,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-14,ACCESSION_RECEIPT,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-15,POST_MERGE_CUSTODY_RECEIPT,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-16,FINAL_CLOSING_CERTIFICATE,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-17,BOUNDED_SCOPE_CLOSING_CERTIFICATE,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-18,REOPENING_NOTICE,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
T1R2-AUDIT-REQ-19,RECERTIFICATION_RECORD,document control; objective; scope; exclusions; authority; preparer; reviewer; independence disclosure; repository state; evidence population; sampling; determinations; exceptions; unresolved items; prohibited conclusions; signoff; ratification; validation rules; example entry; source/evidence links
