prerequisite_id,guide,portfolio_or_guide,prerequisite,primary_status,supporting_evidence,analysis,required_before_activation,required_before_mapping,required_before_implementation,blocking_effect_if_absent,associated_condition,associated_warning,associated_gap,future_authority_required
CGP006-W1-ACT-PREREQ-ES_CG_00-GO-OWN,ES-CG-00,GUIDE,Governance ownership named for activation scope,FOUNDER_DECISION_REQUIRED,FOUNDER_DECISION_REQUIRED,Founder must name the accountable activation owner before any activation decision.,YES,NO,NO,ACTIVATION_BLOCKING_UNTIL_FOUNDER_DECIDES,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,FOUNDER_DECISION_REQUIRED
CGP006-W1-ACT-PREREQ-ES_CG_00-APP-AUTH,ES-CG-00,GUIDE,Activation approval authority established,FOUNDER_DECISION_REQUIRED,FOUNDER_DECISION_REQUIRED,A separate Founder activation directive is required.,YES,NO,NO,ACTIVATION_BLOCKING_UNTIL_FOUNDER_DECIDES,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,FOUNDER_DECISION_REQUIRED
CGP006-W1-ACT-PREREQ-ES_CG_00-SCOPE,ES-CG-00,GUIDE,Activation scope and exclusions defined,PARTIALLY_SATISFIED,This package documents the proposed model; Founder approval and future owner assignment remain pending.,This package proposes scope and exclusions; Founder approval remains pending.,YES,NO,NO,ACTIVATION_DECISION_CONDITION,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,FOUNDER_ACTIVATION_DECISION_REQUIRED
CGP006-W1-ACT-PREREQ-ES_CG_00-COND,ES-CG-00,GUIDE,Five adoption conditions preserved,SATISFIED_WITH_VERIFIED_EVIDENCE,governance/implementation/code-guides/receipts/CGP_006_WAVE_1_CONDITIONAL_ADOPTION_CUSTODY_RECEIPT.md;governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/CGP_006_WAVE_1_ADOPTION_READINESS_REVIEW_CHECKSUMS.sha256,Condition records were located in the adoption package and custody receipt.,YES,NO,NO,NONE_IF_EVIDENCE_REMAINS_VERIFIED,CGP006-AR-COND-0001;CGP006-AR-COND-0005,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,NONE_FOR_DOCUMENTARY_READINESS_IF_EVIDENCE_REMAINS_VERIFIED
CGP006-W1-ACT-PREREQ-ES_CG_00-WARN,ES-CG-00,GUIDE,Five retained warnings carried forward,SATISFIED_WITH_VERIFIED_EVIDENCE,governance/implementation/code-guides/receipts/CGP_006_WAVE_1_CONDITIONAL_ADOPTION_CUSTODY_RECEIPT.md;governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/CGP_006_WAVE_1_ADOPTION_READINESS_REVIEW_CHECKSUMS.sha256,"Warning records were located, reviewed, and preserved as open.",YES,NO,NO,NONE_IF_EVIDENCE_REMAINS_VERIFIED,CGP006-AR-COND-0001,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,NONE_FOR_DOCUMENTARY_READINESS_IF_EVIDENCE_REMAINS_VERIFIED
CGP006-W1-ACT-PREREQ-ES_CG_00-GAP,ES-CG-00,GUIDE,GAP-0004 carried open with implementation evidence requirement,SATISFIED_WITH_VERIFIED_EVIDENCE,governance/implementation/code-guides/receipts/CGP_006_WAVE_1_CONDITIONAL_ADOPTION_CUSTODY_RECEIPT.md;governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/CGP_006_WAVE_1_ADOPTION_READINESS_REVIEW_CHECKSUMS.sha256,GAP-0004 records were located and remain open.,YES,NO,NO,NONE_IF_EVIDENCE_REMAINS_VERIFIED,CGP006-AR-COND-0002,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,CGP005-TA-APP-GAP-0004,NONE_FOR_DOCUMENTARY_READINESS_IF_EVIDENCE_REMAINS_VERIFIED
CGP006-W1-ACT-PREREQ-ES_CG_00-EVID-CUST,ES-CG-00,GUIDE,Evidence custody procedure defined,PARTIALLY_SATISFIED,This package documents the proposed model; Founder approval and future owner assignment remain pending.,Package manifests and checksum rules exist; future evidence custody owners still require Founder assignment.,YES,NO,NO,ACTIVATION_DECISION_CONDITION,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,FOUNDER_ACTIVATION_DECISION_REQUIRED
CGP006-W1-ACT-PREREQ-ES_CG_00-VAL,ES-CG-00,GUIDE,Validation capability for documentary package exists,SATISFIED_WITH_VERIFIED_EVIDENCE,governance/implementation/code-guides/receipts/CGP_006_WAVE_1_CONDITIONAL_ADOPTION_CUSTODY_RECEIPT.md;governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/CGP_006_WAVE_1_ADOPTION_READINESS_REVIEW_CHECKSUMS.sha256,Package-local validator and tests are included in this workstream.,YES,NO,NO,NONE_IF_EVIDENCE_REMAINS_VERIFIED,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,NONE_FOR_DOCUMENTARY_READINESS_IF_EVIDENCE_REMAINS_VERIFIED
CGP006-W1-ACT-PREREQ-ES_CG_00-OPS,ES-CG-00,GUIDE,Operating procedures for activated use,NOT_SATISFIED,PLANNED_NOT_CREATED,No activation operating procedure is approved under this directive.,YES,NO,NO,ACTIVATION_BLOCKING_UNTIL_CREATED_AND_APPROVED,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,FOUNDER_ACTIVATION_DECISION_OR_SEPARATE_GOVERNANCE_DIRECTIVE_REQUIRED
CGP006-W1-ACT-PREREQ-ES_CG_00-TRAIN,ES-CG-00,GUIDE,Training and reliance instructions,NOT_SATISFIED,PLANNED_NOT_CREATED,No training record or reliance instruction is created under this documentary workstream.,YES,NO,NO,ACTIVATION_BLOCKING_UNTIL_CREATED_AND_APPROVED,NONE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,NONE,FOUNDER_ACTIVATION_DECISION_OR_SEPARATE_GOVERNANCE_DIRECTIVE_REQUIRED
