field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
review_id,review id,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; non-empty unless explicitly allowed,example_review_id,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
review_type,review type,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; non-empty unless explicitly allowed,example_review_type,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
responsible_owner,responsible owner,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; non-empty unless explicitly allowed,example_responsible_owner,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
review_frequency,review frequency,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; non-empty unless explicitly allowed,example_review_frequency,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
next_review_date,next review date,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; non-empty unless explicitly allowed,example_next_review_date,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
triggering_events,triggering events,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; non-empty unless explicitly allowed,example_triggering_events,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
required_evidence,required evidence,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; non-empty unless explicitly allowed,example_required_evidence,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
completion_criteria,completion criteria,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; non-empty unless explicitly allowed,example_completion_criteria,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
escalation_deadline,escalation deadline,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; non-empty unless explicitly allowed,example_escalation_deadline,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
overdue_state,overdue state,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; non-empty unless explicitly allowed,example_overdue_state,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
completion_record,completion record,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; non-empty unless explicitly allowed,example_completion_record,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
