workflow,route_or_symbol,guard_symbol,write_or_transition,status
lesson_ready_and_lesson_participation,student_guardians.patch_lesson_ready_status,_guard_student_workflow -> guardian_minor_workflow_gate,student profile lesson_ready_status update,GUARDED
lesson_ready_and_lesson_participation,operations.create_lesson,_enforce_guarded_students,db.lessons.insert_one,GUARDED
lesson_ready_and_lesson_participation,operations.create_training,_enforce_guarded_students,db.training.insert_one,GUARDED
messaging,operations.create_message,message_guardian_minor_safeguarding_gate,db.messages.insert_one,GUARDED
waiver,document_signatures.create_document_request,_enforce_document_guard,document request insert for waiver templates,GUARDED
document_signature,document_signatures.create_document_request,_enforce_document_guard,document request insert for document signature templates,GUARDED
document_signature,document_signatures.create_request_sandbox_envelope,_enforce_document_guard,provider-capable sandbox envelope transition before connector call,GUARDED_NO_PROVIDER_CALL_IN_TESTS
media_release,document_signatures.create_document_request,_enforce_document_guard,document request insert for media/photo release templates,GUARDED
payment,billing.create_invoice,_enforce_payment_guard,db.invoices.insert_one,GUARDED
payment,billing.pay_invoice,_enforce_payment_guard,invoice paid status update,GUARDED
payment,recurring_charges.create_recurring_charge,_payment_gate,db.recurring_charges.insert_one,GUARDED
payment,recurring_charges.update_recurring_charge,_payment_gate,db.recurring_charges.update_one,GUARDED
payment,recurring_charges.run_materializer,_payment_gate,db.invoices.insert_one from recurring charge,GUARDED
event_signup,operations.create_sr,_enforce_guarded_students,event/community-program service request insert,GUARDED
guardian_lifecycle_and_participant_removal,student_guardians.create_guardian_consent,active relationship and authority scope check,guardian_workflow_consents insert,GUARDED
guardian_lifecycle_and_participant_removal,student_guardians.revoke_guardian_link,same-barn active relationship check; consent revocation cascade,guardian link revoke and active consent revoke,GUARDED_LAWFUL_REVOCATION_ALLOWED
